,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz,vy_1,vz_1,vy_2,vz_2,vy_3,vz_3,vy_4,vz_4
104,1.0,2457290.0,29.42053780189988,11.958261301902994,-2.301933170151525,-0.4302024305382309,1.1298296726589125,-0.10817835577885404,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
105,1.0,2457250.0,24.902238898273495,12.668226464426269,-1.414802053193918,-0.5555766918463997,1.1888713336420076,-0.12069574858044613,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
106,1.0,2454410.0,28.788330028980504,12.972532317581743,-0.3655214284117113,-0.47301451837191144,1.1453581417854055,0.1654900937516422,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
107,1.0,2454670.0,11.532071424562757,39.093136120939945,1.6630201217987821,-0.9555281262680091,0.15452569089239904,0.3313757042162206,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
108,1.0,2457870.0,29.191548193772615,25.44945865126048,-6.224066748504731,-0.6300401710583302,0.7722785427985394,-0.054033542215170496,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
109,1.0,2457790.0,38.22982016397405,-12.39055656519659,5.925887595994954,0.3289497236094861,0.8912181249211034,-0.2962156122685992,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
110,1.0,2457650.0,16.41799698871936,35.036657517832055,-7.516742903385124,-0.7568043647986843,0.5718462091214325,0.4328731728409275,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
111,1.0,2454520.0,43.63172770057283,2.5263795244888776,0.0918339089004428,-0.014792405592425072,0.9532391324158461,-0.012957853237705765,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
112,1.0,2453920.0,23.71145270739379,38.50475297829981,3.432257929788497,-0.7554922777208363,0.5215378117746287,0.04983012270043682,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
113,1.0,2453390.0,21.40031916884837,35.49477772327105,1.2914530439820946,-0.8155600635491287,0.5996721887911093,-0.03929276113687627,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
114,1.0,2456420.0,27.005387300369758,26.077452557904614,0.04075148802454409,-0.8972057585098485,0.5943289813313681,-0.13031119332237054,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
115,1.0,2457230.0,-36.15737302618778,17.797048614834313,2.1920906963943456,-0.39547014725903096,-0.9502647756438408,0.17259252450481186,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
116,1.0,2457110.0,43.46936378157341,-3.922259922231985,0.8048581527734958,0.18547943582231108,0.9457770494842156,0.0300390931256439,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
117,1.0,2453160.0,-31.90415478746052,-24.783990796737427,-1.7650878984114842,0.6659799357041464,-0.7807268881606495,-0.013215392029660062,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
118,1.0,2456770.0,44.82351499692295,0.1631036182672041,-3.7446519428718723,-0.04334039701927245,0.912828873683358,-0.014892747567782071,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
119,1.0,2453450.0,-26.604114203646198,-14.3428986511752,2.124337787411355,0.5903558864232825,-1.1217280120219824,0.0664074191913175,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
120,1.0,2457530.0,-22.22183136379654,-29.352359883195042,-1.5593035032184661,0.8643407475900712,-0.6343509795238389,-0.07938079594367353,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
121,1.0,2453270.0,-29.87031116505749,-16.16229757132684,-3.2914729379087233,0.6779441673726853,-0.924117558404727,0.036504574349004094,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
122,1.0,2456660.0,-11.665049722082987,-42.73661945821031,16.473450985680472,0.8912147512138384,-0.08433935482627386,0.05803031859104698,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
123,1.0,2457740.0,37.24422741645185,-15.925490233653989,-9.159478469431292,0.3693839100195299,0.8627559075980757,-0.06779714035505717,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
124,1.0,2457750.0,-32.10991871790548,-26.38177865976084,2.954437371723111,0.6428847071284708,-0.756550510081186,0.1136375167807951,2.2862063930350387,-0.5533063760782485,0.25898818919869837,0.43106033275655514,2.219845863930776,-2.2832056943553176e-05,-4.629538995163951,-0.11828647056224978
