,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,2013 RQ98,0.4247353670778044,0.6181487140671706,0.191392687020985,0.6085371308387906,55.765629589590716,"[0.02765708063385166, 0.16987432503266006, 55.75449181905295]","[0.047422153190029605, 0.17009493489458766, 55.76333084910646]","[0.052817805538687056, 0.17043699450483268, 55.772855643920664]","[0.02999571168372347, 0.168685276374301, 55.78358834319772]","[0.02019834267998572, 0.1668352634381606, 55.78885283640722]","[0.03786451789682523, 0.16919640974214836, 55.780764826379084]","[0.053192518755703896, 0.17010626894712252, 55.76232996356558]","[0.04144240728900733, 0.1729369163907045, 55.75083966798747]","[0.022533720318343668, 0.17013045959694462, 55.74959956212406]"
1,2013 RQ155,0.31561446435379864,0.6092414795892596,0.08788918996817266,0.6087578259172548,51.23029718699208,"[0.02871773678064183, 0.18428906917542576, 51.22117822578341]","[0.020589059433148173, 0.18269760537523916, 51.22695030432797]","[0.00740864973724597, 0.18286666597397608, 51.23493426918574]","[0.017655261464569447, 0.18269582098076229, 51.22584951089406]","[0.027084718627996218, 0.18390547581208874, 51.2231479320489]","[0.023327318234097637, 0.18368652426604837, 51.23975269651785]","[0.007592166116203348, 0.18201155810293465, 51.24935856867791]","[0.010296462634502228, 0.18284458547351215, 51.24551350938876]","[0.019935613628034646, 0.18293354093537528, 51.22288454848366]"
2,2013 RJ158,0.6241298088134348,0.32479777878688654,0.3730175031294704,0.2594710372600868,89.6046276168372,"[0.05346543244234427, 0.05788644474485971, 89.54218048573091]","[0.06796771629421237, 0.05581168828254925, 89.41793868220327]","[0.09536967853522345, 0.059321359261226364, 88.98275984140015]","[0.07902918850478738, 0.06778803979672658, 88.71616248589571]","[0.0618467046550143, 0.06605482899815089, 88.78765328430448]","[0.07300678522232318, 0.06403449305987254, 88.99562414982844]","[0.08675211424268807, 0.05806571663617197, 89.88330454152636]","[0.06538981460929527, 0.04965366509418444, 90.71778524517887]","[0.022510073635478505, 0.042023828591993814, 90.8267263857506]"
3,2013 RR155,0.38922506622254416,0.5566929590818436,0.13709165892430872,0.4615347904723711,62.07901226011191,"[0.020115458388172115, 0.10640521410250284, 62.07839863149039]","[0.019630377321983545, 0.1065499525290296, 62.07841717242831]","[0.025540352478262036, 0.10640305715773465, 62.07919127644157]","[0.031196382010387238, 0.10645476194677721, 62.07964705177495]","[0.03116894967692005, 0.10609973600626708, 62.08015119840816]","[0.026226563649795965, 0.10678200299366022, 62.079090959237696]","[0.019583004978595463, 0.10629139969676599, 62.07832337102053]","[0.01929598821278727, 0.10671234574765019, 62.07837944497114]","[0.024582474074487094, 0.10617368953870075, 62.07901933373284]"
4,2013 QX103,0.2605836756269371,0.5251428839420509,0.16587535226419295,0.5196053674984868,50.41543100953701,"[0.02345480373647301, 0.18156265756600332, 50.417144998165064]","[0.04124818543997961, 0.1817166756894038, 50.414287360130025]","[0.035421666543420056, 0.18177937454522988, 50.415028074599]","[0.02224436109857546, 0.18145571713011116, 50.41737821687097]","[0.037775244784799177, 0.1815436490623637, 50.41474356927924]","[0.04063785077171406, 0.18261518716468314, 50.41429739457415]","[0.021769944263483002, 0.18133267723711702, 50.41685185175961]","[0.03545042714511575, 0.18261742067753176, 50.41445569488226]","[0.0423348458970747, 0.18183879356706992, 50.41339116262809]"
5,2013 RS155,0.2738823008165834,0.5464017019555333,0.1400654789807256,0.5428259183747981,50.43852915019396,"[0.03448927583316025, 0.18574270870049644, 50.438239390652875]","[0.01876741067608552, 0.1838519806812456, 50.4399865939766]","[0.029267776597746327, 0.1853522638773764, 50.4390602282117]","[0.03704496775264154, 0.18479691923019556, 50.438010502440434]","[0.02318901248251692, 0.18428774314607835, 50.43912375898488]","[0.0193650771421411, 0.1841978788638692, 50.43951693952377]","[0.03445038007087782, 0.1846366902116115, 50.437379387083844]","[0.031606743124441235, 0.18510043779932794, 50.437257496178965]","[0.017768437272471117, 0.1841657987291501, 50.43884472893953]"
6,2013 RT155,0.651793664164231,0.4535964491360445,0.12896369750808323,0.1845179739434896,103.17679173325439,"[0.010004605843199885, 0.034223797509183064, 102.9285510701031]","[0.007468360021763304, 0.03293027845250644, 102.92923986976291]","[0.022841907736860824, 0.03837941073980376, 102.91677403601315]","[0.02868059996423228, 0.04152161399518787, 103.02218475110807]","[0.027597423230915127, 0.04054056148240791, 103.32850525684965]","[0.028649903962769136, 0.039413264136112514, 103.51375046608754]","[0.019895162157627117, 0.03631321036584369, 103.57994255597528]","[0.024863104849551856, 0.036426139389582744, 103.5600949740815]","[0.04614406510619352, 0.03978579903029731, 103.13010455373637]"
7,2013 QR99,0.040622411861897065,0.5209269698146209,0.04056614809864664,0.5194973558159748,41.03831970991952,"[0.01270717030549553, 0.3227654786987052, 41.03839757753735]","[0.011559787911533377, 0.32176289290777677, 41.03838897813838]","[0.011477864801853557, 0.32013086135469, 41.038387909930826]","[0.012038751145290036, 0.32262260468037074, 41.0383597630853]","[0.011372339097975255, 0.3220314168296393, 41.03838574091296]","[0.011819747874457116, 0.3200710680732433, 41.038313455834526]","[0.012574488687830532, 0.3225774442647904, 41.038479006613784]","[0.011621878762522351, 0.32208610486637074, 41.03847467845122]","[0.011590304479766826, 0.32005077265747756, 41.03794204869536]"
8,2010 JJ210,0.24734717285932112,0.14735081031047642,0.23799826475500552,0.13713259134279082,49.310629969702035,"[0.11327075136194152, 0.10135503380545365, 49.31062908736381]","[0.1188755777244589, 0.09931454478569918, 49.31062869551022]","[0.12407713766208138, 0.09630856316874144, 49.31064261347639]","[0.12152940892307726, 0.09995939843097965, 49.310623122588986]","[0.11946338734558411, 0.10184194155668069, 49.310633970720275]","[0.12061450608395359, 0.09813474349025378, 49.31056212019962]","[0.11904738038737372, 0.09715839159266318, 49.31057390558279]","[0.11312093506402959, 0.10084529734191497, 49.31063104902992]","[0.1140755965565427, 0.09903694354914734, 49.3106800717876]"
9,2013 SG113,0.17651973212748553,0.15770501654180646,0.16813574646150192,0.15448471718365478,46.62600999807203,"[0.11079809917283455, 0.11984499658034556, 46.62592075036099]","[0.11021053044214357, 0.11103749992929698, 46.62588815923504]","[0.11571544721958335, 0.11504792169502218, 46.626010162947125]","[0.1139255988171217, 0.12240435370933671, 46.62616049029544]","[0.10922272342897717, 0.11668681136848509, 46.6259645091228]","[0.11392614485450361, 0.11193755502323381, 46.62589844853226]","[0.11738351747811478, 0.1200477470558335, 46.62614917375331]","[0.11135737886270783, 0.12221572492665556, 46.626172161696665]","[0.11081467839241489, 0.11443381904333078, 46.6260104462748]"
