,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,1,0.11867829883531839,0.16880273107842275,0.11575592224193207,0.1676989402446704,2.763454182911334,"[0.11588514748525225, 0.1677400778640409, 2.763471432715862]","[0.11613206608251979, 0.1677250044311031, 2.7634491522455344]","[0.11545931271807346, 0.1676158149417412, 2.7634531933667423]","[0.11650023721801532, 0.1676864826433058, 2.7634395509920444]","[0.11534942895508629, 0.1677440766215767, 2.763444881000362]","[0.11635232338905471, 0.16763828578563114, 2.76344225034437]","[0.11570029593434498, 0.1676192210181158, 2.763435610261199]","[0.11588732780936944, 0.16773518839180462, 2.7634747558237303]","[0.11623772479102162, 0.167720337582647, 2.763464083171686]"
1,2,0.2870830948204939,0.5462384423472295,0.2760488010345112,0.5459647382983731,2.7672399292145236,"[0.2803985803043573, 0.5459308729235391, 2.7672159007698136]","[0.27881300230699224, 0.5458545340922155, 2.767203824813918]","[0.2773515806900542, 0.5457395422377547, 2.7670712710283345]","[0.27960549083315195, 0.5458456028130594, 2.7669635024601638]","[0.2778674102971104, 0.5456612894870604, 2.7673210931963284]","[0.27700255304495547, 0.5454445382878224, 2.76746913171308]","[0.28014296660940263, 0.5455667384640583, 2.7671742471623593]","[0.27865157891963926, 0.5455020216258676, 2.7670888410968915]","[0.27844712750962664, 0.5451875516840184, 2.7674058961527526]"
2,3,0.23595789959233257,0.23006958806207242,0.23370116661666682,0.22926424518183205,2.66573605000124,"[0.2332178003875479, 0.2292001271426884, 2.665771924688507]","[0.23335836411041544, 0.22917567022841304, 2.6657484670030165]","[0.23327415906812474, 0.22917347165119123, 2.6657019423536172]","[0.2332033483147084, 0.22919377193622992, 2.6656922136836068]","[0.23348940856217215, 0.22919451908917654, 2.665732176053767]","[0.2333638709276831, 0.2292015386679527, 2.6658091944953806]","[0.23349839771691994, 0.22921129448988664, 2.6657323644179893]","[0.23350282591516985, 0.22921802888418244, 2.6657448202048664]","[0.23321091688287596, 0.22923743752435474, 2.6657442134702123]"
3,4,0.1036515152811103,0.11389233440443347,0.09879280971402482,0.11220565786994523,2.358431519131511,"[0.09863889792760383, 0.11229322681655914, 2.35842877512428]","[0.09764990744892307, 0.11231249887994466, 2.3584406553912385]","[0.09837207712702681, 0.11222504419800468, 2.3584372975090804]","[0.09799663552963946, 0.11222957109566399, 2.358429874616574]","[0.09755366869289794, 0.11213237115267918, 2.3584378750524073]","[0.09873589187724469, 0.11212736247500575, 2.3584354299023818]","[0.09790714014014228, 0.11207694222928291, 2.3584182187890526]","[0.0981475609999137, 0.11207695125559758, 2.3584292760833088]","[0.09887381271461189, 0.1121131712617018, 2.358440740309863]"
4,6,0.16476047902799457,0.24928731734458784,0.1593744812015392,0.2485657357813641,2.422031221490827,"[0.1542472857218677, 0.24821015139686706, 2.422034484076491]","[0.15937159555424824, 0.24836775531722846, 2.4220276347399325]","[0.15700809316921316, 0.24860520641357228, 2.422040910555084]","[0.1557511467241158, 0.2485528925848717, 2.4220396250622005]","[0.16104983461187725, 0.24843474140746447, 2.4220364489172748]","[0.15737622546866642, 0.24867649898561284, 2.42203862153505]","[0.15744030050746005, 0.24874174704233404, 2.4220291589203526]","[0.16232708606719, 0.24878537274384452, 2.4220135290132156]","[0.1579724080817129, 0.2486444063449785, 2.422009480725327]"
5,7,0.21688019739922987,0.11434489752785455,0.21406550182746806,0.11265767591722875,2.383080652139562,"[0.21359064173799408, 0.11244520894613338, 2.383074381938752]","[0.21471636101106606, 0.1135020949291607, 2.3830753607272808]","[0.21416093733576244, 0.11323751747298176, 2.3830864733856565]","[0.21322379527959454, 0.11211000206395, 2.383121230122006]","[0.21326662807910357, 0.1121476400676153, 2.383087966786077]","[0.21448569932649, 0.1132923709392144, 2.383074368024933]","[0.21447971286534542, 0.11348188190915659, 2.383072435561783]","[0.2134601799332164, 0.11234893439798313, 2.383063333845033]","[0.21303117920404463, 0.11197523501375886, 2.383093733628736]"
6,8,0.1679276887609294,0.10690918384205493,0.15735263435243452,0.10507195100754628,2.1985016651645806,"[0.15787508511017845, 0.10654459095145688, 2.1984856124569205]","[0.16101488110232065, 0.10527219386990953, 2.198501523727082]","[0.15152147947495614, 0.10355928430878777, 2.198500122275342]","[0.15826303345468784, 0.10659346338827219, 2.1984975295634377]","[0.16213576641083483, 0.10597636995786687, 2.198513579556754]","[0.15100143127767, 0.10312424231805688, 2.198505415787267]","[0.15774063100652644, 0.10602570382653699, 2.1984887992272735]","[0.16309837352820533, 0.10749192905736726, 2.1985012254538505]","[0.15130426663498028, 0.10311413506554376, 2.198518817361777]"
7,9,0.13124894566257841,0.08504012480792549,0.12806828235337178,0.08271184908738231,2.383310264386781,"[0.12785497446727617, 0.08288909002606976, 2.383325466983326]","[0.1277676501079171, 0.08270199476001827, 2.3833000731580185]","[0.1278424773781247, 0.08255025910079555, 2.3832947699701643]","[0.1279676635450045, 0.0825988079196954, 2.3833126787700705]","[0.12865886186630707, 0.08276663478468115, 2.38333102662684]","[0.12864158537448817, 0.08285027608215627, 2.38332089473592]","[0.12782697429219692, 0.08272768550273121, 2.3832899434769708]","[0.12766375784457581, 0.08256713655612777, 2.3832823517962205]","[0.12785921145217136, 0.08255973546647372, 2.383314266699154]"
8,10,0.13815714853469555,0.09099587248703145,0.1359448968850814,0.08886366879535108,3.137642594169947,"[0.1356421928277898, 0.0888789970589799, 3.137844330944594]","[0.1351307215725318, 0.08887099202140894, 3.13818608907444]","[0.13629878551354818, 0.08888781925593237, 3.137208524595505]","[0.13633385341953455, 0.08887785010301044, 3.137446173096853]","[0.13587849375507494, 0.08886626155887438, 3.137780927270266]","[0.1357763312304382, 0.0888697704991055, 3.1378183680995817]","[0.13574862255147843, 0.08884617232098597, 3.1378329076866693]","[0.1360285538342926, 0.08885720865568777, 3.137647655779205]","[0.13619580595965924, 0.08882534721044427, 3.1375443533473173]"
9,11,0.07818562741850762,0.07153495010075454,0.07428234570775032,0.06868206029327394,2.4489637565612186,"[0.07390200841279793, 0.06863575314751945, 2.4489406133043436]","[0.07377140609492032, 0.06853005857043622, 2.4489502072650713]","[0.07379723377885357, 0.06883300027270987, 2.4489819608942116]","[0.07393211371317078, 0.06881098836719199, 2.4489819362593233]","[0.07386468151889361, 0.068519021446257, 2.4489604819546003]","[0.07371301068756711, 0.06866859105791721, 2.448940329558846]","[0.07388875211814447, 0.06888415860361158, 2.4489469118548075]","[0.07379155121250275, 0.06865386571044382, 2.4489867926137205]","[0.07364834475726198, 0.06853846825117768, 2.448989557064624]"
