,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,434,0.07983357950396054,0.3591833409810842,0.07744433894638099,0.35745913629383835,1.9418429119482201,"[0.07651338143782216, 0.3580099323601787, 1.941844165114086]","[0.07622168217823586, 0.3590976464252233, 1.9418298740096416]","[0.07649515022563327, 0.35811117480435084, 1.9418506933052517]","[0.07616306961825177, 0.35851921832143874, 1.9418346083603042]","[0.07607294320903946, 0.358908812310416, 1.941846118065359]","[0.07601102000731536, 0.35786735194207947, 1.9418440500334546]","[0.07664293192131472, 0.35921662032804635, 1.9418249496898812]","[0.0764777555353823, 0.3581305749428188, 1.941850238722353]","[0.0766052088421965, 0.3584519063923133, 1.9418516752755273]"
1,1019,0.0811457744489851,0.4201199558046119,0.0787144399890067,0.41974929554378076,1.90904295939424,"[0.09400379758157411, 0.4148456554709843, 1.9090437077331353]","[0.08570017373684219, 0.41700187699577623, 1.9090419192856776]","[0.06336395877343261, 0.4214840264748001, 1.9090221818663622]","[0.0642425192274682, 0.42175401569059784, 1.9090786947611078]","[0.08632491446506788, 0.41707328048443804, 1.9090663629465976]","[0.09355444171449023, 0.4147351101689311, 1.9090109847370986]","[0.0814801483275871, 0.41764513355980015, 1.9090168553518785]","[0.061663916440051265, 0.4218944132976475, 1.9090714497229702]","[0.06022888582505802, 0.4219341701999874, 1.9090728355572169]"
2,1025,0.07621750739356978,0.4199726069780507,0.07365201582452288,0.4195473495442606,1.9765773349177924,"[0.07064093491885826, 0.41872607192782985, 1.976578353700991]","[0.07242439531228376, 0.41993107453704376, 1.9765931476574783]","[0.07162952679639009, 0.41999066508082905, 1.9765762346793363]","[0.06998155369574027, 0.4187632934411177, 1.9765757533938941]","[0.07147943024874812, 0.418628057699455, 1.9765831136037417]","[0.07185540115728387, 0.4199411647031264, 1.9765740455434615]","[0.07050783690808092, 0.42014909431148284, 1.976584800986464]","[0.07087589026247967, 0.41857953276742393, 1.976581302648904]","[0.0723350180412276, 0.41836961685356283, 1.97656906827989]"
3,1103,0.08623001041380511,0.3553571386642901,0.08426262342258518,0.35163924048899464,1.9309593641047649,"[0.08231685274484789, 0.35376692306373353, 1.9309031556085001]","[0.0828962890453656, 0.3539232544267135, 1.930968855389369]","[0.08310928507519291, 0.3544468840986964, 1.9309778712081356]","[0.08343145571198074, 0.3546642405017518, 1.9309628582885494]","[0.0837644945394654, 0.3548933565164892, 1.9310049107525715]","[0.08373553815344464, 0.354994319632093, 1.9309859973815728]","[0.0838191133754429, 0.3547082588348663, 1.93093631870239]","[0.08333728612197314, 0.35471934291859364, 1.930979596100422]","[0.08302551367099081, 0.3540276962568977, 1.9309772950865904]"
4,1235,0.1335617134470232,0.43100367992608907,0.10033622885230646,0.43058104234234185,1.9076787280257699,"[0.12281234617280903, 0.43228920147473626, 1.9076948515284415]","[0.13542035881067785, 0.42646953735479326, 1.9076949391925917]","[0.13123583584406281, 0.4295692791368002, 1.9076693142321162]","[0.12050971491402726, 0.4321734665025117, 1.907586939792114]","[0.13316235015317313, 0.4292218071094286, 1.907696689998846]","[0.1366535620369154, 0.4257623600625071, 1.9077187975088061]","[0.12190395650804227, 0.4319510840343028, 1.9076225837114662]","[0.12351283544539024, 0.432261105428195, 1.9076940504809978]","[0.1373922749606674, 0.4255072795695091, 1.9077114109941018]"
5,1355,0.08910849358879876,0.40191935649343663,0.07657073123905367,0.4014219893505929,1.8510991753858093,"[0.07326341494855584, 0.40306071216958994, 1.8510655889251761]","[0.08482443677287148, 0.40221867647613385, 1.8511004084912028]","[0.09609697742529412, 0.39764980070705663, 1.8511004451000677]","[0.09402015025195803, 0.398271733567351, 1.8510910385517587]","[0.08107542985347004, 0.4026474155201616, 1.8511251148135688]","[0.07394718327157723, 0.40319916078444257, 1.8511047178398004]","[0.08316129473288757, 0.4015392123048216, 1.8510911216259875]","[0.09600490450249859, 0.39782864978202076, 1.8511148326102655]","[0.09420622346580479, 0.3988451666631539, 1.8511107922493741]"
6,1453,0.07186896012598243,0.413073897363348,0.059668885216878194,0.4126760783976664,1.894454536450661,"[0.07049541921481538, 0.4118453064255641, 1.8944603270107823]","[0.07459701952405444, 0.4116406814791844, 1.8944590198139295]","[0.06002485412120072, 0.4117466948586164, 1.8944485980545653]","[0.05567178287231198, 0.4117993768925052, 1.8944508433917646]","[0.06987788654033468, 0.41186055534552757, 1.8944504055025946]","[0.07563800788283274, 0.4113606860149124, 1.894454052610303]","[0.06048356594705011, 0.41153875766650233, 1.8944577500273654]","[0.0542368597847639, 0.41180735056261764, 1.8944512111186445]","[0.06930014323274963, 0.41169467187961845, 1.8944596236148845]"
7,1509,0.059923430222566396,0.41833984119686496,0.056416369964465654,0.4178749185712721,1.8636495729638938,"[0.05619659767686112, 0.41552358020052665, 1.8636073739659331]","[0.05696637881869364, 0.4153499964199469, 1.8636793229537747]","[0.056614380436703186, 0.4155074194442595, 1.863695078932214]","[0.056508086554419704, 0.41540613052392633, 1.8636719476582853]","[0.055940515005054925, 0.4155092034543109, 1.8636338422778118]","[0.05562834251104681, 0.41551211029588514, 1.8636526777715152]","[0.055626054612200736, 0.4155105691612897, 1.8636957445525322]","[0.056023967766043736, 0.4155304108210726, 1.8636740051198264]","[0.05657444074298429, 0.4153746666100351, 1.8636159642501506]"
8,1600,0.037318529382645974,0.33818060007616857,0.032495616933520904,0.3363654174704027,1.8464302012264149,"[0.03207964810043416, 0.3371664427098141, 1.8464297357142714]","[0.031891010279030345, 0.3372285017571638, 1.8464273112953815]","[0.0319325699168573, 0.3372720238473089, 1.846425843846271]","[0.03189971831118017, 0.3372543387278833, 1.8464284463471936]","[0.03204059165701972, 0.33728074352445675, 1.84643511774536]","[0.03258529024903622, 0.33732435251260506, 1.846426491115407]","[0.03275264473244529, 0.3373258631189352, 1.8464265791955585]","[0.03271446027299953, 0.3373423243484126, 1.8464278342054112]","[0.03284380200565746, 0.3373584361178263, 1.846436542595835]"
9,1656,0.09348866411209462,0.4115126277921133,0.08252403719443566,0.41111951021349186,1.8752166956170648,"[0.0841823270095073, 0.4097641619093324, 1.87522080595214]","[0.08325696996838128, 0.4100316841656239, 1.8751718028414097]","[0.0971371808689481, 0.4090448021118002, 1.8751187554182593]","[0.09707571768867536, 0.40897255179590686, 1.8751247019872157]","[0.08292657622480155, 0.41006296104364914, 1.875112046854275]","[0.08403383491091597, 0.40974465505449265, 1.875005745301782]","[0.09799950101538189, 0.40896709345728094, 1.875179936678038]","[0.09614535327170445, 0.40901769257312776, 1.8756405519980202]","[0.08251645438189405, 0.4103154279938251, 1.875454097546431]"
