,Name,MEGNO,Div_RMS_a,Div_RMS_e,Div_RMS_sinI,Info Entropy,Delta_a,Delta_e,Delta_sinI,Prop_RMS_a,Prop_RMS_e,Prop_RMS_sinI,Prop_Delta_a,Prop_Delta_e,Prop_Delta_sinI,ACFI,MEGNO_flag,Proper_SMA_flag,Clone_SMA_flag,Entropy_flag,AFCI_flag
0,15760,0,0,0,0,3,0,0,0,1.0388473067534469e-05,0.0017635462509967,0.0030509433837832,1.1367305274212594e-05,0.0019801951965544,0.0037216225205722,0.807,0.0,0.0,0.0,0.0,False
1,15789,0,0,0,0,3,0,0,0,6.584959561357918e-06,0.0001886043172171,0.0002732669575268,-5.725318877795067e-06,-0.0001666858084557,0.0003914502783002,0.96,0.0,0.0,0.0,0.0,False
2,15807,0,0,0,0,3,0,0,0,2.736731892138613e-06,0.0024697995755493,0.0012318116825395,4.622483712778121e-06,0.0029999086200898,0.0014908796174666,0.807,0.0,0.0,0.0,0.0,False
3,15809,0,0,0,0,3,0,0,0,1.5940990299194044e-05,0.0018128802043983,0.0009593145374101,1.6782952215807336e-05,0.0013979051775113,0.0014063932663507,0.573,0.0,0.0,0.0,0.0,False
4,15810,0,0,0,0,3,0,0,0,8.11306980301152e-06,8.159893126828715e-05,,9.101195267181762e-06,0.0001140261576874,,0.86,0.0,0.0,0.0,0.0,False
5,15836,0,0,0,0,3,0,0,0,1.1642711720433675e-06,0.0001476523320602,0.0062513535684746,4.6836592264847565e-07,0.0001659348711742,0.0073475249773911,0.673,0.0,0.0,0.0,0.0,False
6,15883,0,0,0,0,3,0,0,0,0.0001300812441035967,0.000657835920505,4.498397770252431e-05,0.00013158220904871816,-0.0004958934263455,7.303415837950356e-05,0.936,0.0,0.0,0.0,0.0,False
7,16684,0,0,0,0,3,0,0,0,3.55702368219668e-06,0.001951959676423,0.0013400858830966,-3.5118897865845504e-06,0.0024729724412941,0.0023479987811195,0.902,0.0,0.0,0.0,0.0,False
8,19255,0,0,0,0,3,0,0,0,6.310808457998564e-06,0.0016817626485954,0.0014956374197016,-6.2196623246457195e-06,0.0025087599610266,-0.0002319274608771,0.873,0.0,0.0,0.0,0.0,False
9,19299,0,0,0,0,3,0,0,0,5.805173955528299e-06,0.0048460340887641,0.006014124764292,-3.150842942314985e-06,0.0089766251547567,0.0005596479919666,0.86,0.0,0.0,0.0,0.0,False
10,19308,0,0,0,0,3,0,0,0,6.468756936978165e-05,0.0011761671705398,0.0007964245252542,9.639804937905582e-05,-0.0009211625631595,-0.0006225860353388,0.377,0.0,0.0,0.0,0.0,True
11,19521,0,0,0,0,3,0,0,0,2.1727408798854245e-05,0.0009700551612912,0.0004105922729766,3.343638473152766e-06,0.0014148592019814,0.0005361313143345,0.37,0.0,0.0,0.0,0.0,True
12,20000,0,0,0,0,3,0,0,0,1.2364452237279977e-05,4.271406007564652e-05,0.0004117611117102,-1.2270961132201784e-05,5.120258225407154e-05,-0.0001305180787354,0.857,0.0,0.0,0.0,0.0,False
13,20108,0,0,0,0,3,0,0,0,3.245995392640796e-06,0.0006251611632063,0.0010091744247628,-2.4743855794200596e-06,-0.0001293940996496,0.0011379614955107,0.616,0.0,0.0,0.0,0.0,False
14,24835,0,0,0,0,3,0,0,0,2.801183721236094e-05,0.000659032306563,0.0004116462630967,4.899861449304696e-05,-0.000631497295007,-0.0003054246611531,0.772,0.0,0.0,0.0,0.0,False
15,24952,0,0,0,0,3,0,0,0,1.2336545341886903e-05,0.002825672661868,0.0002351449074652,1.283103803003232e-05,-0.0026016523069418,0.0002865416317371,0.809,0.0,0.0,0.0,0.0,False
16,24978,0,0,0,0,3,0,0,0,4.008173587686033e-06,0.0013170825906007,0.0024179239966293,-3.923485814533843e-06,0.0023746803981984,0.0040338470869864,0.859,0.0,0.0,0.0,0.0,False
17,28978,0,0,0,0,3,0,0,0,3.5194346311947706e-06,0.0068782880679031,0.0045719789166069,4.409400556072914e-06,-0.0036503030758265,-0.0021617203923634,0.832,0.0,0.0,0.0,0.0,False
18,32929,0,0,0,0,3,0,0,0,5.006926685217587e-05,0.0001658668359892,0.000372490482585,-4.64042104955388e-05,1.985926482905853e-05,0.0007428302406384,0.846,0.0,0.0,0.0,0.0,False
19,33001,0,0,0,0,3,0,0,0,1.0550799522346458e-05,0.0022849464424298,0.0013027736867227,-1.0295209018362914e-05,0.0041031899928929,0.0022852024240782,0.906,0.0,0.0,0.0,0.0,False
20,33340,0,0,0,0,3,0,0,0,2.6381528747090457e-05,0.0002701742698642,0.0004147593144941,2.9732082885076365e-05,-0.0001979051846171,0.0007419450381676,0.818,0.0,0.0,0.0,0.0,False
21,35671,0,0,0,0,3,0,0,0,3.0967077930588698e-06,0.0020604071937358,0.0018862420025547,3.035664035834208e-06,0.002274124102994,0.0021400487069565,0.808,0.0,0.0,0.0,0.0,False
22,38083,0,0,0,0,3,0,0,0,0.0005184539027965786,0.0152538144703988,0.0481948041623549,0.0006952676757104212,0.0249983466572041,0.0636828867871686,0.348,0.0,0.0,0.0,0.0,True
23,38628,0,0,0,0,3,0,0,0,3.1159630112260833e-06,0.0161774351765552,0.0027624168027398,-1.8603729496312488e-06,-0.0120813265336195,0.0045097903232232,0.819,0.0,0.0,0.0,0.0,False
24,42301,0,0,0,0,3,0,0,0,7.293092742959379e-06,0.0625603096248467,0.0001096285367015,7.63954625787067e-06,-0.0515189903187221,0.0001896315063224,0.758,0.0,0.0,0.0,0.0,False
25,45802,0,0,0,0,3,0,0,0,1.4217529946913361e-05,0.0011850941223791,0.001060114055495,-1.4174287591342164e-05,0.000397288797883,0.0015467058074984,0.932,0.0,0.0,0.0,0.0,False
26,47171,0,0,0,0,3,0,0,0,1.1574750150548136e-05,0.0055932122695725,0.0098661829719974,-9.197724413696467e-06,0.0078947736773778,0.0042257544624261,0.903,0.0,0.0,0.0,0.0,False
27,47932,0,0,0,0,3,0,0,0,7.678636117305916e-06,0.0007006225573738,0.0024764183504351,8.122802660862553e-06,-0.0002943131167351,-0.0001555570879103,0.821,0.0,0.0,0.0,0.0,False
28,48639,0,0,0,0,3,0,0,0,5.6607724531893894e-05,0.0004145769674541,0.0012274954651511,4.232182564325562e-05,-5.2745470594056654e-05,0.0020535992550263,0.805,0.0,0.0,0.0,0.0,False
29,49673,0,0,0,0,3,0,0,0,2.004911055712063e-05,0.0004680123415451,0.0001363723106545,2.082104478974272e-05,-0.0002819570749817,-0.0001176935760561,0.52,0.0,0.0,0.0,0.0,False
30,50000,0,0,0,0,3,0,0,0,7.159479596429388e-06,0.003085909477187,0.0008712922905713,-6.812540357705226e-06,0.0055607552347061,0.0013793310204174,0.888,0.0,0.0,0.0,0.0,False
31,52747,0,0,0,0,3,0,0,0,2.943047801608534e-06,0.0005995431550163,0.0016875036602013,3.841323551229081e-06,0.0008978349385968,0.0029305146435471,0.829,0.0,0.0,0.0,0.0,False
32,53311,0,0,0,0,3,0,0,0,5.105064526909581e-06,0.0009590384060528,0.0021435955394802,5.144478773865159e-06,0.0016206063360412,0.0039679984990234,0.827,0.0,0.0,0.0,0.0,False
33,55565,0,0,0,0,3,0,0,0,3.2447761423244086e-05,0.0008405112641506,0.0001900957839136,3.4663297262936e-05,-0.0007241362473299,-0.0001222065172555,0.934,0.0,0.0,0.0,0.0,False
34,55636,0,0,0,0,3,0,0,0,1.8692436101177675e-05,0.0002593955380859,0.0008591075175751,2.8329538071754463e-05,0.0004267259493804,-0.0008046828829805,0.688,0.0,0.0,0.0,0.0,False
35,55637,0,0,0,0,3,0,0,0,6.16453552568669e-05,0.002938060582766,0.0011782844150737,-2.6974958486779867e-05,0.0045882925463067,0.0005050339542319,0.755,0.0,0.0,0.0,0.0,False
36,55638,0,0,0,0,3,0,0,0,3.1922191721447027e-06,0.0184233902595301,0.0155004752801818,5.074408511193255e-06,0.0088724995465601,0.0237234556082699,0.596,0.0,0.0,0.0,0.0,False
37,58534,0,0,0,0,3,0,0,0,3.340603785945821e-05,0.0010202809019129,0.004758594838935,3.4904268114810284e-05,0.0014768753205222,0.0060678924524726,0.769,0.0,0.0,0.0,0.0,False
