,Unnamed: 0,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
10,10,10,0.0766384160657048,0.0442902593938285,0.0348239675735393,0.0346199562143081,43.85643883277793,"[0.006078599923313601, 0.006708840942041775, 43.85640718380637]","[0.006117345648903758, 0.006738265168467562, 43.856448321497]","[0.006080753533983133, 0.00674497676549233, 43.856459662732426]","[0.005979662517844276, 0.006748355790595036, 43.85640332894465]","[0.006005884685305361, 0.006790579265147455, 43.856445329251514]","[0.006001923171730352, 0.006812135560808536, 43.85647274054099]","[0.005921854964837062, 0.006764115655236229, 43.85642856475626]","[0.006068789759985448, 0.006691175077821064, 43.856461768277164]","[0.0063711870053925965, 0.006567398113583321, 43.85645282343329]"
11,11,11,0.0277198651381343,0.0198674649342046,0.0139205330297423,0.0198010214556706,43.11218647646216,"[0.003046919652215672, 0.003759627530736245, 43.1124559506846]","[0.0028634813532420617, 0.003850518131149224, 43.112041586455284]","[0.0027783208831568596, 0.003900966838391591, 43.111976587995144]","[0.0025715223936606355, 0.003924533545313153, 43.11211241465063]","[0.002378630977665904, 0.003956606376367767, 43.11224204367698]","[0.0023322654352860893, 0.0040080001826628955, 43.11225847322448]","[0.002157292464974783, 0.004049966306213301, 43.11222528340899]","[0.0018812019269319096, 0.004045532778490552, 43.11219664488269]","[0.0018364190444026464, 0.004017812486094458, 43.11203167852103]"
12,12,12,0.0477502076279584,0.0477369119452644,0.0234167101250562,0.034666252692029,44.18482540035744,"[0.004233954055291815, 0.006760934570394969, 44.18482750779365]","[0.004191542872289354, 0.006792436484077346, 44.18482514993884]","[0.004242963002511167, 0.006762444917372548, 44.18483051474735]","[0.004249890842660005, 0.006723770390190692, 44.184830020494644]","[0.004101309879443095, 0.0067180940417628, 44.18482051011591]","[0.004018727539511211, 0.006755418856112941, 44.18482152241068]","[0.004028074185238925, 0.0067582453383785435, 44.18482070714268]","[0.00388878429715018, 0.006620569393691512, 44.18481345349715]","[0.0037327200637324296, 0.006431977383692565, 44.1848286654276]"
13,13,13,0.0410765715464666,0.0227990006581243,0.0230053365362368,0.0110112208877117,42.801132947288174,"[0.0033837931797289643, 0.0022863804435690844, 42.801123413415986]","[0.0035848059497797548, 0.002288027174140735, 42.801132334906235]","[0.0036897597637815176, 0.002291362376381344, 42.801142430161065]","[0.003917616386518862, 0.0022907620349308325, 42.80114504486471]","[0.004119356853975782, 0.0022838397865474996, 42.801135378244275]","[0.004166222106018413, 0.0023010020507394898, 42.80112250416779]","[0.004370417173252717, 0.002345995248799232, 42.80113683589772]","[0.0047473055366021215, 0.0024064866804126995, 42.801144193881626]","[0.004859630738673034, 0.0024453348544978336, 42.80112889892383]"
14,14,14,0.0333747143253663,0.024591017053198,0.0321239289165571,0.0179314653509803,42.19254057958102,"[0.007181590647522942, 0.0031184611034680457, 42.192317645869856]","[0.006929716873423882, 0.003148806112150944, 42.1922866639351]","[0.006771007234555731, 0.003291245211904004, 42.19220408939607]","[0.006581016588650959, 0.0035757837841455054, 42.192032114745906]","[0.00617519402560386, 0.0037261418707650986, 42.19190697804064]","[0.006356743173788763, 0.0037733272415820546, 42.19212350933597]","[0.007789934914317243, 0.0039267716451917255, 42.19270762375728]","[0.00921436273122939, 0.00433029096148893, 42.1934003181829]","[0.00899801485631652, 0.0044548122756577, 42.19356914321947]"
15,15,15,0.0972765924732606,0.3582466670781302,0.0173152007440387,0.1389033476787928,42.80385122884653,"[0.004073702858869078, 0.02632738752737619, 42.803870044657494]","[0.0038741053143197665, 0.026399880878676042, 42.803847534747156]","[0.0035259059166442477, 0.02634795379045289, 42.80391789342025]","[0.0031925758112299504, 0.02628275653997241, 42.80391423623304]","[0.0028016760616742333, 0.026335496867934335, 42.803818847162184]","[0.0024614867277088395, 0.02644983712718808, 42.80372780286473]","[0.0024426319811080488, 0.026481523556652564, 42.80374169955277]","[0.0028025547039789785, 0.026428394269686448, 42.80384420760476]","[0.0032904528199121865, 0.026372475680618637, 42.80391475933476]"
16,16,16,0.0700316092812348,0.0386172808241252,0.033864918650781,0.0306932989176508,44.08007103831169,"[0.006366682711498442, 0.00618819850913635, 44.080048575547934]","[0.006175642989214428, 0.0062292580823527675, 44.08006433768803]","[0.006134364145304648, 0.006159614848754853, 44.08007902064068]","[0.006042757729697524, 0.006038667076059935, 44.08008447037774]","[0.005898079895077805, 0.005954052164478343, 44.080079153265615]","[0.005873255294447279, 0.005928183742063897, 44.080079178151934]","[0.005762843299298199, 0.005903011040909887, 44.08008907761259]","[0.0054432044815838, 0.005782863489629612, 44.08008373757111]","[0.005270476269635345, 0.005618234457979193, 44.08005841972995]"
17,17,17,0.1268757253480454,0.0922377342928227,0.049738066082052,0.0273504277231478,45.98053098844576,"[0.008407196059032047, 0.004906393512770723, 45.9804622814717]","[0.00845370310148673, 0.004894434709399823, 45.98038029174507]","[0.008454768805153855, 0.004948218547101112, 45.980386589281316]","[0.008462897586083389, 0.00503465615189237, 45.98034885112465]","[0.008589263478707873, 0.0051206793726423765, 45.98026597512292]","[0.008606780569253463, 0.005225954862690134, 45.980349148884066]","[0.008554854952386514, 0.005400103859382589, 45.9807584433477]","[0.008699604862538844, 0.005687691669439412, 45.98104438498538]","[0.0088442155734016, 0.006013849052520058, 45.98078484710027]"
18,18,18,0.2301380950692813,0.3011043784277852,0.0323602806607013,0.0519276270001912,54.99835517435801,"[0.005698243008173796, 0.00968349124667592, 54.998573649041965]","[0.005734022716495555, 0.009722812044948648, 54.99853829759767]","[0.005717369124909105, 0.009716270831430856, 54.998359761325695]","[0.005695012300244981, 0.009724297684167129, 54.998257613284764]","[0.005597238607473887, 0.009776129961505333, 54.99818726509293]","[0.00550376335735234, 0.009846174805531802, 54.99827889338374]","[0.0054572890657738704, 0.009887049333135242, 54.99840978015039]","[0.005319704762622248, 0.009881117528521985, 54.99838379830605]","[0.00520403387591411, 0.0098450973590483, 54.99825466794138]"
19,19,19,0.0439124005241163,0.0331125160336558,0.0211212526216896,0.0297585046706428,43.09596525474679,"[0.004180638347240767, 0.005633684685079197, 43.09596856670325]","[0.00402328378301147, 0.00575042323474772, 43.09594087464112]","[0.003902873741736348, 0.005825347163752961, 43.0959693540528]","[0.0036852847065306496, 0.005862482432163059, 43.09597241264816]","[0.003603728517430743, 0.005900435480569266, 43.095955932035324]","[0.0036287211887846647, 0.0059336052608364885, 43.095961885953265]","[0.0034562640766442596, 0.005954478578411242, 43.0959680133004]","[0.0033066373193506625, 0.005940647161646859, 43.095957445238675]","[0.0034093431956421123, 0.005904676894125614, 43.09596146880691]"
20,20,20,0.0736688278262232,0.0255538356702425,0.0297949055750088,0.010449228888897,46.02577779831909,"[0.004803439362068704, 0.0014237997703584995, 46.02577132703083]","[0.004895757021990636, 0.0016319952138731625, 46.025775446099814]","[0.004951230263291214, 0.0018066758022197813, 46.02578467850169]","[0.0051001358731708685, 0.001927206786226144, 46.025786937872894]","[0.005185594925126546, 0.002017592579221809, 46.02577901731624]","[0.005199391495159057, 0.0021313607529959777, 46.02578319584582]","[0.005333900735214081, 0.002273300831763867, 46.02578760160867]","[0.0054556066889323435, 0.0024006038012691017, 46.025777925312056]","[0.005378134753683399, 0.002469577720305626, 46.0257668424477]"
21,21,21,0.1947836712701506,0.1970003849874436,0.0239416789844215,0.1586397825792924,39.407693680244265,"[0.009135497093824798, 0.03145794466557269, 39.41079359950396]","[0.006513404103264753, 0.03466984374861421, 39.40635061348692]","[0.011016732562444242, 0.03669728652170259, 39.4022794970747]","[0.023739026646302123, 0.042940362613631336, 39.40005750236329]","[0.009223904349209324, 0.03267809863234595, 39.40305131843872]","[0.007002442397398318, 0.03332976961983316, 39.411764106158316]","[0.007860187008833378, 0.03172371761724477, 39.4153903613709]","[0.008906398966547723, 0.030489226550951584, 39.40829894073053]","[0.009143554216100767, 0.030201989564877775, 39.40676409988456]"
22,22,22,0.08891604087755,0.0481412342531539,0.042798706780263,0.010226542038,44.80440128961467,"[0.007637756107728492, 0.0013710401775846224, 44.80440190478198]","[0.007574474036643023, 0.0014316311817247707, 44.80441409541659]","[0.007582794187497172, 0.0015608343695468782, 44.80439428966018]","[0.007579713148556735, 0.0017225969935629408, 44.804399048005756]","[0.00744806911206589, 0.001881835433226734, 44.80441563276519]","[0.007418167588124621, 0.0020617552504772385, 44.80439319648333]","[0.007478254039449935, 0.0022959124954083604, 44.804397834746354]","[0.0072943233339549255, 0.002560759667669512, 44.80440485555777]","[0.00703864793775365, 0.002796990539938796, 44.80439779496684]"
23,23,23,0.0631389244436388,0.0326279641945993,0.0590968225232219,0.0239052068777853,42.35050100540386,"[0.009631170827831834, 0.003595153120597247, 42.35382410541378]","[0.010695666485407826, 0.004136391456212206, 42.35278414590207]","[0.01132877685848284, 0.004477211982243858, 42.352984867853756]","[0.012486588285941024, 0.0044231288313025235, 42.35102838300307]","[0.012751680128579388, 0.004580473704110906, 42.35097923254386]","[0.011957526066686592, 0.00517684102516412, 42.35290331566105]","[0.012922850391742112, 0.005583873804312868, 42.35125610008747]","[0.01687483780108151, 0.005503402412202634, 42.34708267334575]","[0.020615982936378528, 0.005630139783065901, 42.34344378104164]"
24,24,24,0.1333413102637572,0.0613309334817277,0.1320861912678377,0.0231370564512582,39.406591778584,"[0.037210439880551116, 0.00442155281285188, 39.40660676293476]","[0.03749270272417566, 0.0038204980065028363, 39.40730945336885]","[0.04063499384152489, 0.003642014908747899, 39.41054472223861]","[0.04233479257560889, 0.004061695605901663, 39.41004812017575]","[0.039956028163225334, 0.004838841722352342, 39.40814073670792]","[0.03876295231063414, 0.005231879271334217, 39.40781517984797]","[0.03967538609678151, 0.005143423514269719, 39.403902866378104]","[0.04213699527663378, 0.004629646814113006, 39.400914453459]","[0.04164412671777097, 0.004438700925951931, 39.403815581537316]"
25,25,25,0.0943471748359808,0.024180386974635,0.0678458852380383,0.0185691423736122,43.58298527166304,"[0.011677197050554124, 0.0028798845923959896, 43.58220510378796]","[0.012071179305065807, 0.0031077591784617904, 43.58253052365838]","[0.012216057802379826, 0.0034646405529637605, 43.58262734556252]","[0.012313230109961357, 0.0037439573354593374, 43.582520100536335]","[0.012113917861925968, 0.0037663301775089355, 43.582229385232196]","[0.012285141530552915, 0.0037401020311380985, 43.582473804237644]","[0.013539277879029038, 0.003910447235553349, 43.583881338020106]","[0.014455112031142883, 0.004348122858026142, 43.584885662247814]","[0.013695115305925647, 0.004608312910980842, 43.5839984278705]"
26,26,26,0.5172095285545875,0.1241179547552114,0.1237000139350236,0.0540739784523898,68.0511522639698,"[0.015399424452361914, 0.008995214219982128, 68.48672834759138]","[0.014222283942584448, 0.008817993145918756, 68.42437676035979]","[0.016884446081273267, 0.01069130243768919, 68.2986312498808]","[0.017723328186240155, 0.010852307823206524, 67.95619228190947]","[0.022400552917091865, 0.01196054266911489, 67.7568301608675]","[0.02310516766521532, 0.010407516613365751, 67.91328686385555]","[0.027084124889861918, 0.009704237493144316, 68.19662144343273]","[0.027236816456616422, 0.008705812754073953, 67.81197128597339]","[0.02929311621020841, 0.009159440161996749, 67.51676222439099]"
27,27,27,0.042824345592222,0.0282885065923712,0.0193715639729135,0.0043840244471464,44.36310041921555,"[0.0028695152967245356, 0.0008591479911064875, 44.36356880236021]","[0.003014184625173497, 0.0008488554356676467, 44.36338571778833]","[0.003063799475303332, 0.0008478349523679922, 44.363326243391796]","[0.003215148701098257, 0.0008609385114512189, 44.36331059153736]","[0.0033950906245939043, 0.0009026973440345956, 44.363322388363784]","[0.003438293272716971, 0.000987024861857325, 44.36340140994987]","[0.003560843440204468, 0.001102607938979116, 44.36314684162405]","[0.00382672172773958, 0.001218711742866196, 44.36246844387823]","[0.003927494198376087, 0.0013062056792833379, 44.362138942836836]"
28,28,28,0.2072911324808519,0.1273269574628527,0.1126241581713685,0.0506179188244612,45.96322104202815,"[0.01660610798213097, 0.010354894447665018, 45.990984286688985]","[0.017224467607660575, 0.010369820283968614, 45.99061909250982]","[0.018362714205942, 0.010069445275366877, 45.988684439606494]","[0.02034120442067767, 0.009532956098251357, 45.983635634494604]","[0.02147540625432357, 0.009091939838797015, 45.97366072427417]","[0.020771826857645097, 0.009236240928136442, 45.93958254872807]","[0.020403730056422504, 0.009910499080050286, 45.91324330848777]","[0.020312334693755332, 0.010889675312059062, 45.93248908683453]","[0.01666660158577173, 0.010678097985351773, 45.949519976154974]"
29,29,29,0.0293497623443755,0.0450428527121448,0.0123881183528659,0.0128550772831712,43.82515174263026,"[0.0025223297912337667, 0.0015821247395716956, 43.82515831102691]","[0.0024108114065843063, 0.0017743952559263576, 43.82515463760476]","[0.002329894107133083, 0.0020045866794330056, 43.82515031658109]","[0.002150397144132293, 0.0022294316934060054, 43.82515114267377]","[0.0020829272840173197, 0.0024401242478161744, 43.82514753868394]","[0.0020815792985130342, 0.0026627784792836707, 43.825148011341255]","[0.0019292399707237949, 0.0029052017596503284, 43.82515393623291]","[0.0018544427106208339, 0.003158757060498134, 43.825151760824184]","[0.0019893998208770753, 0.003381732255383816, 43.82514724034023]"
30,30,30,0.013581976060682,0.0375903029069865,0.0073863213538922,0.030539412785547,43.29950012050901,"[0.0008146365193854583, 0.005511838291565085, 43.299494151478996]","[0.0009319211733074842, 0.005686970281612647, 43.29950353449692]","[0.0010014296036652615, 0.005825935757470634, 43.29950519410936]","[0.0011980824505014253, 0.005920839309518124, 43.29949388983512]","[0.001346912817879205, 0.005999175754728278, 43.29950970961044]","[0.001385539411109294, 0.006094742012417882, 43.299501120053904]","[0.001562670363430416, 0.006190861792079664, 43.29949111603625]","[0.0017903950777294257, 0.0062486915201939225, 43.29951233161648]","[0.0018067710936643727, 0.006253145386120847, 43.29950110539741]"
31,31,31,0.1652702985949072,0.2158346283340899,0.0689969678094914,0.0577783810161816,47.734962945292914,"[0.013692806829665533, 0.009310123034780378, 47.73460654785163]","[0.013880095612181318, 0.009841075455587515, 47.737444807038514]","[0.013626152090537495, 0.010326838259556038, 47.73849551776165]","[0.013115473585589303, 0.010700389889145267, 47.736346207337775]","[0.012341866207904513, 0.01097608200321741, 47.731924946889805]","[0.01179041450975268, 0.01142314277150654, 47.728824777720035]","[0.011009340843040238, 0.011718161323215884, 47.732403469865574]","[0.009581162717627286, 0.011425733087192221, 47.73638363184659]","[0.008091144549189477, 0.01127404492654304, 47.73743636671957]"
32,32,32,0.0803078305592235,0.0198654944512133,0.0363682775666145,0.0089169665743476,45.249273526310574,"[0.006136501472677203, 0.001552770228569121, 45.24926435920747]","[0.006181627861068021, 0.0016292412470387458, 45.24926331847217]","[0.0062333016353243965, 0.0016948700294383183, 45.24928117711661]","[0.006340441721399178, 0.001755405847602936, 45.24926796886584]","[0.006325716283366944, 0.001802486328326472, 45.249284681474656]","[0.006317760444183915, 0.001853112062411708, 45.24927815388566]","[0.006465086248877033, 0.001885212079210707, 45.2492608523778]","[0.006481231841013777, 0.0018806772765105216, 45.24929187130299]","[0.006311638879503446, 0.001865713002167726, 45.2492755058038]"
33,33,33,0.0081611694483126,0.0206343608095114,0.0029185368347287,0.0110049798247789,45.577821014357006,"[0.00022778742792219485, 0.0017145425042440633, 45.57782211110897]","[0.0002990917939713426, 0.0018285096653064832, 45.577818856904685]","[0.00033615437207725607, 0.0019656426483228464, 45.5778215310173]","[0.0004605501323187615, 0.002058380383309661, 45.57782108141533]","[0.0005789230234839696, 0.0021401749590899, 45.577813792136354]","[0.0006339895604190491, 0.002323338312959575, 45.57781742384292]","[0.0007364909922400863, 0.002432970112649034, 45.57782317671906]","[0.000881327834743947, 0.002415370435762547, 45.577810332471]","[0.0009279638757979751, 0.0024291965139225063, 45.57782371583027]"
34,34,34,0.1663008380295508,0.2211109112848494,0.0614468537768122,0.0804798206269541,45.42435362123425,"[0.010675279266325345, 0.015251132489756895, 45.42969126948838]","[0.010505031488628344, 0.01497122985739513, 45.432646210033276]","[0.010274527784928851, 0.014924048117608873, 45.43357141864404]","[0.010123482412606556, 0.015007665872973638, 45.42939754656653]","[0.010163478337625079, 0.015156798486206092, 45.43286213846777]","[0.010951907627286856, 0.0153955917619602, 45.43157349063651]","[0.011339153136500805, 0.015767600026385643, 45.417605288994515]","[0.010351191015121216, 0.016112196211396018, 45.4057314386671]","[0.010761689370498416, 0.016583949455263227, 45.40801600619458]"
35,35,35,0.0088962465872341,0.1794945083515109,0.0077193629320549,0.133160655965448,38.93897138465444,"[0.0028340359782528593, 0.029900001721730518, 38.939292548034835]","[0.002822023625890795, 0.02957150499042664, 38.9390540999517]","[0.002674492691325538, 0.02936124180894205, 38.93871060507404]","[0.0025798805248322416, 0.028216178226666905, 38.93873474866135]","[0.0027490706764405942, 0.029051160992335685, 38.93900371703217]","[0.002893721554584599, 0.02881777555427386, 38.939060188486316]","[0.003273031239904539, 0.028571297889548142, 38.93883842523422]","[0.003939721120151467, 0.02740425347317295, 38.93904577356599]","[0.004760612963238445, 0.027128638757854182, 38.939008729347535]"
36,36,36,0.0560117221493838,0.0341889134979267,0.0245523336749746,0.0149236380503994,44.33509619880161,"[0.0047063052770059954, 0.0020882815252365452, 44.33511078026438]","[0.00457548941038533, 0.0023203841504491236, 44.33514513295988]","[0.004487767385916092, 0.00253733639252905, 44.33511452981914]","[0.004303663945741805, 0.002720714731208612, 44.33513354467799]","[0.004192826481747575, 0.002889527421893411, 44.3351344241395]","[0.00418587425499146, 0.003077772699156432, 44.335096977824286]","[0.004016935926716234, 0.0032734705780667933, 44.33506831336086]","[0.003865293358242743, 0.0034483528500900596, 44.3350085662802]","[0.003922132465397773, 0.0035853071721608783, 44.335053872902165]"
37,37,37,0.1372907976072551,0.4440295700617785,0.0120334069261337,0.1131743286862248,45.84624561735869,"[0.0026565471019866518, 0.02134192617239169, 45.84624341797186]","[0.0024875040486543806, 0.021374960662876568, 45.84624701587275]","[0.0023055596118786376, 0.021310931451934318, 45.84624851603947]","[0.0021950902690512503, 0.02128026256973823, 45.84624447026682]","[0.00202656098971162, 0.021349188391747063, 45.84623344539314]","[0.0018105634476554553, 0.021416204401066195, 45.84624371786288]","[0.001707824564828239, 0.021407418819465663, 45.846255182429]","[0.0017250541937919518, 0.02139713302725892, 45.84625197718892]","[0.0018521070970395424, 0.021418007490363315, 45.84624378788443]"
38,38,38,0.0141391128311112,0.0224807549255984,0.009035647244025,0.0120027670461175,42.95447101655044,"[0.002123951818583441, 0.0021199705288669486, 42.954487311988586]","[0.001949723306545577, 0.0022140987525232207, 42.954491622081854]","[0.0019019961898079144, 0.0022922128955296, 42.954446568710644]","[0.0017914073519106743, 0.0023647588457264587, 42.95448529894563]","[0.001590137085548664, 0.0024487456182572735, 42.95448912798239]","[0.0015343440433843553, 0.002555868639136563, 42.95444391175297]","[0.0015247747050160462, 0.0026619137112622107, 42.95448611183589]","[0.001303777541914665, 0.002744486425909921, 42.95448576631153]","[0.001047944518517007, 0.002808622592383184, 42.95444603156135]"
39,39,39,0.0691076791000905,0.0399707353225943,0.0325528796582936,0.0312451819132337,44.158921071787546,"[0.0051525204922524, 0.005737681740606957, 44.15893340578433]","[0.00526845773025042, 0.00592250810211315, 44.15896881731352]","[0.0053059970810460065, 0.006048732451072422, 44.15893968893391]","[0.00550420551852955, 0.006094326040796783, 44.158986738461145]","[0.0057103547848502655, 0.00608761782932806, 44.15898472673631]","[0.005772834636418909, 0.006107157022328992, 44.158893724535496]","[0.0059449368301189515, 0.006160556985344618, 44.158874720804114]","[0.006183869708398939, 0.00621598971571534, 44.15893484536063]","[0.006155249088003931, 0.006224052966100761, 44.15887352437456]"
40,40,40,0.0949445007345139,0.2027479599036659,0.0317573754455243,0.0658220115405535,45.59040202173416,"[0.005183315471780269, 0.012313845660966546, 45.59036748818806]","[0.005169910248171344, 0.012314169457826655, 45.59036959212659]","[0.005120882352550003, 0.012392234129920389, 45.59037070820029]","[0.005245265890699587, 0.012489102210174803, 45.590385867923835]","[0.005428040350131929, 0.012506384556854594, 45.5903714673673]","[0.0055325794603112936, 0.012478446382627878, 45.590360310866515]","[0.005717814903753567, 0.012521334100426627, 45.59047752246533]","[0.005987905697036636, 0.01261626596547755, 45.59054932710252]","[0.006012459023785653, 0.012738577503215723, 45.590424123503745]"
41,41,41,0.0733250704396767,0.0382067719292719,0.0436606128843926,0.0027558733965734,42.8755031393506,"[0.006980688436033772, 0.001061788584295458, 42.87551280223232]","[0.007225545580526666, 0.00075939123842192, 42.87542308254762]","[0.0073848474948496655, 0.0004503781808579351, 42.875559557955235]","[0.007654518306776618, 0.00018615558558849075, 42.8756066883438]","[0.007822572547083424, 0.00020193118722477158, 42.87545774225591]","[0.007850626069197349, 0.0004752846183507077, 42.875466133766224]","[0.008147610842074816, 0.0007947324079290816, 42.87557001592395]","[0.008614566159930255, 0.0011014366112099537, 42.87555934618806]","[0.008683284199532314, 0.0013843856953303897, 42.87541174147306]"
