,Unnamed: 0,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,0,0,0.0177450393169344,0.0254501177046199,0.0100203272337013,0.0123576765892786,42.570596282171664,"[0.001145916583034868, 0.0019348567042809452, 42.57059112947954]","[0.0013230081696032436, 0.0020903376540866193, 42.57056711322148]","[0.0014286347119637712, 0.0022433465479128225, 42.570591612882204]","[0.0016544618723438648, 0.0023856034845171187, 42.570589591198235]","[0.001834856228103833, 0.0025262129708152167, 42.57059195091453]","[0.0018786872031040735, 0.002684919559885274, 42.5706027697846]","[0.002149198484511632, 0.002968315998437987, 42.57060826560215]","[0.002408320782716349, 0.0030388110544973825, 42.57062599365599]","[0.00250608078150146, 0.003177955477911068, 42.570599045503435]"
1,1,1,0.284578930871008,0.1541934753665746,0.0794957634692996,0.0551401621528674,51.96827440014128,"[0.0142047794123868, 0.00996016064024806, 51.97726511206668]","[0.014696788043563327, 0.009894094091975121, 51.96689381309814]","[0.015274651843541527, 0.009939681549822362, 51.967405156797014]","[0.014293859702537486, 0.01015353125251493, 51.96512159890061]","[0.013478900666946927, 0.010436258922045857, 51.9637445940542]","[0.012916647946149742, 0.010802022425175493, 51.967065386050294]","[0.01236125958749772, 0.011070176814824563, 51.96820332995457]","[0.012102238731850422, 0.011007825865863812, 51.96585782493827]","[0.012529711339633785, 0.0107898961678066, 51.964733530778354]"
2,2,2,0.1698075831844911,0.0505026280869888,0.14820783678416,0.0329857113053014,47.96202112081945,"[0.034478752248992973, 0.007652920668631418, 47.94375735235155]","[0.031774147246456955, 0.006429489338200209, 47.95807336996493]","[0.031358281756225556, 0.0058158079511311045, 47.96394004096893]","[0.03081283186915649, 0.006395060984999702, 47.95849819740073]","[0.03282447990404028, 0.0074318201212197664, 47.955272284995964]","[0.03385658582700071, 0.007146588073437233, 47.959960039825575]","[0.026943599664187075, 0.005585421855281945, 47.966833565757874]","[0.021251279161737777, 0.004923876999822843, 47.97391914620235]","[0.020930329933013945, 0.004985565018138833, 47.980272456142586]"
3,3,3,0.012744495825569,0.0490596475937865,0.0070705871337234,0.0165627581067171,42.90364843835488,"[0.0006681663297225156, 0.0021828992499816255, 42.903611821076744]","[0.0008232539758501065, 0.002405049122439171, 42.90361578455731]","[0.0009256739456725873, 0.002658669352357255, 42.903659402081985]","[0.0011467577627633583, 0.002914605087269966, 42.90369066609937]","[0.0013020845307926696, 0.0031647232289355623, 42.903695665489515]","[0.0013323753492584158, 0.003424105233645575, 42.90368345307885]","[0.0015664753643598367, 0.0038507173500231333, 42.903654153118985]","[0.0018156718758954896, 0.004013316175957314, 42.90362821748911]","[0.0019017077510549059, 0.004271509191552454, 42.90361917976357]"
4,4,4,0.0152615954061079,0.0462483638797859,0.0081525586448097,0.0170262483352419,42.98051348886839,"[0.0008336696769240117, 0.0022351413070841536, 42.980512967224115]","[0.0010035231666539058, 0.0024922120676914537, 42.98051400209426]","[0.0011006455566445247, 0.0027649157332611607, 42.98051174304162]","[0.0013177623542400712, 0.003027022700339983, 42.98051236325669]","[0.0014867153739870867, 0.003277867742909776, 42.98051303434343]","[0.0015202544720890662, 0.003535825541250296, 42.98050882829292]","[0.0016929237557134623, 0.0038218325467863196, 42.980506892191215]","[0.0019978045794605435, 0.004113427034992579, 42.98051408685317]","[0.0020967478143344973, 0.004353632709835503, 42.98052139542431]"
5,5,5,0.1357045605114741,0.0228028126273612,0.0578180130617144,0.0095128160626358,46.50437588505711,"[0.010116485948502646, 0.0013113646909960128, 46.500356658935054]","[0.01007472624176247, 0.0014593102747500093, 46.502949527504185]","[0.010098498217303152, 0.0016244092166594704, 46.50403058411068]","[0.010124730259623547, 0.0017871868550297849, 46.50578078908779]","[0.009986573978465824, 0.0019261341225245117, 46.50586164935303]","[0.009980326869878573, 0.002039414871900674, 46.50588266095838]","[0.010093519418337998, 0.002096277613150816, 46.50548764380954]","[0.009956502307852312, 0.0021014708440915855, 46.50425000227239]","[0.009696810198715959, 0.0021079631497911357, 46.50614267216159]"
6,6,6,0.0448679601505787,0.0352533182517246,0.0448984435259581,0.0079179250729375,42.30505449356144,"[0.010815867553675723, 0.00046653940038756346, 42.315323764312986]","[0.010836928817686367, 0.0006589471708534189, 42.3151052596762]","[0.011019900137708708, 0.001056903458101297, 42.31503615689453]","[0.011468544766577111, 0.0013116733842619551, 42.31495493133586]","[0.011167326409507248, 0.001440092001858989, 42.31549808721324]","[0.010655351543426204, 0.0019372237538759082, 42.315760489933965]","[0.013854974116753144, 0.0023242413746888224, 42.312105052122206]","[0.01708642657972765, 0.0023582529004499337, 42.28408879038543]","[0.012020098075591623, 0.0027843042245628605, 42.2673647444285]"
7,7,7,0.2127480531136759,0.217107964246826,0.0367158365439982,0.1852070990199236,39.40619184053589,"[0.006558934657723635, 0.03500597621997838, 39.40876329775237]","[0.006276557293760016, 0.036697357367188904, 39.40629021506511]","[0.006198526188843959, 0.03771182943291969, 39.40064826103467]","[0.01281204624017743, 0.041141153940547244, 39.39861196175938]","[0.02170941145867205, 0.04668688818750158, 39.411152008089076]","[0.008348352017723154, 0.03868693299297101, 39.415619196880115]","[0.006022568585888427, 0.03709351286327055, 39.40715789313076]","[0.005820488129127407, 0.038992179495705416, 39.40143329250326]","[0.0063712250692754355, 0.03632605513668115, 39.40304745217742]"
8,8,8,0.0190903867133022,0.0292741545377019,0.0111664133244022,0.0172716933813577,42.78250024408396,"[0.0014214756726667738, 0.0025257683431537652, 42.78253311106715]","[0.0015687005996160098, 0.002786586220425226, 42.78252423773325]","[0.001668721656241781, 0.0030297120684800055, 42.78250354023081]","[0.0018900537498368248, 0.0032405867541702086, 42.782486658334996]","[0.002039533249032667, 0.0034346629484598595, 42.782481080922864]","[0.0020697783400696695, 0.003641295397047623, 42.782481021581404]","[0.0022681787901283313, 0.003867287838387327, 42.78248848675284]","[0.0025514680259858384, 0.00409105520084312, 42.782494658551755]","[0.002595986842248886, 0.00425269170556844, 42.78249404748167]"
9,9,9,0.0468418749038149,0.0287731115150258,0.0263346476072047,0.0054497770342138,43.59321679415001,"[0.004069170518121989, 0.0009307620823276076, 43.59317143782557]","[0.004246546061378739, 0.0009428567045679854, 43.593219692978444]","[0.004359519089482296, 0.0009901096416594984, 43.593202077169]","[0.0045634700443546485, 0.0010599615552529535, 43.59315487508515]","[0.004655337676846178, 0.0011362750615953611, 43.59312314855775]","[0.0046948432262748875, 0.0012467570241604339, 43.59321319526345]","[0.005009631654134694, 0.001400015279385316, 43.5933753358025]","[0.00534235013772996, 0.001574487388562027, 43.593375005479814]","[0.005232230993547406, 0.0017147666578925106, 43.593214086667565]"
