,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,1,0.11794762285731557,0.1687857691831819,0.1149360320257009,0.16768197248741992,2.7634041034578134,"[0.11482785660472007, 0.16769884928229506, 2.763409887015673]","[0.11518700496940332, 0.16763284900503475, 2.763443289332575]","[0.11506910029339576, 0.1676346452295601, 2.7634320187963084]","[0.11538190739303997, 0.1676780914384429, 2.7633724026968003]","[0.11484193473124532, 0.16760860849775827, 2.7633342155007865]","[0.11566149450475165, 0.1676705602150504, 2.763351073600507]","[0.11487817694908886, 0.16765468567305933, 2.763420891525375]","[0.11482534218451076, 0.16762074187097728, 2.7634512352545735]","[0.11572092470418752, 0.16767008716597998, 2.763423518462328]"
1,2,0.2867089223418955,0.5464963367834444,0.27927568663718366,0.5462419587495939,2.7671349477113907,"[0.2791899920740127, 0.5461799482791694, 2.767098055627778]","[0.2761413516379067, 0.5459964296931074, 2.7670047836110587]","[0.2752720491896099, 0.5458934057607913, 2.7673879264942554]","[0.27626793279350875, 0.5460309400195378, 2.7677909234158924]","[0.2737586462329427, 0.5458689176856448, 2.7675094993186904]","[0.27734919788137913, 0.5459498092531256, 2.7670446377718525]","[0.2769803233052886, 0.5458668134324881, 2.7669708052851028]","[0.27434314154118755, 0.5456770624878354, 2.766801703571379]","[0.27733187410185983, 0.5458612492886187, 2.766714946291948]"
2,3,0.23584015019419505,0.23004380634291616,0.23362560085305112,0.2292405163286197,2.6658822808627423,"[0.23330171599843294, 0.2292086717922554, 2.6658293629159626]","[0.23315493482537805, 0.22920820283787227, 2.6658888459237957]","[0.2331697204318533, 0.229217618736372, 2.66587975486105]","[0.23316111514973795, 0.229246634110211, 2.665861230527129]","[0.23312182126997152, 0.2292529863664739, 2.66587419308064]","[0.2332641690939764, 0.22926699403622, 2.6658828049383083]","[0.23313412229633784, 0.2292455008590395, 2.665915793406465]","[0.23330393639677505, 0.22925367590257498, 2.6659203809806074]","[0.2331922243718261, 0.22923943352649231, 2.6659103459556683]"
3,4,0.10263428415382203,0.11376951623146714,0.09790296369943298,0.11206316654584243,2.3583943622179326,"[0.09923022923803035, 0.11207607047251444, 2.3583922162485695]","[0.0981047532059315, 0.11226446272309662, 2.3583888419745227]","[0.09855424813599425, 0.1120802501963749, 2.3584059856220736]","[0.09874768059238835, 0.11188904090097142, 2.3583955581495686]","[0.09718545637389275, 0.11185698570337925, 2.3583928629310122]","[0.09777093988332274, 0.11220107767579418, 2.358395992992588]","[0.09784752724730279, 0.11235168435532053, 2.358385512516167]","[0.09668122712183586, 0.1121907899152161, 2.3583904115037706]","[0.09752417074259451, 0.1119576440817695, 2.358389034642191]"
4,6,0.16436793605940084,0.24979252456208037,0.15861485089479885,0.24906625203298263,2.4220718470236533,"[0.15694416804802433, 0.24813636598183808, 2.4220817443134934]","[0.15866744654744616, 0.24826686188925853, 2.422074136235172]","[0.1555886239381964, 0.24863365150832378, 2.4220755937170684]","[0.15830792787765025, 0.24888552162354796, 2.4220701401551725]","[0.15551421691684902, 0.2491149152506618, 2.422067306545318]","[0.15720313753587528, 0.2493630794227443, 2.422067420134096]","[0.1560134132979531, 0.24952133829827336, 2.4220659519172494]","[0.15731769084442682, 0.24959411469430917, 2.422070370063708]","[0.1564842004790461, 0.24934448007318605, 2.4220711545666855]"
5,7,0.21750771032155072,0.11692573054384153,0.21496739287477684,0.11529538834552881,2.382675896769703,"[0.2116324938430569, 0.1116091757159123, 2.383041534877062]","[0.2108933424591209, 0.11101079031584353, 2.38293836371574]","[0.21217399579760382, 0.11175177893542311, 2.381978389044355]","[0.21411486334817068, 0.11329757243191037, 2.3813189271934596]","[0.2160476014740267, 0.11550488598444389, 2.3823447499699695]","[0.2169322209542003, 0.11723878429014814, 2.383261323724033]","[0.217202451285564, 0.11785997249220333, 2.3831600016262535]","[0.21765006653785257, 0.11864731996267738, 2.382838496406046]","[0.21735356164910563, 0.11966652190275667, 2.382867580750517]"
6,8,0.15444706198289126,0.10105630791029359,0.14641589064374821,0.09909049572028382,2.1985228188486,"[0.14468336920934033, 0.09910015022337991, 2.198457516053634]","[0.14493337828796346, 0.09874756320297967, 2.198480956828472]","[0.1454928088995302, 0.09850665363847239, 2.1985881550343644]","[0.14545611687293117, 0.09839400837854376, 2.198583757977672]","[0.14477747336983643, 0.09826623434904347, 2.1985602773123087]","[0.1443985697040972, 0.09851942437421504, 2.1985603516956638]","[0.1446701433980564, 0.09950709125725023, 2.19851464350417]","[0.14616242760932888, 0.10051578441734674, 2.19846323178872]","[0.1475516466768533, 0.10001220238282664, 2.198501319545279]"
7,9,0.13082243578318695,0.08473029566683483,0.1276118756983204,0.0823913519892333,2.383282759786809,"[0.12681271240847125, 0.08241120367632038, 2.3832996242795423]","[0.12710182649639712, 0.08235991100020262, 2.3832729423231314]","[0.1272545918892248, 0.08232809078511054, 2.3832638721372574]","[0.12781492331282432, 0.08241076928872035, 2.383279894175092]","[0.1281724560871182, 0.08250027906718214, 2.383303958596923]","[0.1282489332758447, 0.08247975389879468, 2.383282466280574]","[0.12834616565351092, 0.0823766806738199, 2.383262486998821]","[0.12808027023737498, 0.08230422546944484, 2.383290444568273]","[0.12800805641193364, 0.08230916777998355, 2.383288023905842]"
8,10,0.13779333287541962,0.09100260069768144,0.13551386449535419,0.08887237299792464,3.1373512352688113,"[0.1355714808127377, 0.08887582600755282, 3.1375426387166265]","[0.13497721648848113, 0.0888652262352443, 3.1381421430493956]","[0.13508958321013753, 0.08885608077429161, 3.138092042743992]","[0.1355701834059633, 0.08885342357546039, 3.1373886811014864]","[0.13582677580365976, 0.08886113762748192, 3.1369289875941893]","[0.13578634158574096, 0.08889003468965183, 3.1370486661557715]","[0.1356561545349776, 0.08886679303651246, 3.1373712234555167]","[0.13573129943777462, 0.08888694997337507, 3.137115846143153]","[0.13583853836204826, 0.08889006550013788, 3.136821286935614]"
9,11,0.07856188180192981,0.0714469022436926,0.07461828524074053,0.06860632363136823,2.449023771870809,"[0.07504083707769495, 0.06857038300021406, 2.4490183060062547]","[0.07498137910326105, 0.06853775484442812, 2.449025821007617]","[0.07448131455562507, 0.06860530344022125, 2.449034353122526]","[0.07499866959347704, 0.068624727905724, 2.4490407577620608]","[0.07483304957907544, 0.0686313833605309, 2.44904143606059]","[0.07456452623239741, 0.06865238568121615, 2.4490394244184843]","[0.07519480895567723, 0.06860340002403006, 2.449028533018495]","[0.07490591643512165, 0.06857633589265301, 2.449009215409296]","[0.07452493658581258, 0.06854388371011691, 2.448992398132225]"
10,12,0.17932919576165776,0.16395048358437456,0.17496220563982076,0.1627867279843566,2.3312245755223944,"[0.17576181947534525, 0.16274363529933125, 2.3312051334258674]","[0.17382131745517318, 0.16278110255991732, 2.3312382615365626]","[0.17566990614471742, 0.16305110194462863, 2.3313153613197075]","[0.17421762147821016, 0.16311678734781748, 2.3312505899527385]","[0.17491535369375116, 0.16266858193170117, 2.3312099714270524]","[0.17452896407183352, 0.16256367712856437, 2.3312284176953355]","[0.17391987181467908, 0.16286648847855884, 2.331159002681729]","[0.1748542402379104, 0.16279143796702772, 2.3311616302971174]","[0.17333108191459623, 0.16256948862262413, 2.3312293595559175]"
11,13,0.13223730697992653,0.2772434773278773,0.1265551930554226,0.2766281374138806,2.572882982438281,"[0.12632980454326692, 0.27678810510499585, 2.5728915963624277]","[0.12648390643904714, 0.2766536419595947, 2.5728782159686285]","[0.12609626490242876, 0.276519277397787, 2.572893194443337]","[0.1259938713309637, 0.2766521050110891, 2.5728792066868964]","[0.12536977910306682, 0.2767327306379932, 2.5728655216872514]","[0.12540087531604527, 0.2765090531136753, 2.572882690047968]","[0.1250137752652425, 0.2764369314580167, 2.572880738852963]","[0.12513489376965645, 0.2766184306365185, 2.572866723960682]","[0.12515500320579045, 0.2765859507999993, 2.57288481499195]"
12,14,0.20105633277887477,0.14695616123445937,0.19835749164424335,0.145672971956553,2.584126426243026,"[0.19849747930290523, 0.14563382313003997, 2.5841496448492034]","[0.1985831573697197, 0.14563691118748465, 2.5841211438060654]","[0.1980001764032413, 0.14561068060388555, 2.5841062235312875]","[0.19850036206183266, 0.14559785339440418, 2.5841013458171327]","[0.19804960868455715, 0.1456083143698629, 2.5841034083635206]","[0.1981483487968929, 0.14567221879656966, 2.584117170835773]","[0.19849192157666815, 0.14572382216320737, 2.584127911279498]","[0.19814979493080556, 0.1457610766180225, 2.584139575318996]","[0.19875980826225503, 0.14576596238532674, 2.5841364261592]"
13,15,0.15163528344675672,0.2274283638420189,0.14868718712018159,0.22663460351651363,2.640069901956808,"[0.14866785365354834, 0.22663651215316868, 2.640056469713913]","[0.14856530447528699, 0.22675401937653122, 2.6400325437771595]","[0.14853619672319132, 0.22671659871052527, 2.6400799600839018]","[0.14909402461984417, 0.22657592960422238, 2.6400927161763685]","[0.149206408876555, 0.22654866740406465, 2.6400816144599903]","[0.14883949116380055, 0.2265523487164306, 2.640077874006202]","[0.14874310596242316, 0.22653138212277701, 2.6400626933947593]","[0.14856356443240307, 0.22662005659365558, 2.6401003276513513]","[0.14844339336311066, 0.2265472967468797, 2.640072191240527]"
14,16,0.10617667472661046,0.04892689483831885,0.10291752432794277,0.04445970714353979,2.9182527211848006,"[0.10267629765082008, 0.04442670163761356, 2.9182491806820914]","[0.10255725051105057, 0.04446419108225049, 2.9182464924956357]","[0.10262903003868161, 0.044551656623923595, 2.918250686816612]","[0.10278004167721408, 0.044474749560817844, 2.9182527589730607]","[0.10276688626034772, 0.04438790347049168, 2.9182465219342286]","[0.10282684275217858, 0.04448863252113079, 2.9182497023526692]","[0.10351858932041194, 0.044498384422367726, 2.9182578332079374]","[0.10293348180965868, 0.04441994024121011, 2.9182458438016066]","[0.10348015514531275, 0.04442350193504203, 2.918260573905933]"
