,Objname,ObsSMA,ObsEcc,ObsSin(Inc),Obs_h,PropSMA,PropEcc,PropSin(Inc),Prop_h,0_2PE_a,0_2PE_e,0_2PE_sinI,0_2PE_h,1_3PE_a,1_3PE_e,1_3PE_sinI,1_3PE_h,2_4PE_a,2_4PE_e,2_4PE_sinI,2_4PE_h,3_5PE_a,3_5PE_e,3_5PE_sinI,3_5PE_h,4_6PE_a,4_6PE_e,4_6PE_sinI,4_6PE_h,RMS_err_a,RMS_err_e,RMS_err_sinI,RMS_err_h,Delta_a,Delta_e,Delta_sinI,Delta_h
1658,2004 MN10,40.32812209500871,0.11377939509801911,0.1366946938517486,6.30981102802296,40.32812209500871,0.10908830455732674,0.09869207964544151,6.269138509224755,40.16864604108355,0.13267888418368165,0.11152040232667698,6.252265087316802,40.336235137150574,0.124602822634689,0.11700831402802295,6.266128505659349,40.32331043319741,0.11277455288146629,0.15891321696504396,6.232197973787226,40.34275294488533,0.10487763371844039,0.16871226811822992,6.2261326960616294,40.35720405129455,0.09101197419547778,0.14705482588685642,6.257086840601406,0.07291283462772082,0.015200576392042269,0.047683157828764394,0.027030051162317315,0.02908195628584309,0.023590579626354913,0.07002018847278842,-0.0030100035654054835
1659,2004 MO10,-84.37905379203588,1.0602935187284523,0.0950897290250995,3.2375660715795194,-84.37905379203588,1.0556405188459108,0.03274033238706583,3.3844316504013494,2.595487663809343,0.49934970086025793,0.2657616504368305,4.795889971919589,-59.01679128957278,0.3871845286071477,0.12416355999956094,2.639084268246289,-84.37905426342022,1.1002008298628648e-06,2.990554738737339e-06,,-84.37905393633464,3.1814063279073647e-07,3.1393605203106243e-07,,-84.37905372374364,5.686627739841762e-07,7.150525327167654e-07,,40.51620717860541,0.9054743955547603,0.11478036950138006,1.1286623306969379,86.97454145584521,-0.5562908179856529,0.23302131804976464,
1660,2004 MP10,39.40382162408204,0.20030561398680602,0.034053785789247275,6.149966999228157,39.40382162408204,0.2003273440393594,0.019842144585518653,6.161388929857393,39.40378847636053,0.20032728110372638,0.020296541097247926,6.161305640036916,39.403784948719775,0.20029395433208888,0.02027285876978619,6.1613509512612,39.40379984338361,0.20034709764826247,0.02025564493142204,6.161284464273067,39.4037849242923,0.20036090591396905,0.020085318861156064,6.161287799861127,39.40377273402033,0.20026892967454543,0.020053880525379257,6.16140359453681,3.648387359937795e-05,3.476699302825314e-05,0.0003652230198176545,7.711673649690533e-05,-2.1780698432394274e-05,3.356187460964999e-05,0.0004543965117292728,1.466467941657612e-05
1661,2004 NN8,-739.0368048846391,1.0028118941827608,0.2036803666170875,2.0401054321135605,-739.0368048846391,1.002683100505692,0.005038086478457139,3.918563432749714,-713.919606071046,0.04034285023473043,0.011796316745539872,13.300579703151394,-739.036804883265,4.404162837576969e-05,4.73967081230535e-06,,-739.0368049974861,0.00016179257747568336,1.739105647939214e-05,,-739.0368045667431,0.00023201316439344917,2.490568050818469e-05,,-739.0368046127563,0.00046622351243321775,4.999796379031102e-05,,11.232752790314233,0.9945631868885899,0.005407932094475395,9.38201627040168,25.117198813593063,-0.9623402502709616,0.006758230267082733,
1662,2004 OL12,44.06343620499461,0.008880973525112811,0.04667836269733546,6.637739772530261,44.06343620499461,0.008835033910754428,0.037617101404400374,6.644412823695824,44.062885055418,0.00860931306583818,0.038034720271444084,6.644068447497818,44.062885579069246,0.008030899223109221,0.03816483177615224,6.644079811418843,44.06288433381717,0.007666113814436622,0.03834444912196985,6.644065353565083,44.06288444160745,0.008519112332573258,0.03840910567817469,6.643980851583565,44.062883862835285,0.00854266229381594,0.03811661003952078,6.644048254956432,0.000551550769800374,0.0006707077296753471,0.0006132256398325921,0.0003659884986287906,-0.0005506259253635903,-0.00022572084491624678,0.0007920042737743146,-0.0003330122769815702
1663,2004 OJ14,55.23463018433295,0.28948733443834734,0.35687476008326,7.11558064134699,55.23463018433295,0.28854587401065557,0.3554545407230212,6.661469121593334,55.19550161207618,0.28571983493347514,0.3557162953199877,6.662129507839474,55.19445722846557,0.2859015491804692,0.35568391532987226,6.661821410300627,55.240173147038234,0.2869567878415374,0.35549617042837606,6.662852064665857,55.35253049771782,0.29027924484136625,0.35495637779124695,6.66447053193273,55.38388503456817,0.29313130702534784,0.35481108034713216,6.6602650381388955,0.08871654885140413,0.0028821837517813485,0.0003962496116344551,0.0016081685147958933,0.14925485023522356,0.004585433014692275,0.0002617545969665347,0.003001410339396493
1664,2004 OL14,42.16468816578894,0.34456735526710247,0.2663442105773061,6.218525618968296,42.16468816578894,0.3396876155315143,0.2528889210602639,6.078930199375039,52.18253520839816,0.3891753590943132,0.2736285004823019,6.380185314117701,50.56506807802392,0.3840341616187967,0.21971627186627235,6.3627275623210275,39.955226723686685,0.2905124114077298,0.18846454223077225,5.842420218344328,34.33017630666334,0.2762352208696378,0.27883966682333355,5.30652636817236,13.700478035329771,0.3758127930550863,0.3245108824397934,4.810779908739032,14.473397640670596,0.0493256291452239,0.04792536270958583,0.6974303401197319,10.017847042609219,0.04948774356279895,0.07162196137952953,0.30125511474266187
1665,2004 OP15,38.601869540979635,0.05575075083222568,0.4159926832350189,6.203242792865288,38.601869540979635,0.05585934813881684,0.41551122263517654,5.655948228891917,38.59825984209078,0.054708778406996256,0.41525368028176285,5.656016053345051,38.59536657449605,0.05608491814986816,0.4157297749740531,5.653985649489063,38.60312104019703,0.05732774656778912,0.415180364164455,5.655709681181894,38.603925005673126,0.05585654748280748,0.4152923217433224,5.655949211681122,38.60310107903944,0.055369353431257484,0.4158947449146929,5.654354326940973,0.0035391063997829136,0.0008684456391721825,0.00028933283796294496,0.001136111567937657,0.0020554646934911602,0.001468398428972277,0.0003835222795163795,6.782445313380236e-05
1666,2004 OQ15,43.668593171780834,0.05908902714699903,0.16063040432364054,6.596416322880029,43.668593171780834,0.05426937851456582,0.1671495734948065,6.514904020380364,43.669170548873836,0.10240848367673712,0.14441956162572608,6.510677689801851,43.669112804983435,0.09315562175560406,0.14803143844763245,6.512123443422278,43.66892787135952,0.07371095374311244,0.1595393784338293,6.511957437018309,43.66877303989352,0.048194511065257135,0.17045240899105324,6.5150900185820255,43.66873175777313,0.04026994189503785,0.17174116567385042,6.515974699906665,0.00039165428529870677,0.029800592097385812,0.01394319215366817,0.002662960077331516,0.000577377093001985,0.0481391051621713,0.004591592179043924,0.0010706795263013547
1667,2004 OS15,55.823576199300746,0.3170754775767173,0.05704157094298935,7.0846889102767285,55.823576199300746,0.3169150702517832,0.0504918218891329,7.085229641212918,55.80369632526556,0.31667816287058326,0.05043159006942952,7.085303198992059,55.80325805269874,0.31683088823741284,0.05091129412598838,7.084713653279738,55.80343033637702,0.3168476332408995,0.05071046800456753,7.084749646063672,55.803955276575756,0.31670422901441647,0.05040961912736871,7.0852568137745635,55.804202615549094,0.31681452420100487,0.050952730772951184,7.084789718398324,0.019870624660031692,0.00015641163955977527,0.0002988595812806591,0.00037318093956337825,-0.019373583751651324,-6.743701088374188e-05,0.0004609088838182854,7.355777914064277e-05
