,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE,RMS_err,Deltas
631,2014 TF116,42.27156008166107,0.19394778536817786,0.14038186012974233,42.27156008166107,0.18970515363985874,0.13850884848696965,[42.27099226  0.23051955  0.04643098],[42.27108972  0.22150164  0.07764383],[42.27187497  0.20705042  0.12060217],[42.27207617  0.19245304  0.14290917],[42.27177416  0.15896054  0.17014433],[42.27164929  0.14102563  0.18039188],[42.27158028  0.14823536  0.17165666],[42.27165367  0.15325972  0.17201034],[42.2716134   0.16295463  0.18170681],[0.00026319 0.09138583 0.01691653],[0.00051609 0.0408144  0.04319796]
632,2014 TQ115,42.27070048022139,0.22847705928747258,0.22721311971861047,42.27070048022139,0.21587834168995587,0.22621694846880977,[42.27076616  0.22498638  0.22743907],[42.27071411  0.22355667  0.22764968],[42.27062455  0.22362872  0.22729155],[42.27067806  0.22304813  0.22909154],[42.27061198  0.2252082   0.22522335],[42.270444    0.23805725  0.21402498],[42.27056637  0.23328255  0.21702588],[42.27079717  0.22507116  0.22836261],[42.27089171  0.21751848  0.22938205],[0.00021022 0.09145246 0.01046184],[0.00019123 0.02217891 0.0031651 ]
633,2014 TR115,43.67374589068252,0.1393875792451993,0.1292776214538001,43.67374589068252,0.13576519360575473,0.12761754766340808,[43.66829972  0.11593436  0.13450735],[43.66837575  0.13819369  0.13430087],[43.66834818  0.1484078   0.13287403],[43.66798335  0.14746799  0.13012935],[43.66766718  0.14407451  0.1319387 ],[43.68335682  0.11076834  0.12722715],[43.70087183  0.09376512  0.12007747],[43.70412013  0.08439533  0.11840068],[43.6634967   0.08979584  0.11679146],[0.02880664 0.14908376 0.00231087],[0.03037424 0.0126426  0.0068898 ]
634,2001 QH298,39.4074674154293,0.11228313557046937,0.09972673503198555,39.407467415429316,0.11219623918775097,0.09764678282676387,[39.40747959  0.11128367  0.09729781],[39.40750709  0.11137783  0.0970182 ],[39.40741299  0.11124477  0.09760443],[39.40745942  0.11141433  0.09845499],[39.40751662  0.11146559  0.09855012],[39.40750304  0.11136217  0.09766279],[39.40748531  0.11129358  0.09686116],[39.40747334  0.111279    0.09699838],[39.40747734  0.11121849  0.09790993],[0.00010799 0.00782673 0.00046326],[ 4.92042916e-05 -7.30648855e-04  9.03332289e-04]
635,2014 TS115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
636,2014 TT115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
637,2014 UO250,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
638,2014 TU115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
639,2015 RX345,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
640,2014 UF224,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
641,2014 TE86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
642,2014 TV115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
643,2015 UK84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
644,2015 QV33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
645,2014 TW115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
646,2014 TX115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
647,2014 TY115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
648,2014 TZ115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
649,2014 TA116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
650,2014 TB116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
651,2014 UF277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
652,C/2014 UN271,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
