,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE_a,0_2PE_e,0_2PE_sinI,1_3PE_a,1_3PE_e,1_3PE_sinI,2_4PE_a,2_4PE_e,2_4PE_sinI,3_5PE_a,3_5PE_e,3_5PE_sinI,4_6PE_a,4_6PE_e,4_6PE_sinI,5_7PE_a,5_7PE_e,5_7PE_sinI,6_8PE_a,6_8PE_e,6_8PE_sinI,7_9PE_a,7_9PE_e,7_9PE_sinI,8_10PE_a,8_10PE_e,8_10PE_sinI,RMS_err_a,RMS_err_e,RMS_err_sinI,Delta_a,Delta_e,Delta_sinI
0,2013 RQ98,56.60819595100577,0.4320248003614998,0.6165780879083276,56.60819595100579,0.43195297796887344,0.6164680130567566,55.74391543460758,0.3941384575028694,0.6121577519333178,55.85083836840112,0.39488487280069173,0.6112626090859863,56.1192249538334,0.21994235060607722,0.6084948738540199,56.396287366248096,0.1441113525996365,0.6059820015117304,56.48231549287864,0.11761070747565586,0.6011665322257455,56.44081189974166,0.08877387781200591,0.6004525597531,56.627193704169024,0.2177859519160511,0.5973882420306406,57.17789579551631,0.3239400904008629,0.5970398821968151,58.067318343626525,0.2091513330106726,0.5911596994180431,0.6751452105360433,0.22468820854124907,0.015245519191693662,1.4591223926207348,-0.03706810516818171,-0.004310261123438797
1,2013 RQ155,51.20363597761058,0.31559520567149285,0.6091443083840734,51.203635977610595,0.31547092408015437,0.6090637684787031,51.21120111271214,0.1587524441299168,0.6087269055176854,51.19538022299001,0.07353452072781032,0.608902178597948,51.20335335095018,0.07548164779315639,0.6087103229005961,51.20757311467491,0.10444267243749973,0.6078780452830028,51.20610311556177,0.04474792809781051,0.6076427468724669,51.20434879012965,0.07050222396725199,0.6079223575480049,51.20077938289216,0.04472457972515626,0.6085914408382136,51.200546813992815,0.04855829169368821,0.609177491071138,51.19675838876086,0.034020205151577255,0.6087557159074884,0.004859913631359881,0.24546616173953048,0.0007690900214837853,0.007565135101543774,-0.15671847995023758,0.00011372259243491722
2,2013 RJ158,89.71991743810227,0.618381026717396,0.3314531989925075,89.7199174381023,0.6181706985092797,0.33017576613758326,89.7087525551026,0.5714321982007616,0.3191666370524266,90.02210930160611,0.5638190378786482,0.32789210882553643,89.929833398041,0.541667246902583,0.33207106423755434,89.59301084076282,0.5436578094160818,0.3410974642467915,89.85778109210968,0.5370351444181579,0.3410505862052588,90.34625145385388,0.5410639733573798,0.3308562596648543,89.98374232233402,0.5161742083125932,0.329742293407705,89.19017732985617,0.5674927281937299,0.3283469426858861,89.11983603270532,0.5626590500834605,0.32596090109263204,0.3761266191910875,0.07080885708344402,0.006577014034804158,0.6263340157515813,-0.046738500308518116,0.010921698109208233
3,2013 RR155,62.079420994956045,0.3875732828692488,0.5671368372286978,62.079420994956045,0.38747422192686715,0.5668933605548563,62.079162772414506,0.26656827985368536,0.5555627167636292,62.07907549791093,0.26600121695665,0.5564806558300557,62.078952174868554,0.26500074791949224,0.5559888737124441,62.07921957591153,0.26755911060009874,0.5555068870426263,62.07953051962105,0.26514274868216986,0.556443484580117,62.079700086771524,0.2655332733388833,0.5560985207351666,62.07998053270859,0.268769098365928,0.555554642761217,62.07985954500068,0.26400255292518177,0.5563565753357745,62.079469622007586,0.2661930516616624,0.5560567456844543,0.00034059916439787663,0.12139613277767632,0.010894027829641701,0.0005595377525438039,-0.11870512356093915,-0.010412704724800603
4,2013 QX103,50.415053952051,0.2604714366206804,0.5247561777906667,50.415053952051,0.2603748527603011,0.5244132381978954,50.415314554289225,0.25780294356589717,0.52018562248987,50.41507097965274,0.2578323104388015,0.5200915822182715,50.4152502525539,0.25786874000695,0.5201598454009427,50.415429154337865,0.25747907803582065,0.5203698960630379,50.41534191497541,0.2573454125136884,0.5204949179184742,50.415147631096985,0.25724455978274546,0.5204894526740365,50.41488211584663,0.25745015317450726,0.5204565142748038,50.41462432239887,0.2576833682835449,0.5204115782668444,50.41447982701972,0.25801878618140356,0.5202791334923772,0.0003132165366450794,0.0027501636145553163,0.0040892610804744624,0.00037520228686815926,-0.002356066578897531,-0.0039183202794211835
5,2013 RS155,50.43901607081102,0.27366977388719876,0.5458754894347398,50.43901607081102,0.273570642377551,0.5457970293269311,50.438533031300906,0.25027107812617105,0.5431339163253979,50.43807594520976,0.24945085034834613,0.5432291914602951,50.4393329943182,0.2489954348248985,0.5433557430505545,50.439644255141594,0.24937777825546595,0.5433366256021454,50.43809974744235,0.2490465898232205,0.5431877972738288,50.43921987868678,0.24930861992232203,0.543067059272518,50.44047311123653,0.24953904786852177,0.5430459079675223,50.43836294655396,0.25005027939979196,0.5430465843423026,50.438630061232764,0.24996937054652862,0.5430591123795058,0.0007595281455161952,0.024017793152210337,0.002637129358981505,0.0014570404255067615,-0.023299564251379967,-0.0024412862763766308
6,2013 RT155,103.712709053779,0.6533753443478137,0.4355909475403367,103.71270905377904,0.6531814300704621,0.43371509610507025,103.20434674854906,0.33486798647938115,0.3457189428546362,103.43566703885055,0.21642009768761897,0.3311837011961378,103.62319346137281,0.07495304265092775,0.3018730829866034,103.39275115621396,0.24330484343472916,0.3387259386169534,103.08467962004542,0.29904700252609867,0.3480799248445517,103.58601811049043,0.39299196379204426,0.35979408724230894,104.44581065576352,0.35097952810974514,0.3470921581221237,104.65463791875897,0.17515149542906291,0.3217403473892439,104.20567751105162,0.34197724914976707,0.3530229338959554,0.5295415227701857,0.3950003087825068,0.09661611740234667,0.9419288649799284,-0.2601894662784179,-0.07392100886276132
7,2013 QR99,41.037880849571,0.04054018476343922,0.5202656084176981,41.037880849571,0.04050468481742989,0.5201467993198846,41.03818511186936,0.04054051904130611,0.5194893322868641,41.03805917104181,0.04047257556160033,0.5194728725662026,41.03782184171183,0.04043814271546753,0.5196976789738094,41.037624876378466,0.040439053692352865,0.519637576305716,41.038023769203036,0.040481669499150615,0.5194258621487675,41.03806949702655,0.04055955460387924,0.5195480886127632,41.0379137118638,0.040565851934322446,0.519720436515822,41.03766561568578,0.04050111319987232,0.5195381993923215,41.03746148848668,0.0404536025818646,0.5194327943459478,0.0002291679283068214,4.8252066846866446e-05,0.0006043954245634808,0.0003042622983571164,6.116711689255899e-05,-0.00042636280406260774
8,2010 JJ210,49.31128843210519,0.2466213461188823,0.14510683478787426,49.31128843210519,0.24653564406841297,0.14368953378929844,49.31067077767338,0.24326995901160353,0.14249437924670097,49.3106836328157,0.24448100143332716,0.14252445044347956,49.31066115086913,0.24537092655959947,0.14243754525039465,49.3106473929951,0.2458944261657514,0.14221743403929848,49.31068252207094,0.2457419534445371,0.14226772640012667,49.3106966425251,0.24372420526766514,0.14236878260362493,49.310698983109205,0.2428755014283187,0.1421838968323015,49.3107418272761,0.2424976223089705,0.14215604983373795,49.31374054407637,0.24510226479862313,0.14169451424042773,0.0009959983278327055,0.0025153960471380665,0.0014485588698145814,0.0024521119711806705,-0.0006412179026615561,-0.0011650833458188847
9,2013 SG113,46.626126158013065,0.17887687255681803,0.16119543797869498,46.626126158013065,0.17872729748460914,0.16001584994169535,46.626261549733094,0.17457276899745724,0.15857559963568263,46.62680129041041,0.17755924223770359,0.16168912612284964,46.6266958888189,0.17881267902563297,0.16299707356345994,46.62611958404129,0.17825194715566609,0.16235552407157433,46.62614197165292,0.1759459770170497,0.15991306740370703,46.62637926504908,0.17278754431500498,0.15652783326980357,46.62600748496203,0.17097047500273663,0.15444973950219773,46.62583704658116,0.17167122154779166,0.15531581234985872,46.62552824478755,0.1744613469437222,0.15836051265203743,0.00038271736906437355,0.004595033017303125,0.003113141470261979,0.000675132397347511,8.538154102383233e-05,0.0029812236217645893
