,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,0,0.07046077182437682,0.04881011986867034,0.06983146396504573,0.04438490318755195,43.93785968151813,"[0.06730516403392724, 0.044010941310880486, 43.938367803270694]","[0.06551760588330191, 0.041198881743901336, 43.93809677306955]","[0.06601585667258186, 0.04195102116321442, 43.937866035467884]","[0.0682954112266882, 0.04546304149556439, 43.937750406074144]","[0.07043498067261464, 0.048645242703458325, 43.93770995297945]","[0.07070517911384834, 0.04882623196543767, 43.93758864356314]","[0.06905403974186851, 0.04585753884592644, 43.937567961032705]","[0.06672408139812162, 0.04185864935385725, 43.937595489496104]","[0.06580556232115198, 0.040377039535125045, 43.93778692473286]"
1,1,0.18426907378019364,0.10333831221783202,0.18410688254575008,0.10139350539163564,39.40453990090625,"[0.18324603535804773, 0.1006282670915339, 39.40453310118993]","[0.18345016992780222, 0.09984986504483341, 39.40452140316617]","[0.1833945546493758, 0.10003416498109151, 39.40455465527315]","[0.18334909910159009, 0.10063758859098257, 39.404537218867596]","[0.18340263841948837, 0.10044774458798901, 39.40453518196913]","[0.18342699530014686, 0.09996209775365314, 39.40454018142925]","[0.18341064646222144, 0.10008635743438403, 39.40453795784924]","[0.18336387794875916, 0.10057920353959711, 39.40454443909906]","[0.18327879423280535, 0.1005428908207309, 39.40452785390422]"
2,2,0.07044373392603519,0.04110381656618945,0.06861080578353183,0.034070819875375205,43.7536866568499,"[0.06611430926133445, 0.033844226563738124, 43.75362696732113]","[0.06900719628433319, 0.03505210434569705, 43.75362772042746]","[0.06680449814618876, 0.03368803421279118, 43.75379670953895]","[0.06759290278263193, 0.034755430163031675, 43.75378824015727]","[0.06855559777228927, 0.03437600600451635, 43.75362799436992]","[0.0661462398666969, 0.033879852531279196, 43.753572868267774]","[0.06914851736916675, 0.0350467562878072, 43.75355445126562]","[0.06660635171729633, 0.03363862273843158, 43.75376040256821]","[0.06799513768630293, 0.034808996551698695, 43.75382768567194]"
3,3,0.22553870268650164,0.2179744018764547,0.22405281738834368,0.21706229795759108,42.27084521219924,"[0.20831822412922749, 0.2318375198088112, 42.27102638000011]","[0.22154960050603234, 0.22190048255996653, 42.27083658331938]","[0.2422043338841079, 0.19706162467974564, 42.270566070579164]","[0.2577318111307403, 0.18007561180647194, 42.27045291983471]","[0.24162119992470202, 0.1983074127745273, 42.270563655327926]","[0.22302493988871527, 0.21964015876859355, 42.27075409027276]","[0.17781506290350185, 0.2280069991714886, 42.27098631418226]","[0.20861906350132212, 0.22932269489837556, 42.27106239040525]","[0.20854874100832801, 0.22930782813602127, 42.271094347385926]"
4,4,0.12422548737405005,0.0640133882458531,0.12417796640535868,0.06024952411261276,39.4070552413712,"[0.12377939837833585, 0.05940471597643892, 39.40711360197069]","[0.12400837175331779, 0.060839577343477134, 39.406997469491834]","[0.12408868397051392, 0.060085906937184734, 39.40700063437462]","[0.12392339327235961, 0.060145302539380746, 39.40710571186751]","[0.12390894432106571, 0.06062155314560048, 39.407099549533875]","[0.12408577696379694, 0.05957781459213382, 39.40703300389304]","[0.12410617384915018, 0.06094379620339894, 39.406994370030255]","[0.12380252345122215, 0.05969645280400125, 39.407052035604984]","[0.12402197772200853, 0.060379538454637276, 39.40708874636315]"
5,5,0.07177880148288898,0.09274454371218825,0.07140276510698224,0.09043994187397424,36.43523476764354,"[0.07100009512913232, 0.09094652381103158, 36.43525251204913]","[0.0708294654665972, 0.09177544892188479, 36.43521494883533]","[0.07089840173795278, 0.0904165235856934, 36.43522870631156]","[0.07131239583884573, 0.09202138139558369, 36.43521887030275]","[0.07097409051709304, 0.0900898153115873, 36.43522149836717]","[0.07092562817382424, 0.09270012252037851, 36.435218727029806]","[0.07057438090758995, 0.0899980258656274, 36.435216923923264]","[0.07089190090221197, 0.09177848337350204, 36.43521787074656]","[0.07080376848025707, 0.09045426242513628, 36.43524260363847]"
6,6,0.2148364435736239,0.30689452773178943,0.21476545329809643,0.3061101787226131,47.094858349735304,"[0.21374452824936654, 0.3007833149239332, 47.09547006484938]","[0.21219888396128944, 0.30018766647297046, 47.09423803424286]","[0.21358731172778764, 0.30069430031713423, 47.09381896041331]","[0.21415991025085213, 0.3007894671978968, 47.09423179982773]","[0.21286441811478682, 0.30008306997630724, 47.09478613139672]","[0.21380499355097538, 0.3009885153483192, 47.09437035885845]","[0.21400227296020471, 0.3011904857241966, 47.094740229155704]","[0.21268136525120165, 0.30017171063364856, 47.095086685406464]","[0.21372092030421613, 0.3004701373569822, 47.09548295520567]"
7,7,0.0410665769193317,0.05953808982115118,0.04007499252044615,0.05561972289674014,44.077472282026655,"[0.04263920411462496, 0.05752156664081199, 44.07747120331871]","[0.04004168178648605, 0.0549689069950509, 44.07747384726909]","[0.03749679373773605, 0.053935414236414445, 44.077475844596044]","[0.036819508080196, 0.05432571105017248, 44.07747536293348]","[0.038471929135260596, 0.05478400628098623, 44.07747209091658]","[0.0412369464066614, 0.05600872967968439, 44.07746619113243]","[0.04328743859442116, 0.0580888146580223, 44.07746737945147]","[0.043358966987420915, 0.058392895993645014, 44.07747288588689]","[0.041375475299129376, 0.05613670229035475, 44.07747392169822]"
8,8,0.03336444857143966,0.03240674535195113,0.03186404503312323,0.019923672393604253,42.789644825658044,"[0.029353756600988185, 0.019466875467157075, 42.78964571105401]","[0.03046742707585236, 0.01949615077464675, 42.789645796292795]","[0.03188567528199925, 0.02202416724663265, 42.78963098904099]","[0.031530095575108226, 0.02187365390296919, 42.789632205259245]","[0.03073467357142595, 0.01952797103122575, 42.78965612998641]","[0.028988697774755195, 0.01957241482894036, 42.78965369987219]","[0.0293551004907242, 0.018706550953374063, 42.78964077885963]","[0.029615229473913554, 0.01900081652830522, 42.78964716476692]","[0.03187402522873632, 0.021847799741107735, 42.789651607735124]"
9,9,0.23599566240404388,0.1203410478887701,0.22298259059197936,0.1183398513177187,39.40339130566587,"[0.22736854957741617, 0.1264658053199318, 39.40348552891028]","[0.20738304692272788, 0.12417650721829657, 39.40344029631738]","[0.22234390901329898, 0.1262271717241352, 39.40338086662271]","[0.2215375190503034, 0.12859173109379027, 39.403364155622036]","[0.22810482506818006, 0.12343672923954124, 39.40338807905814]","[0.23365371071173258, 0.11338208220534025, 39.403355244482356]","[0.22749549036652222, 0.10529245407356089, 39.403327764800345]","[0.22549220915569254, 0.11016250154477987, 39.403364271198775]","[0.23154105825785687, 0.1126817453416574, 39.403369608258316]"
