,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,0,0.023245103668205192,0.03256012312553857,0.022824702850709606,0.020964564658857775,42.57058664020891,"[0.024487607082081555, 0.02141188508943945, 42.5706163984975]","[0.020077482851344232, 0.02053934706307146, 42.57061999886519]","[0.022077046881510028, 0.020181242519200497, 42.570600310546254]","[0.01803192038078124, 0.01931997192006622, 42.570577359061275]","[0.021732488127367087, 0.020281908216229175, 42.57057799819486]","[0.02275545855506516, 0.020180885854189114, 42.57057572954487]","[0.02095748656262098, 0.021638289205818527, 42.57057133456712]","[0.02484595440897019, 0.021713532583830616, 42.57057027131268]","[0.02165434049873328, 0.021692516507444845, 42.57056722421628]"
1,1,0.2894802683343485,0.17686268833209734,0.2892040327727199,0.17580187607357078,51.97955943067165,"[0.27823262888861255, 0.17040566147762506, 51.98116410399373]","[0.2787395263081949, 0.17095222792790088, 51.98593272050555]","[0.2801649703647793, 0.17225561654304852, 51.97967170849968]","[0.2824665051941744, 0.17318180590620172, 51.973142285455054]","[0.28527175676171257, 0.17604339617341835, 51.97396849905621]","[0.2869299983057457, 0.17894093765615215, 51.976166834146625]","[0.2892396206081665, 0.17951359010788512, 51.969715551299785]","[0.2911022991087886, 0.17983272187122162, 51.980765194762846]","[0.2902870984961083, 0.18020338426691054, 51.99327473100049]"
2,2,0.15095353857251867,0.06108322527250104,0.14640230341993601,0.05771814353898235,47.78479284465535,"[0.12321152588226375, 0.059410001348797856, 47.8372920369084]","[0.1189988262849296, 0.06001923820006057, 47.743225880533295]","[0.1149917375720461, 0.05764526906978479, 47.828749764156235]","[0.11826231117628443, 0.05920119649191893, 47.893287707305014]","[0.14935907928419356, 0.06042920884760988, 47.891578776190975]","[0.14177564686540658, 0.061797739671526554, 47.80424543139501]","[0.13023966371657644, 0.06219026036428872, 47.63991605830625]","[0.11765403558725261, 0.05513550325978922, 47.64007066206808]","[0.1371933117872436, 0.05143166212444768, 47.726439566552656]"
3,3,0.015729521616408233,0.04652578508365116,0.015710440113715366,0.04112421236689046,42.903653959879875,"[0.01628211374464561, 0.04237678099272048, 42.90365076992928]","[0.013045953579324162, 0.039934086059992865, 42.903651638902]","[0.01110658109379081, 0.03921073972985888, 42.90365557551967]","[0.011934185953375871, 0.03866280282992556, 42.90365469072735]","[0.011865305609792886, 0.038767222368979455, 42.90365192897515]","[0.011262409459118458, 0.039398916664767115, 42.90365522438037]","[0.013222846394323752, 0.03982865491686729, 42.90365783736395]","[0.016178632658559098, 0.04212217321340966, 42.90365489483981]","[0.018061070995284992, 0.04360074591291968, 42.90365376610741]"
4,4,0.017880170404238605,0.04456657672111805,0.015920610540149416,0.03846792154769723,42.98050871168795,"[0.018271172725279734, 0.040241770599977876, 42.98051846473025]","[0.014567712700555426, 0.03763094650598868, 42.9805182105306]","[0.012956042297372747, 0.03591189021990636, 42.98050584715118]","[0.011090636487824244, 0.03633619731650927, 42.98050148074519]","[0.011840967194559323, 0.0381955909544889, 42.980495525498455]","[0.016675643679203097, 0.03940762539401688, 42.980509903419765]","[0.018783094264944913, 0.03920486917745668, 42.980512035471634]","[0.018526536237660006, 0.03882476813340728, 42.9805151752699]","[0.01860570604425021, 0.03908506252299361, 42.980511766467735]"
5,5,0.1314493474240909,0.029904069698234143,0.13124626393559283,0.015867004127216953,46.500673153415995,"[0.13021446467126443, 0.016830365496536433, 46.49934270680568]","[0.12954790448844813, 0.016760403423664846, 46.49925800572917]","[0.12996926968810052, 0.014985741764331314, 46.50082394052913]","[0.12918279798947072, 0.012387341030904135, 46.501418245271324]","[0.12922328719712908, 0.011140906233896629, 46.50072328082025]","[0.12959683667521074, 0.012999021424724111, 46.499494116444]","[0.12958109018730937, 0.016217678749107792, 46.501976875518125]","[0.13038238102375455, 0.017574962440904507, 46.50318542541425]","[0.12932974991682092, 0.015259921692346318, 46.500498959315046]"
6,6,0.04193074124274091,0.045801493615375714,0.03940520469121353,0.03755584409531485,42.27808707741556,"[0.057772149149429616, 0.03840870366496141, 42.272839973352326]","[0.05572690709440996, 0.041297312335990634, 42.27351568338553]","[0.03286215650474527, 0.03712337863850856, 42.269587303464206]","[0.02799261588002222, 0.038465432300825525, 42.28350966106552]","[0.031419211589964205, 0.038568020827250395, 42.283946415635356]","[0.034445790909115724, 0.03530275135859418, 42.29073612920743]","[0.026079187961729207, 0.04002944438961187, 42.28719124220132]","[0.031148705907575912, 0.03945742821969842, 42.24550881352481]","[0.027134716772180763, 0.04020586596503252, 42.27686867662526]"
7,7,0.42979781032803555,0.20266967808992525,0.38739248183454944,0.19321030836748745,49.17975495657336,"[0.11947060756366346, 0.1962106626660409, 40.300336205101615]","[0.17048787027246626, 0.21233109361200714, 42.40854618573688]","[0.3233325364418613, 0.17003153436127802, 47.24245328437711]","[0.37590843464504636, 0.12885108097245004, 51.41729710676071]","[0.40481412152572305, 0.14028102442064852, 54.353183983261]","[0.3666949686977723, 0.14705530282611057, 48.56295258413591]","[0.17591234827378424, 0.2003127090457811, 44.50661810936411]","[0.29438153544575935, 0.21526769339035198, 51.0276194642912]","[0.22591977084462592, 0.23393747401304318, 59.49572111779365]"
8,8,0.019988636415317788,0.03597721740099071,0.017674314318324422,0.025969117080318502,42.78251328639683,"[0.018264164236040614, 0.027059412870582774, 42.78251145853302]","[0.016359330669790235, 0.023616569136781413, 42.782514197376415]","[0.014589393850972973, 0.023987168162387718, 42.7825149890668]","[0.013562121967699844, 0.024535738880203134, 42.78251531186774]","[0.016395570161162623, 0.023423083850104724, 42.78251502829869]","[0.017131231545768028, 0.025920670375673565, 42.78251376833357]","[0.02074259665819213, 0.028596430539244762, 42.78251125177229]","[0.019186023222124534, 0.02668985951953921, 42.7825109871825]","[0.019023671303491734, 0.0258733792790561, 42.78251350725916]"
9,9,0.04403433237011094,0.030222921826708726,0.04288618729346752,0.01523058369550852,43.59330430641353,"[0.04389200468091228, 0.015731312593000972, 43.59325673182982]","[0.04208828362506322, 0.01471721225802753, 43.59326466883856]","[0.04255484192616592, 0.0149921798417992, 43.593300744431886]","[0.04404826296096047, 0.01584984630807687, 43.59333175469503]","[0.04263272084786718, 0.014943875680011104, 43.593324353365404]","[0.04203759651159266, 0.014752417176930552, 43.593336392915646]","[0.043831941144798665, 0.015701629302324008, 43.593354477956346]","[0.043258262955110885, 0.015168701163145051, 43.59332390423586]","[0.041857830545130696, 0.014651691686795748, 43.59328535305106]"
