,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457614.5,2.248624294816107,0.5862279856022917,0.015627380794115325,-0.5249338658615812,4.134213519940151,-1.0706554666735775
1,1.0,2457614.5,2.2486242971286936,0.5862279770679247,0.015627384164941444,-0.5249338727912545,4.134213515587851,-1.0706554551652918
2,1.0,2457614.5,2.2486242614581884,0.5862280914900029,0.015627376033230167,-0.524934029457585,4.134213497887837,-1.0706555424848088
3,1.0,2457614.5,2.248624321695921,0.5862279376760714,0.015627405839409497,-0.5249337561926684,4.134213487386297,-1.0706555387175367
4,1.0,2457614.5,2.248624257242615,0.5862279679312835,0.01562741175666732,-0.5249338713029605,4.134213575027102,-1.070655528330475
5,1.0,2457614.5,2.248624363083709,0.5862279252622702,0.01562740425661016,-0.5249337039610886,4.134213457652138,-1.0706554390391425
6,1.0,2457614.5,2.248624189694662,0.5862280866937835,0.01562735574815935,-0.5249341104911589,4.13421361059736,-1.0706555031311245
7,1.0,2457614.5,2.2486243026398913,0.5862279249013046,0.015627396817869732,-0.5249338133789851,4.1342135453446955,-1.0706554581988486
8,1.0,2457614.5,2.2486242103759286,0.586228092416389,0.015627351855341476,-0.5249340788131615,4.134213582636006,-1.0706555014392514
9,1.0,2457614.5,2.2486242261609877,0.5862280126616012,0.01562739250989245,-0.5249339787485309,4.134213600010389,-1.0706555179960582
10,1.0,2457614.5,2.2486242989941836,0.5862278507759845,0.01562742186572258,-0.524933741530379,4.134213589077524,-1.0706554763141793
11,1.0,2457614.5,2.2486243526672833,0.5862278306255341,0.015627430453588942,-0.5249336241541679,4.134213518477783,-1.0706554886514557
12,1.0,2457614.5,2.248624337683357,0.5862279565923356,0.015627390565745553,-0.5249337848522482,4.134213457002162,-1.0706555010547454
13,1.0,2457614.5,2.2486242884392187,0.5862280467580502,0.01562735427963141,-0.5249339194056252,4.134213499520373,-1.0706554639667882
14,1.0,2457614.5,2.248624165662191,0.5862280260806764,0.01562736061840997,-0.5249340774905658,4.134213685906216,-1.0706555112648524
15,1.0,2457614.5,2.2486243963591135,0.5862278463064671,0.01562743733940583,-0.5249336086744808,4.134213422191185,-1.0706555138378615
16,1.0,2457614.5,2.248624235730966,0.5862279956807133,0.01562738903845237,-0.5249339629521261,4.1342135985170305,-1.0706555122586943
17,1.0,2457614.5,2.248624206656941,0.5862279760219906,0.015627386107204766,-0.524933992918758,4.134213635202531,-1.0706555462357032
18,1.0,2457614.5,2.2486241722140434,0.5862281486575383,0.01562732900974692,-0.5249342146615155,4.134213602562574,-1.0706554820154779
19,1.0,2457614.5,2.248624309430322,0.5862278976701166,0.015627415453988935,-0.5249337388030192,4.134213545232858,-1.0706554894435896
20,1.0,2457614.5,2.2486242369767,0.5862281606322248,0.01562733196097077,-0.5249340951441395,4.13421351211855,-1.070655468236754
