a,e,inc,Omega,omega,M,dist,H,RESO,Ifree,IfreeRange,qForced,pForced,OSSOS,DES,ID,Name
39.55572,0.25736,8.88395,209.4927,305.02676,59.68415,36.72372,6.9,32,8.3,7.9385,-1.4525,1.053,x,x,a0133067,133067 (2003 FB128)
43.62771,0.14933,10.20545,276.75714,57.74824,31.65736,38.40965,8.1,74,12.0093,5.7265,0.3035,1.8412,x,x,a0134568,134568 (1999 RH215)
42.83685,0.0208,1.11466,96.7673,149.09834,99.23629,42.99778,6.1,0,1.0048,0.1539,0.4698,1.9121,x,x,a0134860,134860 (2000 OJ67)
43.6673,0.11083,2.15247,44.23081,297.95727,274.54363,43.81958,6.9,74,1.0839,0.8924,0.5543,1.9471,x,x,a0135024,135024 (2001 KO76)
43.63358,0.12497,5.44863,336.79064,289.03929,73.97303,42.78489,6.9,74,6.0432,4.736,0.5686,1.9533,L3q08PD,x,a0135742,135742 (2002 PB171)
43.10421,0.19498,28.20484,121.94708,239.93904,217.81393,50.23886,0.26,127,26.7079,0.4105,-0.2905,1.5908,x,x,a0136108,136108 Haumea (2003 EL61)
45.49991,0.16035,29.00188,79.443,296.06244,165.35803,52.6193,-0.12,0,27.5392,0.3495,-0.3556,1.5616,x,x,a0136472,136472 Makemake (2005 FY9)
44.95378,0.10628,1.35119,149.27642,113.6927,80.56721,44.67428,6.4,0,1.6502,0.2788,0.1004,1.7537,x,x,a0137294,137294 (1999 RE215)
46.51331,0.13933,4.88699,4.37447,359.09286,358.41268,40.03578,6.0,0,5.1636,0.3142,-0.1287,1.6565,x,x,a0138537,138537 (2000 OK67)
44.72335,0.2668,15.70847,355.60986,313.68342,51.75804,39.81098,7.2,-1,-,-,-,-,x,x,a0138628,138628 (2000 QM251)
39.34836,0.1929,6.48965,162.53644,209.21218,15.45252,32.17408,6.8,32,4.8274,3.7486,-1.4484,1.0439,x,DESY6_0665,a0139775,139775 (2001 QG298)
42.16787,0.25258,7.65213,29.2084,346.90932,22.66272,32.93205,8.7,53,9.2847,4.3906,-2.1229,0.7795,x,x,a0143751,143751 (2003 US292)
44.56958,0.13607,19.39262,66.91299,64.98178,330.26033,39.54857,5.65,95,18.0119,0.5207,-0.2241,1.6178,L3w04,x,a0143991,143991 (2003 YO179)
41.51052,0.02253,19.2735,186.98938,172.76139,347.7798,40.59746,3.74,0,19.5048,0.1321,-0.0483,1.694,x,DESY6_0068,a0145452,145452 (2005 RN43)
43.22154,0.1387,28.50738,85.84604,279.34834,50.58312,39.98006,4.17,0,26.9558,0.2665,-0.3109,1.5816,x,x,a0145453,145453 (2005 RR43)
43.93194,0.04025,0.79083,192.07111,86.33213,96.87794,44.21326,7.1,0,2.1479,0.1362,0.1482,1.7747,x,x,a0148112,148112 (1999 RA216)
44.23746,0.06215,5.19934,1.86086,299.4332,129.09461,46.06834,5.8,0,5.3686,0.1078,0.0626,1.7384,x,x,a0148780,148780 Altjira (2001 UQ18)
45.06054,0.12156,2.98798,275.5553,88.78651,63.37847,43.17987,6.3,116,4.7462,0.1836,0.139,1.7699,x,x,a0149348,149348 (2002 VS130)
42.27318,0.23997,7.07016,224.49691,254.70319,320.66499,35.73129,6.5,53,6.6314,26.5157,-1.8855,0.8761,x,x,a0149349,149349 (2002 VA131)
41.48551,0.47634,34.81089,130.82993,137.31128,40.44,33.20264,8.1,-1,-,-,-,-,x,x,a0149560,149560 (2003 QZ91)
45.18594,0.11913,10.21648,136.22387,47.24978,343.85714,40.07463,5.96,0,9.0667,0.2646,-0.0895,1.6738,x,x,a0150642,150642 (2001 CZ31)
45.08929,0.10944,1.98238,322.66037,312.969,74.57882,44.29764,6.9,0,3.3074,0.2809,0.0555,1.7347,x,DESY6_0171,a0160091,160091 (2000 OL67)
