,Name,a(AU),e,sinI,sig_i,aop,sig_aop,lan,sig_lan,T_p,10,11,12,13,14,15,16,17,18,19,20,21,x,y,z,vx,vy,vz,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,2013 RQ98,55.75454397,0.00704775,0.4213823244681774,6.077e-05,37.69020117,1.982e-05,245.11522554,0.00608814,11.21732152,0.00011075,51115.63480186,0.80443758,31.503043656751338,0.007329887217990058,34.63893109,0.00054266,33.89252933,0.00038895,23.12240519,0.0390915,7.77406288,0.03909153,18,26,42.27217,13.6402835397,-13.7883137668,-27.7943989421,1.2370666977,0.2602553915,0.1599870665,4.1917785891458984e-08,-4.5825770861623615e-08,-9.2085307366657e-08,3.988552358443061e-09,7.362552757923869e-10,7.352576096778782e-10,5.016351244338784e-08,1.0078215296357261e-07,-4.265785786614901e-09,-9.17096937435552e-10,-1.0282620631792902e-09,2.0251017434249648e-07,-8.585772210460986e-09,-1.8271306404045507e-09,-2.033323146605535e-09,5.536730808198093e-10,-1.3455685816808903e-10,-3.3844249182561124e-10,2.5670742678834147e-10,4.966843091731899e-10,9.798927313694388e-10,Detached,
1,2013 RQ155,51.23413729,0.01482825,0.3077123916440435,0.00012776,38.51262403,6.538e-05,318.10673401,0.03058011,49.90408935,0.00041722,70912.61788121,4.47333247,35.208722682680076,0.016062073115301532,41.70846378,0.00234628,40.96014856,0.00170222,23.48365898,0.05417169,7.32073039,0.05417197,9,13,16.28084,15.3664501757,-17.0944790803,-33.9025775402,0.7309186742,0.7401182142,0.2767540843,6.947947531176506e-07,-8.210573618234316e-07,-1.6333571901903565e-06,4.4416542541254516e-08,1.9301877494620238e-08,-9.790334189691216e-09,9.703826004179007e-07,1.9303256853295503e-06,-5.2267092764587555e-08,-2.3087536962881004e-08,1.1030071917804146e-08,3.840048051079697e-06,-1.0412588181983184e-07,-4.574374941647964e-08,2.2304336875971044e-08,3.8647942887668575e-09,-2.5050488864913672e-11,-3.0765728324668737e-09,2.117132038977537e-09,2.77849502053589e-09,6.089653089401117e-09,Detached,
2,2013 RJ158,90.03792087,0.01381168,0.5905270755822605,5.475e-05,17.15312364,4.477e-05,86.9090072,0.00419601,192.4763033,0.00014124,49071.28363066,0.4559918,33.159903615900326,0.009957837189122123,38.99670628,0.00045094,38.38898072,0.00034723,22.99642767,0.04154961,7.12025513,0.04154962,15,21,40.59734,32.6457190677,-20.1965795491,-0.2627573285,0.9788530598,0.7986388534,0.1562894379,1.4389933301911867e-07,-9.257986904440834e-08,-1.4654532933878807e-09,2.8429991637426943e-09,4.651012343584264e-09,6.988060078602787e-10,5.962121044824401e-08,9.483631890273212e-10,-1.5818974576229635e-09,-3.1542201539772258e-09,-4.523829249871159e-10,2.2585411416755733e-11,-1.1148743672717054e-12,-6.552785468634215e-11,-7.859076457701195e-12,1.320307786325356e-09,-7.307599904687505e-10,-2.497139940497598e-13,6.880438628726472e-10,3.175705776479225e-11,5.181982271788356e-12,Scattering,
3,2013 RR155,62.18999528,0.02708657,0.3790851077235067,0.00027611,34.1639245,0.00014093,223.48340686,0.02281336,3.91981914,0.00054022,40494.02775153,4.06351659,38.010064497294074,0.033076965078995546,47.8461206,0.00271777,47.09806389,0.00175348,23.59186721,0.06399239,6.82761829,0.06399263,9,11,8.57887,22.5458401004,-21.4573384703,-35.3482013952,1.0038300193,0.1312507692,0.1344927875,1.5875231553123092e-06,-1.577363256896128e-06,-2.592757107052993e-06,1.1277658083924292e-07,-3.787528838722379e-08,-5.832654571031761e-08,1.5675035896901269e-06,2.5764716407964446e-06,-1.1111668287549151e-07,3.668591457638835e-08,5.63780453170725e-08,4.235090458251757e-06,-1.8257494898126155e-07,6.020788365320376e-08,9.256249260180455e-08,1.4791310727319582e-08,-9.685206090290274e-09,-1.562493384044918e-08,8.15315138516751e-09,1.3264207961385026e-08,2.164813967306297e-08,Detached,
4,2013 QX103,50.45549221,0.01585727,0.26037549305659907,0.00018732,32.48915599,4.249e-05,232.08567214,0.02195905,50.49275809,0.00026327,53668.35578749,4.39399584,37.16495581086613,0.02111111126349538,38.35076822,0.00199544,37.55138902,0.00132861,23.74879433,0.07546966,7.95679396,0.07546984,7,15,32.2616,14.88099597,-18.8640728768,-28.8584395049,0.9696694508,0.6177819297,-0.0013986197,5.599444613813123e-07,-7.54395745130379e-07,-1.1605375709096448e-06,3.56321570303304e-08,2.542074724723304e-08,4.417801593935504e-09,1.0165560928561725e-06,1.5637472075778973e-06,-4.7677967944525207e-08,-3.472814847156632e-08,-6.6719276119158355e-09,2.40556152086078e-06,-7.350189898861544e-08,-5.3198389325261544e-08,-9.92397521884517e-09,3.046772252081985e-09,4.931709788297736e-10,-1.4103420153014357e-09,2.791928189570589e-09,2.6568246074933094e-09,3.734324702490357e-09,Detached,
5,2013 RS155,50.44724703,0.0135937,0.2625723309793066,0.00015948,34.08545187,5.194e-05,331.93372936,0.02955805,45.6689422,0.00042725,75271.40935044,5.52305222,37.04406369221782,0.01732623293052241,45.09597106,0.00224369,44.3120132,0.00154312,23.67481071,0.05880635,7.17151459,0.05880655,10,14,24.30002,17.0624293192,-20.8993015051,-35.1517740164,0.7159659614,0.6472223358,0.2628095545,6.732031794376848e-07,-8.751776372773914e-07,-1.4729564362307433e-06,1.966050116095066e-08,3.637544619614708e-08,3.234316524114912e-08,1.1379316597434329e-06,1.9150851087387142e-06,-2.5133880497983187e-08,-4.7856774520438547e-08,-4.2994942272911405e-08,3.223118390028104e-06,-4.2498329482173244e-08,-8.028341335917608e-08,-7.192046812749185e-08,2.135524319630619e-09,-1.0168999716164775e-09,-2.5223570409869125e-09,4.757460152834291e-09,6.3889823568369666e-09,9.301262562015247e-09,Detached,
6,2013 RT155,103.0570395,0.09548923,0.6077829925300903,0.00038647,26.0412632,0.00020106,222.13441087,0.01313686,172.28695883,0.00027574,72311.11152654,2.16565765,35.733404561213405,0.07277955242692481,49.34619848,0.00156581,48.69097115,0.00115614,23.30576979,0.05947731,6.4022591,0.05947739,10,14,18.08995,39.4495318817,-28.5175920286,-1.136684117,0.1695768083,1.0991980892,-0.0560332422,1.5801433850745462e-06,-1.1732718546079124e-06,-4.815689306993739e-08,1.4974265048404767e-08,3.778421466242734e-08,-3.2099632598008873e-09,8.728550069050153e-07,3.5679176271428354e-08,-9.44592211220362e-10,-3.560412550074026e-08,2.080807800379785e-09,1.5497499608325498e-09,-9.71447989070011e-10,-7.66572213433359e-10,1.4164491013519747e-10,6.587434756718223e-08,-4.867717783780104e-08,-1.9901602095435377e-09,3.750531172100263e-08,1.385552249135452e-09,8.020577862174622e-11,Detached,
7,2013 QR99,41.01962958,0.00228174,0.04244917123061372,4.806e-05,32.36972434,1.887e-05,263.2357966,0.12347304,50.96761934,0.00028709,54056.16493488,30.10541234,39.277856753552065,0.004064371139712354,39.86690953,0.00051772,39.32290759,0.00035468,23.42077799,0.06319378,7.44448702,0.06319379,10,13,31.38697,28.57131703,-7.3923051648,-25.9870107756,0.566699097,0.7556946728,0.3932212412,1.3786985338899694e-07,-3.658751448611402e-08,-1.2888851566022181e-07,9.111561312283017e-09,1.8148307719924491e-09,-3.966481868330614e-09,9.785242220302674e-09,3.42628399779922e-08,-1.971448915995424e-09,-6.018267374055097e-10,6.288863763641516e-10,1.2059649741729007e-07,-8.033038964365356e-09,-1.8324346146204546e-09,3.255839279676407e-09,4.694870358840079e-09,-1.029800872848945e-09,-4.149421091419319e-09,3.543346494995778e-10,1.0414832818559155e-09,3.819213459279626e-09,Classical,
8,2010 JJ210,49.27794812,0.00233218,0.24601910219270468,3.773e-05,7.16803523,4.501e-05,101.57225706,0.01262728,215.92470808,0.0003998,50544.66576898,2.41077039,37.02888084605194,0.003450280339112131,38.56608786,0.00031445,38.23926091,0.00030297,22.79649089,0.02984831,6.95291551,0.02984833,16,24,26.49781,37.5615222655,-7.1402229003,0.6247695361,0.3150528409,1.0219202678,0.3489148988,9.49869812193623e-08,-1.947971416522685e-08,1.1892029701825329e-09,6.294183776912253e-10,2.5432238557213087e-09,8.339377466298602e-10,4.012548709477862e-09,-2.4050403248904453e-10,4.9192260157697524e-11,-5.615681397229857e-10,-1.7060820401348792e-10,2.240599616996543e-11,6.293436533893303e-11,1.8724750142032598e-11,1.2932387214127761e-11,2.8742714409820628e-09,-6.657137629596106e-10,1.2552705031784002e-11,2.3219929736898442e-10,2.0651111986622257e-11,9.060736472675957e-12,Resonant candidate 21:10,
9,2013 SG113,46.61259702,0.00268352,0.1781384427268407,0.00010937,8.03988361,0.00013681,301.54997779,0.01642999,336.05453928,0.00040353,37363.3400413,2.31239417,38.26454598079395,0.0062926759812143,44.19996702,0.00059895,44.00647587,0.00059688,23.80373671,0.07112634,7.35904403,0.07112635,12,14,27.09871,43.9349533243,-1.4704125355,2.0316696736,0.1705478515,0.8186567094,0.4992113011,3.5742893542013416e-07,-1.575722979793805e-08,1.5014179320522553e-08,-2.426344629568667e-08,7.851502751994403e-09,3.016771113663796e-09,7.77280615667491e-10,-6.279587649122341e-10,1.8182212519059694e-09,-3.713148124221659e-10,-1.0046402312806052e-10,6.761571838743771e-10,-5.768089708023226e-10,3.115927691347219e-10,1.5169428102333702e-10,1.1412591167836172e-08,-9.355017708151651e-10,2.193624268413845e-10,1.9520066214729033e-10,4.879322776265856e-11,5.006569718395902e-11,Classical,
