spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
54199270,2013 VW71,0.0161,44.36,43.646,1.59,63.21,320.49,353.48,0.003336,2462755.51,295,3.1e-04,1.3e-02,6.2e-03,6.2e-04,3.4e-02,1.6e+00,1.5e+00
54199261,2013 VX71,0.0868,44.27,40.425,2.97,30.30,323.85,25.52,0.003346,2453175.08,295,3.9e-04,1.9e-02,6.0e-03,1.1e-03,7.3e-03,3.6e-01,3.0e-01
54199491,2013 VY71,0.1602,39.7,33.341,10.59,63.82,327.44,1.94,0.00394,2460307.14,250,2.3e-04,1.2e-02,2.3e-03,4.3e-04,2.6e-03,9.1e-02,6.4e-02
54199494,2013 VZ71,0.2879,52.92,37.688,28.11,174.42,212.76,4.75,0.00256,2458945.17,385,1.8e-04,1.6e-02,2.8e-03,6.2e-04,6.2e-04,7.9e-02,4.1e-02
54199499,2013 VA72,0.1153,41.88,37.048,15.04,159.07,203.34,33.51,0.003637,2451586.11,271,2.5e-04,1.7e-02,1.1e-02,4.8e-04,2.3e-03,2.9e-01,2.4e-01
54199500,2013 VB72,0.4532,65.72,35.939,17.96,56.53,276.70,26.57,0.00185,2446436.36,533,4.5e-04,3.9e-02,1.2e-02,7.6e-04,1.3e-03,4.4e-02,2.3e-02
54199503,2013 VC72,0.2591,39.82,29.503,13.32,103.53,332.24,348.45,0.003922,2463744.15,251,1.6e-04,7.2e-03,2.8e-03,1.6e-04,1.8e-03,2.9e-02,1.4e-02
54199504,2013 VD72,0.2877,48.34,34.433,22.14,154.15,193.55,32.70,0.002932,2449649.78,336,3.6e-04,2.0e-02,8.1e-03,4.6e-04,1.6e-03,6.7e-02,3.4e-02
54199502,2013 VE72,0.2847,43.87,31.375,13.53,123.22,200.27,43.93,0.003392,2447851.75,291,1.9e-04,9.5e-03,8.3e-03,1.4e-04,2.5e-03,5.2e-02,3.1e-02
54199505,2013 VF72,0.0927,39.58,35.914,26.58,188.50,64.08,148.28,0.003958,2423333.43,249,1.2e-04,7.8e-03,1.1e-02,6.2e-04,6.8e-04,9.6e-02,1.1e-01
54200423,2013 VH72,0.1504,45.75,38.873,9.67,103.62,237.38,41.81,0.003185,2447673.10,309,3.8e-04,1.9e-02,1.2e-02,1.6e-04,5.8e-03,1.6e-01,1.2e-01
3841654,2013 WG114,0.0671,44.38,41.404,1.47,70.08,277.60,26.33,0.003333,2452901.91,296,1.2e-04,8.2e-03,4.5e-03,2.1e-04,1.8e-02,2.5e-01,2.2e-01
3989579,2013 WH123,0.1211,46.5,40.874,9.33,130.25,183.73,57.09,0.003108,2442429.46,317,3.6e-04,1.1e-02,1.2e-02,3.1e-04,3.5e-03,1.1e-01,7.7e-02
