spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
20015760,15760,0.0737,44.25,40.990,2.19,359.44,7.09,34.16,0.003348,2450597.19,294,4.7e-05,2.9e-03,6.2e-04,5.5e-05,8.5e-04,9.8e-03,1.1e-02
20015788,15788,0.3270,39.75,26.751,1.94,354.86,79.22,3.43,0.003933,2459928.46,251,1.2e-05,8.7e-04,1.1e-04,1.8e-05,8.4e-04,1.3e-03,3.6e-04
20015789,15789,0.1844,39.78,32.447,5.16,354.65,318.99,76.95,0.003928,2441210.24,251,1.4e-05,1.5e-03,7.3e-04,3.4e-05,3.2e-04,7.5e-03,9.1e-03
20015807,15807,0.0631,43.6,40.852,0.57,177.01,301.58,87.95,0.003423,2435108.07,288,2.5e-05,3.7e-03,2.5e-03,8.8e-05,4.2e-03,5.4e-02,5.7e-02
20015809,15809,0.2142,42.06,33.048,14.06,56.43,237.80,2.16,0.003614,2460202.02,273,3.2e-04,2.0e-02,7.2e-03,7.3e-04,4.2e-04,6.4e-02,3.5e-02
20015810,15810,0.1141,39.24,34.760,3.80,144.75,101.69,43.23,0.00401,2450020.92,246,3.0e-06,2.6e-04,1.3e-04,5.4e-05,7.1e-04,3.8e-03,3.3e-03
20015820,15820,0.3235,39.88,26.981,12.13,317.43,99.29,8.80,0.003913,2458550.65,252,1.0e-05,6.9e-04,6.7e-05,6.7e-06,1.3e-04,5.5e-04,9.3e-05
20015836,15836,0.0763,36.36,33.589,6.55,127.43,333.38,72.78,0.004495,2444607.96,219,2.1e-05,1.6e-03,7.6e-04,6.8e-05,4.5e-04,2.0e-02,2.1e-02
20015874,15874,0.5872,84.97,35.079,23.95,217.68,185.10,10.88,0.001258,2452153.23,783,1.3e-05,3.0e-03,1.1e-04,1.4e-05,2.8e-05,3.4e-04,6.4e-04
20015875,15875,0.3350,39.74,26.429,5.68,316.81,76.10,35.49,0.003934,2451777.72,251,2.0e-05,1.4e-03,1.4e-04,1.5e-05,3.2e-04,1.0e-03,2.3e-03
20015883,15883,0.2158,47.12,36.950,19.13,127.11,301.15,77.38,0.003047,2435409.76,323,8.2e-05,1.4e-02,7.2e-03,1.8e-04,1.8e-04,5.0e-02,6.0e-02
20016684,16684,0.0456,43.85,41.850,3.75,25.69,254.12,332.93,0.003394,2468776.35,290,3.4e-05,3.1e-03,1.5e-03,7.4e-05,7.5e-04,5.0e-02,4.8e-02
20019255,19255,0.0333,43.07,41.638,1.49,72.36,104.27,287.33,0.003487,2481641.94,283,1.3e-04,1.2e-02,1.6e-02,2.7e-04,1.8e-03,3.3e-01,3.1e-01
20019299,19299,0.2642,39.95,29.400,4.73,15.93,30.94,19.76,0.003903,2455736.16,253,3.2e-05,2.0e-03,2.2e-04,3.6e-05,3.9e-04,9.0e-04,1.2e-03
20019308,19308,0.1133,43.51,38.581,27.41,355.21,240.90,147.29,0.003434,2417911.17,287,1.3e-05,1.0e-03,1.4e-03,3.4e-05,3.8e-05,6.7e-03,7.4e-03
20019521,19521,0.1102,46.1,41.020,12.02,49.89,56.23,350.06,0.003149,2463956.23,313,2.4e-05,1.8e-03,4.9e-04,3.0e-05,8.4e-05,7.4e-03,6.4e-03
20020000,20000,0.0536,43.14,40.827,17.14,97.21,272.58,114.90,0.003479,2427771.31,283,1.3e-06,2.2e-05,5.8e-05,2.6e-06,3.6e-06,6.4e-04,7.8e-04
20020108,20108,0.1463,39.73,33.918,19.54,187.95,145.60,69.86,0.003936,2443051.00,250,1.0e-04,9.7e-03,4.2e-03,1.7e-04,1.9e-04,5.6e-02,6.4e-02
20020161,20161,0.3961,48.06,29.022,12.42,343.07,310.16,62.88,0.002959,2439546.55,333,1.0e-04,2.4e-02,9.8e-03,1.0e-04,4.5e-04,4.6e-02,5.9e-02
20024835,24835,0.1113,42.14,37.448,27.02,20.97,70.09,342.26,0.003604,2465723.44,274,1.1e-05,8.0e-04,2.7e-04,2.3e-05,3.5e-05,4.5e-03,4.0e-03
20024952,24952,0.2331,39.73,30.465,16.56,346.83,81.90,351.45,0.003936,2462973.65,250,1.5e-05,1.1e-03,2.3e-04,1.9e-05,7.9e-05,2.5e-03,1.8e-03
20024978,24978,0.0483,43.12,41.038,2.40,50.48,121.39,87.99,0.003481,2435522.74,283,2.3e-04,1.7e-02,1.5e-02,1.0e-03,2.0e-03,3.6e-01,3.7e-01
20026181,26181,0.5863,92.25,38.162,13.36,194.25,355.98,14.54,0.001112,2447727.98,886,1.5e-05,3.8e-03,1.9e-04,2.0e-05,8.6e-05,6.9e-04,1.0e-03
20026308,26308,0.3705,47.98,30.202,13.48,183.08,132.03,54.42,0.002966,2442450.45,332,7.0e-06,1.0e-03,3.2e-04,2.6e-05,8.4e-05,1.8e-03,2.3e-03
20026375,26375,0.4192,55.37,32.159,7.61,322.91,159.15,34.31,0.002392,2446455.73,412,9.5e-06,1.2e-03,1.9e-04,1.7e-05,1.2e-04,1.1e-03,1.5e-03
20028978,28978,0.2449,39.37,29.730,19.67,71.10,300.59,293.55,0.003989,2477458.99,247,1.6e-06,3.2e-05,4.9e-05,4.3e-06,3.4e-06,1.2e-04,2.8e-04
20029981,29981,0.8748,98.7,12.362,5.96,184.56,173.06,9.36,0.001005,2451487.01,981,7.6e-06,6.2e-03,2.8e-05,1.2e-05,1.6e-04,3.1e-04,8.8e-04
20032929,32929,0.2677,39.99,29.280,4.83,342.09,26.23,26.36,0.003898,2454038.39,253,1.8e-05,1.1e-03,1.2e-04,2.0e-05,2.4e-04,4.8e-04,1.3e-03
20033001,33001,0.0346,43.57,42.062,1.45,350.25,265.50,254.44,0.003427,2491599.96,288,1.6e-05,1.7e-03,2.3e-03,5.4e-05,1.5e-03,4.3e-02,4.2e-02
20033128,33128,0.3857,33.29,20.449,14.24,132.70,282.51,88.99,0.005132,2443460.13,192,2.0e-06,5.9e-04,3.3e-04,3.0e-05,9.4e-05,1.8e-03,2.7e-03
20033340,33340,0.2576,39.55,29.362,3.04,127.95,324.42,16.39,0.003963,2456663.78,249,9.7e-06,6.1e-04,6.7e-05,1.8e-05,1.7e-04,3.2e-04,4.0e-04
20035671,35671,0.0472,38.13,36.331,4.60,192.06,259.36,306.62,0.004186,2473552.43,235,3.1e-06,4.5e-04,3.4e-04,2.3e-05,5.9e-05,1.0e-02,1.0e-02
20038083,38083,0.1572,38.87,32.758,12.77,10.03,79.38,113.60,0.004068,2432874.13,242,9.8e-06,2.0e-03,2.0e-03,7.9e-05,1.1e-04,1.4e-02,1.6e-02
20038084,38084,0.4103,55.19,32.547,13.15,166.45,66.38,5.56,0.002404,2458486.15,410,1.5e-05,1.6e-03,1.2e-04,1.4e-05,1.1e-04,5.1e-04,1.7e-04
20038628,38628,0.2725,39.2,28.520,15.48,169.34,67.59,15.18,0.004016,2457021.35,245,4.3e-06,2.7e-04,3.0e-05,3.1e-06,3.3e-05,2.2e-04,1.8e-04
20040314,40314,0.2997,48.46,33.937,24.84,205.70,58.93,354.70,0.002921,2462614.13,337,9.0e-06,7.8e-04,1.1e-04,1.6e-05,2.7e-05,8.4e-04,5.4e-04
20042301,42301,0.2804,51.84,37.303,0.75,302.34,343.80,84.93,0.00264,2428637.88,373,6.5e-06,1.0e-03,7.6e-04,4.3e-06,3.4e-03,4.4e-03,3.4e-03
20042355,42355,0.5360,37.64,17.467,2.43,351.89,158.65,29.66,0.004267,2453850.70,231,2.5e-06,2.2e-04,1.2e-05,7.8e-06,1.3e-04,1.8e-04,3.0e-04
20044594,44594,0.4616,32.69,17.603,2.62,259.18,144.50,2.33,0.005273,2460358.73,187,2.0e-06,1.4e-04,1.3e-05,3.4e-06,1.4e-04,2.0e-04,3.1e-05
20045802,45802,0.0094,43.46,43.055,1.18,173.20,59.09,103.30,0.00344,2430768.89,287,2.2e-04,3.2e-02,2.5e-02,4.7e-04,2.3e-02,3.4e+00,3.4e+00
20047171,47171,0.2308,39.76,30.587,8.40,97.17,295.75,13.84,0.003931,2457279.08,251,6.0e-06,3.7e-04,4.6e-05,7.0e-06,7.5e-05,3.0e-04,2.3e-04
20047932,47932,0.2778,39.13,28.261,10.82,26.15,194.65,22.77,0.004027,2455146.03,245,1.3e-05,8.0e-04,8.7e-05,2.7e-05,7.3e-05,4.9e-04,7.8e-04
20048639,48639,0.2397,52.98,40.281,0.24,260.77,85.81,49.42,0.002556,2441464.09,386,9.7e-06,1.1e-03,3.5e-04,2.7e-05,3.6e-03,4.4e-03,2.9e-03
20049673,49673,0.1073,43.27,38.626,22.54,132.36,269.67,317.96,0.003463,2472939.34,285,3.0e-05,4.0e-03,2.6e-03,1.7e-04,1.9e-04,3.4e-02,3.1e-02
20050000,50000,0.0366,43.16,41.581,7.99,189.01,163.79,290.97,0.003476,2480662.30,284,1.7e-06,2.9e-05,7.2e-05,6.9e-07,2.9e-05,8.6e-04,8.0e-04
20052747,52747,0.0569,44.2,41.684,0.55,63.89,252.17,321.96,0.003354,2472141.85,294,5.6e-04,2.7e-02,2.6e-02,1.6e-03,7.4e-03,4.3e-01,4.0e-01
20053311,53311,0.0589,43.85,41.268,0.37,51.31,245.04,306.95,0.003394,2476431.86,290,1.2e-05,1.4e-03,1.1e-03,9.5e-05,1.8e-03,2.3e-02,2.2e-02
20054520,54520,0.7655,122.2,28.650,5.72,293.39,303.56,14.03,0.0007299,2441574.79,1.35e+03,2.3e-03,1.0e+00,4.3e-02,3.2e-03,7.3e-03,8.7e-02,1.8e-01
20055565,55565,0.1268,47.22,41.231,24.35,297.39,295.15,301.99,0.003038,2479898.38,324,1.5e-06,3.0e-05,5.4e-05,2.7e-06,4.4e-06,1.8e-04,1.6e-04
20055636,55636,0.1217,43.53,38.231,25.85,324.64,343.24,81.35,0.003432,2437095.83,287,1.1e-06,2.1e-05,4.0e-05,8.6e-07,5.1e-06,1.4e-04,1.7e-04
20055637,55637,0.1462,43,36.717,19.40,204.58,275.27,309.49,0.003495,2475252.50,282,1.2e-06,2.7e-05,3.8e-05,2.0e-06,2.4e-06,1.7e-04,1.3e-04
20055638,55638,0.2929,39.63,28.024,16.32,199.72,207.90,33.58,0.00395,2452298.44,250,1.1e-05,7.3e-04,9.7e-05,1.5e-05,9.3e-05,8.3e-04,1.3e-03
20058534,58534,0.1223,45.16,39.635,2.90,132.54,335.33,71.08,0.003248,2438914.97,303,2.1e-05,2.4e-03,1.2e-03,4.3e-05,8.7e-04,1.6e-02,1.7e-02
20059358,59358,0.2105,41.52,32.778,10.02,120.01,328.26,57.95,0.003684,2445069.12,268,1.2e-05,1.0e-03,3.5e-04,3.4e-05,1.3e-04,3.5e-03,4.3e-03
20060454,60454,0.0831,44.21,40.538,1.16,319.97,292.09,309.60,0.003353,2475831.29,294,1.3e-05,2.1e-03,1.6e-03,6.2e-05,2.7e-03,2.4e-02,2.2e-02
20060458,60458,0.4030,59.45,35.493,19.69,312.28,251.22,347.45,0.00215,2466637.22,458,3.0e-05,3.9e-03,7.1e-04,9.7e-05,1.3e-04,3.6e-03,2.4e-03
20060608,60608,0.5395,48.93,22.534,5.96,293.97,235.19,19.12,0.002879,2454160.15,342,1.4e-05,1.7e-03,6.5e-05,5.0e-06,2.2e-04,3.6e-04,1.1e-03
20060620,60620,0.2173,43.52,34.065,19.53,184.86,81.63,333.71,0.003433,2468458.09,287,1.1e-05,1.2e-03,4.6e-04,3.9e-05,5.7e-05,4.0e-03,3.3e-03
20060621,60621,0.4024,55.09,32.925,5.87,3.93,142.59,38.15,0.00241,2444971.14,409,2.1e-05,2.6e-03,4.6e-04,4.6e-05,2.6e-04,2.6e-03,3.6e-03
20065407,65407,0.9541,54.45,2.498,119.45,38.97,357.94,20.24,0.002453,2452550.79,402,3.8e-06,4.6e-03,1.3e-06,3.7e-05,1.3e-05,7.5e-05,2.5e-03
20065489,65489,0.8231,100.1,17.700,22.30,172.00,319.36,12.86,0.0009844,2447735.94,1e+03,8.0e-06,5.0e-03,9.5e-05,2.5e-05,9.7e-05,5.2e-04,9.9e-04
20066452,66452,0.0615,45.02,42.249,2.66,134.41,88.10,117.38,0.003263,2424830.46,302,1.4e-05,2.1e-03,2.3e-03,8.7e-05,7.1e-04,3.2e-02,3.4e-02
20066652,66652,0.0853,43.86,40.120,0.56,84.67,199.95,67.06,0.003393,2441034.29,290,9.0e-06,8.7e-04,4.4e-04,5.3e-06,4.0e-03,9.1e-03,8.6e-03
20069986,69986,0.2279,39.73,30.679,13.91,233.86,147.88,55.02,0.003935,2446818.81,250,1.1e-04,7.9e-03,1.8e-03,1.6e-04,2.0e-04,1.9e-02,2.8e-02
20069987,69987,0.0231,42.83,41.840,1.05,136.29,232.94,72.58,0.003516,2440160.26,280,4.9e-05,4.5e-03,2.6e-03,8.8e-05,1.0e-02,1.6e-01,1.7e-01
20069988,69988,0.4294,55.66,31.757,9.45,20.65,310.68,50.35,0.002374,2439587.52,415,1.6e-04,2.9e-02,8.3e-03,2.8e-04,7.6e-04,3.7e-02,4.9e-02
20069990,69990,0.1893,39.53,32.045,6.56,237.05,143.59,57.94,0.003966,2446191.96,249,1.8e-04,1.3e-02,3.2e-03,1.6e-04,6.4e-04,3.8e-02,5.3e-02
20073480,73480,0.5677,31.08,13.433,16.62,299.26,358.81,48.79,0.005689,2452224.27,173,3.3e-06,3.0e-04,2.7e-05,5.2e-06,5.0e-05,3.1e-04,7.6e-04
20076803,76803,0.1203,38.67,34.017,33.76,127.43,127.72,77.63,0.004099,2441859.02,240,1.4e-05,1.6e-03,8.9e-04,5.3e-05,4.3e-05,1.3e-02,1.4e-02
20078799,78799,0.2439,37.68,28.491,14.33,46.70,248.55,153.53,0.004261,2424767.58,231,1.9e-05,1.2e-03,1.6e-03,5.4e-05,1.9e-04,4.2e-03,5.8e-03
20079360,79360,0.0127,43.97,43.417,2.24,304.27,214.05,351.56,0.00338,2463298.10,292,1.4e-05,8.5e-04,2.5e-04,3.2e-05,2.2e-04,2.7e-02,2.7e-02
20079969,79969,0.0842,34.8,31.873,3.18,334.18,155.39,69.49,0.004801,2446324.81,205,1.4e-05,9.8e-04,4.0e-04,3.5e-05,4.7e-04,1.0e-02,1.1e-02
20079978,79978,0.2790,54.08,38.990,18.74,336.99,101.56,51.16,0.002479,2440158.56,398,1.4e-05,1.7e-03,5.6e-04,5.5e-05,3.0e-05,3.4e-03,4.0e-03
20079983,79983,0.1429,46.32,39.703,9.81,334.83,175.86,30.55,0.003126,2451029.09,315,1.7e-05,1.2e-03,2.3e-04,4.5e-05,1.2e-04,2.5e-03,2.8e-03
20080806,80806,0.0686,42.21,39.315,3.76,45.55,6.95,107.65,0.003594,2430844.09,274,8.7e-06,1.6e-03,1.7e-03,3.0e-05,1.2e-03,2.5e-02,2.6e-02
20082075,82075,0.2933,58.14,41.085,19.78,126.92,316.30,37.60,0.002223,2443891.14,443,1.3e-05,1.5e-03,3.5e-04,2.9e-05,2.0e-05,2.1e-03,2.4e-03
20082155,82155,0.6164,84.37,32.366,12.73,2.42,198.99,6.76,0.001272,2455484.27,775,1.6e-05,3.9e-03,1.0e-04,1.9e-05,6.0e-05,2.3e-04,4.8e-04
20082157,82157,0.0565,38.48,36.306,5.37,150.76,115.69,297.55,0.004129,2475924.19,239,9.8e-06,9.6e-04,9.8e-04,6.2e-05,4.4e-04,1.9e-02,1.8e-02
20082158,82158,0.8385,211.8,34.193,30.81,179.38,6.59,2.51,0.0003198,2452948.91,3.08e+03,2.7e-05,3.6e-02,1.9e-04,2.8e-05,3.9e-05,4.4e-04,6.6e-04
20084522,84522,0.2994,55.86,39.137,34.99,23.80,85.92,331.36,0.00236,2472935.80,418,9.4e-06,1.1e-03,3.5e-04,3.0e-05,2.5e-05,1.9e-03,1.7e-03
20084719,84719,0.2623,39.69,29.278,13.99,23.02,289.78,85.04,0.003942,2439227.00,250,3.6e-06,7.2e-04,4.6e-04,2.8e-05,7.6e-05,2.8e-03,3.4e-03
20084922,84922,0.0820,39.72,36.461,14.77,302.77,114.71,28.37,0.003938,2453597.09,250,4.0e-07,1.7e-05,1.0e-05,1.6e-06,6.4e-06,5.4e-04,4.5e-04
20085627,85627,0.0845,43.78,40.077,1.52,55.98,253.72,323.19,0.003403,2471617.03,290,5.1e-05,6.2e-03,3.6e-03,1.6e-04,1.9e-03,6.3e-02,5.9e-02
20085633,85633,0.0339,43.55,42.073,1.19,101.96,330.03,268.14,0.003429,2487587.50,287,1.3e-05,2.0e-03,2.3e-03,7.6e-05,3.5e-03,5.7e-02,5.6e-02
20086047,86047,0.1678,43.86,36.499,24.26,301.90,305.20,72.93,0.003393,2439308.02,290,1.2e-05,1.6e-03,8.5e-04,5.5e-05,6.1e-05,8.1e-03,9.0e-03
20086177,86177,0.2417,45.53,34.524,22.18,326.64,51.56,357.32,0.003208,2461636.31,307,1.8e-05,1.4e-03,2.6e-04,3.5e-05,5.1e-05,2.2e-03,1.4e-03
20087269,87269,0.9673,636.9,20.848,20.06,142.36,212.76,0.45,6.132e-05,2453502.93,1.61e+04,1.7e-05,3.4e-01,6.6e-05,9.4e-06,7.7e-05,2.7e-04,3.5e-04
20087555,87555,0.5607,34.95,15.353,6.78,330.20,284.68,57.69,0.00477,2448706.89,207,9.6e-06,1.4e-03,2.7e-04,4.9e-05,2.2e-04,1.9e-03,3.6e-03
20088267,88267,0.0269,42.78,41.629,0.50,113.20,26.21,126.52,0.003522,2424881.79,280,1.7e-03,1.9e-02,6.0e-02,1.4e-03,2.0e-01,1.2e+00,1.4e+00
20088268,88268,0.0157,42.31,41.644,1.89,86.99,246.21,307.83,0.003582,2475366.72,275,1.4e-03,1.1e-02,6.1e-02,1.7e-03,1.6e-02,1.1e+00,1.0e+00
20088611,88611,0.0251,44.12,43.011,2.58,304.84,232.55,174.17,0.003364,2409018.26,293,2.0e-05,1.2e-03,2.1e-03,7.0e-05,1.1e-03,2.9e-02,3.0e-02
20090377,90377,0.8618,551.9,76.262,11.93,144.44,310.94,358.60,7.602e-05,2479152.63,1.3e+04,3.9e-05,1.6e-01,1.2e-03,3.4e-06,2.8e-04,2.1e-03,6.0e-04
20090482,90482,0.2231,39.29,30.523,20.56,268.39,73.80,187.21,0.004002,2503975.12,246,4.9e-07,2.2e-05,3.6e-05,2.0e-06,1.7e-05,4.9e-04,7.5e-04
20090568,90568,0.0750,41.77,38.638,22.04,250.57,289.45,50.86,0.003651,2446867.79,270,8.9e-07,1.7e-05,3.3e-05,1.7e-06,1.9e-06,6.8e-04,5.5e-04
20091133,91133,0.2253,39.19,30.365,5.95,50.33,180.29,39.23,0.004017,2451033.16,245,2.0e-04,1.1e-02,8.9e-04,6.0e-04,3.4e-04,2.0e-01,1.1e-01
20091205,91205,0.1341,39.55,34.245,10.59,223.73,143.73,70.35,0.003963,2443049.53,249,9.0e-05,7.5e-03,3.1e-03,2.5e-04,4.2e-04,4.6e-02,5.3e-02
20091554,91554,0.6973,102.6,31.054,25.51,341.66,336.03,9.16,0.0009487,2451140.51,1.04e+03,2.8e-05,1.0e-02,2.2e-04,4.7e-05,3.6e-05,7.7e-04,1.4e-03
20095625,95625,0.3727,52.71,33.062,13.95,28.25,185.33,26.89,0.002576,2450360.92,383,5.1e-04,5.7e-02,1.1e-02,1.5e-03,2.6e-03,1.5e-01,9.8e-02
20118228,118228,0.1268,39.71,34.673,14.66,10.68,21.92,36.13,0.003939,2451628.66,250,3.7e-05,2.1e-03,4.1e-04,4.5e-05,1.9e-04,4.7e-03,6.3e-03
20118378,118378,0.1093,43.53,38.767,5.06,87.87,189.70,332.38,0.003432,2468848.96,287,3.5e-05,3.3e-03,1.5e-03,8.1e-05,7.7e-04,2.3e-02,2.1e-02
20118379,118379,0.2346,45.09,34.512,15.39,57.07,94.18,75.60,0.003255,2437579.16,303,8.3e-04,3.8e-02,2.9e-02,1.4e-03,1.5e-03,1.4e-01,1.5e-01
20118698,118698,0.2341,43.69,33.465,11.22,285.12,82.63,338.32,0.003413,2467152.48,289,5.8e-05,5.4e-03,1.7e-03,1.1e-04,3.7e-04,1.5e-02,1.2e-02
20118702,118702,0.6034,99.18,39.328,23.37,327.14,349.19,13.16,0.0009979,2447609.03,988,3.6e-04,1.0e-01,4.0e-03,2.9e-04,2.7e-04,1.3e-02,2.2e-02
20119066,119066,0.0769,43.48,40.133,6.75,47.76,274.42,318.17,0.003438,2472966.40,287,8.3e-04,2.0e-02,3.2e-02,1.8e-03,4.4e-03,2.7e-01,2.3e-01
20119067,119067,0.1888,43.37,35.181,7.22,42.90,305.20,305.75,0.003451,2476520.67,286,6.1e-04,2.2e-02,2.7e-02,1.4e-03,4.7e-03,1.1e-01,1.3e-01
20119068,119068,0.3534,54.75,35.401,12.93,57.93,179.67,21.94,0.002433,2451780.85,405,4.1e-04,3.8e-02,2.7e-03,1.5e-03,6.0e-04,1.1e-01,4.3e-02
20119069,119069,0.2390,38.97,29.660,2.36,45.42,281.20,330.31,0.004051,2468130.27,243,6.0e-05,1.4e-02,9.5e-03,1.7e-04,2.0e-03,6.3e-02,4.3e-02
20119070,119070,0.1715,43.46,36.008,3.32,22.06,217.60,29.97,0.00344,2452087.82,287,2.1e-04,1.2e-02,1.8e-03,7.9e-04,1.2e-02,2.2e-01,1.5e-01
20119473,119473,0.2926,40.01,28.300,3.67,36.34,47.31,355.97,0.003895,2461836.31,253,1.7e-05,1.3e-03,2.4e-04,4.7e-05,2.1e-04,2.2e-03,1.3e-03
20119878,119878,0.3485,54.01,35.189,15.72,316.98,151.29,31.26,0.002483,2448212.79,397,1.5e-05,1.6e-03,2.7e-04,3.5e-05,4.5e-05,1.6e-03,2.1e-03
20119951,119951,0.0455,38.62,36.868,0.41,286.68,78.92,268.33,0.004106,2483127.71,240,5.9e-06,6.3e-04,7.7e-04,3.6e-05,3.2e-03,1.5e-02,1.5e-02
20119956,119956,0.1705,43.74,36.282,4.05,105.68,154.04,95.75,0.003407,2432694.19,289,1.4e-05,1.8e-03,1.6e-03,2.1e-05,1.3e-03,1.0e-02,1.2e-02
20119979,119979,0.2654,48.25,35.443,9.17,109.74,43.19,326.91,0.002941,2472051.70,335,1.5e-05,1.8e-03,7.7e-04,5.7e-05,2.0e-04,4.8e-03,4.2e-03
20120132,120132,0.2497,49.2,36.917,11.78,341.74,173.54,39.48,0.002856,2446976.48,345,1.1e-05,9.8e-04,2.3e-04,1.8e-05,8.8e-05,1.8e-03,2.1e-03
20120178,120178,0.1033,43.23,38.768,27.14,183.03,69.50,81.58,0.003467,2437273.28,284,1.3e-06,2.5e-05,4.3e-05,3.4e-06,3.7e-06,1.9e-04,2.1e-04
20120181,120181,0.1779,32.6,26.801,2.72,146.44,249.58,23.94,0.005295,2456279.43,186,7.6e-06,3.7e-04,5.4e-05,4.4e-06,3.6e-04,6.2e-04,6.5e-04
20120216,120216,0.3118,39.17,26.956,29.31,25.78,204.28,10.58,0.004021,2458169.42,245,1.1e-05,7.6e-04,7.9e-05,2.4e-05,1.6e-05,5.1e-04,2.0e-04
20120347,120347,0.1023,42.17,37.858,23.93,280.25,310.11,132.10,0.003599,2424090.86,274,1.7e-06,4.2e-05,7.3e-05,1.0e-06,1.4e-05,9.4e-04,1.2e-03
20120348,120348,0.0672,39.13,36.495,24.83,140.55,352.64,286.82,0.004027,2478972.63,245,1.0e-06,1.8e-05,3.8e-05,3.9e-07,6.0e-06,2.9e-04,3.2e-04
20123509,123509,0.0509,44.71,42.432,1.97,185.52,288.19,344.36,0.003297,2465544.62,299,5.5e-05,3.6e-03,1.2e-03,4.9e-05,5.6e-03,3.9e-02,3.6e-02
20126154,126154,0.1443,42.48,36.354,11.06,108.78,355.19,32.66,0.003559,2451624.00,277,1.1e-05,7.1e-04,1.5e-04,2.1e-05,5.1e-05,2.0e-03,2.2e-03
20126155,126155,0.2974,39.68,27.882,5.97,319.45,129.58,24.18,0.003943,2454668.57,250,1.8e-05,1.2e-03,1.4e-04,2.8e-05,1.4e-04,9.7e-04,1.6e-03
20126619,126619,0.4672,71.15,37.910,15.98,346.95,160.92,18.64,0.001642,2449450.21,600,1.0e-04,1.6e-02,1.4e-03,1.4e-04,2.0e-04,6.1e-03,8.2e-03
20126719,126719,0.1896,46.87,37.982,0.84,248.14,307.09,5.63,0.003072,2458966.90,321,1.8e-05,1.3e-03,2.0e-04,2.5e-05,2.9e-03,3.5e-03,1.2e-03
20127546,127546,0.6853,66.67,20.979,77.95,90.21,27.92,11.01,0.001811,2454720.73,544,1.9e-05,4.4e-03,7.7e-05,1.9e-05,3.1e-05,2.7e-04,1.1e-03
20127871,127871,0.0871,34.86,31.827,2.37,78.41,36.70,78.90,0.004788,2444321.53,206,1.2e-05,9.3e-04,5.3e-04,2.0e-05,1.5e-03,1.1e-02,1.2e-02
20129746,129746,0.2651,39.09,28.726,1.48,171.68,34.18,19.57,0.004033,2455947.81,244,1.6e-05,1.0e-03,1.2e-04,2.9e-05,1.2e-03,1.5e-03,1.0e-03
20129772,129772,0.0308,43.48,42.143,3.31,83.27,124.37,16.51,0.003437,2455997.05,287,5.6e-05,3.3e-03,7.3e-04,7.9e-05,1.6e-03,2.2e-02,2.0e-02
20130391,130391,0.2768,47.17,34.111,23.49,46.05,168.96,32.31,0.003042,2450179.51,324,4.6e-04,3.5e-02,4.0e-03,6.5e-04,1.9e-04,6.0e-02,4.6e-02
20131318,131318,0.1728,39.18,32.412,13.71,2.10,170.05,42.15,0.004019,2450313.07,245,4.6e-05,2.9e-03,5.9e-04,6.6e-05,1.6e-04,7.1e-03,9.4e-03
20131695,131695,0.0558,37.34,35.252,4.26,94.64,5.62,41.89,0.00432,2451103.16,228,3.9e-05,2.2e-03,6.6e-04,7.6e-05,7.3e-04,2.2e-02,2.3e-02
20131696,131696,0.3255,53.18,35.870,0.52,359.49,132.79,8.91,0.002542,2457295.11,388,3.5e-05,3.2e-03,3.0e-04,5.4e-05,6.2e-03,6.5e-03,1.2e-03
20131697,131697,0.0755,35.01,32.362,2.85,323.10,217.60,334.66,0.004759,2466125.25,207,2.5e-05,1.6e-03,6.8e-04,7.8e-05,3.2e-04,1.9e-02,1.7e-02
20133067,133067,0.2576,39.38,29.238,8.90,209.58,304.00,66.11,0.003988,2444224.77,247,1.1e-05,1.1e-03,4.6e-04,5.2e-05,1.7e-04,3.6e-03,4.5e-03
20134210,134210,0.3962,62.41,37.683,6.49,316.40,22.75,12.66,0.001999,2454465.26,493,4.5e-05,5.3e-03,3.9e-04,6.0e-05,3.7e-04,1.6e-03,1.8e-03
20134340,134340,0.2518,39.59,29.619,17.15,110.29,113.71,38.68,0.003957,2447812.09,249,,,,,,,
20134568,134568,0.1517,43.88,37.223,10.20,276.90,59.56,34.73,0.003391,2450557.97,291,6.3e-04,4.1e-02,6.6e-03,1.2e-04,1.8e-03,4.6e-02,8.1e-02
20134860,134860,0.0176,42.94,42.187,1.11,96.78,154.21,99.37,0.003503,2432431.28,281,1.1e-05,1.2e-03,1.2e-03,3.3e-05,3.4e-03,7.1e-02,7.2e-02
20135024,135024,0.1108,43.46,38.642,2.16,44.26,300.35,276.91,0.003441,2484950.00,286,2.0e-05,3.5e-03,3.8e-03,1.5e-04,1.0e-03,3.1e-02,3.0e-02
20135182,135182,0.0163,37.27,36.663,1.83,224.34,67.58,94.94,0.004332,2438883.73,228,2.3e-04,1.4e-02,1.1e-02,4.2e-04,1.3e-02,9.3e-01,9.4e-01
20135571,135571,0.3476,54.93,35.839,14.70,35.84,231.11,1.37,0.002421,2460235.54,407,4.8e-04,3.5e-02,1.6e-02,1.3e-03,1.2e-03,1.3e-01,5.1e-02
20135742,135742,0.1224,43.74,38.390,5.45,336.82,290.39,77.70,0.003407,2437991.22,289,3.0e-04,2.6e-02,1.1e-02,4.4e-04,7.2e-04,1.6e-01,1.9e-01
