spkid,e,a,q,i,full_name,Name,names
3547316,0.9860,439.3,6.146,143.92,       (2010 BK118),2010 BK118,
3509221,0.9084,31.59,2.895,146.14,       (2010 CG55),2010 CG55,
3510626,0.9883,227.5,2.653,8.32,       (2010 DD57),2010 DD57,
3512039,0.9547,33.17,1.503,156.40,       (2010 EB46),2010 EB46,
3512264,0.4020,59.82,35.769,24.84,       (2010 EQ65),2010 EQ65,
3515020,0.0616,39.14,36.733,23.00,       (2010 EL139),2010 EL139,
54180440,0.9463,49.39,2.652,29.21,       (2010 EX175),2010 EX175,
3515022,0.0589,46.55,43.806,25.19,       (2010 FX86),2010 FX86,
3516402,0.9403,61.8,3.687,105.36,       (2010 GW64),2010 GW64,
54422755,0.8206,35.99,6.458,84.19,       (2010 GS136),2010 GS136,
3517549,0.9699,178.5,5.377,99.61,       (2010 GW147),2010 GW147,
3636243,0.8610,347.8,48.363,21.56,       (2010 GB174),2010 GB174,
3518363,0.5796,32.35,13.600,5.39,       (2010 HM23),2010 HM23,
3532410,0.2334,39.84,30.539,29.17,       (2010 HG109),2010 HG109,
3540749,0.0303,44.49,43.144,3.89,       (2010 HD112),2010 HD112,
3523334,0.9618,69.32,2.646,53.39,       (2010 JH124),2010 JH124,
3523335,0.7157,83.08,23.623,37.81,       (2010 JJ124),2010 JJ124,
3523336,0.1187,40.23,35.456,15.55,       (2010 JK124),2010 JK124,
54106581,0.5576,61.65,27.271,11.21,       (2010 JE215),2010 JE215,
3525142,0.0563,45.01,42.480,26.16,       (2010 KZ39),2010 KZ39,
3529682,0.0585,36.28,34.155,10.79,       (2010 LP68),2010 LP68,
3529683,0.1852,44.09,35.927,3.20,       (2010 LQ68),2010 LQ68,
3532399,0.0717,45.14,41.902,7.76,       (2010 LK109),2010 LK109,
54180517,0.9999,1.91e+04,1.743,64.57,       (2010 LN135),2010 LN135,
3755959,0.2611,39.25,29.006,14.09,       (2010 LB136),2010 LB136,
3755958,0.4042,63.68,37.943,19.54,       (2010 MR116),2010 MR116,
