spkid,e,a,q,i,full_name,Name,names
20091205,0.1348,39.54,34.207,10.58, 91205 (1998 US43),91205,
20091554,0.6987,103.1,31.062,25.49, 91554 (1999 RZ215),91554,
20095625,0.3723,52.71,33.084,13.95, 95625 (2002 GX32),95625,
20118228,0.1274,39.71,34.654,14.65,118228 (1996 TQ66),118228,
20118378,0.1095,43.51,38.747,5.06,118378 (1999 HT11),118378,
20118379,0.2337,45.07,34.532,15.39,118379 (1999 HC12),118379,
20118698,0.2355,43.78,33.471,11.22,118698 (2000 OY51),118698,
20118702,0.6046,99.49,39.345,23.35,118702 (2000 OM67),118702,
20119066,0.0779,43.5,40.117,6.75,119066 (2001 KJ76),119066,
20119067,0.1897,43.4,35.170,7.22,119067 (2001 KP76),119067,
20119068,0.3535,54.79,35.422,12.93,119068 (2001 KC77),119068,
20119069,0.2399,39.01,29.652,2.36,119069 (2001 KN77),119069,
20119070,0.1716,43.49,36.029,3.32,119070 (2001 KP77),119070,
20119473,0.2926,40.01,28.302,3.67,119473 (2001 UO18),119473,
20119878,0.3474,53.88,35.163,15.73,119878 (2002 CY224),119878,
20119951,0.0462,38.64,36.852,0.41,119951 (2002 KX14),119951,
20119956,0.1704,43.81,36.347,4.05,119956 (2002 PA149),119956,
20119979,0.2643,48.19,35.455,9.17,119979 (2002 WC19),119979,
20120132,0.2485,49.12,36.915,11.78,120132 (2003 FY128),120132,
20120178,0.1033,43.3,38.828,27.11,120178 (2003 OP32),120178,
20120181,0.1786,32.62,26.792,2.72,120181 (2003 UR292),120181,
20120216,0.3115,39.16,26.961,29.32,120216 (2004 EW95),120216,
20120347,0.1014,42.24,37.956,23.93,120347 Salacia (2004 SB60),120347,Salacia
20120348,0.0667,39.15,36.540,24.83,120348 (2004 TY364),120348,
20123509,0.0501,44.68,42.441,1.97,123509 (2000 WK183),123509,
20126154,0.1433,42.41,36.333,11.07,126154 (2001 YH140),126154,
20126155,0.2967,39.62,27.867,5.97,126155 (2001 YJ140),126155,
20126619,0.4656,70.93,37.903,15.99,126619 (2002 CX154),126619,
20126719,0.1881,46.78,37.984,0.84,126719 (2002 CC249),126719,
20127546,0.6843,66.41,20.967,77.95,127546 (2002 XU93),127546,
20127871,0.0866,34.82,31.802,2.37,127871 (2003 FC128),127871,
20129746,0.2643,39.06,28.734,1.48,129746 (1999 CE119),129746,
20129772,0.0297,43.44,42.150,3.31,129772 (1999 HR11),129772,
20130391,0.2764,47.18,34.134,23.50,130391 (2000 JG81),130391,
20131318,0.1717,39.14,32.418,13.71,131318 (2001 FL194),131318,
20131695,0.0550,37.28,35.229,4.26,131695 (2001 XS254),131695,
20131696,0.3239,53.05,35.865,0.52,131696 (2001 XT254),131696,
20131697,0.0741,34.95,32.359,2.85,131697 (2001 XH255),131697,
20133067,0.2568,39.36,29.249,8.90,133067 (2003 FB128),133067,
