Name,mag.,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),LCEx1E6,My,
1031,9.48,3.0468871,0.0933964,0.3133852,67.672763,48.003846,-63.467081,1.32,-2
1032,9.92,3.1338284,0.1514634,0.1412866,64.868501,115.188493,-95.703316,0.73,-2
1033,11.05,3.0028641,0.0920255,0.1857194,69.163423,70.689539,-71.897781,1.40,-2
1034,12.18,2.2927835,0.2192649,0.0801988,103.681878,35.698740,-42.851018,54.98,2
1035,10.13,3.1416381,0.1895712,0.3058201,64.630006,73.865596,-83.032997,51.83,10
1037,13.49,2.2545957,0.1516315,0.1078945,106.333032,33.524552,-37.501843,162.90,2
1038,10.41,3.9648357,0.1639678,0.1432974,45.598577,-542.988866,-79.121220,1.97,-2
1039,11.33,2.6800228,0.1045006,0.0921871,82.035992,54.821483,-55.516676,1.49,-2
1040,10.30,3.1176577,0.2039419,0.2928154,65.378634,68.919401,-85.697880,17.85,-2
1041,10.04,3.0733952,0.1324659,0.2175956,66.789085,76.043023,-78.916191,99.09,10
1042,9.82,3.2240578,0.0882565,0.3407827,62.171129,201.821530,-66.692580,63.06,10
1043,9.56,3.0928274,0.0302370,0.1467340,66.165557,93.054092,-76.766619,0.49,-2
1044,10.70,2.5767501,0.1538085,0.0621091,87.018348,52.282533,-54.270758,0.31,10
1045,12.99,2.3587607,0.1619917,0.0197665,99.361776,38.884231,-42.827530,3.18,2
1046,10.59,2.9840720,0.0511446,0.1383352,69.817570,75.165245,-70.768069,1.68,-2
1047,11.87,2.2409991,0.1553344,0.0847075,107.298268,33.640368,-37.334417,17.35,2
1048,9.61,2.7315354,0.2181964,0.2476891,79.726376,43.696155,-62.316948,1.47,-2
1049,10.32,3.0952182,0.1045289,0.2680223,66.091662,67.419577,-71.733127,1.58,-2
1050,12.07,2.6250451,0.1495715,0.2276234,84.629123,41.870275,-50.873314,1.33,-2
1051,9.97,3.2111116,0.1063704,0.3945434,62.549696,118.042511,-62.066089,28.26,-2
1052,11.89,2.2358602,0.1282501,0.0732118,107.667132,33.668518,-36.211877,16.61,2
1053,12.07,2.6148273,0.0860873,0.1420487,85.123831,48.684890,-49.790937,28.67,-2
1054,10.44,2.9211541,0.0990908,0.1701518,72.086935,64.941796,-67.792610,1.45,-2
1055,11.85,2.1984591,0.1422240,0.0862057,110.428737,32.133668,-35.368571,39.05,2
1056,11.64,2.2299936,0.1230480,0.0795102,108.093878,33.324504,-35.809655,22.72,2
1057,10.85,2.8926437,0.2062031,0.0862484,73.152429,74.398356,-84.341054,1.94,-2
1058,11.56,2.1963026,0.1235340,0.0757763,110.590944,32.307319,-34.737375,25.38,2
1059,10.82,2.6427207,0.1678574,0.1872300,83.780279,46.489585,-54.931664,1.43,-2
