nonecol,sma,rms_sma,e,rms_e,sini,rms_sini,g,s,Hmag,numopp,packname,Name
,2.767028,0.23E-04,0.115193,0.16E-03,0.167560,0.13E-04,54.253800,-59.249995,3.340,123,00001,1
,2.771276,0.12E-03,0.280234,0.34E-03,0.546016,0.45E-04,-1.372312,-46.451120,4.120,121,00002,2
,2.669376,0.75E-05,0.233600,0.95E-05,0.229144,0.25E-05,43.858531,-61.476025,5.170,114,00003,3
,2.361512,0.59E-07,0.099452,0.14E-03,0.111023,0.18E-03,36.882605,-39.610314,3.220,110,00004,4
,2.577657,0.29E-04,0.171249,0.12E-01,0.076113,0.14E-02,52.506470,-51.132322,7.000,87,00005,5
,2.425275,0.15E-05,0.158950,0.13E-03,0.249017,0.52E-03,31.540156,-41.819571,5.610,103,00006,6
,2.386116,0.27E-04,0.210605,0.51E-03,0.108920,0.48E-03,38.458755,-46.352563,5.640,90,00007,7
,2.201393,0.20E-04,0.144783,0.12E-03,0.096433,0.17E-03,32.049097,-35.508300,6.610,94,00008,8
,2.386436,0.32E-05,0.127508,0.84E-04,0.081626,0.49E-04,38.763873,-42.014077,6.320,86,00009,9
,3.141917,0.59E-04,0.135147,0.93E-04,0.088733,0.49E-05,128.714227,-97.051050,5.640,99,00010,10
,2.452256,0.18E-06,0.074519,0.22E-04,0.067789,0.15E-04,40.764583,-43.166575,6.730,105,00011,11
,2.334262,0.39E-04,0.174974,0.64E-04,0.162217,0.61E-04,34.152919,-40.893417,7.310,82,00012,12
,2.576296,0.12E-05,0.126367,0.11E-03,0.276336,0.48E-04,35.937744,-45.446496,6.930,74,00013,13
,2.587547,0.14E-05,0.198285,0.15E-04,0.145452,0.59E-04,48.841992,-56.278925,6.560,84,00014,14
,2.643475,0.32E-05,0.148582,0.81E-04,0.226506,0.50E-04,42.699508,-52.035733,5.410,84,00015,15
,2.922133,0.76E-05,0.102836,0.23E-03,0.044006,0.24E-04,76.932586,-73.291465,6.210,93,00016,16
,2.471116,0.71E-05,0.137893,0.16E-04,0.084985,0.30E-04,43.752221,-46.311410,7.940,96,00017,17
,2.295882,0.14E-03,0.178486,0.57E-04,0.169080,0.46E-04,32.651574,-39.374445,6.340,85,00018,18
,2.442013,0.17E-06,0.134582,0.17E-04,0.038793,0.24E-04,41.875606,-45.185309,7.500,96,00019,19
,2.408640,0.80E-05,0.161834,0.28E-04,0.024686,0.46E-04,40.879490,-45.112965,6.540,92,00020,20
,2.435261,0.61E-06,0.129307,0.34E-04,0.037558,0.41E-04,41.505588,-44.630641,7.530,81,00021,21
,2.909622,0.15E-04,0.088144,0.54E-03,0.217968,0.17E-04,56.844262,-63.325491,6.810,86,00022,22
,2.627927,0.35E-04,0.254512,0.53E-04,0.167297,0.96E-05,48.696314,-64.617718,7.170,70,00023,23
,3.134511,0.17E-05,0.152781,0.24E-05,0.018906,0.48E-06,132.108471,-103.436895,7.260,94,00024,24
,2.400157,0.51E-05,0.226776,0.18E-03,0.397599,0.15E-03,17.631613,-38.588394,7.890,73,00025,25
,2.655651,0.22E-06,0.119981,0.23E-03,0.053066,0.39E-03,55.386894,-55.884593,7.580,85,00026,26
,2.347028,0.17E-05,0.186290,0.16E-03,0.012351,0.59E-04,38.578238,-43.675816,7.090,77,00027,27
,2.777427,0.18E-05,0.178598,0.22E-04,0.147810,0.40E-04,57.529008,-66.830717,7.280,105,00028,28
,2.554301,0.14E-06,0.073488,0.36E-03,0.112220,0.11E-03,49.714787,-47.277326,5.980,97,00029,29
,2.365631,0.87E-07,0.106183,0.50E-03,0.049653,0.33E-03,38.597086,-40.572204,7.600,80,00030,30
,3.155069,0.24E-04,0.208449,0.17E-03,0.446249,0.43E-04,31.501776,-65.066098,6.880,64,00031,31
,2.587035,0.32E-06,0.112053,0.66E-04,0.108333,0.40E-03,50.282578,-50.658039,7.790,75,00032,32
,2.866178,0.21E-03,0.295061,0.97E-04,0.034778,0.66E-04,83.510951,-107.930515,8.520,74,00033,33
,2.686788,0.49E-06,0.144908,0.94E-04,0.097484,0.42E-04,55.365128,-58.892572,8.790,71,00034,34
,2.995743,0.14E-03,0.263650,0.84E-04,0.146120,0.48E-04,84.032695,-108.850310,8.730,67,00035,35
,2.747394,0.21E-04,0.273422,0.71E-04,0.324444,0.30E-04,34.203806,-64.817439,8.590,56,00036,36
,2.642129,0.53E-06,0.159702,0.55E-04,0.057422,0.14E-04,54.798843,-58.076885,7.410,93,00037,37
,2.740826,0.10E-05,0.168280,0.66E-04,0.135786,0.26E-04,56.070509,-63.548248,8.510,66,00038,38
,2.768728,0.48E-06,0.069381,0.47E-04,0.170392,0.17E-04,53.886490,-56.663092,5.970,91,00039,39
,2.267267,0.83E-06,0.020955,0.19E-03,0.065183,0.31E-04,34.768528,-35.198622,6.550,78,00040,40
,2.764584,0.17E-04,0.304945,0.12E-03,0.267066,0.46E-04,44.482792,-76.791865,7.660,68,00041,41
,2.441265,0.41E-05,0.188781,0.15E-03,0.132633,0.35E-04,40.068577,-47.128143,7.710,80,00042,42
,2.203324,0.22E-04,0.142273,0.26E-03,0.075420,0.10E-02,32.599765,-35.597435,7.970,80,00043,43
,2.422633,0.33E-04,0.173394,0.20E-03,0.053357,0.34E-04,41.287830,-46.331764,6.750,84,00044,44
,2.720739,0.18E-06,0.112615,0.73E-04,0.105481,0.63E-04,56.669334,-58.385923,7.790,79,00045,45
,2.525936,0.73E-04,0.117732,0.17E-03,0.043211,0.62E-04,58.918588,-48.954429,8.580,81,00046,46
,2.880088,0.87E-05,0.112678,0.46E-04,0.090602,0.21E-04,70.373704,-69.795106,8.200,77,00047,47
,3.112398,0.19E-05,0.063647,0.76E-06,0.115035,0.61E-06,105.422428,-82.091774,7.170,93,00048,48
,3.089267,0.12E-04,0.198136,0.19E-03,0.081588,0.49E-03,109.786134,-107.804164,8.060,83,00049,49
,2.649830,0.41E-04,0.249016,0.10E-02,0.046647,0.63E-03,55.515843,-69.362441,9.500,70,00050,50
,2.365715,0.41E-06,0.114380,0.23E-04,0.174030,0.11E-04,34.327948,-39.276191,7.750,89,00051,51
,3.096758,0.34E-05,0.118564,0.82E-05,0.110897,0.50E-06,102.565928,-87.895738,6.670,90,00052,52
,2.618673,0.36E-04,0.215071,0.59E-02,0.079777,0.50E-03,53.391957,-62.247288,8.940,74,00053,53
,2.710485,0.61E-05,0.188556,0.31E-04,0.211356,0.60E-05,47.433126,-60.075986,7.990,63,00054,54
,2.759692,0.23E-05,0.106382,0.85E-04,0.122178,0.54E-04,57.850575,-59.906534,7.870,70,00055,55
,2.597965,0.33E-05,0.211051,0.11E-03,0.152797,0.68E-04,48.605910,-57.950040,8.580,68,00056,56
,3.153942,0.81E-05,0.097202,0.11E-04,0.265206,0.16E-04,90.503065,-74.662724,7.020,95,00057,57
,2.699978,0.45E-06,0.084676,0.63E-04,0.082154,0.23E-04,56.607148,-56.024701,9.070,76,00058,58
,2.713337,0.51E-06,0.071886,0.16E-02,0.145311,0.10E-03,53.222708,-54.852090,8.160,78,00059,59
,2.393140,0.12E-03,0.202083,0.50E-04,0.071667,0.13E-03,39.826789,-46.567283,8.650,73,00060,60
,2.984278,0.62E-04,0.151348,0.42E-04,0.311364,0.91E-05,44.367626,-65.514325,7.790,70,00061,61
,3.121692,0.79E-06,0.149828,0.16E-04,0.022525,0.26E-05,124.039707,-100.892357,8.970,76,00062,62
,2.395162,0.57E-06,0.120679,0.25E-04,0.108422,0.49E-04,38.241487,-41.777917,7.130,76,00063,63
,2.681357,0.26E-04,0.152264,0.18E-04,0.039795,0.14E-03,57.372045,-60.188142,7.800,77,00064,64
,3.425839,0.62E-04,0.133942,0.53E-04,0.054565,0.17E-05,205.181015,-174.075739,6.870,96,00065,65
,2.645967,0.23E-06,0.143937,0.77E-04,0.056060,0.97E-04,54.916030,-57.015808,9.550,67,00066,66
,2.420904,0.32E-06,0.153672,0.69E-03,0.115525,0.17E-04,39.191204,-44.380181,8.420,66,00067,67
,2.782079,0.61E-06,0.148419,0.37E-04,0.127671,0.14E-04,59.240487,-64.710578,6.900,89,00068,68
,2.979592,0.77E-05,0.181714,0.34E-03,0.154990,0.25E-04,76.054909,-85.071724,7.240,81,00069,69
,2.615440,0.34E-03,0.153657,0.48E-03,0.193893,0.36E-04,45.157846,-52.293305,8.230,68,00070,70
,2.755200,0.94E-05,0.163452,0.32E-02,0.419338,0.35E-04,16.126190,-45.529336,7.260,66,00071,71
,2.266221,0.13E-06,0.073572,0.27E-03,0.103208,0.25E-03,33.893666,-35.556858,9.110,66,00072,72
,2.664718,0.36E-06,0.040715,0.32E-03,0.044818,0.40E-04,55.802734,-52.983832,9.110,59,00073,73
,2.779508,0.73E-06,0.199450,0.28E-04,0.074322,0.84E-04,63.717102,-72.583763,8.960,66,00074,74
,2.672281,0.35E-04,0.269225,0.95E-04,0.084311,0.83E-05,56.595233,-73.814991,9.290,68,00075,75
,3.399095,0.30E-04,0.179042,0.25E-04,0.049147,0.31E-05,250.751223,-213.569505,8.080,81,00076,76
,2.668707,0.18E-06,0.113562,0.14E-03,0.046517,0.27E-03,56.221072,-56.340563,8.650,70,00077,77
,2.621259,0.15E-03,0.236553,0.15E-03,0.155576,0.72E-04,49.219787,-62.307518,8.350,79,00078,78
,2.444312,0.50E-04,0.176595,0.11E-03,0.087002,0.42E-04,41.788463,-47.235102,7.780,85,00079,79
,2.295951,0.55E-04,0.151704,0.14E-03,0.162359,0.66E-04,32.859643,-38.344471,8.110,76,00080,80
,2.854068,0.13E-04,0.180523,0.44E-05,0.143122,0.10E-04,66.745651,-73.757065,8.720,59,00081,81
,2.762399,0.71E-05,0.249991,0.27E-05,0.047120,0.16E-04,64.605149,-80.193385,8.290,77,00082,82
,2.431485,0.29E-07,0.117000,0.14E-04,0.079399,0.25E-04,40.350059,-43.564042,8.780,69,00083,83
,2.362124,0.28E-04,0.192225,0.46E-03,0.162901,0.38E-03,35.110246,-43.039539,9.370,60,00084,84
,2.653681,0.16E-05,0.151562,0.92E-05,0.218600,0.13E-04,43.897494,-53.136095,7.980,71,00085,85
,3.106413,0.19E-03,0.183349,0.21E-03,0.063964,0.83E-03,116.870882,-106.542793,8.750,66,00086,86
,3.485292,0.28E-04,0.054077,0.20E-04,0.170895,0.19E-05,134.875041,-130.862018,6.960,77,00087,87
,2.768156,0.91E-06,0.145222,0.16E-04,0.109189,0.12E-04,59.655032,-64.070424,7.300,81,00088,88
,2.551595,0.97E-06,0.124747,0.69E-04,0.287349,0.93E-04,35.360812,-43.915330,6.370,71,00089,89
,3.146194,0.64E-06,0.153843,0.71E-06,0.023120,0.68E-06,140.790730,-105.337325,8.470,86,00090,90
,2.589951,0.24E-06,0.090557,0.12E-02,0.041522,0.40E-03,52.680376,-49.620929,9.160,76,00091,91
,3.194505,0.95E-04,0.072095,0.28E-04,0.151396,0.38E-05,174.720312,-84.671284,6.800,83,00092,92
,2.754665,0.11E-05,0.142413,0.12E-03,0.154450,0.27E-04,55.047852,-61.206336,7.940,72,00093,93
,3.157895,0.71E-06,0.073707,0.10E-06,0.143235,0.44E-06,126.281376,-84.045693,7.740,73,00094,94
,3.068902,0.32E-05,0.127972,0.23E-05,0.237277,0.15E-05,70.438922,-76.002933,8.030,72,00095,95
,3.052081,0.51E-05,0.184301,0.60E-05,0.284604,0.18E-05,57.435040,-77.507624,7.700,55,00096,96
,2.668847,0.84E-05,0.238898,0.66E-05,0.209263,0.78E-05,46.066383,-63.264962,7.850,70,00097,97
,2.686894,0.16E-05,0.244742,0.40E-04,0.262127,0.12E-04,40.644195,-61.896168,8.990,53,00098,98
,2.663600,0.55E-05,0.228722,0.21E-04,0.220155,0.17E-04,44.604290,-61.034772,9.510,47,00099,99
,3.094550,0.40E-05,0.149722,0.24E-04,0.090999,0.52E-05,106.387682,-94.848288,7.820,82,00100,100
,2.583280,0.16E-06,0.109929,0.18E-04,0.179817,0.11E-04,45.393596,-48.478104,8.470,63,00101,101
,2.662120,0.15E-03,0.205766,0.92E-04,0.100623,0.41E-03,54.377158,-63.316539,9.510,63,00102,102
,2.702080,0.60E-06,0.052803,0.62E-03,0.078068,0.40E-03,56.912352,-54.896001,7.800,80,00103,103
,3.148056,0.70E-04,0.144449,0.30E-06,0.041999,0.49E-06,139.921429,-102.403793,8.580,78,00104,104
,2.373240,0.50E-05,0.205873,0.34E-03,0.370462,0.10E-03,19.795740,-37.649484,8.760,62,00105,105
,3.171157,0.52E-03,0.144718,0.14E-03,0.062371,0.54E-04,162.512531,-104.842647,7.840,78,00106,106
,3.485956,0.26E-05,0.092832,0.32E-04,0.169053,0.10E-04,138.651111,-139.742432,7.130,75,00107,107
,3.220953,0.28E-05,0.106454,0.33E-05,0.083363,0.12E-05,316.153755,-98.975766,8.010,80,00108,108
,2.696171,0.58E-04,0.264145,0.33E-03,0.148981,0.73E-04,54.163238,-72.539269,9.010,62,00109,109
,2.732863,0.12E-06,0.045066,0.15E-02,0.089019,0.73E-03,58.119053,-56.297173,7.910,71,00110,110
,2.594140,0.55E-05,0.123837,0.10E-02,0.101342,0.23E-03,50.908528,-51.994280,8.260,64,00111,111
