,des,type,p,q,soi,a,e,i,q.1,Name
45,42355, scattering,0,0, S,37.79,0.536,2.429,17.53456,2002 CR46
46,44594, scattering,0,0, S,32.222,0.454,2.623,17.593212,1999 OX3
47,45802, classical, m,0, S,43.424,0.012,1.182,42.902912,2000 PV29
48,47171, resonant,3,2, S,39.407,0.225,8.415,30.540425,1999 TC36
49,47932, resonant,3,2, S,39.341,0.281,10.815,28.286179,2000 GN171
50,48639, classical, o,0, S,52.53,0.237,0.245,40.08039,1995 TL8
51,49036, centaur,0,0, S,19.975,0.136,9.348,17.2584,1998 QM107
52,49673, classical, m,0, S,43.124,0.103,22.527,38.682228,1999 RA215
53,50000, classical, m,0, S,43.335,0.037,7.991,41.731605,2002 LM60
54,52747, classical, m,0, I,44.397,0.06,0.546,41.73318,1998 HM151
55,52872, jc,0,0, S,8.346,0.306,15.655,5.792124,1998 SG35
56,52975, centaur,0,0, S,26.168,0.379,12.636,16.250328,1998 TF35
57,53311, classical, m,0, S,44.066,0.062,0.368,41.333908,1999 HU11
58,54520, scattering,0,0, I,123.276,0.768,5.707,28.600032,2000 PJ30
59,54598, centaur,0,0, S,16.49,0.201,20.737,13.17551,2000 QC243
60,55565, classical, m,0, S,47.196,0.129,24.383,41.107716,2002 AW197
61,55576, centaur,0,0, S,25.011,0.393,13.343,15.181677,2002 GB10
62,55636, classical, m,0, S,43.253,0.123,25.854,37.932881,2002 TX300
63,55637, classical, m,0, S,42.668,0.142,19.434,36.609144,2002 UX25
64,55638, resonant,3,2, S,39.294,0.288,16.327,27.977328,2002 VE95
65,58534, classical, m,0, S,45.218,0.12,2.898,39.79184,1997 CQ29
66,59358, scattering,0,0, S,41.446,0.208,10.029,32.825232,1999 CL158
67,60454, classical, m,0, S,44.316,0.086,1.164,40.504824,2000 CH105
68,60458, detached,0,0, S,59.496,0.404,19.702,35.459616,2000 CM114
69,60558, centaur,0,0, S,10.712,0.457,4.341,5.816616,2000 EC98
70,60608, scattering,0,0, S,49.18,0.541,5.951,22.57362,2000 EE173
71,60620, resonant,7,4, S,43.742,0.221,19.511,34.075018,2000 FD8
72,60621, resonant,5,2, S,55.315,0.402,5.871,33.07837,2000 FE8
73,63252, centaur,0,0, S,9.756,0.297,12.585,6.858468,2001 BL41
74,65489, scattering,0,0, S,100.526,0.823,22.296,17.793102,2003 FX128
75,66452, classical, m,0, S,44.95,0.065,2.659,42.02825,1999 OF4
76,66652, resonant,7,4, I,43.731,0.087,0.563,39.926403,1999 RZ253
77,69986, resonant,3,2, S,39.435,0.225,13.933,30.562125,1998 WW24
78,69987, classical, m,0, S,42.516,0.022,1.047,41.580648,1998 WA25
79,69988, resonant,5,2, S,55.181,0.429,9.456,31.508351,1998 WA31
80,69990, resonant,3,2, S,39.232,0.186,6.578,31.934848,1998 WU31
81,73480, scattering,0,0, S,30.911,0.569,16.634,13.322641,2002 PN34
82,76803, classical, i,0, S,38.606,0.123,33.732,33.857462,2000 PK30
83,78799, scattering,0,0, S,37.498,0.249,14.356,28.160998,2002 XW93
84,79360, classical, m,0, S,43.86,0.011,2.245,43.37754,1997 CS29
85,79969, resonant,5,4, S,34.891,0.083,3.178,31.995047,1999 CP133
86,79978, resonant,12,5, S,53.88,0.275,18.745,39.063,1999 CC158
87,79983, classical, m,0, S,46.385,0.142,9.819,39.79833,1999 DF9
88,80806, classical, m,0, S,42.171,0.066,3.756,39.387714,2000 CM105
89,82075, resonant,8,3, S,57.825,0.289,19.81,41.113575,2000 YW134
90,82155, scattering,0,0, S,85.191,0.62,12.72,32.37258,2001 FZ173
