,des,type,p,q,soi,a,e,i,q.1,Name
686,532037, resonant,41,15, I,58.786,0.395,33.121,35.56553,2013 FY27
687,532038, classical, m,0, S,45.824,0.063,15.645,42.937088,2013 FB28
688,532039, resonant,7,4, S,43.668,0.241,2.993,33.144012,2013 FR28
689,532092, resonant,3,2, S,39.525,0.122,20.794,34.70295,2013 HU156
690,532093, classical, m,0, S,47.363,0.177,18.134,38.979749,2013 HV156
691,532094, centaur,0,0, S,24.417,0.196,14.909,19.631268,2013 HX156
692,532095, resonant,19,12, I,40.858,0.063,21.4,38.283946,2013 HY156
693,532184, scattering,0,0, S,79.436,0.624,21.174,29.867936,2013 OR11
694,532660, centaur,0,0, S,8.923,0.23,7.047,6.87071,2013 VE2
695,533028, resonant,7,4, S,43.695,0.247,4.318,32.902335,2014 AL55
696,533085, scattering,0,0, S,45.844,0.341,15.696,30.211196,2014 BW64
697,533205, classical, m,0, S,43.82,0.018,1.928,43.03124,2014 DD143
698,533206, classical, m,0, S,43.226,0.015,6.481,42.57761,2014 DE143
699,533207, classical, i,0, S,37.911,0.018,6.943,37.228602,2014 DJ143
700,533208, resonant,25,6, S,77.918,0.544,26.019,35.530608,2014 DQ143
701,533209, resonant,3,2, S,39.296,0.293,10.293,27.782272,2014 DR143
702,533210, resonant,25,4, S,102.183,0.648,25.434,35.968416,2014 DT143
703,533211, resonant,4,3, S,36.528,0.135,13.59,31.59672,2014 DU143
704,533396, centaur,0,0, S,25.24,0.311,22.764,17.39036,2014 GQ53
705,533397, classical, m,0, S,43.889,0.036,5.934,42.308996,2014 GZ53
706,533398, resonant,8,5, IH,41.049,0.245,15.754,30.991995,2014 GA54
707,533506, classical, m,0, S,43.151,0.07,8.533,40.13043,2014 HU199
708,533507, classical, i,0, S,37.844,0.019,24.442,37.124964,2014 HV199
709,533508, resonant,16,5, S,65.319,0.428,35.692,37.362468,2014 HC200
710,533559, centaur,0,0, S,21.255,0.289,32.757,15.112305,2014 JG80
711,533560, detached,0,0, S,62.325,0.263,20.487,45.933525,2014 JM80
712,533561, classical, m,0, S,41.383,0.105,17.746,37.037785,2014 JN80
713,533562, resonant,3,2, S,39.401,0.218,7.982,30.811582,2014 JQ80
714,533563, detached,0,0, I,138.744,0.725,40.798,38.1546,2014 JW80
715,533676, classical, m,0, S,43.267,0.064,3.827,40.497912,2014 LS28
716,533704, classical, m,0, S,46.007,0.196,12.883,36.989628,2014 MZ69
717,533868, classical, i,0, S,38.703,0.05,4.4,36.76785,2014 OG394
718,534073, detached,0,0, I,48.733,0.261,26.281,36.013687,2014 QL441
719,534074, resonant,5,3, S,42.254,0.081,6.549,38.831426,2014 QZ441
720,534161, resonant,3,2, S,39.285,0.193,9.672,31.702995,2014 RQ63
721,534251, centaur,0,0, S,8.987,0.154,10.73,7.603002,2014 SW223
722,534314, resonant,5,3, S,42.259,0.164,8.921,35.328524,2014 SJ349
723,534315, resonant,3,2, S,39.472,0.29,9.395,28.02512,2014 SK349
724,534405, classical, m,0, S,42.939,0.017,0.943,42.209037,2014 TW85
725,534625, classical, m,0, S,44.449,0.05,1.947,42.22655,2014 UQ224
726,534626, resonant,2,1, S,47.932,0.265,3.883,35.23002,2014 UT224
727,534627, resonant,11,3, S,71.667,0.526,3.944,33.970158,2014 UV224
728,534631, resonant,3,2, I,39.633,0.335,15.97,26.355945,2014 UX229
729,535017, scattering,0,0, S,99.568,0.711,21.225,28.775152,2014 WY508
730,535018, classical, m,0, S,44.041,0.056,3.0,41.574704,2014 WA509
731,535019, resonant,4,3, S,36.428,0.091,13.889,33.113052,2014 WE509
732,535020, classical, m,0, S,42.571,0.082,21.398,39.080178,2014 WG509
733,535021, classical, m,0, S,41.456,0.13,15.121,36.06672,2014 WL509
734,535022, resonant,5,3, I,42.294,0.053,7.105,40.052418,2014 WN509
735,535023, classical, m,0, S,43.986,0.092,3.754,39.939288,2014 WO509
736,535024, resonant,3,2, S,39.335,0.344,26.411,25.80376,2014 WR509
737,535025, resonant,2,1, S,47.505,0.253,12.26,35.486235,2014 WT509
738,535026, classical, m,0, S,46.669,0.175,25.383,38.501925,2014 WV509
739,535027, classical, m,0, S,44.033,0.173,11.487,36.415291,2014 WY509
740,535028, classical, m,0, S,45.418,0.04,2.155,43.60128,2014 WA510
741,535029, resonant,3,2, S,39.214,0.214,17.485,30.822204,2014 WG510
742,535030, resonant,24,7, I,68.381,0.491,24.339,34.805929,2014 WJ510
743,535031, scattering,0,0, SH,63.485,0.438,4.67,35.67857,2014 WL510
744,535032, resonant,3,2, S,39.484,0.178,8.215,32.455848,2014 WP510
745,535167, resonant,3,2, S,39.406,0.191,7.334,31.879454,2014 XT40
746,535168, resonant,3,2, S,39.433,0.175,4.761,32.532225,2014 XU40
747,535169, resonant,13,3, I,80.211,0.599,19.679,32.164611,2014 XX40
748,535228, detached,0,0, S,59.457,0.379,26.855,36.922797,2014 YE50
749,535229, resonant,3,2, S,39.401,0.197,19.064,31.639003,2014 YG50
750,535230, resonant,13,5, SH,56.788,0.321,40.698,38.559052,2014 YH50
751,535231, resonant,3,2, S,39.472,0.198,7.281,31.656544,2014 YJ50
752,535466, classical, m,0, S,42.827,0.217,16.924,33.533541,2015 AK281
753,535985, centaur,0,0, S,20.344,0.167,28.318,16.946552,2015 BF515
754,535986, classical, m,0, S,46.386,0.222,22.527,36.088308,2015 BN518
755,535987, classical, m,0, S,46.525,0.233,7.675,35.684675,2015 BO518
756,535988, resonant,7,4, S,43.713,0.274,11.388,31.735638,2015 BU518
757,535989, classical, m,0, S,44.828,0.035,1.791,43.25902,2015 BV518
758,535990, classical, m,0, S,44.923,0.153,9.247,38.049781,2015 BW518
759,535991, resonant,5,2, S,55.204,0.344,10.368,36.213824,2015 BD519
760,535992, scattering,0,0, S,39.22,0.322,19.189,26.59116,2015 BF519
761,535993, classical, i,0, S,38.935,0.029,34.373,37.805885,2015 BG519
762,535994, detached,0,0, I,53.701,0.324,27.839,36.301876,2015 BH519
763,536287, classical, m,0, S,41.603,0.139,19.021,35.820183,2015 CL62
764,536919, classical, m,0, S,45.878,0.127,5.361,40.051494,2015 FL345
765,536920, classical, m,0, S,42.586,0.032,17.131,41.223248,2015 FM345
766,536921, classical, m,0, S,40.169,0.131,20.138,34.906861,2015 FO345
767,536922, resonant,7,4, S,43.681,0.217,10.035,34.202223,2015 FP345
768,538495, centaur,0,0, S,14.782,0.458,20.813,8.011844,2016 EB195
769,538690, classical, m,0, S,46.56,0.161,4.207,39.06384,2016 FP59
770,538691, classical, m,0, S,43.374,0.069,6.298,40.381194,2016 FW59
771,542258, resonant,8,3, S,57.907,0.37,3.337,36.48141,2013 AP183
772,542889, scattering,0,0, S,51.945,0.586,14.506,21.50523,2013 MY11
773,543354, scattering,0,0, SH,56.141,0.387,9.41,34.414433,2014 AN55
774,543375, classical, m,0, S,41.866,0.048,11.149,39.856432,2014 BX64
775,543376, detached,0,0, S,104.323,0.625,25.434,39.121125,2014 BE70
776,543377, scattering,0,0, S,90.248,0.872,11.343,11.551744,2014 BF70
777,543435, resonant,3,2, S,39.248,0.257,20.168,29.161264,2014 GC54
778,543454, classical, m,0, S,43.127,0.156,27.876,36.399188,2014 HZ199
779,543733, classical, m,0, S,46.216,0.186,16.681,37.619824,2014 OZ393
780,543734, resonant,5,3, S,42.082,0.269,4.583,30.761942,2014 OL394
781,543735, resonant,11,1, IH,149.753,0.752,14.123,37.138744,2014 OS394
782,544430, resonant,5,2, S,55.542,0.405,2.95,33.04749,2014 UW224
783,544977, classical, m,0, S,40.754,0.075,19.682,37.69745,2014 WZ535
784,545293, scattering,0,0, S,47.911,0.575,18.273,20.362175,2011 FX62
785,545361, classical, m,0, S,42.687,0.113,8.638,37.863369,2011 GZ61
786,546974, resonant,13,3, S,79.893,0.559,10.541,35.232813,2010 BP153
787,547375, centaur,0,0, S,25.815,0.052,18.023,24.47262,2010 PC88
788,547616, resonant,3,2, S,39.452,0.262,17.593,29.115576,2010 TR195
789,547617, classical, m,0, S,43.423,0.074,15.579,40.209698,2010 TT195
790,547893, classical, m,0, S,40.801,0.095,28.183,36.924905,2010 WN75
791,548141, centaur,0,0, S,27.425,0.09,19.559,24.95675,2010 CD270
792,548504, classical, m,0, S,43.351,0.004,2.824,43.177596,2010 NF146
793,550310, centaur,0,0, S,23.181,0.337,12.513,15.369003,2012 DD86
794,550564, resonant,7,4, S,43.61,0.286,23.618,31.13754,2012 PU45
795,552033, detached,0,0, I,57.942,0.388,18.805,35.460504,2013 RO98
796,552474, scattering,0,0, S,43.418,0.536,28.636,20.145952,2010 AW153
797,552555, detached,0,0, S,98.055,0.592,21.251,40.00644,2010 ER65
798,552678, scattering,0,0, S,31.735,0.459,26.967,17.168635,2010 JG210
799,552679, resonant,3,2, S,39.399,0.24,12.241,29.94324,2010 JH210
800,553137, detached,0,0, S,55.872,0.333,46.769,37.266624,2011 BM170
801,553138, classical, m,0, S,45.819,0.18,9.301,37.57158,2011 BQ170
802,553893, classical, m,0, S,45.874,0.144,7.857,39.268144,2012 BW154
803,553898, resonant,20,11, I,44.807,0.149,7.253,38.130757,2012 BZ159
804,554000, detached,0,0, S,51.042,0.251,19.965,38.230458,2012 FM87
805,554099, scattering,0,0, S,40.997,0.247,18.849,30.870741,2012 KU50
806,554102, resonant,2,1, S,47.687,0.237,11.644,36.385181,2012 KW51
807,554780, classical, m,0, S,46.467,0.162,2.586,38.939346,2013 AQ183
808,554856, resonant,2,1, S,47.856,0.114,8.632,42.400416,2013 CF229
809,554982, classical, m,0, S,42.677,0.036,3.213,41.140628,2013 JV65
810,555426, classical, m,0, S,40.44,0.108,30.18,36.07248,2013 XD26
811,555591, classical, m,0, S,45.343,0.229,28.106,34.959453,2014 AF61
812,555632, resonant,17,10, I,42.817,0.14,27.01,36.82262,2014 BZ57
813,555678, classical, m,0, S,43.867,0.175,7.931,36.190275,2014 CO23
814,555756, resonant,4,3, S,36.481,0.158,4.53,30.717002,2014 DH143
815,555757, classical, m,0, S,44.854,0.09,10.752,40.81714,2014 DM143
816,555758, resonant,3,2, S,39.419,0.258,24.163,29.248898,2014 DP143
817,555820, classical, m,0, S,41.363,0.097,18.981,37.350789,2014 EA52
818,555915, resonant,11,7, S,40.682,0.138,14.519,35.067884,2014 GX53
819,555916, resonant,3,2, S,39.382,0.286,26.114,28.118748,2014 GB54
820,556004, resonant,5,2, SH,55.69,0.341,10.385,36.69971,2014 HA200
821,556067, resonant,3,2, S,39.378,0.198,19.989,31.581156,2014 JK80
822,556068, resonant,3,2, S,39.347,0.092,15.385,35.727076,2014 JR80
823,556130, resonant,3,2, S,39.321,0.259,16.816,29.136861,2014 KV101
824,556416, classical, m,0, S,46.345,0.117,3.928,40.922635,2014 OE394
825,558093, scattering,0,0, S,34.53,0.302,18.828,24.10194,2014 WW535
826,558094, centaur,0,0, S,24.549,0.499,22.914,12.299049,2014 WX535
827,558095, resonant,5,2, SH,55.546,0.45,27.229,30.5503,2014 WA536
828,558168, scattering,0,0, S,67.032,0.732,14.714,17.964576,2014 XQ40
829,558224, classical, m,0, S,44.077,0.154,18.382,37.289142,2014 YC50
830,559176, centaur,0,0, S,29.641,0.434,16.545,16.776806,2015 BE518
831,559177, centaur,0,0, S,25.293,0.316,14.963,17.300412,2015 BF518
832,559178, resonant,4,3, S,36.417,0.121,8.823,32.010543,2015 BM518
833,559179, resonant,7,4, S,43.638,0.118,9.911,38.488716,2015 BR518
834,559180, classical, m,0, S,43.565,0.05,8.087,41.38675,2015 BT518
835,559181, classical, m,0, S,42.774,0.173,28.19,35.374098,2015 BX518
836,559182, classical, m,0, S,46.928,0.185,11.385,38.24632,2015 BZ518
837,559239, centaur,0,0, S,18.369,0.326,22.351,12.380706,2015 BF568
838,559800, detached,0,0, S,108.623,0.656,30.479,37.366312,2015 DW224
839,559801, detached,0,0, I,67.189,0.468,19.203,35.744548,2015 DX224
840,560039, resonant,3,2, S,39.408,0.329,24.022,26.442768,2015 FP36
841,560414, scattering,0,0, S,71.501,0.557,12.429,31.674943,2015 FQ345
842,560552, classical, m,0, S,44.346,0.144,16.373,37.960176,2015 GO50
843,562274, centaur,0,0, S,27.905,0.378,11.887,17.35691,2015 XW379
844,564160, classical, i,0, I,36.272,0.035,10.245,35.00248,2016 FR59
845,566442, centaur,0,0, S,16.223,0.391,29.693,9.879807,2018 EZ1
846,567065, scattering,0,0, S,47.595,0.788,19.606,10.09014,2019 CY4
847,567070, centaur,0,0, S,19.38,0.359,31.478,12.42258,2019 GB19
848,567122, centaur,0,0, S,20.699,0.412,35.938,12.171012,2020 PM3
849,567129, jc,0,0, S,11.527,0.542,19.899,5.279366,2021 CD4
850,568573, resonant,15,8, S,45.75,0.23,11.67,35.2275,2004 HN79
851,574372, resonant,21,5, S,78.303,0.498,32.043,39.308106,2010 JO179
852,574398, centaur,0,0, S,22.895,0.315,17.868,15.683075,2010 LO33
853,574441, detached,0,0, S,57.608,0.383,33.264,35.544136,2010 OE153
854,575713, resonant,3,2, S,39.513,0.179,13.497,32.440173,2011 UT410
855,576162, centaur,0,0, S,26.254,0.38,29.827,16.27748,2012 GT41
856,576212, classical, m,0, S,40.522,0.019,16.559,39.752082,2012 HL85
857,576256, resonant,2,1, S,47.78,0.274,6.616,34.68828,2012 JH67
858,576257, resonant,3,2, S,39.315,0.289,29.067,27.952965,2012 JD68
859,576357, centaur,0,0, S,27.554,0.382,12.327,17.028372,2012 PV45
860,577578, resonant,2,1, S,47.737,0.344,6.66,31.315472,2013 GW136
861,577627, classical, m,0, S,40.924,0.11,20.335,36.42236,2013 HZ156
862,578559, centaur,0,0, S,20.195,0.317,20.982,13.793185,2014 DC143
863,578832, centaur,0,0, S,26.645,0.201,14.261,21.289355,2014 GP53
864,578833, detached,0,0, S,50.469,0.279,17.812,36.388149,2014 GV53
865,578834, resonant,3,2, S,39.576,0.19,8.845,32.05656,2014 GF54
866,578835, detached,0,0, S,57.583,0.36,29.836,36.85312,2014 GL54
867,578847, classical, o,0, S,51.398,0.219,46.607,40.141838,2014 GJ65
868,578991, centaur,0,0, S,11.354,0.08,23.842,10.44568,2014 JC80
869,578992, resonant,3,2, S,39.379,0.279,6.191,28.392259,2014 JL80
870,578993, resonant,3,2, S,39.431,0.075,19.39,36.473675,2014 JP80
871,578997, scattering,0,0, S,42.932,0.403,28.468,25.630404,2014 JR92
872,579062, classical, m,0, S,42.755,0.179,28.434,35.101855,2014 KF113
873,579077, classical, m,0, S,41.057,0.047,16.078,39.127321,2014 LP28
874,579246, resonant,3,2, S,39.241,0.267,19.251,28.763653,2014 OX415
875,581804, resonant,2,1, S,47.901,0.214,6.029,37.650186,2015 KN167
876,582301, scattering,0,0, S,248.658,0.954,175.973,11.438268,2015 RM306
877,583751, resonant,2,1, S,47.509,0.278,21.448,34.301498,2016 NZ90
878,584778, jc,0,0, S,75.213,0.906,74.881,7.070022,2017 RG16
879,585899, scattering,0,0, S,81.598,0.838,137.863,13.218876,2020 HM98
880,585912, scattering,0,0, S,31.932,0.579,24.471,13.443372,2020 QK3
881,585913, scattering,0,0, S,37.845,0.628,23.691,14.07834,2020 QQ7
882,587670, classical, m,0, S,42.52,0.026,2.115,41.41448,2006 QE181
883,589683, detached,0,0, S,49.361,0.246,30.643,37.218194,2010 RF43
884,590218, centaur,0,0, S,16.302,0.318,10.716,11.117964,2011 UD63
885,591370, scattering,0,0, S,37.127,0.49,37.426,18.93477,2013 ME14
886,591376, scattering,0,0, S,39.601,0.378,4.681,24.631822,2013 NL24
887,591392, classical, m,0, S,45.552,0.139,8.88,39.220272,2013 PE84
888,591486, resonant,3,2, S,39.383,0.28,10.365,28.35576,2013 TA188
889,592044, classical, m,0, S,46.397,0.112,9.256,41.200536,2014 MB70
890,592064, classical, m,0, S,44.04,0.177,28.793,36.24492,2014 NZ65
891,592147, classical, m,0, S,46.576,0.183,4.362,38.052592,2014 OA394
892,592148, classical, m,0, S,43.995,0.077,2.363,40.607385,2014 OM394
893,592149, scattering,0,0, S,141.056,0.761,13.049,33.712384,2014 OR394
894,592245, detached,0,0, I,67.913,0.372,42.227,42.649364,2014 QR441
895,592487, classical, m,0, S,45.213,0.092,7.075,41.053404,2014 WF509
896,593616, classical, m,0, S,42.958,0.014,12.089,42.356588,2015 RG277
897,593617, resonant,5,4, S,34.84,0.047,7.122,33.20252,2015 RN278
898,594337, scattering,0,0, I,171.505,0.794,16.976,35.33003,2016 QU89
899,594872, jc,0,0, S,14.404,0.592,160.35,5.876832,2019 CR
900,594994, resonant,3,2, S,39.455,0.204,1.588,31.40618,2000 QA243
901,597614, detached,0,0, I,70.824,0.485,20.884,36.47436,2007 RM314
902,599752, classical, m,0, S,45.19,0.14,13.304,38.8634,2010 VQ11
903,600181, classical, m,0, S,44.831,0.04,3.425,43.03776,2011 OC61
904,600217, scattering,0,0, S,166.522,0.882,26.229,19.649596,2011 QY100
905,601690, scattering,0,0, S,34.066,0.447,35.579,18.838498,2013 KZ18
906,602572, detached,0,0, I,49.632,0.265,10.951,36.47952,2014 MD70
907,602714, scattering,0,0, S,62.599,0.48,12.279,32.55148,2014 ON394
908,602715, scattering,0,0, S,56.848,0.399,3.446,34.165648,2014 OO394
909,602716, detached,0,0, I,66.725,0.451,21.578,36.632025,2014 OP394
910,603108, classical, m,0, S,43.439,0.212,9.762,34.229932,2014 WB509
911,606653, centaur,0,0, S,21.342,0.64,40.227,7.68312,2018 RR2
912,606985, centaur,0,0, S,8.404,0.259,1.797,6.227364,2020 OD8
913,606988, centaur,0,0, S,22.448,0.456,13.248,12.211712,2020 RR5
914,609221, classical, m,0, S,43.932,0.074,0.491,40.681032,2004 VC131
915,609222, classical, m,0, S,44.196,0.072,1.746,41.013888,2004 VV131
916,612019, classical, m,0, I,42.837,0.043,1.658,40.995009,1994 EV3
917,612026, classical, m,0, S,44.102,0.062,2.343,41.367676,1995 DC2
918,612029, resonant,3,2, S,39.51,0.252,4.813,29.55348,1995 HM5
919,612045, resonant,3,2, S,39.525,0.175,5.307,32.608125,1996 RR20
920,612047, classical, m,0, S,42.624,0.013,3.314,42.069888,1996 TK66
921,612048, classical, m,0, S,43.885,0.127,7.346,38.311605,1996 TS66
922,612049, classical, m,0, S,43.723,0.031,1.015,42.367587,1997 CT29
923,612051, resonant,2,1, S,47.885,0.363,11.797,30.502745,1997 SZ10
924,612060, resonant,3,2, S,39.328,0.189,8.786,31.895008,1998 HH151
925,612081, classical, m,0, S,45.568,0.127,2.226,39.780864,1998 WG24
926,612082, classical, m,0, S,43.185,0.04,1.911,41.4576,1998 WY24
927,612083, resonant,13,7, I,45.439,0.107,2.973,40.577027,1998 WX31
928,612084, detached,0,0, S,88.761,0.564,19.713,38.699796,1999 CF119
929,612085, classical, m,0, S,46.868,0.007,23.293,46.539924,1999 CL119
930,612086, resonant,5,3, S,42.244,0.234,9.756,32.358904,1999 CX131
931,612087, classical, m,0, S,44.191,0.065,2.698,41.318585,1999 CU153
932,612088, resonant,3,2, S,39.422,0.279,9.287,28.423262,1999 CM158
933,612092, classical, m,0, S,42.929,0.026,3.157,41.812846,1999 HV11
934,612095, classical, i,0, S,38.017,0.025,4.0,37.066575,1999 OJ4
935,612100, classical, m,0, S,44.062,0.058,1.407,41.506404,1999 RC215
936,612101, resonant,11,4, I,59.238,0.415,19.711,34.65423,1999 RJ215
937,612102, resonant,3,2, S,39.384,0.139,11.462,33.909624,1999 RK215
938,612141, classical, m,0, S,42.994,0.081,7.166,39.511486,1999 XY143
939,612144, classical, m,0, S,44.242,0.1,9.485,39.8178,2000 CP104
940,612145, scattering,0,0, I,36.646,0.234,13.512,28.070836,2000 CQ104
941,612146, classical, m,0, S,43.868,0.056,0.549,41.411392,2000 CE105
942,612147, classical, m,0, S,43.841,0.036,0.528,42.262724,2000 CF105
943,612148, classical, m,0, S,46.32,0.042,27.993,44.37456,2000 CG105
944,612149, classical, m,0, S,44.162,0.107,11.593,39.436666,2000 CJ105
945,612150, classical, m,0, S,47.048,0.147,19.271,40.131944,2000 CO105
946,612156, classical, m,0, S,45.107,0.098,4.459,40.686514,2000 FF8
947,612157, classical, m,0, S,43.906,0.068,1.138,40.920392,2000 FG8
948,612158, resonant,3,2, S,39.177,0.163,17.336,32.791149,2000 FV53
949,612161, classical, m,0, S,41.253,0.083,19.127,37.829001,2000 KK4
950,612166, classical, m,0, S,42.988,0.03,3.137,41.69836,2000 ON67
951,612167, classical, m,0, S,43.189,0.049,4.419,41.072739,2000 OU69
952,612174, classical, m,0, S,44.105,0.052,2.66,41.81154,2000 QC226
953,612175, classical, m,0, S,43.991,0.082,1.193,40.383738,2000 QE226
954,612176, resonant,2,1, S,47.753,0.216,3.674,37.438352,2000 QL251
955,612203, classical, m,0, S,44.888,0.011,1.744,44.394232,2000 WT169
956,612208, resonant,3,2, S,39.261,0.301,12.91,27.443439,2000 YH2
957,612213, classical, m,0, S,43.234,0.039,1.171,41.547874,2001 FK185
958,612214, classical, m,0, S,43.97,0.059,3.513,41.37577,2001 FK193
959,612217, classical, m,0, S,42.714,0.038,2.936,41.090868,2001 HZ58
960,612218, resonant,3,2, S,39.537,0.114,2.252,35.029782,2001 KD77
961,612236, classical, m,0, S,42.934,0.037,1.136,41.345442,2001 QO297
962,612237, classical, m,0, S,45.213,0.121,1.431,39.742227,2001 QP297
963,612238, classical, m,0, S,44.394,0.026,5.145,43.239756,2001 QR297
964,612239, classical, m,0, S,46.274,0.123,30.569,40.582298,2001 QC298
965,612240, resonant,7,4, S,43.711,0.155,3.658,36.935795,2001 QE298
966,612241, resonant,3,2, S,39.383,0.109,6.712,35.090253,2001 QH298
967,612242, classical, m,0, S,43.988,0.052,3.958,41.700624,2001 QQ322
968,612243, resonant,1,1, S,30.229,0.028,1.323,29.382588,2001 QR322
969,612244, classical, m,0, S,44.024,0.039,0.247,42.307064,2001 QS322
970,612245, detached,0,0, S,58.181,0.389,28.531,35.548591,2001 QX322
971,612332, resonant,3,2, S,39.321,0.243,5.667,29.765997,2002 CW224
972,612333, classical, m,0, S,44.978,0.063,1.687,42.144386,2002 CZ224
973,612349, classical, m,0, S,42.002,0.09,26.684,38.22182,2002 GH32
974,612350, resonant,5,2, S,55.406,0.422,1.559,32.024668,2002 GP32
975,612351, resonant,3,2, S,39.487,0.192,5.381,31.905496,2002 GV32
976,612352, resonant,3,2, S,39.438,0.089,1.802,35.928018,2002 GY32
977,612388, classical, m,0, S,42.662,0.014,1.272,42.064732,2002 PV170
978,612524, resonant,2,1, S,47.686,0.322,3.909,32.331108,2002 VD130
979,612533, resonant,3,2, S,39.308,0.125,13.271,34.3945,2002 XV93
980,612547, resonant,3,2, S,39.384,0.177,5.618,32.413032,2003 HD57
981,612548, classical, m,0, S,44.202,0.102,8.864,39.693396,2003 HE57
982,612549, classical, m,0, S,43.621,0.033,2.098,42.181507,2003 HG57
983,612573, classical, m,0, S,43.851,0.054,2.409,41.483046,2003 QV90
984,612574, resonant,3,2, S,39.238,0.194,6.495,31.625828,2003 QB91
985,612575, detached,0,0, S,67.727,0.432,4.007,38.468936,2003 QK91
986,612576, classical, m,0, S,45.322,0.132,7.116,39.339496,2003 QO91
987,612577, classical, i,0, S,38.763,0.071,5.406,36.010827,2003 QQ91
988,612578, classical, m,0, S,46.564,0.183,3.493,38.042788,2003 QR91
989,612579, classical, m,0, S,44.165,0.083,0.189,40.499305,2003 QT91
990,612580, classical, i,0, S,38.208,0.059,3.43,35.953728,2003 QA92
991,612581, resonant,3,2, S,39.304,0.133,9.531,34.076568,2003 QX111
992,612582, classical, m,0, S,43.304,0.036,2.949,41.745056,2003 QY111
993,612583, classical, m,0, S,43.006,0.061,2.659,40.382634,2003 QZ111
994,612584, detached,0,0, S,49.607,0.253,6.751,37.056429,2003 QX113
995,612619, classical, m,0, S,42.489,0.042,1.498,40.704462,2003 SN317
996,612620, classical, m,0, S,42.653,0.08,28.567,39.24076,2003 SQ317
997,612621, resonant,3,2, S,39.426,0.166,8.345,32.881284,2003 SR317
998,612658, resonant,3,2, S,39.357,0.091,27.934,35.775513,2003 TH58
999,612687, classical, m,0, S,42.615,0.003,3.07,42.487155,2003 UN284
1000,612688, resonant,3,2, S,39.258,0.295,17.542,27.67689,2003 UT292
1001,612719, classical, m,0, S,44.132,0.039,3.774,42.410852,2003 WU188
1002,612732, detached,0,0, S,88.482,0.579,20.874,37.250922,2003 YQ179
1003,612733, classical, m,0, S,46.732,0.159,4.856,39.301612,2003 YU179
1004,612772, resonant,3,2, S,39.548,0.229,16.651,30.491508,2004 FU148
1005,612793, resonant,7,4, SH,43.736,0.132,2.825,37.962848,2004 PW107
1006,612794, classical, m,0, S,44.172,0.096,1.577,39.931488,2004 PY107
1007,612795, classical, m,0, S,43.79,0.04,1.156,42.0384,2004 PA108
1008,612798, classical, i,0, S,38.919,0.108,32.932,34.715748,2004 PA112
1009,612802, centaur,0,0, S,22.93,0.149,21.454,19.51343,2004 QQ26
1010,612883, resonant,22,5, IH,80.638,0.512,23.185,39.351344,2004 TF282
1011,612891, resonant,5,2, S,55.324,0.431,8.98,31.479356,2004 TT357
1012,612892, resonant,2,1, S,47.706,0.277,9.758,34.491438,2004 TV357
1013,612911, classical, o,0, S,57.483,0.108,46.641,51.274836,2004 XR190
1014,612931, resonant,2,1, S,47.781,0.223,11.667,37.125837,2005 CA79
1015,612951, scattering,0,0, S,52.05,0.511,0.711,25.45245,2005 EB299
1016,612952, resonant,3,2, S,39.513,0.239,10.328,30.069393,2005 EZ300
1017,612953, resonant,4,3, S,36.517,0.162,10.421,30.601246,2005 ER318
1018,612985, classical, m,0, S,42.436,0.107,14.261,37.895348,2005 JA175
1019,613037, resonant,11,2, S,93.8,0.592,22.934,38.2704,2005 RP43
1020,613087, resonant,5,3, S,42.311,0.11,6.891,37.65679,2005 SE278
1021,613100, resonant,5,3, S,42.407,0.243,2.17,32.102099,2005 TN74
1022,613214, centaur,0,0, S,21.526,0.13,17.779,18.72762,2005 UN524
1023,613411, detached,0,0, S,91.023,0.586,21.642,37.683522,2006 HQ122
1024,613412, detached,0,0, S,81.094,0.537,16.037,37.546522,2006 HV122
1025,613468, resonant,5,3, S,42.225,0.175,9.377,34.835625,2006 QQ180
1026,613469, resonant,3,1, S,62.572,0.495,20.064,31.59886,2006 QJ181
1027,613490, resonant,1,1, S,30.038,0.03,8.163,29.13686,2006 RJ103
1028,613619, scattering,0,0, S,37.854,0.46,37.409,20.44116,2006 UX184
1029,613620, resonant,3,2, S,39.272,0.226,14.841,30.396528,2006 UZ184
1030,613766, scattering,0,0, S,34.115,0.504,6.304,16.92104,2007 NC7
1031,613857, classical, m,0, S,41.53,0.132,22.277,36.04804,2007 TZ417
1032,613858, detached,0,0, S,72.416,0.503,21.962,35.990752,2007 TA418
1033,613908, detached,0,0, S,57.149,0.363,20.261,36.403913,2007 VK305
1034,614688, classical, m,0, S,43.28,0.055,3.066,40.8996,2011 KN36
1035,616560, resonant,5,2, S,55.357,0.405,3.383,32.937415,2005 XN113
1036,617103, detached,0,0, S,50.56,0.277,17.896,36.55488,2003 FM129
1037,620057, classical, o,0, S,53.847,0.237,26.153,41.085261,2005 CG81
1038,620065, classical, m,0, S,44.82,0.064,7.902,41.95152,2010 JF210
1039,620074, detached,0,0, S,61.943,0.423,28.031,35.741111,2013 AT183
1040,620075, resonant,3,2, S,39.391,0.225,5.276,30.528025,2013 CD223
1041,620086, detached,0,0, S,63.588,0.443,27.569,35.418516,2015 BB519
1042,620087, detached,0,0, IH,59.034,0.427,17.485,33.826482,2015 DE249
1043,620088, classical, o,0, S,51.463,0.228,12.782,39.729436,2015 DJ249
1044,620502, resonant,2,1, S,47.584,0.184,2.251,38.828544,2004 HP79
1045,621861, resonant,2,1, S,47.838,0.261,7.994,35.352282,2011 EY90
