nonecol,sma,rms_sma,e,rms_e,sini,rms_sini,g,s,Hmag,numopp,packname,Name
,3.008219,0.71E-06,0.070503,0.59E-03,0.171161,0.24E-03,73.546047,-71.826129,11.880,30,06019,6019
,2.296228,0.10E-07,0.060331,0.86E-03,0.080884,0.60E-03,35.480520,-36.532308,14.090,25,06020,6020
,2.415964,0.28E-06,0.114445,0.17E-03,0.109238,0.19E-04,38.858769,-42.415503,13.490,26,06021,6021
,2.236079,0.87E-05,0.082292,0.51E-03,0.069709,0.34E-03,33.693688,-34.972778,14.020,23,06022,6022
,2.357439,0.12E-06,0.140821,0.28E-03,0.114218,0.20E-04,36.784097,-40.943705,13.830,26,06023,6023
,2.385325,0.16E-06,0.071750,0.56E-04,0.147815,0.14E-04,36.071602,-39.254801,12.970,25,06024,6024
,3.023679,0.89E-05,0.075301,0.18E-03,0.178430,0.77E-04,74.350266,-72.813106,11.640,31,06025,6025
,2.838034,0.27E-05,0.106554,0.59E-05,0.065021,0.12E-04,70.759694,-66.875102,12.820,29,06026,6026
,2.202425,0.60E-06,0.111463,0.24E-02,0.073640,0.19E-02,32.541017,-34.557875,12.980,27,06027,6027
,2.573046,0.36E-06,0.181857,0.32E-04,0.135876,0.65E-05,49.306049,-54.231313,13.020,24,06028,6028
,1.927214,0.42E-05,0.087137,0.49E-03,0.362399,0.93E-04,14.616825,-22.361474,14.170,22,06029,6029
,3.154754,0.61E-06,0.029393,0.14E-05,0.088883,0.17E-06,131.913213,-83.593729,12.770,29,06030,6030
,3.015688,0.19E-03,0.058094,0.26E-03,0.168970,0.60E-04,74.797155,-71.593272,11.730,29,06031,6031
,2.418477,0.40E-04,0.225216,0.10E-02,0.139525,0.66E-03,38.949448,-48.404287,13.880,28,06032,6032
,3.174363,0.59E-03,0.121333,0.11E-02,0.293532,0.18E-03,98.320695,-75.348996,12.690,27,06033,6033
,2.338026,0.14E-05,0.189337,0.11E-04,0.055325,0.17E-03,37.788642,-43.233778,14.780,21,06034,6034
,2.314089,0.77E-05,0.210061,0.58E-04,0.425558,0.59E-04,13.477398,-33.752959,14.050,24,06035,6035
,2.755904,0.31E-06,0.168244,0.20E-03,0.238382,0.14E-03,45.655153,-59.289805,13.540,26,06036,6036
,3.051150,0.48E-06,0.178377,0.21E-05,0.161757,0.12E-05,85.072299,-90.633572,12.770,26,06038,6038
,3.411967,0.31E-04,0.028242,0.90E-05,0.226551,0.14E-05,124.667096,-109.675997,11.980,31,06039,6039
,2.404211,0.50E-04,0.183964,0.67E-04,0.040567,0.11E-04,40.731663,-46.168730,14.840,25,06040,6040
,2.441093,0.13E-02,0.280837,0.88E-03,0.194706,0.74E-03,39.162424,-53.782268,14.460,23,06041,6041
,2.365760,0.41E-05,0.104983,0.23E-03,0.112825,0.63E-04,36.989100,-39.928916,13.320,26,06043,6043
,2.774644,0.67E-06,0.134714,0.37E-03,0.157932,0.31E-05,55.807114,-61.725713,13.610,25,06044,6044
,2.216554,0.21E-06,0.102880,0.46E-03,0.058884,0.67E-03,33.221794,-34.879686,14.010,25,06045,6045
,2.299685,0.60E-07,0.110072,0.92E-04,0.129320,0.23E-03,34.207600,-37.366716,13.950,23,06046,6046
,2.598901,0.22E-06,0.047437,0.27E-04,0.126038,0.10E-04,49.310170,-48.406221,13.260,26,06048,6048
,2.392099,0.11E-05,0.106479,0.13E-04,0.045211,0.18E-03,39.618435,-41.742981,13.860,28,06049,6049
,3.173706,0.57E-03,0.158411,0.55E-03,0.303385,0.15E-03,97.086309,-80.347720,12.640,27,06051,6051
,3.243587,0.46E-03,0.038736,0.10E-03,0.366969,0.17E-03,374.741194,-54.763926,11.320,28,06052,6052
,2.411420,0.72E-06,0.075354,0.14E-03,0.052509,0.23E-03,39.977579,-41.569131,14.020,24,06054,6054
,2.178425,0.37E-05,0.094332,0.48E-03,0.029637,0.16E-02,32.295049,-33.566370,14.730,25,06055,6055
,2.713311,0.26E-04,0.254358,0.39E-04,0.065395,0.31E-04,60.911124,-75.789589,13.680,27,06056,6056
,3.333353,0.40E-04,0.067050,0.41E-03,0.296005,0.97E-04,283.221483,-101.952332,12.090,29,06057,6057
,2.229597,0.41E-07,0.123447,0.28E-03,0.098700,0.37E-03,32.855265,-35.738530,13.830,25,06058,6058
,2.435228,0.82E-06,0.181129,0.12E-03,0.058314,0.10E-04,42.000445,-47.403103,14.710,23,06059,6059
,2.614954,0.26E-04,0.076946,0.95E-03,0.164215,0.37E-04,47.264758,-49.021188,13.210,25,06060,6060
,2.275897,0.44E-06,0.114198,0.12E-03,0.060486,0.70E-03,35.220695,-37.250484,13.920,28,06061,6061
,3.226802,0.38E-03,0.148681,0.37E-03,0.028682,0.21E-04,436.230863,-127.147177,12.570,29,06062,6062
,2.208030,0.20E-04,0.141417,0.74E-04,0.091003,0.68E-03,32.383697,-35.607519,13.860,25,06064,6064
,2.342368,0.44E-05,0.221059,0.81E-04,0.409872,0.14E-04,15.516150,-35.796399,13.380,24,06065,6065
,2.374394,0.13E-03,0.239921,0.20E-03,0.092198,0.17E-03,38.728861,-48.223079,13.960,23,06066,6066
,3.162020,0.72E-06,0.051467,0.72E-06,0.196539,0.11E-06,115.523692,-77.741139,11.680,31,06067,6067
,3.038691,0.20E-03,0.072247,0.12E-03,0.168721,0.61E-04,78.458900,-74.143207,12.960,30,06068,6068
,2.246664,0.92E-06,0.094281,0.26E-03,0.079589,0.11E-03,33.863778,-35.522870,14.150,25,06069,6069
,2.388027,0.32E-04,0.176531,0.58E-04,0.038105,0.32E-04,39.989523,-44.925764,14.140,25,06070,6070
,2.708539,0.90E-06,0.103602,0.59E-05,0.196674,0.11E-04,48.247491,-53.905483,12.410,26,06071,6071
,3.151997,0.53E-06,0.029659,0.32E-05,0.160846,0.17E-06,116.320868,-79.066587,12.320,28,06072,6072
,2.619021,0.44E-04,0.152641,0.17E-03,0.225256,0.18E-03,42.152395,-51.131463,12.480,29,06073,6073
,2.391000,0.21E-04,0.178547,0.90E-05,0.046172,0.18E-04,40.019301,-45.141483,13.740,28,06074,6074
,3.142844,0.14E-05,0.126727,0.89E-06,0.025736,0.48E-06,134.809750,-97.743497,12.850,31,06075,6075
,2.638991,0.96E-05,0.182945,0.15E-02,0.133817,0.23E-03,51.007830,-58.522551,12.980,27,06076,6076
,2.791034,0.71E-06,0.072150,0.16E-02,0.065877,0.18E-02,63.153950,-61.385797,12.730,30,06077,6077
,2.806124,0.20E-04,0.132297,0.32E-04,0.159687,0.89E-04,58.397634,-63.440197,12.920,25,06078,6078
,3.201152,0.69E-05,0.091977,0.14E-04,0.278036,0.69E-04,145.819132,-74.506767,12.520,26,06079,6079
,3.180471,0.34E-03,0.113220,0.17E-03,0.104890,0.22E-05,165.707447,-94.955001,13.020,26,06080,6080
,2.489779,0.14E-03,0.145216,0.81E-03,0.124144,0.11E-03,65.951918,-47.739124,14.930,24,06081,6081
,2.545360,0.94E-06,0.084621,0.38E-03,0.109398,0.68E-04,50.471844,-47.322702,13.130,27,06082,6082
,2.240486,0.13E-05,0.151363,0.18E-02,0.093291,0.13E-02,33.420720,-37.075731,14.570,24,06083,6083
,2.313008,0.20E-05,0.181408,0.31E-03,0.407519,0.25E-03,14.923450,-33.011443,12.970,24,06084,6084
,2.307146,0.20E-06,0.092321,0.35E-04,0.125159,0.16E-03,34.589494,-37.185747,14.250,23,06085,6085
,2.721970,0.26E-05,0.130250,0.24E-03,0.136647,0.13E-04,54.616791,-58.768822,12.410,26,06086,6086
,1.929978,0.10E-05,0.098624,0.12E-03,0.338233,0.28E-03,16.021370,-22.990036,14.940,21,06087,6087
,3.094723,0.17E-04,0.149881,0.66E-05,0.073494,0.23E-05,108.545279,-95.873391,12.860,29,06088,6088
,2.182376,0.10E-04,0.113845,0.69E-04,0.082254,0.59E-04,31.702810,-34.041379,14.260,24,06089,6089
,2.209076,0.29E-03,0.147539,0.22E-03,0.147414,0.26E-03,30.784411,-35.687095,13.590,24,06091,6091
,2.368426,0.13E-04,0.210239,0.74E-03,0.147317,0.11E-02,36.261943,-44.737457,13.970,25,06092,6092
,2.479782,0.41E-06,0.107507,0.49E-03,0.106181,0.51E-03,43.540762,-44.958093,13.230,26,06093,6093
,2.638572,0.43E-07,0.133979,0.31E-04,0.222374,0.67E-04,42.935193,-50.984306,12.570,25,06094,6094
,2.234854,0.21E-04,0.153773,0.45E-03,0.106132,0.50E-03,32.922652,-36.846390,13.790,26,06095,6095
