Name,mag.,a(AU),e,sinI,n(deg/yr),g("/y),s("/yr),LCEx1E6,My
2013SM100,8.64,45.3862976,0.1304812,0.0107023,1.180699,0.388223,-0.406690,0.03,100
2013SM102,7.38,52.3203014,0.2589974,0.1862136,0.953907,0.194474,-0.218602,3.12,100
2013SM106,7.56,45.3587221,0.1760295,0.2825976,1.181734,0.222284,-0.312492,0.54,100
2013SM112,7.00,44.2686692,0.0704828,0.0142754,1.225693,0.407538,-0.407115,0.11,100
2013SN100,8.14,43.6925454,0.0247285,0.1142607,1.250009,0.402292,-0.399903,0.03,100
2013SN106,6.95,43.7327021,0.0660396,0.1316055,1.248450,0.533130,-0.405725,1.63,100
2013SN112,7.09,43.2727652,0.0399153,0.1911132,1.268232,0.328197,-0.389686,0.03,100
2013SO100,7.66,45.8974066,0.1364349,0.0352951,1.161027,0.363395,-0.369375,0.14,100
2013SP100,8.41,43.7245456,0.1599552,0.1133730,1.248587,0.471721,-0.514423,4.80,100
2013SP102,6.10,39.4586608,0.1634044,0.1801909,1.456452,-1.155674,-0.385083,0.23,100
2013SQ100,8.11,47.7997078,0.2285744,0.2393045,1.092357,-0.445880,-0.196386,0.48,100
2013SQ112,8.23,42.7640883,0.1078341,0.3793558,1.290868,0.175358,-0.311328,4.08,100
2013SS100,8.26,43.9559730,0.0876409,0.0301990,1.238800,0.438886,-0.435330,0.01,100
2013SS112,8.60,40.1202852,0.0855167,0.2722526,1.420669,0.456325,-0.518268,10.19,100
2013ST100,8.15,40.9928260,0.0708075,0.2640326,1.375347,0.354955,-0.465385,2.92,100
2013ST102,8.30,43.9927978,0.0744111,0.0141986,1.237244,0.427211,-0.424444,0.03,100
2013ST112,7.19,43.6468265,0.0413718,0.0962997,1.251978,0.409832,-0.412892,0.03,100
2013SU100,7.71,42.3288522,0.2207822,0.1759894,1.310847,-0.503402,-0.327669,0.25,100
2013SV100,7.80,43.1303886,0.0331109,0.0414368,1.274532,0.446648,-0.456458,1.49,100
2013SW100,8.24,42.7228415,0.0161219,0.0372823,1.292826,0.525858,-0.478838,0.03,100
2013SW112,7.36,43.8680784,0.0835022,0.0423033,1.242525,0.450682,-0.435764,1.09,100
2013SX100,7.93,42.8273629,0.0299889,0.0116640,1.288097,0.477671,-0.477308,0.02,100
2013SX112,8.00,52.9720432,0.2677164,0.0470706,0.936366,0.040439,-0.203882,0.09,100
2013SZ100,8.08,43.7206096,0.0701025,0.1371082,1.249021,0.526319,-0.406354,1.57,100
2013SZ112,7.39,43.0009475,0.0486306,0.0385569,1.280305,0.469471,-0.470334,0.59,100
2013SZ99,7.94,38.3349112,0.0129072,0.3505430,1.520964,0.279929,-0.516451,2.14,100
2013TA172,8.09,39.4642315,0.2042794,0.2478476,1.456273,-0.215964,-0.434601,4.21,100
2013TA228,7.50,46.1228459,0.1756263,0.1624158,1.152518,0.308193,-0.354091,1.26,100
2013TA229,8.17,41.5434941,0.1184070,0.3973958,1.348188,0.186788,-0.342457,0.16,100
2013TB172,7.92,43.7069486,0.2191573,0.1419914,1.248099,0.238001,-0.553440,999.99,100
2013TB188,8.14,39.4587514,0.1527788,0.2294683,1.456441,-1.270504,-0.375862,0.62,100
2013TB229,7.21,43.5783370,0.0167440,0.0452816,1.254935,0.423994,-0.424164,0.03,100
2013TC172,6.92,43.7288265,0.0928902,0.1389679,1.248427,-0.239550,-0.387449,1.34,100
2013TC187,7.18,43.7288041,0.0610705,0.0145787,1.248463,-0.132706,-0.421109,0.13,100
2013TC188,7.29,44.3095423,0.1189386,0.1676309,1.224020,0.338288,-0.387244,5.92,100
2013TC228,7.35,44.3169230,0.1346417,0.3287064,1.223688,0.190673,-0.300768,8.64,100
2013TC229,8.09,47.7958785,0.1774084,0.1296865,1.092314,0.550476,-0.345161,4.02,100
2013TD172,7.00,48.6882837,0.2951199,0.1799178,1.132417,0.469533,-0.536300,999.99,100
2013TD187,7.51,61.6317293,0.3789503,0.0888494,0.746065,0.150306,-0.165046,7.23,100
2013TD188,6.90,43.8466330,0.0794090,0.0630347,1.243435,0.443865,-0.429755,0.04,100
2013TD228,8.24,47.7975870,0.2038433,0.3088630,1.092418,-0.009078,-0.189454,10.70,100
2013TD229,7.16,43.7451830,0.1190599,0.0326630,1.248006,0.643365,-0.502299,3.07,100
2013TE187,6.59,44.5079908,0.0872815,0.0123612,1.215820,0.435683,-0.405664,0.05,100
2013TE228,6.83,39.4585836,0.1792161,0.1385825,1.456471,-0.948174,-0.401651,0.10,100
2013TF172,7.16,43.8184185,0.0323273,0.0326450,1.244634,0.416100,-0.415296,0.02,100
2013TF187,7.72,43.7293719,0.1718270,0.0347152,1.248417,-0.524440,-0.356951,0.25,100
2013TF188,7.43,45.6963024,0.1897894,0.1903037,1.168688,0.314160,-0.371245,4.57,100
2013TF228,7.67,40.6999358,0.0872747,0.3559808,1.390325,-0.131302,-0.400199,0.36,100
2013TF229,6.87,39.4579606,0.1611355,0.2492777,1.456450,-1.176826,-0.332920,0.02,100
2013TG187,7.50,47.7997595,0.2566185,0.0928978,1.092407,-0.084287,-0.245712,2.32,100
2013TG228,7.76,47.7985507,0.1799191,0.2840351,1.092412,-0.050685,-0.211629,1.56,100
2013TG229,7.02,44.5363118,0.0391135,0.0405218,1.214655,0.382220,-0.378743,0.23,100
2013TH187,7.31,44.2348008,0.0575513,0.0222755,1.227100,0.402624,-0.402105,0.03,100
2013TH228,7.96,47.7986945,0.2571394,0.1588514,1.092397,-0.161466,-0.212822,2.04,100
2013TH229,7.19,42.8543927,0.0398627,0.0468252,1.286877,0.470950,-0.473882,0.03,100
