,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,calc_sma
0,1,0.11770786191788363,-0.1393694220638932,0.11482803595947524,0.16769621902331197,0.11535,0.16773729999999998,2.7633922908413697
1,2,0.2882058435323467,-0.15757502929280287,0.28089530988326894,0.5461574885102407,0.28088090000000004,0.5471763000000001,2.7669082415595887
2,3,0.23589876696882206,0.24827532582285747,0.2332590714429172,0.22920929854446087,0.2337659,0.2294539,2.6657931392425773
3,4,0.10375475103579017,0.11486683149500324,0.09928609102227587,0.11207508357284712,0.0998265,0.1114643,2.358409559507777
4,5,0.19836370299190673,-0.44041941576577764,0.1957614487945695,0.07925212701564421,0.1850965,0.07949830000000001,2.572766521149185
5,6,0.16395032580141483,0.3487398279319341,0.15689626133517687,0.2480509763171296,0.1588321,0.2487956,2.422073511053778
6,7,0.21438728538707302,0.11510619057118525,0.2116474096779047,0.11164153686384923,0.21262579999999998,0.11157939999999998,2.382871374179231
7,8,0.15370128186104193,-0.13382715012731153,0.14456069974666064,0.09910135699118595,0.14530839999999998,0.0973579,2.1985194031791027
8,9,0.13002178318289645,-0.3963720101639483,0.12682299778942613,0.08243074239468567,0.1279022,0.0816331,2.3832576751074286
9,10,0.13807168059787342,-0.38112925717718066,0.13586265239164244,0.08888324374775484,0.1357797,0.0889534,3.1375757624387517
10,11,0.07883643527508101,-0.361837865167662,0.07507058810541734,0.06861245716044022,0.0745741,0.0678904,2.4489949080667466
11,12,0.1798634913947206,-0.0162571154522349,0.17576227966576374,0.16272649310984524,0.1750534,0.1624221,2.3312233394799082
12,13,0.13285498295504072,-0.15905298006186822,0.12631508929751253,0.27679349674354103,0.12648030000000002,0.2765789,2.5729018564593935
13,14,0.2012791101996841,0.3331778177441325,0.19854954012546888,0.14564449151793096,0.1987106,0.1459393,2.5840860221409883
14,15,0.15166269064875335,0.2308592129567474,0.14871092711712763,0.22664389209742705,0.1488681,0.22679539999999998,2.640049504879642
15,16,0.10587771014925859,0.11658049933286187,0.10269134348923488,0.044427353121991454,0.1029,0.0440689,2.918237287447767
16,17,0.14232378293922227,-0.38795810985852314,0.1380136681678805,0.08562572299610097,0.13801449999999998,0.085227,2.4677769302553725
17,18,0.1809297676999434,-0.14973381938646418,0.17479318152965892,0.16914941742601586,0.1780091,0.1693954,2.2926131349965977
18,19,0.1375078727188379,0.21988627170796912,0.13432333767371812,0.0399170276896629,0.13489520000000002,0.0388471,2.438779629891744
19,20,0.1642683115624014,0.5438389100580523,0.1617062043783893,0.026598005573053248,0.1619235,0.024819900000000002,2.4053924209637367
20,21,0.13230694610763777,0.2553423835499287,0.12951705698316032,0.038660529207410664,0.1293648,0.0375609,2.4320136001251496
21,22,0.09379263732201773,0.04692220930047336,0.09025665006111545,0.21808504857166924,0.0879463,0.21823499999999998,2.9057123121873354
22,23,0.2565320340712587,-0.11673441694625594,0.25427610184923904,0.16743029506075363,0.254656,0.1675274,2.6244021759872345
23,24,0.15501368891888825,0.7057729819610762,0.15273991836378786,0.019732981998710215,0.15338039999999997,0.0189679,3.130452866459014
24,25,0.22874268478039966,-0.22366605601655012,0.22643927270490954,0.39405287225782376,0.22672529999999996,0.39776659999999997,2.396931172791076
25,26,0.12293998035048047,-0.08952790614111186,0.12000015932836318,0.052877900271432715,0.11983930000000001,0.052749300000000006,2.6521366530229353
26,27,0.18916569903209077,0.7585085569922483,0.18602743809841768,0.01680753574224746,0.1858558,0.012377500000000001,2.3438241352307276
27,28,0.18079778524529921,0.3063410984455002,0.1784736368453061,0.14786966756632738,0.1788638,0.14812999999999998,2.773743856382188
28,29,0.08005080035631272,0.14428524070861537,0.07448945459463352,0.11305157634892701,0.07375369999999999,0.1123347,2.5508988199857106
29,30,0.10879903358121408,-0.02819327492177886,0.10505617700883368,0.05049601815721812,0.1050403,0.0493766,2.36254899458855
30,31,0.20851150526437065,0.19345674573066612,0.20544952708577643,0.4459028858334433,0.208369,0.4468775,3.150781876733916
