,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI
162,385199,0,0,0,0,0,0
163,385201,0,0,0,0,0,0
164,385266,0,0,0,0,0,0
165,385362,0,0,0,0,0,0
166,385363,0,0,0,0,0,0
167,385437,0,0,0,0,0,0
168,385445,0,0,0,0,0,0
169,385446,0,0,0,0,0,0
170,385447,0,0,0,0,0,0
171,385458,0,0,0,0,0,0
172,385533,0,0,0,0,0,0
173,385571,0,0,0,0,0,0
174,385695,0,0,0,0,0,0
175,386723,0,0,0,0,0,0
176,408832,0,0,0,0,0,0
177,415720,0,0,0,0,0,0
178,416400,0,0,0,0,0,0
179,420356,0,0,0,0,0,0
180,427581,0,0,0,0,0,0
181,427614,0,0,0,0,0,0
182,432949,0,0,0,0,0,0
183,434194,0,0,0,0,0,0
184,434709,0,0,0,0,0,0
185,437871,0,0,0,0,0,0
186,437915,0,0,0,0,0,0
187,438028,0,0,0,0,0,0
188,439858,0,0,0,0,0,0
189,443843,0,0,0,0,0,0
190,444018,0,0,0,0,0,0
191,444025,0,0,0,0,0,0
192,444030,0,0,0,0,0,0
193,444745,0,0,0,0,0,0
194,450265,0,0,0,0,0,0
195,455171,0,0,0,0,0,0
196,455206,0,0,0,0,0,0
197,455209,0,0,0,0,0,0
198,455502,0,0,0,0,0,0
199,456826,0,0,0,0,0,0
200,468422,0,0,0,0,0,0
201,469306,0,0,0,0,0,0
202,469361,0,0,0,0,0,0
203,469362,0,0,0,0,0,0
204,469372,0,0,0,0,0,0
205,469420,0,0,0,0,0,0
206,469421,0,0,0,0,0,0
207,469438,0,0,0,0,0,0
208,469505,0,0,0,0,0,0
209,469506,0,0,0,0,0,0
210,469509,0,0,0,0,0,0
211,469514,0,0,0,0,0,0
212,469584,0,0,0,0,0,0
213,469610,0,0,0,0,0,0
214,469615,0,0,0,0,0,0
215,469704,0,0,0,0,0,0
216,469705,0,0,0,0,0,0
217,469707,0,0,0,0,0,0
218,470027,0,0,0,0,0,0
219,470308,0,0,0,0,0,0
220,470316,0,0,0,0,0,0
221,470443,0,0,0,0,0,0
222,470523,0,0,0,0,0,0
223,470596,0,0,0,0,0,0
224,471150,0,0,0,0,0,0
225,471196,0,0,0,0,0,0
226,471210,0,0,0,0,0,0
227,471288,0,0,0,0,0,0
228,471318,0,0,0,0,0,0
229,471921,0,0,0,0,0,0
230,471954,0,0,0,0,0,0
231,472231,0,0,0,0,0,0
232,472232,0,0,0,0,0,0
233,472271,0,0,0,0,0,0
234,483002,0,0,0,0,0,0
235,486958,0,0,0,0,0,0
236,487581,0,0,0,0,0,0
237,488644,0,0,0,0,0,0
238,491767,0,0,0,0,0,0
239,491768,0,0,0,0,0,0
240,493480,0,0,0,0,0,0
241,1994 ES2,0,0,0,0,0,0
242,1994 EV3,0,0,0,0,0,0
243,1995 DB2,0,0,0,0,0,0
244,1995 DC2,0,0,0,0,0,0
245,1995 HM5,0,0,0,0,0,0
246,1995 WY2,0,0,0,0,0,0
247,1996 KV1,0,0,0,0,0,0
248,1996 RQ20,0,0,0,0,0,0
249,1996 RR20,0,0,0,0,0,0
250,1996 TK66,0,0,0,0,0,0
251,1996 TS66,0,0,0,0,0,0
252,1997 CT29,0,0,0,0,0,0
253,1997 CV29,0,0,0,0,0,0
254,1997 QH4,0,0,0,0,0,0
255,1997 RX9,0,0,0,0,0,0
256,1998 FS144,0,0,0,0,0,0
257,1998 HH151,0,0,0,0,0,0
258,1998 HL151,0,0,0,0,0,0
259,1998 HN151,0,0,0,0,0,0
260,1998 HO151,0,0,0,0,0,0
261,1998 HQ151,0,0,0,0,0,0
262,1998 KS65,0,0,0,0,0,0
263,1998 KY61,0,0,0,0,0,0
264,1998 UR43,0,0,0,0,0,0
265,1998 UU43,0,0,0,0,0,0
266,1998 WG24,0,0,0,0,0,0
267,1998 WS31,0,0,0,0,0,0
268,1998 WV24,0,0,0,0,0,0
269,1998 WV31,0,0,0,0,0,0
270,1998 WW31,0,0,0,0,0,0
271,1998 WX24,0,0,0,0,0,0
272,1998 WX31,0,0,0,0,0,0
273,1998 WY24,0,0,0,0,0,0
274,1998 WY31,0,0,0,0,0,0
275,1998 WZ31,0,0,0,0,0,0
276,1999 CB119,0,0,0,0,0,0
277,1999 CC119,0,0,0,0,0,0
