,Name
0,(944
1,(2060
2,(5145
3,(5335
4,(7066
5,(8405
6,(10199
7,(10370
8,(15504
9,(15760
10,(15788
11,(15789
12,(15807
13,(15809
14,(15810
15,(15820
16,(15836
17,(15874
18,(15875
19,(15883
20,(16684
21,(19255
22,(19299
23,(19308
24,(19521
25,(20000
26,(20108
27,(20161
28,(20461
29,(24835
30,(24952
31,(24978
32,(26181
33,(26308
34,(26375
35,(28978
36,(29981
37,(31824
38,(32532
39,(32929
40,(33001
41,(33128
42,(33340
43,(35671
44,(37117
45,(38083
46,(38084
47,(38628
48,(40314
49,(42301
50,(42355
51,(44594
52,(45802
53,(47171
54,(47932
55,(48639
56,(49036
57,(49673
58,(50000
59,(52747
60,(52872
61,(52975
62,(53311
63,(54520
64,(54598
65,(55565
66,(55576
67,(55636
68,(55637
69,(55638
70,(58534
71,(59358
72,(60454
73,(60458
74,(60558
75,(60608
76,(60620
77,(60621
78,(63252
79,(65407
80,(65489
81,(66452
82,(66652
83,(69986
84,(69987
85,(69988
86,(69990
87,(73480
88,(76803
89,(78799
90,(79360
91,(79969
92,(79978
93,(79983
94,(80806
95,(82075
96,(82155
97,(82157
98,2001 FP185
99,(83982
100,(84522
101,(84719
102,(84922
103,(85627
104,(85633
105,(86047
106,(86177
107,2000 OO67
108,(87555
109,(88267
110,(88268
111,(88269
112,(88611
113,Sedna
114,(90482
115,(90568
116,(91133
117,(91205
118,(91554
119,(95625
120,(95626
121,(118228
122,(118378
123,(118379
124,(118698
125,(118702
126,(119066
127,(119067
128,(119068
129,(119069
130,(119070
131,(119315
132,(119473
133,(119878
134,(119951
135,(119956
136,(119976
137,(119979
138,(120061
139,(120132
140,(120178
141,(120181
142,(120216
143,(120347
144,(120348
145,(121725
146,(123509
147,(126154
148,(126155
149,(126619
150,(126719
151,(127546
152,(127871
153,(129746
154,(129772
155,(130391
156,(131318
157,(131695
158,(131696
159,(131697
160,(133067
161,(134210
162,(134340
163,(134568
164,(134860
165,(135024
166,(135182
167,(135571
168,(135742
169,(136108
170,(136120
171,(136199
172,(136204
173,(136472
174,(137294
175,(137295
176,(138537
177,(138628
178,(139775
179,(143685
180,(143707
181,(143751
182,(143991
183,(144897
184,(144908
185,(145451
186,(145452
187,(145453
188,(145474
189,(145480
190,(145486
191,(145627
192,(148112
193,2000 CR105
194,(148780
195,(148975
196,(149348
197,(149349
198,(149560
199,(150642
200,(154783
201,(160091
202,(160147
203,(160148
204,(160256
205,(160427
206,(168700
207,(168703
208,(169071
209,(174567
210,(175113
211,(181708
212,(181855
213,(181867
214,(181868
215,(181871
216,(181874
217,(181902
218,(182222
219,(182223
220,(182294
221,(182397
222,(182926
223,(182933
224,(182934
225,(183595
226,(183963
227,(183964
228,(184212
229,(184314
230,(187661
231,(202421
232,(208996
233,(225088
234,(229762
