,Name
0,Chiron
1,Pholus
2,Damocles
3,Nessus
4,Asbolus
5,Chariklo
6,Hylonome
7,1999 RG33
8,Albion
9,1993 SB
10,1993 SC
11,1994 GV9
12,1994 JS
13,Arawn
14,1994 TB
15,1995 DA2
16,1996 TL66
17,1996 TP66
18,1997 CR29
19,1994 JQ1
20,1994 VK8
21,1996 SZ4
22,1996 TO66
23,Chaos
24,Varuna
25,1995 QZ9
26,1996 TR66
27,Dioretsa
28,1995 SM55
29,1997 QJ4
30,1998 HJ151
31,1996 GQ21
32,1998 SM165
33,1999 DE9
34,Ixion
35,1999 TD10
36,Elatus
37,Thereus
38,1995 QY9
39,1997 CU29
40,1998 BU48
41,1998 VG44
42,1998 SN165
43,Narcissus
44,Rhadamanthus
45,1999 HB12
46,Huya
47,1999 KR16
48,2001 UR163
49,Typhon
50,1999 OX3
51,2000 PV29
52,Lempo
53,2000 GN171
54,1995 TL8
55,Pelion
56,1999 RA215
57,Quaoar
58,1998 HM151
59,Okyrhoe
60,Cyllarus
61,Deucalion
62,2000 PJ30
63,Bienor
64,2002 AW197
65,Amycus
66,2002 TX300
67,2002 UX25
68,2002 VE95
69,Logos
70,1999 CL158
71,2000 CH105
72,2000 CM114
73,Echeclus
74,2000 EE173
75,2000 FD8
76,2000 FE8
77,2001 BL41
78,2002 RP120
79,Ceto
80,1999 OF4
81,Borasisi
82,1998 WW24
83,1998 WA25
84,1998 WA31
85,1998 WU31
86,2002 PN34
87,2000 PK30
88,2002 XW93
89,Sila-Nunam
90,1999 CP133
91,1999 CC158
92,1999 DF9
93,2000 CM105
94,2000 YW134
95,2001 FZ173
96,2001 FM185
97,2001 FP185
98,Crantor
99,2002 TC302
100,2002 VR128
101,2003 VS2
102,1998 HP151
103,1998 KR65
104,1999 OY3
105,1999 RY215
106,2000 OO67
107,2000 QB243
108,2001 KE76
109,2001 KK76
110,2001 KF77
111,Teharonhiawako
112,Sedna
113,Orcus
114,2004 GV9
115,1998 HK151
116,1998 US43
117,1999 RZ215
118,2002 GX32
119,2002 GZ32
120,1996 TQ66
121,1999 HT11
122,1999 HC12
123,2000 OY51
124,2000 OM67
125,2001 KJ76
126,2001 KP76
127,2001 KC77
128,2001 KN77
129,2001 KP77
130,2001 SQ73
131,2001 UO18
132,2002 CY224
133,2002 KX14
134,2002 PA149
135,2002 VR130
136,2002 WC19
137,2003 CO1
138,2003 FY128
139,2003 OP32
140,2003 UR292
141,2004 EW95
142,Salacia
143,2004 TY364
144,Aphidas
145,2000 WK183
146,2001 YH140
147,2001 YJ140
148,2002 CX154
149,2002 CC249
150,2002 XU93
151,2003 FC128
152,1999 CE119
153,1999 HR11
154,2000 JG81
155,2001 FL194
