,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,calc_sma
0,1,0.11794272632029915,-0.1392754998610025,0.11494648049093978,0.16768147134983863,0.11535,0.16773729999999998,2.7634337577932513
1,2,0.28766067510635757,-0.1559060816950231,0.27927109938694145,0.5433736459035454,0.28088090000000004,0.5471763000000001,2.7668755932371134
2,3,0.23581699532384712,0.2490612401417977,0.23360115698307773,0.229224736301175,0.2337659,0.2294539,2.6658436345371403
3,4,0.10295173732124437,0.1122039410036476,0.09822544542898565,0.11199698559503626,0.0998265,0.1114643,2.3583987385565712
4,5,0.1891246846325575,-0.4324692439656903,0.1862787729023961,0.07643049696759664,0.1850965,0.07949830000000001,2.5739544676233317
5,6,0.1641284591827288,0.34298360318372423,0.15836245220890124,0.24898906337390275,0.1588321,0.2487956,2.422072885563254
6,7,0.21403097005729185,0.08621715575955903,0.20851142470478984,0.1105264206472213,0.21262579999999998,0.11157939999999998,2.382978611653161
7,8,0.15559126170767476,-0.11307685230516466,0.1472350802484706,0.10019929118837852,0.14530839999999998,0.0973579,2.198538759729452
8,9,0.1306400852785125,-0.39753448996927154,0.1274240373989043,0.08241103235474125,0.1279022,0.0816331,2.3832533656754946
9,10,0.13782555180569417,-0.3834668014524365,0.135533663373348,0.0888468118975913,0.1357797,0.0889534,3.137958942716365
10,11,0.07853425224094862,-0.3610332853189984,0.07458922088830856,0.0685954311028006,0.0745741,0.0678904,2.4490101802462187
11,12,0.1793797065734779,-0.019290746204895615,0.1749920612342943,0.16282573896732072,0.1750534,0.1624221,2.331235988020476
12,13,0.132251197345748,-0.1578777701765746,0.1265988181923098,0.27665569364115916,0.12648030000000002,0.2765789,2.5728941815923547
13,14,0.20099136470281972,0.3379167141727813,0.19830580478167803,0.1455210118766955,0.1987106,0.1459393,2.584074127717734
14,15,0.15160319388130683,0.23322355575219528,0.1486483871732569,0.22660724439733324,0.1488681,0.22679539999999998,2.6400263332405163
15,16,0.10623199148159142,0.11720369808409209,0.10296116031596737,0.044459848837450446,0.1029,0.0440689,2.918257661293029
16,17,0.14237238986307618,-0.39018711050945637,0.1381195764026462,0.08560253281402837,0.13801449999999998,0.085227,2.4678352933591956
17,18,0.1829380643137449,-0.15500879256231634,0.17751069358091975,0.16968193250389418,0.1780091,0.1693954,2.2926986965122644
18,19,0.13749277959193196,0.22320164719943872,0.13457809971721715,0.039938117972706924,0.13489520000000002,0.0388471,2.438783789637878
19,20,0.1644224811863735,0.5448218768276273,0.1618056951477662,0.026660361858282532,0.1619235,0.024819900000000002,2.405431416719899
20,21,0.13227312958832158,0.25558252201055776,0.12930041488005073,0.03863418519516194,0.1293648,0.0375609,2.4320296022732553
21,22,0.09313433196506885,0.046592725025709256,0.08948280275545661,0.21809501365141884,0.0879463,0.21823499999999998,2.9058319383841353
22,23,0.2570209186539709,-0.1186499197817622,0.2546813326354953,0.16744994034662924,0.254656,0.1675274,2.624348591692256
23,24,0.15505542200345201,0.7064205535741355,0.15270466473519204,0.019738948429152345,0.15338039999999997,0.0189679,3.130443921018876
24,25,0.22778303569479413,-0.22315342640412592,0.2261096584499746,0.3976729273621729,0.22672529999999996,0.39776659999999997,2.396985581101003
25,26,0.12286890519008214,-0.0994959638641592,0.11982135400470872,0.053260977403742686,0.11983930000000001,0.052749300000000006,2.6521350744812042
26,27,0.18774413688954986,0.7601439876775864,0.18402870280923458,0.01672963626222032,0.1858558,0.012377500000000001,2.343923399942653
27,28,0.18077040912643402,0.3118679837292088,0.17843098717556602,0.1477392050921159,0.1788638,0.14812999999999998,2.7737426167228247
28,29,0.07912284949713466,0.13148160246638324,0.07335108507291795,0.11247951634628688,0.07375369999999999,0.1123347,2.550902902053873
29,30,0.10802746784875758,-0.02760443427673911,0.10397940390064692,0.05048713657106129,0.1050403,0.0493766,2.3625197865039493
30,31,0.20763661926336524,0.20119406807625392,0.20766781757536806,0.44603979000741545,0.208369,0.4468775,3.150715343755243
31,32,0.11639206786373402,0.0631032560578907,0.11278099112331955,0.10929423009890797,0.112194,0.1084358,2.5835785565571148
32,33,0.29960744040443915,0.3425611309141318,0.29594498166765104,0.03513045745155706,0.297306,0.0347727,2.862754666837296
