,Name,obs_ecc,obs_sinI,calc_sinI,calc_ecc,ast_sinI,ast_ecc
0,1,0.12358063464193467,-0.14177359396084246,0.16782460618307757,0.12357928633187017,0.1677373,0.11535
1,2,0.2786146688863796,-0.15207981780191165,0.5448807440627246,0.2785641425895054,0.5471763,0.2808809
2,3,0.23555974976823363,0.25048891674967,0.2293697531236216,0.23555806267538792,0.2294539,0.2337659
3,4,0.10445568635807403,0.10550436669495286,0.11157877826023171,0.10445159420176447,0.1114643,0.0998265
4,5,0.2015240921996786,-0.4402860727843658,0.07925460406510922,0.20152265342705342,0.0794983,0.1850965
5,6,0.16163058647275555,0.35097817127489694,0.24808150786230487,0.16158071080548106,0.2487956,0.1588321
6,7,0.21502799202151118,0.14462967343024938,0.1132130450260571,0.21501194411944766,0.1115794,0.2126258
7,8,0.15489402679425626,-0.12474151707628056,0.09959232030065925,0.1548667463158194,0.0973579,0.1453084
8,9,0.13153170323961635,-0.3999835945630504,0.0822956844770428,0.13152732456782362,0.0816331,0.1279022
9,10,0.15561759658843605,-0.38047401202430364,0.08903513681726084,0.15561730845432242,0.0889534,0.1357797
10,11,0.07616674558225578,-0.3598928907787708,0.06834888313051365,0.07616558589419385,0.0678904,0.0745741
11,12,0.17728144846131344,-0.0182460888393195,0.162757221342642,0.1772810595403249,0.1624221,0.1750534
12,13,0.13588293850351593,-0.15481243065215478,0.27648684576520893,0.135873333221495,0.2765789,0.1264803
13,14,0.20308190005217483,0.3355056088857363,0.14571239569901867,0.20308064597850825,0.1459393,0.1987106
14,15,0.1500793547614498,0.23353375051606484,0.22665577747713572,0.15007875533654416,0.2267954,0.1488681
15,16,0.11348606016381309,0.2892378959519417,0.037302300268871894,0.11348528854033965,0.0440689,0.1029
16,17,0.14146141479205868,-0.39194884398658064,0.08545814202487416,0.14145840900965065,0.085227,0.1380145
17,18,0.18568780549928132,-0.17328002300406842,0.1705881976941261,0.18568152252763118,0.1693954,0.1780091
18,19,0.13645999947711934,0.22395673964059618,0.03985859575937109,0.13645453049908532,0.0388471,0.1348952
19,20,0.16561547763024562,0.5451963830275355,0.026600566790105765,0.16560774955936564,0.0248199,0.1619235
20,21,0.1301592323144913,0.25703250358066393,0.03854388990296785,0.13015368675246594,0.0375609,0.1293648
21,22,0.09423504076797633,0.04683451099376776,0.2181204457130439,0.09423411406361501,0.218235,0.0879463
22,23,0.25874030135089443,-0.11694593768288519,0.16738537766259373,0.25873517404903207,0.1675274,0.254656
23,24,0.1699106326015552,0.703340413747736,0.019852265068274443,0.16991049084641546,0.0189679,0.1533804
24,25,0.21967001861754487,-0.2158979344827835,0.4030020289297648,0.21957806012388267,0.3977666,0.2267253
25,26,0.12421809401780258,-0.07138284781627481,0.052137543754190954,0.12421788322420116,0.0527493,0.1198393
26,27,0.18961264944973616,0.7632605255170863,0.01646064461088107,0.18960849921211062,0.0123775,0.1858558
27,28,0.18326975544374827,0.30913446696180036,0.14787897202067032,0.18326777975730857,0.14813,0.1788638
28,29,0.08002484561068296,0.12118317921657067,0.11195777539424881,0.0800235061086377,0.1123347,0.0737537
29,30,0.10815479753537736,-0.020890827805169897,0.05016556735507987,0.1081465004455796,0.0493766,0.1050403
30,31,0.8278512516970618,0.634587341010426,0.18425508744860106,0.4814123048018525,0.4468775,0.208369
31,32,0.11784453472308488,0.014213498433200881,0.10727844913635416,0.11784400915053393,0.1084358,0.112194
32,33,0.29688276739266173,0.34050914734661963,0.03521634698599801,0.29688171953590825,0.0347727,0.297306
33,34,0.14918918181231505,-0.21490609864853163,0.09761077819364972,0.14918898916110335,0.0975235,0.1449115
34,35,0.27522576867418796,0.2966120252262889,0.14616615278556133,0.27522489604412625,0.1466564,0.2640117
35,36,0.27285449980350757,-0.003823244217364539,0.32239532250419634,0.2728210123520321,0.3246611,0.2779122
36,37,0.16255357116725128,-0.2143813718021298,0.05843440301059476,0.16255100053094898,0.0574061,0.1597052
37,38,0.17059752166440795,0.4295666549406621,0.13614326825112322,0.17059631785789728,0.1358171,0.168397
38,39,0.07398899245415148,-0.1991473321756375,0.17027905633945292,0.07398794105678154,0.1705364,0.0693401
39,40,0.04815459649479609,-0.28561231872552045,0.06698684565311863,0.04814653980944627,0.065101,0.0209266
40,41,0.3099624412280584,0.023894943218971395,0.26705779545775893,0.3099621969106893,0.2676741,0.3047439
41,42,0.18924318184222663,0.4067354749084028,0.13315213317476485,0.18923704015560328,0.1325973,0.1886984
42,43,0.14817214733752365,-0.32602398324532195,0.07218684681023403,0.14816935110679297,0.0719398,0.1429325
43,44,0.17824331510704436,-0.10786913256087255,0.05384187294866092,0.17823694488752148,0.0534071,0.1733962
44,45,0.11854598352229372,-0.025354141040971414,0.10571772452948867,0.1185456994823481,0.1057538,0.1128435
45,46,0.12308180519299869,0.12514586257328766,0.043985646553369374,0.12308049022043577,0.0434373,0.1175179
46,47,0.11384133427612268,-0.3606338501119703,0.09007896699103632,0.1138408241477541,0.0908032,0.1129093
47,48,0.07597152218362649,0.20575843177944161,0.1151952675218312,0.0759713276468834,0.1152721,0.0636144
48,49,0.19202751758222483,-0.46355770798416857,0.0801098436446102,0.1920273296721268,0.0821912,0.1989318
49,50,0.24325016315794318,0.07730705417873412,0.04605706835577171,0.2432469535922249,0.0466952,0.2445043
50,51,0.12379373170921305,-0.24667954057084165,0.17448504222796396,0.12377789694400186,0.174114,0.114512
51,52,0.12963473466107406,0.10710449839851147,0.11102235193818986,0.1296343153646693,0.1111604,0.1188296
52,53,0.19889042019385433,-0.4397899487431653,0.0805867804183884,0.19888936711058783,0.0800986,0.2194475
