,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,megno,lyapunov
0,15760.0,0.07048976047024999,0.11609455680053787,0.07048961166821319,0.04908286093403103,0.07035570000000001,0.0439968,0.0,0.0
1,15789.0,0.1841135776155125,-0.13285038200257893,0.1841128291874661,0.10347745114528954,0.1841545,0.1019159,0.0,0.0
2,15807.0,0.07047834286924336,0.3613446187711824,0.07047832446299052,0.040921092007535846,0.07297669999999999,0.0330139,0.0,0.0
3,15809.0,0.2385775863808687,-0.0553478893101947,0.23857698514290593,0.21135374716111868,0.2202312,0.22442779999999998,0.0,0.0
4,15810.0,0.12470402210621453,-0.24829367514549416,0.1247039339638968,0.06407846112141688,0.1247105,0.0599178,0.0,0.0
5,15836.0,0.0716869737482262,-0.07196841362159787,0.07168665024651925,0.09387199515701099,0.07126160000000001,0.08571369999999999,0.0,0.0
6,15883.0,0.21248778535306695,-0.371957107356517,0.21248770930991698,0.3068527461174568,0.2123627,0.3064037,0.0,0.0
7,16684.0,0.04053751613005933,-0.155137750919545,0.04053734884873454,0.059350031055600036,0.0403445,0.0556696,0.0,0.0
8,19255.0,0.03336954857442616,0.6806486318483536,0.03336952872915207,0.032395586393874326,0.0332889,0.013335900000000001,0.0,0.0
9,19299.0,0.21772333930295637,0.20582756272534486,0.21772221291001473,0.14384513874894,0.22937889999999997,0.1308766,0.0,0.0
10,19308.0,0.11552129790650706,0.14575786922077344,0.11552092965669412,0.46872567883665767,0.1164404,0.4685573,0.0,0.0
11,19521.0,0.10504444691842245,-0.4566823395924633,0.10504434426476691,0.19111484194482561,0.10356069999999999,0.1897161,0.0,0.0
12,20000.0,0.052530209139368116,0.07616836989271777,0.05253020727968771,0.26746991648791335,0.0525251,0.26704,0.0,0.0
13,20108.0,0.1334661039916001,0.38983670118576,0.13346555276184507,0.3407998603837475,0.13819070000000003,0.3387908,0.0,0.0
14,24835.0,0.1005215939048212,0.46021160912414266,0.10052151070411815,0.4506637093705229,0.10060119999999999,0.4506077,0.0,0.0
15,24952.0,0.2462221645533467,-0.18301323677020637,0.24622096098300986,0.2746252819011521,0.24581039999999998,0.2747398,0.0,0.0
16,24978.0,0.04963250161639349,0.5471089861630875,0.04963243666166314,0.03597384037945224,0.0496143,0.024805,0.0,0.0
17,28978.0,0.25047267097303566,0.07873974572150404,0.25047171271618673,0.3070434314697513,0.24934570000000003,0.3062277,0.0,0.0
18,32929.0,0.2573313189839328,-0.18124823491852904,0.2573306039934667,0.09988794199437794,0.2573961,0.097919,0.0,0.0
19,33001.0,0.029840346316824744,0.1533564387077337,0.02984016093512755,0.0476228069510958,0.0298546,0.04210680000000001,0.0,0.0
20,33340.0,0.24987404743243088,0.2928475096092063,0.24987300842382867,0.042565144870913965,0.2501451,0.0351244,0.0,0.0
21,35671.0,0.027535224288506435,-0.20470802983491043,0.027535156063310036,0.0650590603738089,0.027601900000000002,0.058880600000000005,0.0,0.0
22,38083.0,0.12927905864935307,0.07522458895139751,0.12927895839485648,0.2650365192795522,0.1565601,0.28016979999999997,0.0,0.0
23,38628.0,0.25700435815607026,0.01565588872271028,0.25700361174476816,0.26910071120568135,0.2550674,0.268577,0.0,0.0
24,42301.0,0.28524274568911023,0.18396025482305417,0.2852426669813448,0.04582187100563818,0.2763928,0.0416874,0.0,0.0
25,45802.0,0.01086658993667617,0.251850884767479,0.010866585696119159,0.04432747576341737,3.2e-06,0.037938,0.0,0.0
26,47171.0,0.23400704865909414,-0.03487496151080795,0.23400703293644734,0.09108231084278268,0.23717710000000003,0.0862406,0.0,0.0
27,47932.0,0.29014976937261666,-0.2601830800625637,0.2901489964082864,0.17765080363696936,0.28992870000000004,0.17641279999999998,0.0,0.0
28,48639.0,0.2369091739372394,0.4436086566010429,0.23690865579290302,0.03713790158958613,0.23607350000000002,0.030234399999999998,0.0,0.0
29,49673.0,0.10035785399404404,0.296800801308196,0.10035785043608704,0.362753636918064,0.1004504,0.3623249,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,52747.0,0.05614448379502639,0.6590205309830167,0.05614435787262986,0.032503959718040994,0.0561354,0.0204046,0.0,0.0
32,53311.0,0.05679941770960368,0.5392076739069815,0.05679913252379163,0.03551676060314251,0.0567946,0.025626200000000002,0.0,0.0
33,55565.0,0.12428437049465141,0.3672453808563407,0.12428434791215387,0.4387429314073386,0.12430610000000002,0.4384393,0.0,0.0
34,55636.0,0.12850037292666294,0.4461104558059061,0.12849966278761457,0.4534918427581108,0.12822160000000002,0.45332429999999996,0.0,0.0
35,55637.0,0.13831484760123922,0.5142764406636836,0.13831455207612084,0.3451972044977342,0.1405991,0.3441531,0.0,0.0
36,55638.0,0.26311702373158513,-0.10101945916706714,0.2631170321748658,0.30210590278016375,0.2948009,0.27207070000000005,0.0,0.0
37,58534.0,0.12396878276475104,0.49291966842710205,0.12396834918185883,0.03702110951346819,0.1238086,0.0275175,0.0,0.0
38,60454.0,0.08050070422791826,0.01619672832630439,0.08050057166760852,0.052626639142588146,0.07978969999999999,0.0479904,0.0,0.0
39,60620.0,0.22385897515910988,0.01372760764971903,0.223858652899351,0.3310808626531657,0.21086010000000002,0.3445741,0.0,0.0
40,66452.0,0.06056105813034725,0.3880147039372857,0.06056103439940036,0.0395482817288961,0.060471699999999996,0.0328333,0.0,0.0
41,66652.0,0.07439224404654374,0.5109280746328712,0.0743923944898909,0.03690618135693884,0.08612439999999999,0.024124,0.0,0.0
