,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,err_ecc,err_sinI,ast_ecc,ast_sinI
0,1.0,2.756557359480664,0.12358063464193467,-0.14177359396084246,0.11900785173612177,0.16889886711840163,0.0,0.0,0.0,0.0
1,2.0,2.7705759321250167,0.2786146688863796,-0.15207981780191165,0.27568306357519834,0.5450722056507037,0.0,0.0,0.0,0.0
2,3.0,2.661471449049752,0.23555974976823363,0.25048891674967,0.23306170452815464,0.23015128588502914,0.0,0.0,0.0,0.0
3,4.0,2.361834827816422,0.10445568635807403,0.10550436669495286,0.09953489288426655,0.11329459975645885,0.0,0.0,0.0,0.0
4,5.0,2.573537279397679,0.2015240921996786,-0.4402860727843658,0.18965784522710463,0.08158200499506503,0.0,0.0,0.0,0.0
5,6.0,2.4236148669548685,0.16163058647275555,0.35097817127489694,0.15574140726386856,0.2488002742555575,0.0,0.0,0.0,0.0
6,7.0,2.3878059877796654,0.21502799202151118,0.14462967343024938,0.2123154725629051,0.11487188100686428,0.0,0.0,0.0,0.0
7,8.0,2.195833349367452,0.15489402679425626,-0.12474151707628056,0.14626372045219202,0.10149919429582074,0.0,0.0,0.0,0.0
8,9.0,2.3839699698242516,0.13153170323961635,-0.3999835945630504,0.128126165342346,0.08463558696964041,0.0,0.0,0.0,0.0
9,10.0,3.153212039534443,0.15561759658843605,-0.38047401202430364,0.1508642592376564,0.09115265923062268,0.0,0.0,0.0,0.0
10,11.0,2.44968360235805,0.07616674558225578,-0.3598928907787708,0.07139805035007238,0.07120139670965885,0.0,0.0,0.0,0.0
11,12.0,2.330629351747335,0.17728144846131344,-0.0182460888393195,0.17264552587510415,0.16389396194405678,0.0,0.0,0.0,0.0
12,13.0,2.5780752591885903,0.13588293850351593,-0.15481243065215478,0.12972991401347542,0.2770667620458165,0.0,0.0,0.0,0.0
13,14.0,2.588032002849214,0.20308190005217483,0.3355056088857363,0.20009243044305774,0.1469309869845987,0.0,0.0,0.0,0.0
14,15.0,2.6339124625020696,0.1500793547614498,0.23353375051606484,0.14663962690398183,0.22165008593828067,0.0,0.0,0.0,0.0
15,16.0,2.908444635897221,0.11348606016381309,0.2892378959519417,0.09724036345586079,0.04291907604450953,0.0,0.0,0.0,0.0
16,17.0,2.4652367051357196,0.14146141479205868,-0.39194884398658064,0.1371272660315272,0.08769783158514907,0.0,0.0,0.0,0.0
17,18.0,2.2889895775853297,0.18568780549928132,-0.17328002300406842,0.17908294154566018,0.17168282752394975,0.0,0.0,0.0,0.0
18,19.0,2.4374199658836706,0.13645999947711934,0.22395673964059618,0.13330632522011912,0.04517043007893233,0.0,0.0,0.0,0.0
19,20.0,2.410720627434855,0.16561547763024562,0.5451963830275355,0.16282409261618322,0.03568192736290917,0.0,0.0,0.0,0.0
20,21.0,2.4340812531079434,0.1301592323144913,0.25703250358066393,0.12691715350825844,0.04410973037292623,0.0,0.0,0.0,0.0
21,22.0,2.899074395648723,0.09423504076797633,0.04683451099376776,0.08945038747555586,0.21892252309312785,0.0,0.0,0.0,0.0
