Name,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),lam-fit(deg),My
104,0.00000036,0.0000156,0.0000030,0.000016,0.015221,0.010593,6.3915,-2
105,0.00000013,0.0005026,0.0003303,0.000008,0.014166,0.014829,6.0435,2
106,0.00005835,0.0000341,0.0000069,0.001594,0.095548,0.013616,682.2641,-2
107,0.00000193,0.0000577,0.0000291,0.000057,0.018731,0.013436,21.2693,-2
108,0.00000137,0.0000187,0.0000050,0.000040,0.050802,0.011817,17.1864,-2
109,0.00001133,0.0014925,0.0001232,0.000586,0.049340,0.200516,230.4037,-2
110,0.00000001,0.0007407,0.0003452,0.000001,0.013063,0.009347,0.6271,-2
111,0.00000021,0.0016419,0.0000492,0.000006,0.023082,0.080595,5.1896,-2
112,0.00000002,0.0000472,0.0000538,0.000000,0.008827,0.002819,1.6002,2
113,0.00000001,0.0001164,0.0000697,0.000002,0.003305,0.005116,1.9532,2
114,0.00000001,0.0004613,0.0000184,0.000002,0.004349,0.015422,3.5692,-2
115,0.00002536,0.0005293,0.0000964,0.002021,0.006929,0.032264,756.5162,2
116,0.00000002,0.0000561,0.0000084,0.000002,0.006236,0.005822,1.3882,-2
117,0.00008276,0.0012980,0.0000538,0.002161,0.027504,0.022486,1037.2555,-2
118,0.00000007,0.0001115,0.0000300,0.000003,0.009539,0.006651,3.4258,2
119,0.00000007,0.0013489,0.0007414,0.000003,0.031576,0.019727,1.7691,-2
120,0.00000021,0.0000075,0.0000110,0.000004,0.010121,0.007396,2.1374,-2
121,0.00009149,0.0000772,0.0000163,0.001949,0.044253,0.018346,966.9406,-2
122,0.00000024,0.0000103,0.0000021,0.000014,0.042140,0.010216,7.0092,-2
123,0.00000002,0.0022514,0.0000347,0.000041,0.023924,0.279410,15.1972,-2
124,0.00000041,0.0010945,0.0002177,0.000025,0.016819,0.100643,10.1582,-2
125,0.00000055,0.0001359,0.0000712,0.000030,0.007671,0.006325,42.5402,-2
126,0.00000003,0.0001071,0.0001443,0.000001,0.010266,0.002972,1.3636,2
127,0.00000005,0.0001589,0.0000493,0.000003,0.007151,0.008336,1.9222,-2
128,0.00000048,0.0001631,0.0000878,0.000025,0.004126,0.004773,10.0801,-2
129,0.00013340,0.0001436,0.0000374,0.005588,0.008322,0.009201,2553.7728,-2
130,0.00000756,0.0001320,0.0000407,0.000320,0.005581,0.006055,122.2039,-2
131,0.00000031,0.0001568,0.0000651,0.000022,0.008998,0.003549,9.2572,2
133,0.00000225,0.0004415,0.0004532,0.000039,0.055555,0.042003,28.0670,-2
134,0.00000008,0.0000991,0.0001138,0.000002,0.006264,0.003597,2.7735,-2
135,0.00000033,0.0001598,0.0000222,0.000019,0.005664,0.007227,10.0261,2
136,0.00000000,0.0002416,0.0003927,0.000001,0.020277,0.007176,2.5307,2
137,0.00011020,0.0001216,0.0000116,0.004357,0.050216,0.010484,4439.8403,10
138,0.00003336,0.0001594,0.0000303,0.002276,0.014620,0.003322,878.1267,2
139,0.00000018,0.0003561,0.0000285,0.000016,0.008142,0.037499,15.9172,-2
140,0.00000001,0.0000504,0.0000050,0.000001,0.005223,0.006197,1.0670,-2
141,0.00000002,0.0000571,0.0000452,0.000001,0.003025,0.004746,1.6477,-2
142,0.00000744,0.0002542,0.0000666,0.000292,0.017472,0.010299,231.7239,2
143,0.00001548,0.0004006,0.0000639,0.000850,0.003662,0.007582,351.3653,-2
144,0.00001701,0.0005199,0.0000108,0.000864,0.005606,0.021694,383.9385,-2
145,0.00000032,0.0001173,0.0000423,0.000018,0.002996,0.005323,7.3732,-2
146,0.00000017,0.0000653,0.0000584,0.000008,0.003716,0.005017,3.9546,-2
147,0.00000148,0.0000476,0.0000065,0.000013,0.013805,0.007314,23.1003,-2
148,0.00000136,0.0003414,0.0001070,0.000089,0.012875,0.019842,35.9025,-2
149,0.00000473,0.0003616,0.0015447,0.000402,0.013196,0.042448,170.3521,2
150,0.00000003,0.0000132,0.0000033,0.000001,0.008933,0.006629,0.6680,-2
151,0.00000008,0.0014359,0.0008036,0.000003,0.030992,0.027118,1.9552,-2
152,0.00001868,0.0000547,0.0000190,0.000602,0.016563,0.005163,272.5414,-2
153,0.00000042,0.0000190,0.0000299,0.000009,0.077217,0.015552,4.6114,-2
154,0.00000040,0.0000270,0.0000389,0.000013,0.007087,0.008471,10.1520,-2
155,0.00000380,0.0086435,0.0007128,0.000028,0.218107,2.234664,26.5676,10
156,0.00000397,0.0301139,0.0013551,0.000619,0.494747,5.409027,642.0117,10
157,0.00000006,0.0001299,0.0000524,0.000003,0.004640,0.004971,3.6308,-2
158,0.00000001,0.0000265,0.0000132,0.000001,0.008859,0.005325,0.5342,-2
159,0.00007655,0.0001047,0.0000082,0.002618,0.033429,0.009452,1127.0959,-2
160,0.00000001,0.0011671,0.0009277,0.000001,0.044158,0.024462,0.6193,-2
161,0.00000005,0.0000937,0.0000867,0.000003,0.004872,0.004652,2.8154,2
162,0.00005518,0.0000496,0.0000111,0.002118,0.028696,0.011836,933.5904,-2
163,0.00000135,0.0000574,0.0001387,0.000081,0.008889,0.013628,43.0135,2
165,0.00023859,0.0004137,0.0000515,0.007850,0.111437,0.021936,9738.5356,10
166,0.00002230,0.0000721,0.0000420,0.000935,0.005114,0.008878,442.5595,-2
167,0.00000011,0.0000237,0.0000104,0.000003,0.011074,0.005170,1.4822,-2
168,0.00000012,0.0000098,0.0000033,0.000006,0.023252,0.011969,2.9938,-2
169,0.00000001,0.0000493,0.0000530,0.000001,0.003947,0.004090,1.6089,2
170,0.00000010,0.0001713,0.0001877,0.000003,0.008494,0.004141,2.6220,-2
171,0.00000006,0.0000084,0.0000016,0.000005,0.013941,0.010685,3.0581,-2
172,0.00000002,0.0011990,0.0002842,0.000003,0.011262,0.024693,2.7940,2
173,0.00000072,0.0000829,0.0000325,0.000031,0.003264,0.005191,16.8172,-2
174,0.00000105,0.0010368,0.0000289,0.000028,0.029500,0.218454,14.9201,-2
175,0.00008621,0.0000629,0.0000166,0.002482,0.503991,0.013882,1103.4535,-2
176,0.00003227,0.0001086,0.0000334,0.001075,0.026304,0.012940,883.2338,-2
177,0.00000155,0.0000527,0.0000090,0.000054,0.006987,0.006248,27.7798,-2
178,0.00000007,0.0000518,0.0000206,0.000002,0.024371,0.002120,2.8891,2
179,0.00000013,0.0009157,0.0004386,0.000003,0.028227,0.032505,1.5276,-2
180,0.00000008,0.0001063,0.0000237,0.000001,0.005223,0.006012,1.7666,-2
181,0.00042283,0.0007821,0.0004030,0.015276,0.166974,0.233328,16967.4798,10
182,0.00136329,0.0007053,0.0001932,0.094504,0.087150,0.128183,37715.3035,2
183,0.00000128,0.0013719,0.0002865,0.000049,0.020610,0.013582,43.2583,-2
184,0.00000127,0.0000066,0.0000052,0.000024,0.020180,0.010556,13.2559,-2
185,0.00000002,0.0004494,0.0001115,0.000002,0.008503,0.022927,2.8702,-2
186,0.00000009,0.0008227,0.0003241,0.000008,0.008490,0.019046,8.7408,2
187,0.00000025,0.0019346,0.0003550,0.000051,0.037671,0.298625,29.2005,-2
188,0.00000052,0.0002330,0.0000359,0.000030,0.003502,0.005175,13.7273,-2
189,0.00000001,0.0000800,0.0000239,0.000002,0.018651,0.002137,1.1369,2
190,0.00000104,0.0000280,0.0000142,0.000011,0.070369,0.019047,6.7852,-2
191,0.00000030,0.0001060,0.0000276,0.000009,0.005842,0.004996,4.7958,-2
192,0.00000910,0.0002810,0.0006158,0.000660,0.018755,0.015775,391.3776,2
193,0.00000017,0.0002722,0.0000738,0.000009,0.003019,0.005570,5.4429,-2
194,0.00001249,0.0007331,0.0004425,0.000823,0.057036,0.031774,300.1952,-2
195,0.00000511,0.0013137,0.0007261,0.000236,0.047810,0.040504,96.2647,-2
196,0.00000019,0.0000632,0.0000209,0.000006,0.009344,0.008153,4.5110,-2
197,0.00000003,0.0005728,0.0000351,0.000001,0.003344,0.006240,3.2006,-2
198,0.00000071,0.0002108,0.0001106,0.000054,0.012435,0.013876,20.3254,2
199,0.00183514,0.0002906,0.0006243,0.056940,2.347311,0.348603,85604.3273,10
200,0.00000003,0.0005731,0.0000338,0.000002,0.004683,0.008563,2.7608,-2
201,0.00000001,0.0005032,0.0000170,0.000003,0.005672,0.020420,4.1603,-2
202,0.00121789,0.0064387,0.0018524,0.047738,0.670645,1.005322,45806.9553,10
203,0.00000000,0.0003743,0.0002120,0.000001,0.017754,0.015284,0.4917,-2
204,0.00000017,0.0009255,0.0000293,0.000034,0.034070,0.208988,22.7688,-2
205,0.00000001,0.0027049,0.0000106,0.000005,0.044212,0.038649,11.0268,10
206,0.00000003,0.0003519,0.0003199,0.000001,0.015933,0.007771,0.7078,-2
207,0.00000001,0.0003996,0.0004356,0.000001,0.007832,0.005217,1.6250,2
208,0.00000002,0.0000470,0.0000052,0.000002,0.007785,0.005415,0.6708,-2
209,0.00000024,0.0000059,0.0000110,0.000006,0.012296,0.007722,3.8919,-2
210,0.00000003,0.0001739,0.0000913,0.000002,0.003938,0.005067,1.2327,-2
211,0.00000016,0.0000466,0.0000737,0.000002,0.010537,0.008724,1.6224,-2
212,0.00000279,0.0000059,0.0000050,0.000092,0.010703,0.007653,38.6343,-2
213,0.00006302,0.0009274,0.0007475,0.003176,0.089055,0.078510,2888.1695,10
214,0.00000246,0.0439539,0.0019906,0.000295,0.104547,2.688366,276.5185,10
215,0.00000001,0.0000500,0.0000144,0.000001,0.006126,0.004766,0.4056,-2
216,0.00000151,0.0008638,0.0000382,0.000113,0.066622,0.237826,48.3214,-2
217,0.00019669,0.0001576,0.0000481,0.008063,0.017893,0.016804,8383.9041,10
218,0.00000010,0.0001324,0.0004476,0.000005,0.058049,0.026452,3.5510,-2
219,0.00000081,0.0009284,0.0003723,0.000036,0.023598,0.047998,18.1012,2
220,0.00000544,0.0003525,0.0003414,0.000357,0.010311,0.019465,163.8736,2
221,0.00001553,0.0010941,0.0004695,0.000474,0.059310,0.044582,227.6783,-2
222,0.00000011,0.0000067,0.0000019,0.000004,0.013926,0.010813,3.0727,-2
223,0.00000432,0.0000083,0.0000017,0.000060,0.010399,0.008063,81.3020,-2
224,0.00000150,0.0378398,0.0003561,0.000432,0.141241,3.214895,411.7628,10
225,0.00001598,0.0000382,0.0000399,0.000379,0.017951,0.007366,190.3774,-2
