Name,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),lam-fit(deg),My
329,0.00000471,0.0094250,0.0002171,0.000207,0.044736,0.059671,138.0982,2
330,0.00013188,0.0001866,0.0000407,0.008346,0.063002,0.012464,3434.8087,2
331,0.00000032,0.0000074,0.0000129,0.000015,0.008443,0.006515,6.8208,-2
332,0.00000002,0.0002963,0.0004142,0.000002,0.014049,0.014977,0.8169,-2
333,0.00000016,0.0000086,0.0000058,0.000007,0.012260,0.009353,3.3595,-2
334,0.00027095,0.0004350,0.0001456,0.005655,3.370624,0.426670,5231.0383,10
335,0.00000216,0.0003959,0.0007748,0.000190,0.028507,0.011791,68.9993,2
336,0.00000041,0.0001052,0.0000547,0.000035,0.004994,0.018217,14.8144,2
337,0.00000024,0.0005314,0.0000869,0.000019,0.006985,0.016590,7.4114,2
338,0.00000006,0.0000782,0.0000186,0.000001,0.014790,0.003856,0.6055,-2
339,0.00009114,0.0018458,0.0007841,0.003688,0.101663,0.087314,1459.6075,-2
340,0.00000002,0.0001213,0.0000749,0.000001,0.003662,0.004946,0.7793,-2
341,0.00000097,0.0013045,0.0008451,0.000077,0.021859,0.054046,33.6873,2
342,0.00000007,0.0002506,0.0005654,0.000005,0.041417,0.019779,3.5916,-2
343,0.00002189,0.0000837,0.0001831,0.001159,0.004747,0.015826,604.6574,2
344,0.00000069,0.0014162,0.0005932,0.000028,0.054338,0.065283,15.7990,-2
345,0.00000001,0.0006681,0.0002424,0.000002,0.009320,0.009639,5.4592,2
346,0.00000114,0.0000669,0.0000315,0.000048,0.003107,0.005052,22.3547,-2
347,0.00000005,0.0001280,0.0000636,0.000007,0.003562,0.004801,3.6435,-2
348,0.00000021,0.0011387,0.0006401,0.000006,0.074945,0.052065,2.7334,-2
349,0.00000012,0.0018055,0.0007971,0.000004,0.081478,0.052742,2.1561,-2
350,0.00003900,0.0001249,0.0000582,0.002324,0.013898,0.020841,1028.3220,-2
351,0.00000005,0.0000845,0.0000155,0.000003,0.005839,0.007257,2.7447,-2
352,0.00000116,0.0015883,0.0016907,0.000109,0.022022,0.034361,43.4260,2
353,0.00000208,0.0000660,0.0000131,0.000108,0.007094,0.008939,40.4516,-2
354,0.00000027,0.0001799,0.0000577,0.000013,0.009568,0.003137,7.4671,-2
356,0.00004645,0.0005313,0.0000300,0.001123,0.005683,0.013979,581.7640,-2
357,0.00000014,0.0000090,0.0000307,0.000006,0.008505,0.006219,2.4958,-2
358,0.00000152,0.0000452,0.0000862,0.000014,0.009313,0.006627,29.8359,-2
359,0.00000001,0.0001939,0.0000696,0.000002,0.005057,0.011151,1.8731,-2
360,0.00000279,0.0000223,0.0000154,0.000118,0.006497,0.006826,57.7073,-2
361,0.00000087,0.0000408,0.0000366,0.000007,0.053542,0.011198,5.3783,-2
362,0.00000014,0.0018490,0.0005681,0.000007,0.009435,0.016751,3.1054,-2
363,0.00000136,0.0015320,0.0006451,0.000016,0.044413,0.021384,33.2878,-2
364,0.00010174,0.0010459,0.0001995,0.007222,0.010292,0.027064,3611.3362,2
365,0.00000325,0.0010824,0.0000394,0.000062,0.040026,0.117319,67.4825,-2
366,0.00000089,0.0001349,0.0000419,0.000014,0.007571,0.011454,22.5504,-2
367,0.00000616,0.0003215,0.0012386,0.000383,0.014356,0.032160,285.8928,2
368,0.00007579,0.0002594,0.0000136,0.001696,0.008715,0.053367,1126.2050,-2
369,0.00000010,0.0000760,0.0000510,0.000005,0.003283,0.003832,2.1528,-2
370,0.00000000,0.0002156,0.0000990,0.000001,0.006381,0.003819,2.0098,2
371,0.00000003,0.0013893,0.0000392,0.000017,0.033023,0.114918,9.8809,-2
372,0.00000542,0.0001092,0.0000559,0.000131,0.007852,0.016585,132.0806,-2
373,0.00000385,0.0008077,0.0000437,0.000109,0.015666,0.090651,45.9116,-2
374,0.00000030,0.0003332,0.0000244,0.000014,0.008588,0.021477,8.6210,-2
375,0.00039634,0.0020372,0.0006253,0.012907,0.225116,0.174284,18374.9989,10
376,0.00000045,0.0009237,0.0009336,0.000030,0.024335,0.027542,15.2499,2
377,0.00000229,0.0057892,0.0000625,0.000117,0.031241,0.123068,168.4247,10
378,0.00000001,0.0001170,0.0000164,0.000001,0.003850,0.005812,1.0258,-2
379,0.00000024,0.0000079,0.0000021,0.000008,0.013903,0.010769,8.3705,-2
380,0.00000000,0.0001068,0.0000540,0.000003,0.011440,0.021214,2.7167,-2
381,0.00015081,0.0002329,0.0000695,0.004499,0.554741,0.045765,6965.2870,10
382,0.00011015,0.0001234,0.0000531,0.003244,0.053878,0.014459,3481.2110,10
383,0.00000031,0.0000131,0.0000015,0.000009,0.013734,0.010567,5.4585,-2
384,0.00000204,0.0014082,0.0000242,0.000099,0.004305,0.117082,43.6152,-2
385,0.00000179,0.0011201,0.0000515,0.000050,0.041326,0.084710,38.7869,-2
386,0.00000079,0.0004806,0.0001679,0.000033,0.036511,0.019957,16.8795,-2
387,0.00000004,0.0004256,0.0002077,0.000001,0.013180,0.008781,3.9045,-2
388,0.00000001,0.0000186,0.0000117,0.000002,0.007561,0.006069,0.7438,-2
389,0.00000082,0.0000793,0.0002117,0.000036,0.016546,0.006914,19.3095,-2
390,0.00006239,0.0001195,0.0000839,0.004250,0.005786,0.002773,1553.2587,-2
391,0.00081061,0.0009182,0.0003691,0.044728,0.027462,0.054819,23653.2970,2
392,0.00000019,0.0012517,0.0000311,0.000011,0.010912,0.033971,8.3142,-2
393,0.00000082,0.0001204,0.0000595,0.000020,0.007433,0.013913,19.4733,-2
394,0.00000018,0.0000887,0.0000122,0.000005,0.005837,0.006051,4.3199,-2
395,0.00000004,0.0000945,0.0000911,0.000003,0.005453,0.004765,1.9272,-2
396,0.00000001,0.0000855,0.0000130,0.000001,0.004644,0.005957,1.0361,-2
397,0.00000001,0.0001737,0.0000475,0.000000,0.002772,0.004161,2.3948,-2
398,0.00000077,0.0160708,0.0003806,0.000398,0.212958,2.658516,300.8670,10
399,0.00000141,0.0000282,0.0000243,0.000052,0.007927,0.006694,20.3936,-2
400,0.00000343,0.0000124,0.0000155,0.000112,0.009724,0.006710,50.1964,-2
401,0.00000116,0.0000087,0.0000029,0.000033,0.052048,0.014492,23.2911,-2
402,0.00000085,0.0001065,0.0001191,0.000043,0.019802,0.008911,20.1760,-2
403,0.00000033,0.0002865,0.0000347,0.000027,0.022968,0.006177,13.6668,-2
404,0.00000013,0.0000617,0.0000659,0.000005,0.003565,0.006575,4.3945,-2
405,0.00000007,0.0001463,0.0000337,0.000010,0.003526,0.008546,8.8918,-2
406,0.00000007,0.0001122,0.0000178,0.000002,0.007749,0.010139,2.0509,-2
407,0.00000004,0.0003224,0.0000862,0.000000,0.011572,0.004289,1.3286,-2
408,0.00000067,0.0000129,0.0000202,0.000016,0.013606,0.008206,9.0936,-2
409,0.00000005,0.0000726,0.0001123,0.000001,0.005208,0.004719,1.4435,-2
410,0.00000011,0.0019043,0.0000821,0.000031,0.024030,0.225797,18.7305,-2
411,0.00002233,0.0003358,0.0000389,0.000453,0.007829,0.027855,249.6694,-2
412,0.00000002,0.0002266,0.0000502,0.000002,0.003174,0.004788,1.1263,-2
414,0.00000119,0.0000147,0.0000103,0.000020,0.025559,0.010291,12.0645,-2
415,0.00000623,0.0000692,0.0000363,0.000311,0.025564,0.006675,121.5611,-2
416,0.00000236,0.0004485,0.0001070,0.000107,0.019025,0.035860,56.7119,-2
417,0.00009052,0.0000723,0.0000496,0.003938,0.023499,0.005121,1951.0200,-2
418,0.00000002,0.0002005,0.0001163,0.000001,0.006522,0.005981,1.0083,-2
419,0.00002148,0.0085419,0.0001088,0.001490,0.132772,1.355037,1399.2282,10
420,0.00000047,0.0000070,0.0000052,0.000006,0.015657,0.010851,6.5446,-2
421,0.00000112,0.0003693,0.0000382,0.000032,0.010065,0.027660,49.3199,-2
422,0.00001619,0.0010294,0.0016873,0.005149,0.035261,0.022547,2589.4438,2
423,0.00002571,0.0002054,0.0000610,0.000653,0.021467,0.007063,341.1599,-2
424,0.00000001,0.0000496,0.0000145,0.000001,0.003917,0.004897,0.8971,-2
425,0.00000003,0.0000660,0.0001454,0.000002,0.013353,0.014562,0.7490,-2
426,0.00008663,0.0012398,0.0001583,0.001291,0.009485,0.074067,1801.4813,-2
427,0.00001077,0.0000905,0.0001353,0.000412,0.021924,0.020126,166.5546,-2
428,0.00000008,0.0002480,0.0000812,0.000005,0.006915,0.010896,4.9204,2
429,0.00006777,0.0001735,0.0000809,0.003461,0.006007,0.004873,1468.5768,-2
430,0.00001634,0.0001649,0.0000384,0.000791,0.039566,0.017706,306.9833,-2
431,0.00029605,0.0003883,0.0002115,0.009734,0.169529,0.073815,12117.1791,10
432,0.00000006,0.0001830,0.0000843,0.000004,0.003282,0.017872,6.4585,2
434,0.00000037,0.0001686,0.0022282,0.000032,0.045985,0.009862,19.6241,-2
435,0.00000016,0.0000703,0.0000537,0.000014,0.012970,0.002042,5.5154,2
436,0.00000021,0.0000136,0.0000448,0.000008,0.013207,0.006148,4.4371,-2
437,0.00001021,0.0004572,0.0003784,0.000618,0.018045,0.008439,285.9962,2
438,0.00000025,0.0013777,0.0009870,0.000018,0.065335,0.054519,14.3167,10
439,0.00000059,0.0001057,0.0000452,0.000027,0.004988,0.004965,10.1186,-2
440,0.00001301,0.0006842,0.0019959,0.000822,0.021039,0.047189,374.5198,2
441,0.00000004,0.0001050,0.0000440,0.000005,0.008322,0.008552,2.3236,-2
442,0.00000001,0.0001676,0.0000606,0.000001,0.002846,0.004076,1.9154,2
443,0.00000471,0.0013455,0.0008871,0.000153,0.023572,0.021896,229.6002,2
444,0.00002310,0.0036354,0.0000510,0.001022,0.017813,0.234859,1399.0479,10
445,0.00000841,0.0002000,0.0000828,0.000335,0.031784,0.030641,131.8000,-2
446,0.00000077,0.0014417,0.0000309,0.000044,0.010314,0.049837,22.4152,-2
447,0.00000092,0.0000147,0.0000069,0.000010,0.007150,0.005974,28.3682,-2
448,0.00037945,0.0004046,0.0000668,0.011821,0.257225,0.121018,17488.6814,10
449,0.00000069,0.0008312,0.0000693,0.000022,0.011887,0.072461,19.2489,-2
450,0.00006771,0.0021719,0.0009390,0.002938,0.169142,0.117538,3411.0199,10
451,0.00000025,0.0000351,0.0000266,0.000009,0.005197,0.005647,4.1007,-2
452,0.00000002,0.0000325,0.0000149,0.000000,0.013416,0.005265,0.2447,-2
453,0.00001051,0.0011401,0.0006062,0.000475,0.024618,0.037722,428.4341,2
454,0.00000019,0.0024712,0.0000255,0.000020,0.013634,0.172919,11.2930,-2
455,0.00000034,0.0001274,0.0000543,0.000016,0.006531,0.003028,7.0271,-2
456,0.00000053,0.0001230,0.0000431,0.000019,0.008225,0.006710,11.3378,-2
457,0.00001337,0.0000256,0.0000158,0.000336,0.005919,0.008396,159.8698,-2
458,0.00000147,0.0000237,0.0000231,0.000016,0.007985,0.007923,17.8290,-2
459,0.00000148,0.0002307,0.0000372,0.000072,0.003575,0.004765,42.3240,-2
460,0.00000001,0.0007081,0.0004753,0.000001,0.012000,0.013099,0.8614,-2
461,0.00003368,0.0000927,0.0000122,0.001526,0.016856,0.019253,1620.5349,10
462,0.00000002,0.0000218,0.0000089,0.000002,0.008520,0.005392,0.7900,-2
463,0.00001782,0.0005144,0.0003450,0.000408,0.062299,0.024142,552.3997,2
464,0.00000049,0.0001123,0.0000213,0.000011,0.016420,0.006003,9.4471,-2
465,0.00024432,0.0001648,0.0000247,0.007945,0.078109,0.015985,10576.2587,10
466,0.00000166,0.0000206,0.0000231,0.000051,0.004087,0.006849,20.0798,-2
467,0.00001862,0.0013828,0.0009494,0.000790,0.085100,0.064651,320.8344,-2
468,0.00007093,0.0000792,0.0000075,0.002732,0.069143,0.026814,3760.7821,10
469,0.00007397,0.0000308,0.0000215,0.002501,0.083282,0.008563,1048.4901,-2
470,0.00000237,0.0001868,0.0000549,0.000172,0.004935,0.002964,68.3191,2
471,0.00010222,0.0014594,0.0001448,0.002855,0.028948,0.097000,1542.8907,-2
472,0.00000050,0.0000884,0.0000425,0.000028,0.008934,0.005031,11.9210,-2
473,0.00000013,0.0000793,0.0000640,0.000002,0.002333,0.002876,3.5220,-2
474,0.00000383,0.0007256,0.0000554,0.000169,0.031298,0.046421,86.5526,2
476,0.00009794,0.0001171,0.0001132,0.004752,0.007635,0.003023,1986.6196,-2
477,0.00001177,0.0000553,0.0000357,0.000830,0.005362,0.006328,351.5763,2
478,0.00004145,0.0004180,0.0000660,0.002110,0.015477,0.034098,2494.7043,10
479,0.00000043,0.0016163,0.0000395,0.000032,0.005527,0.074061,15.2714,-2
480,0.00000418,0.0000771,0.0000252,0.000212,0.011061,0.000643,210.8147,10
481,0.00000005,0.0015445,0.0000381,0.000007,0.005033,0.054659,7.2114,-2
482,0.00000288,0.0001652,0.0000291,0.000127,0.004644,0.005736,48.5213,-2
483,0.00000088,0.0003437,0.0000239,0.000004,0.015452,0.015353,10.5362,-2
484,0.00000000,0.0000534,0.0000847,0.000001,0.004225,0.003007,0.7068,-2
485,0.00032940,0.0050009,0.0005445,0.019149,0.077226,0.570255,21281.8044,10
486,0.00001615,0.0007519,0.0002637,0.001103,0.009052,0.012279,476.7728,2
487,0.00000004,0.0003033,0.0001164,0.000002,0.013830,0.009306,1.8443,-2
488,0.00003302,0.0000245,0.0000155,0.000575,0.021684,0.010996,343.1009,-2
489,0.00000022,0.0000354,0.0000231,0.000003,0.013281,0.004400,2.8595,-2
490,0.00018953,0.0015714,0.0009255,0.006203,0.261524,0.110238,8373.6024,10
491,0.00001431,0.0000206,0.0000409,0.000309,0.022853,0.005848,146.5997,-2
492,0.00005417,0.0000510,0.0000018,0.001626,0.014862,0.013677,827.1151,-2
493,0.00000290,0.0009382,0.0000341,0.000096,0.021291,0.123932,42.5613,-2
494,0.00004525,0.0001172,0.0001058,0.000507,0.005249,0.007235,660.3182,-2
495,0.00001085,0.0008595,0.0000893,0.000396,0.158786,0.048474,295.3488,2
496,0.00000113,0.0027577,0.0022055,0.000098,0.034979,0.073651,42.0542,2
497,0.00011879,0.0001368,0.0000149,0.004683,0.078522,0.028108,2138.9940,-2
498,0.00003261,0.0013393,0.0000385,0.001480,0.009757,0.033959,698.0892,-2
500,0.00000002,0.0000731,0.0000845,0.000001,0.007529,0.004952,1.1868,-2
501,0.00000208,0.0000288,0.0000335,0.000055,0.004196,0.006381,34.8142,-2
502,0.00000164,0.0050329,0.0025709,0.000021,0.347188,0.394962,23.9283,2
503,0.00000005,0.0001115,0.0000108,0.000001,0.005056,0.005865,1.5058,-2
504,0.00000004,0.0002082,0.0000436,0.000002,0.003522,0.005383,1.9981,-2
506,0.00002330,0.0194241,0.0010554,0.000963,0.329544,3.167179,1189.6520,10
507,0.00000049,0.0000155,0.0000176,0.000010,0.010615,0.005980,12.3530,-2
508,0.00000024,0.0000070,0.0000478,0.000004,0.020999,0.009738,3.5937,-2
509,0.00000011,0.0000606,0.0000248,0.000003,0.004833,0.004803,2.0205,-2
510,0.00000005,0.0001158,0.0000270,0.000002,0.004012,0.004976,1.7047,-2
511,0.00015822,0.0018541,0.0006283,0.005338,0.336923,0.548790,6930.3748,10
512,0.00057321,0.0067942,0.0017477,0.052026,0.079434,0.219624,24288.3170,2
513,0.00000102,0.0002695,0.0000375,0.000020,0.024772,0.015305,12.1159,-2
514,0.00000002,0.0000174,0.0000121,0.000002,0.007979,0.006188,0.8057,-2
515,0.00000093,0.0000191,0.0000009,0.000025,0.012474,0.008970,11.8632,-2
516,0.00000144,0.0000317,0.0000495,0.000064,0.003274,0.008311,26.6558,-2
517,0.00000385,0.0000500,0.0000063,0.000099,0.018202,0.025550,55.4881,-2
518,0.00000482,0.0021385,0.0030790,0.000306,0.128013,0.131440,244.4038,10
519,0.00000017,0.0014381,0.0000448,0.000011,0.003819,0.062270,10.8874,-2
520,0.00000014,0.0001213,0.0000686,0.000005,0.005809,0.006582,2.8151,-2
521,0.00000007,0.0004971,0.0000494,0.000015,0.005105,0.086702,12.3218,-2
522,0.00021029,0.0007503,0.0004172,0.004536,0.125336,0.046193,5961.7435,10
523,0.00000135,0.0000255,0.0000129,0.000035,0.031620,0.010015,23.9868,-2
524,0.00000001,0.0002810,0.0001138,0.000002,0.012650,0.010588,1.5696,-2
525,0.00000796,0.0006498,0.0007044,0.000573,0.027030,0.017960,249.2147,2
526,0.00003488,0.0000738,0.0000084,0.001415,0.019693,0.009951,1426.1646,10
527,0.00000005,0.0021355,0.0000274,0.000035,0.015568,0.224517,14.6119,-2
528,0.00000288,0.0000139,0.0000078,0.000072,0.015259,0.009566,33.7057,-2
529,0.00000055,0.0021712,0.0009045,0.000017,0.137069,0.089933,8.3718,-2
530,0.00013933,0.0004452,0.0016715,0.005634,0.894682,0.115443,6868.5715,10
531,0.00000512,0.0670791,0.0008400,0.000222,7.119117,0.004379,316.5272,10
532,0.00000168,0.0001619,0.0000667,0.000063,0.005098,0.006253,32.6990,-2
533,0.00001170,0.0001856,0.0000347,0.000385,0.009554,0.016353,180.8224,-2
534,0.00000001,0.0000258,0.0000077,0.000001,0.008023,0.005418,0.4818,-2
535,0.00000012,0.0017294,0.0008754,0.000005,0.053765,0.029512,1.8801,-2
536,0.00000174,0.0003237,0.0000211,0.000067,0.022475,0.008032,26.4180,-2
537,0.00000855,0.0000176,0.0000078,0.000213,0.017020,0.012216,122.0591,-2
538,0.00000026,0.0000170,0.0000044,0.000010,0.016166,0.010398,6.7765,-2
539,0.00000002,0.0003282,0.0000259,0.000004,0.005087,0.027644,5.3372,-2
540,0.00001000,0.0004648,0.0003944,0.000707,0.015901,0.024990,315.3797,2
541,0.00000039,0.0000498,0.0000212,0.000028,0.019384,0.007824,10.3623,-2
542,0.00000844,0.0000263,0.0000244,0.000334,0.004766,0.006693,134.2879,-2
543,0.00000085,0.0009650,0.0007134,0.000022,0.106297,0.067343,12.1464,-2
544,0.00000003,0.0000830,0.0000694,0.000001,0.007727,0.007286,1.5209,-2
545,0.00000165,0.0000172,0.0000125,0.000056,0.019647,0.011702,22.3303,-2
546,0.00000006,0.0001427,0.0000795,0.000002,0.003280,0.005509,2.5662,-2
547,0.00000006,0.0003828,0.0003155,0.000004,0.042850,0.019923,3.6038,-2
548,0.00002727,0.0005792,0.0010619,0.000765,0.012229,0.030455,889.4043,2
549,0.00000144,0.0003041,0.0000110,0.000078,0.005388,0.007122,31.4871,-2
550,0.00000006,0.0000686,0.0000480,0.000002,0.004205,0.004962,2.3358,-2
551,0.00000066,0.0000102,0.0000180,0.000018,0.016763,0.007148,8.7420,-2
552,0.00000726,0.0000085,0.0000140,0.000129,0.013119,0.008143,84.5799,-2
553,0.00000131,0.0015011,0.0013684,0.000099,0.033011,0.051503,46.4356,2
554,0.00000140,0.0001248,0.0000462,0.000082,0.003762,0.005515,44.8068,2
555,0.00059358,0.0003697,0.0000150,0.019474,0.908897,0.037556,19529.4689,10
556,0.00000018,0.0000378,0.0000496,0.000005,0.025114,0.003228,6.3747,2
557,0.00000357,0.0000384,0.0000359,0.000229,0.010711,0.003855,96.2671,2
558,0.00000149,0.0016708,0.0007669,0.000044,0.067627,0.047183,22.6457,-2
559,0.00000009,0.0040596,0.0000362,0.000024,0.019450,0.176260,36.1422,10
560,0.00016261,0.0019283,0.0009979,0.010807,0.092411,0.220030,9745.2220,10
561,0.00005050,0.0000256,0.0000060,0.001800,0.065325,0.010279,687.1277,-2
562,0.00000021,0.0009841,0.0003836,0.000006,0.035990,0.030848,2.7617,-2
563,0.00000088,0.0014695,0.0000313,0.000019,0.026331,0.236870,12.0305,-2
564,0.00033190,0.0052727,0.0028712,0.016608,0.530690,1.001624,22720.4365,10
565,0.00000038,0.0003571,0.0002081,0.000021,0.007976,0.009258,12.6617,2
566,0.00055518,0.0005916,0.0000371,0.015969,1.083174,0.183034,14909.8172,10
567,0.00000101,0.0000187,0.0000095,0.000020,0.010313,0.008051,10.3927,-2
568,0.00000009,0.0000650,0.0000309,0.000003,0.004749,0.009168,4.4038,-2
569,0.00000001,0.0001904,0.0000186,0.000002,0.004481,0.015660,3.0114,-2
570,0.00000376,0.0000065,0.0000019,0.000063,0.020402,0.013294,37.2938,-2
571,0.00000207,0.0001144,0.0004132,0.000187,0.012410,0.009993,66.7669,2
572,0.00000117,0.0001069,0.0001426,0.000070,0.005488,0.004546,31.5826,2
573,0.00000032,0.0006701,0.0003055,0.000009,0.038548,0.022964,5.6448,-2
574,0.01310801,0.0065827,0.0007508,1.066781,0.543582,1.024742,439761.8614,2
575,0.00000007,0.0001630,0.0000676,0.000003,0.007847,0.004067,2.5912,-2
576,0.00001751,0.0004773,0.0002118,0.000851,0.046045,0.062304,1372.0635,10
577,0.00000015,0.0000215,0.0000061,0.000006,0.012649,0.013548,2.9166,-2
578,0.00009325,0.0001660,0.0000199,0.000551,0.003245,0.004558,759.0888,-2
579,0.00005129,0.0020886,0.0009159,0.001691,0.120455,0.081723,897.3200,-2
580,0.00000192,0.0000145,0.0000045,0.000062,0.057588,0.014249,24.4873,-2
581,0.00000060,0.0000253,0.0000633,0.000037,0.022970,0.005910,14.9929,-2
582,0.00000099,0.0029068,0.0001141,0.000046,0.058916,0.085958,68.0028,10
583,0.00000395,0.0000173,0.0000125,0.000070,0.015237,0.011655,55.2256,-2
584,0.00000362,0.0012023,0.0001253,0.000164,0.003146,0.015286,76.2501,2
585,0.00005585,0.0001827,0.0000698,0.003534,0.008815,0.008363,1596.5239,2
586,0.00000748,0.0000093,0.0000056,0.000272,0.010483,0.007226,114.3870,-2
587,0.00000119,0.0003950,0.0004789,0.000096,0.006815,0.019017,35.5564,2
589,0.00000005,0.0000626,0.0000177,0.000003,0.009734,0.006447,1.4967,-2
590,0.00000027,0.0000256,0.0000177,0.000014,0.015157,0.011333,5.0032,-2
591,0.00000072,0.0001428,0.0000477,0.000044,0.003379,0.006021,16.5583,-2
592,0.00000055,0.0013906,0.0000286,0.000039,0.035465,0.168480,18.2615,-2
593,0.00000695,0.0003451,0.0002319,0.000382,0.020017,0.005820,148.6632,-2
595,0.00012130,0.0000808,0.0000463,0.004098,0.345832,0.007973,1670.6818,-2
596,0.00000329,0.0000953,0.0000321,0.000097,0.007995,0.008035,45.2108,-2
597,0.00000001,0.0000659,0.0001995,0.000004,0.024577,0.013690,1.7533,-2
598,0.00013511,0.0029539,0.0001340,0.006033,0.042931,0.262110,7319.1861,10
599,0.00001495,0.0000938,0.0000534,0.000517,0.005999,0.011865,268.1194,-2
600,0.00000003,0.0002546,0.0003636,0.000005,0.028898,0.015347,2.3796,-2
601,0.00001477,0.0004056,0.0000277,0.000501,0.017621,0.064782,219.8441,-2
602,0.00000096,0.0000921,0.0000901,0.000027,0.008035,0.008026,12.1459,-2
604,0.00000496,0.0000101,0.0000041,0.000239,0.009788,0.010955,120.5475,-2
605,0.00000455,0.0003509,0.0001225,0.000136,0.017259,0.021658,57.8026,-2
606,0.00000006,0.0001369,0.0000387,0.000002,0.004698,0.005036,2.2413,-2
607,0.00000047,0.0001754,0.0000269,0.000014,0.011139,0.006150,7.5038,-2
608,0.00000071,0.0003926,0.0001867,0.000022,0.032031,0.022835,11.5271,-2
609,0.00000031,0.0000142,0.0000053,0.000003,0.009975,0.006855,1.4207,-2
610,0.00007424,0.0004104,0.0003244,0.003095,0.118498,0.188494,3329.7618,10
611,0.00000009,0.0001144,0.0000283,0.000003,0.006427,0.006026,2.2026,-2
612,0.00027008,0.0103148,0.0005467,0.008575,0.097278,2.507289,11917.2980,10
613,0.00000024,0.0013813,0.0004872,0.000005,0.054846,0.031337,5.7329,-2
614,0.00000011,0.0032063,0.0000446,0.000021,0.023302,0.140607,33.5293,10
615,0.00000014,0.0019970,0.0000655,0.000012,0.005641,0.092357,8.7205,-2
616,0.00000022,0.0001378,0.0001261,0.000019,0.009523,0.003779,7.8065,-2
618,0.00000015,0.0000157,0.0000379,0.000007,0.012964,0.006866,3.6061,-2
619,0.00000032,0.0008851,0.0001688,0.000040,0.031743,0.010905,26.5337,-2
620,0.00000021,0.0000857,0.0000589,0.000015,0.009127,0.002538,6.0444,2
621,0.00000012,0.0000076,0.0000013,0.000004,0.012584,0.010007,2.9382,-2
622,0.00016628,0.0003547,0.0004157,0.008713,0.026214,0.016323,4898.8272,2
623,0.00000164,0.0006861,0.0000556,0.000053,0.014637,0.037635,34.9870,2
625,0.00000006,0.0000809,0.0000577,0.000002,0.003860,0.007464,2.1623,-2
626,0.00000038,0.0008214,0.0001868,0.000004,0.006382,0.019580,10.9026,-2
627,0.00008904,0.0003231,0.0000341,0.003565,0.031458,0.010079,1559.6287,-2
628,0.00000014,0.0001542,0.0000695,0.000011,0.008192,0.003872,4.5508,-2
629,0.00091880,0.0013021,0.0013077,0.030623,0.556603,0.213487,37110.2128,10
630,0.00000212,0.0001873,0.0002006,0.000019,0.011313,0.025350,72.2313,-2
631,0.00000112,0.0024193,0.0003925,0.000026,0.048881,0.087339,39.0835,-2
632,0.00000044,0.0002318,0.0000067,0.000034,0.004331,0.010749,12.6157,-2
633,0.00000046,0.0022573,0.0008633,0.000014,0.131706,0.087028,6.8529,-2
634,0.00000047,0.0005865,0.0000139,0.000028,0.017866,0.089554,11.9108,-2
635,0.00000736,0.0000215,0.0000136,0.000256,0.013985,0.006321,110.4782,-2
636,0.00007295,0.0002376,0.0000229,0.003927,0.011862,0.036113,1577.8732,-2
637,0.00000883,0.0000141,0.0000013,0.000357,0.029119,0.011492,133.6507,-2
638,0.00000027,0.0001587,0.0000231,0.000013,0.004739,0.007783,6.0484,-2
639,0.00014408,0.0006283,0.0001262,0.005465,0.038450,0.051686,6337.7952,10
640,0.00000017,0.0000146,0.0000301,0.000002,0.011540,0.005468,3.1601,-2
641,0.00000109,0.0002440,0.0004246,0.000070,0.010934,0.035786,33.1981,2
642,0.00000550,0.0000148,0.0000156,0.000071,0.015853,0.012321,59.7439,-2
643,0.00023888,0.0005404,0.0002242,0.007807,1.129916,0.107486,7962.6599,10
644,0.00000035,0.0044592,0.0011495,0.000019,0.033701,0.204111,24.9415,10
645,0.00000076,0.0000124,0.0000075,0.000035,0.026991,0.012391,13.3765,-2
646,0.00000053,0.0009926,0.0006604,0.000032,0.019150,0.037923,15.6864,2
647,0.00002935,0.0001704,0.0001418,0.002000,0.007234,0.012857,789.6904,2
648,0.00000460,0.0000237,0.0000080,0.000131,0.015050,0.014613,62.6540,-2
649,0.00000055,0.0002008,0.0000531,0.000017,0.007963,0.007248,16.6272,-2
650,0.00000008,0.0000975,0.0000363,0.000010,0.014933,0.003651,5.1228,2
651,0.00000088,0.0023502,0.0009914,0.000027,0.144920,0.100077,14.3942,-2
652,0.00000037,0.0001469,0.0001867,0.000020,0.009817,0.005097,10.2057,-2
653,0.00000005,0.0001617,0.0000801,0.000001,0.026453,0.010910,0.9853,-2
654,0.00000243,0.0016582,0.0003518,0.000168,0.013114,0.040957,75.8603,2
655,0.00000007,0.0000215,0.0000391,0.000002,0.006784,0.005542,1.1438,-2
656,0.00000028,0.0000081,0.0000014,0.000011,0.016481,0.011478,4.9355,-2
657,0.00000001,0.0000645,0.0001529,0.000001,0.015066,0.009500,1.5626,-2
658,0.00000002,0.0000314,0.0000130,0.000000,0.010914,0.005217,0.3231,-2
660,0.00000037,0.0000864,0.0000647,0.000018,0.011952,0.007964,9.9071,-2
661,0.00012979,0.0016769,0.0007639,0.005576,0.141167,0.095027,7023.7919,10
662,0.00000186,0.0022647,0.0000855,0.000035,0.020619,0.133405,30.9455,-2
663,0.00000054,0.0003685,0.0000534,0.000009,0.010471,0.015785,10.7812,-2
664,0.00184855,0.0036110,0.0010309,0.060457,3.330817,2.213604,66890.1687,10
665,0.00001117,0.0002480,0.0001514,0.000349,0.063976,0.057235,154.4165,-2
