Name,a,e,sinI,n,g,s,lam-fit,My
126155,0.00001382,0.0006336,0.0001510,0.000000,0.000111,0.000131,18.1626,100
126719,0.00019328,0.0002025,0.0008058,0.000008,0.000114,0.000237,158.0826,100
127871,0.00001070,0.0000150,0.0013431,0.000001,0.006627,0.001037,16.3125,100
129746,0.00001114,0.0002075,0.0001646,0.000000,0.000704,0.000431,21.7636,100
129772,0.00100969,0.0011962,0.0006464,0.000053,0.040437,0.001456,1050.6945,100
130391,0.14059348,0.0270596,0.0019761,0.005685,0.088536,0.021321,113532.1624,100
131318,0.00000991,0.0005709,0.0002972,0.000001,0.009241,0.000711,23.4296,100
131695,0.00038924,0.0030551,0.0016718,0.000025,0.255721,0.008653,602.9775,100
131697,0.00002447,0.0002502,0.0001968,0.000002,0.036861,0.001910,36.8595,100
133067,0.00003977,0.0028661,0.0030853,0.000002,0.027635,0.001705,52.9196,100
134340,0.00001699,0.0034853,0.0005262,0.000000,0.000215,0.000096,20.1840,100
134568,0.00003947,0.0018558,0.0047405,0.000002,0.001127,0.001210,48.1001,100
134860,0.00020006,0.0126963,0.0005189,0.000008,15.545637,0.000807,194.3642,100
135024,0.00001687,0.0005611,0.0012590,0.000001,0.004572,0.000256,15.7542,100
135182,0.00077234,0.0014537,0.0005793,0.000030,0.009806,0.004849,1227.5325,100
135742,0.00022976,0.0198702,0.0136186,0.000009,0.178414,0.003711,231.9853,100
136108,0.00249891,0.0346967,0.0011919,0.000145,0.045007,0.001072,3852.2873,100
136472,0.00000532,0.0005077,0.0001124,0.000000,0.000100,0.000026,6.1355,100
137294,0.00002698,0.0005385,0.0018699,0.000001,0.000236,0.001687,15.3452,100
138537,0.00138449,0.0021230,0.0035122,0.000059,0.000673,0.001030,1302.0571,100
139775,0.00001981,0.0001454,0.0001710,0.000000,0.001317,0.000837,23.5619,100
143685,0.00004311,0.0070939,0.0262577,0.000001,0.020083,0.013175,56.4504,100
143751,0.00001258,0.0003809,0.0008447,0.000000,0.000484,0.000518,11.6089,100
143991,0.00028860,0.0004354,0.0001541,0.000014,0.000207,0.000017,281.2173,100
144897,0.00011572,0.0000964,0.0019280,0.000009,0.001031,0.000305,267.7305,100
145452,0.00001340,0.0001219,0.0002691,0.000001,0.000022,0.000005,15.6689,100
145453,0.00021364,0.0002110,0.0001354,0.000005,0.000061,0.000010,240.9966,100
148112,0.00000042,0.0008490,0.0007679,0.000000,0.000630,0.000520,0.7348,100
148780,0.00174588,0.0040819,0.0023668,0.000086,0.001023,0.000828,1654.7163,100
149348,0.00168202,0.0003513,0.0005166,0.000052,0.008601,0.000257,1364.4056,100
149349,0.00000611,0.0001418,0.0000953,0.000000,0.000620,0.000038,7.4122,100
150642,0.00012102,0.0006848,0.0005357,0.000004,0.000221,0.000401,98.9566,100
160091,0.00001015,0.0014692,0.0027951,0.000000,0.000330,0.001253,8.7016,100
160147,0.00145786,0.0019273,0.0001463,0.000031,0.067624,0.000695,1181.8379,100
160256,0.00000075,0.0026754,0.0037060,0.000000,0.000854,0.001799,2.3058,100
168700,0.00005903,0.0048209,0.0097616,0.000003,0.036969,0.005382,65.3784,100
168703,0.00177554,0.0072622,0.0097226,0.000060,0.036791,0.010912,1743.1670,100
169071,0.00002439,0.0004309,0.0001205,0.000000,0.006141,0.001218,24.5548,100
174567,0.00224605,0.0000889,0.0002495,0.000091,0.000458,0.000092,2322.1653,100
175113,0.00088819,0.0133972,0.0374705,0.000048,0.020072,0.026827,1118.2886,100
181708,0.00013876,0.0030732,0.0009877,0.000007,0.003740,0.000264,131.7861,100
181855,0.01070720,0.0007189,0.0003115,0.000329,0.001350,0.000472,9375.2994,100
181867,0.00001706,0.0005447,0.0001991,0.000000,0.001668,0.000502,8.6922,100
181868,0.10610212,0.0016591,0.0003312,0.002572,0.011166,0.000860,59929.3302,100
181871,0.00005125,0.0022765,0.0001653,0.000002,0.014195,0.000460,46.1086,100
181874,0.00761785,0.0005049,0.0002930,0.000231,0.009043,0.000942,4637.3345,100
182222,0.00425792,0.0031767,0.0014179,0.000223,0.001272,0.001628,4951.6750,100
182294,0.00101584,0.0037267,0.0025191,0.000060,0.028178,0.001544,1169.4016,100
182397,0.00001623,0.0008053,0.0015595,0.000000,0.001408,0.000174,10.1039,100
182926,0.00003125,0.0002805,0.0021650,0.000001,0.000044,0.003702,28.6010,100
182933,0.00008905,0.0001193,0.0016641,0.000002,0.000030,0.002693,51.7796,100
182934,0.00547640,0.0011027,0.0004381,0.000192,0.001253,0.000615,4310.2823,100
183595,0.00587128,0.0027029,0.0003005,0.000305,0.003897,0.003076,6206.3216,100
183963,0.00027747,0.0000445,0.0004028,0.000013,0.000132,0.002137,276.8427,100
184314,0.00020836,0.0050323,0.0059901,0.000007,0.002578,0.002352,178.8370,100
202421,0.00023556,0.0003709,0.0000955,0.000014,0.000047,0.000010,276.7356,100
208996,0.00001048,0.0001573,0.0001256,0.000000,0.000582,0.000022,11.6392,100
230965,0.00216881,0.0067473,0.0006468,0.000057,0.002282,0.000042,1314.9533,100
275809,0.00000999,0.0001481,0.0003231,0.000001,0.000168,0.001764,11.1906,100
278361,0.04818911,0.0019732,0.0027577,0.000741,0.013340,0.001360,26303.2873,100
303712,0.00031041,0.0014278,0.0039042,0.000008,0.000520,0.001989,307.7184,100
306792,0.00001276,0.0000779,0.0004464,0.000000,0.001976,0.000369,16.5643,100
307251,0.00046032,0.0017704,0.0024979,0.000015,0.000091,0.001449,325.8797,100
307261,0.00090878,0.0010557,0.0004555,0.000051,0.008855,0.000732,1940.8047,100
307463,0.00002578,0.0002708,0.0006538,0.000000,0.003617,0.000248,29.1430,100
307616,0.00005376,0.0039755,0.0016086,0.000002,0.004258,0.000892,48.4308,100
308193,0.00001501,0.0001361,0.0000469,0.000001,0.000065,0.000006,21.0053,100
308379,0.00000949,0.0002962,0.0000811,0.000000,0.000063,0.000013,7.6833,100
308460,0.00000910,0.0000603,0.0000351,0.000001,0.027350,0.001174,24.3769,100
308634,0.00069638,0.0086539,0.0058640,0.000034,0.006430,0.004765,741.4325,100
315530,0.00889783,0.0003373,0.0002731,0.000506,0.007583,0.000240,10029.0294,100
341520,0.00003554,0.0005935,0.0003407,0.000000,0.003683,0.002387,28.7230,100
363330,0.00001187,0.0015135,0.0014195,0.000001,0.000581,0.000937,11.9583,100
363401,0.00001068,0.0007320,0.0039133,0.000000,0.000365,0.002906,10.4726,100
364171,0.00000084,0.0011615,0.0018414,0.000000,0.000436,0.000795,1.0438,100
385185,0.00003884,0.0007738,0.0006988,0.000000,0.003789,0.002700,26.8789,100
385191,0.00000151,0.0003985,0.0004455,0.000000,0.000143,0.000007,5.3895,100
385194,0.00002671,0.0003311,0.0003171,0.000001,0.000304,0.000932,25.7219,100
385199,0.00000166,0.0001838,0.0003636,0.000000,0.000134,0.000433,1.7531,100
385201,0.00000115,0.0002947,0.0001418,0.000000,0.000144,0.000040,2.3604,100
385266,0.00332658,0.0006806,0.0005190,0.000139,0.001615,0.000745,3302.8672,100
385362,0.00001809,0.0034760,0.0059507,0.000001,0.000769,0.001660,17.8410,100
385363,0.00006241,0.0042383,0.0037786,0.000003,0.000729,0.001141,60.1920,100
385437,0.00001897,0.0005010,0.0017258,0.000000,0.000290,0.002010,13.1737,100
385445,0.00001296,0.0000090,0.0000577,0.000000,0.000375,0.000134,25.5196,100
385446,0.00000778,0.0003090,0.0001612,0.000000,0.000334,0.000061,9.9489,100
385447,0.00000168,0.0017878,0.0010589,0.000000,0.000963,0.000409,1.7781,100
385458,0.00001073,0.0000483,0.0003285,0.000001,0.002478,0.000199,11.0435,100
385533,0.00048390,0.0022019,0.0006591,0.000025,0.016484,0.000882,655.7635,100
385571,0.00000294,0.0000964,0.0057745,0.000000,0.000632,0.009597,8.6481,100
385695,0.00000644,0.0000438,0.0028266,0.000000,0.000990,0.056386,8.7893,100
386723,0.00073876,0.0001762,0.0008692,0.000030,0.000135,0.000012,697.5004,100
408832,0.00000296,0.0007087,0.0008297,0.000000,0.000587,0.000726,3.5867,100
415720,0.00369384,0.0122486,0.0072885,0.000129,0.010352,0.004083,3818.2474,100
416400,0.00223834,0.0019620,0.0015772,0.000043,0.000158,0.000488,1551.9269,100
420356,0.00000204,0.0122901,0.0009167,0.000000,15.513890,0.000358,2.9229,100
427581,0.00000446,0.0004307,0.0002365,0.000000,0.000363,0.000043,6.9511,100
427614,0.00006082,0.0000548,0.0003394,0.000002,0.000024,0.000010,61.1483,100
432949,0.00000910,0.0010065,0.0002454,0.000000,0.001250,0.001248,7.1395,100
434194,0.00000182,0.0004802,0.0009225,0.000000,0.000403,0.019021,3.4182,100
434709,0.00008329,0.0081052,0.0040166,0.000005,0.044740,0.001648,97.6204,100
437871,0.00000380,0.0002455,0.0001015,0.000000,0.000206,0.000055,5.2902,100
437915,0.00001359,0.0491373,0.0004389,0.000001,0.013454,0.000343,17.9380,100
438028,0.00001771,0.0001263,0.0001796,0.000000,0.000610,0.000274,21.7625,100
439858,0.00004210,0.0017213,0.0016162,0.000003,0.000317,0.001292,52.7292,100
443843,0.00002361,0.0008140,0.0004373,0.000001,0.000105,0.000211,16.5154,100
444018,0.00009887,0.0003787,0.0006363,0.000003,0.000257,0.000769,74.9029,100
444025,0.00000051,0.0009867,0.0011870,0.000000,0.000557,0.000665,0.8487,100
444030,0.00003162,0.0005600,0.0004478,0.000001,0.000178,0.000069,29.9178,100
444745,0.00001894,0.0009680,0.0012897,0.000001,0.014888,0.000483,29.3165,100
450265,0.00009135,0.0004718,0.0010482,0.000001,0.008572,0.007118,28.3718,100
455171,0.00000299,0.0002099,0.0015682,0.000000,0.000110,0.001818,2.5475,100
455206,0.00000408,0.0001538,0.0004256,0.000000,0.000133,0.000577,3.2759,100
455209,0.00000357,0.0009737,0.0017767,0.000000,0.000231,0.000712,2.4828,100
455502,0.00002197,0.0004660,0.0010135,0.000000,0.001377,0.001297,25.7925,100
456826,0.00000916,0.0010212,0.0005064,0.000000,0.000031,0.000052,14.2498,100
468422,0.00000024,0.0006091,0.0004555,0.000000,0.000889,0.000399,0.5959,100
469306,0.00220535,0.0014431,0.0007613,0.000173,0.014446,0.000712,4048.1688,100
469361,0.00013118,0.0001227,0.0000990,0.000005,0.000026,0.000015,108.8319,100
469362,0.00001472,0.0024838,0.0018550,0.000000,0.003122,0.001222,33.4106,100
469372,0.00000774,0.0000541,0.0001393,0.000000,0.001595,0.000041,10.8954,100
469420,0.00007548,0.0067771,0.0075362,0.000006,0.054509,0.010368,138.7633,100
469421,0.00010732,0.0027168,0.0005116,0.000006,0.064991,0.002459,124.2008,100
469438,0.00001570,0.0002137,0.0024118,0.000001,0.000191,0.003243,16.4742,100
469505,0.00021181,0.0161545,0.0004097,0.000002,0.015424,0.003823,61.6686,100
469506,0.00001226,0.0002264,0.0014397,0.000000,0.001161,0.000664,16.0354,100
469509,0.00000584,0.0016672,0.0020345,0.000000,0.000804,0.001187,4.0840,100
469514,0.00000350,0.0001437,0.0007390,0.000000,0.000089,0.002112,4.4646,100
469584,0.00012659,0.0110302,0.0197741,0.000009,0.086995,0.002826,199.2748,100
469610,0.00000021,0.0001840,0.0005284,0.000000,0.000340,0.001883,0.3253,100
469615,0.00000558,0.0000718,0.0002643,0.000000,0.000040,0.000003,6.6915,100
469704,0.00001502,0.0000283,0.0001047,0.000000,0.000038,0.000022,25.1062,100
469705,0.00001082,0.0009628,0.0027210,0.000000,0.000318,0.002038,8.9517,100
469707,0.00002014,0.0021635,0.0023895,0.000001,0.016099,0.001109,39.2523,100
470027,0.01504973,0.0004135,0.0002451,0.000902,0.004239,0.000668,16423.8948,100
470308,0.00367391,0.0315717,0.0037521,0.000080,0.190430,0.026097,3462.2990,100
470316,0.00714777,0.0016662,0.0007491,0.000182,0.005973,0.001407,6072.4667,100
470443,0.00002493,0.0000278,0.0003880,0.000001,0.000044,0.000018,23.0496,100
470523,0.00000791,0.0003394,0.0001123,0.000000,0.000743,0.000226,7.5165,100
470596,0.00834173,0.0016097,0.0005992,0.000442,0.013508,0.001342,11089.0644,100
471150,0.00269533,0.0009236,0.0002687,0.000126,0.000569,0.000041,2827.0331,100
471196,0.00065537,0.0001775,0.0004677,0.000031,0.002686,0.000058,734.1104,100
471210,0.00208298,0.0004714,0.0007195,0.000062,0.000595,0.000171,1557.3673,100
471288,0.00116367,0.0039703,0.0004392,0.000056,0.038927,0.001049,1578.0161,100
471318,0.00658788,0.0012103,0.0003314,0.000269,0.000820,0.000559,8373.9191,100
471921,0.00000073,0.0000555,0.0001047,0.000000,0.000027,0.000007,0.7703,100
471954,0.00002356,0.0004061,0.0004826,0.000001,0.000083,0.000006,28.1080,100
