,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,calc_sma
1564,21758,0.10435683135495837,0.24919844256038978,0.09965014919776387,0.12080598146244693,4.0,0.0,2.28736438299901
1565,21774,0.09408273897978242,0.18412364367722175,0.08993508158037677,0.1158393885653583,4.0,54.55,2.3359113917834073
1566,21791,0.11189071098095711,0.29195254546232385,0.11183636785802104,0.026852208430073066,4.0,0.0,2.373348430200697
1567,21803,0.11223323266956149,0.2508511589039021,0.11178492697931362,0.11994803713655901,4.0,0.0,2.3235353604761655
1568,21833,0.09573399529107046,0.26261053370503384,0.0908606986464761,0.1218765064180174,4.0,0.0,2.2913382568424336
1569,21837,0.10222801787047796,0.06756133156941717,0.1022084218932231,0.1096980541139614,4.0,0.0,2.4057673293698563
1570,21840,0.10114412832283486,0.21619315201648337,0.10109821160650083,0.11800753970716153,4.0,0.0,2.3164790116779455
1571,21845,0.11783737780511655,0.042219244676828284,0.11781540353409506,0.10859181629282563,4.0,0.0,2.4327714243154688
1572,21883,0.0947939170954606,0.18195558733633227,0.09452566234303784,0.11510137189133006,4.0,0.0,2.3553950529171304
1573,21891,0.1071172352169733,0.26609934091373416,0.10708385261007906,0.11985686758322533,4.0,0.0,2.392859097984889
1574,21916,0.095403623529127,0.15844776386916537,0.042239653075755335,0.11438405282756935,4.0,0.0,2.3401171924275976
1575,21969,0.11407887321507573,0.21474337957639322,0.1126459984428076,0.11749368286256227,4.0,0.0,2.328837265837823
1576,21986,0.10055313943756805,0.22962035123471164,0.10045652696372924,0.02323465007902626,4.0,0.0,2.369863523047615
1577,22027,0.09940258943813146,0.09986081544644414,0.09922146693242098,0.11151630413800487,4.0,0.0,2.318654877362354
1578,22080,0.0994046239808615,0.23183766753893395,0.07858246833148791,0.11863981493354293,4.0,0.0,2.338624292091395
1579,22155,0.0996751803619289,0.1475553070891713,0.09965703377919355,0.11434880358930928,4.0,0.0,2.293285861285504
1580,22197,0.09666368705309587,0.22686839573031223,0.09661155991357238,0.11879125001728943,4.0,0.0,2.312235684175133
1581,22215,0.1082283505875063,0.146495259181473,0.10820263122975608,0.11345514741667556,4.0,0.0,2.393291626309545
1582,22220,0.0998308037358844,0.24600265432009571,0.09980309484991354,0.11880976404510196,4.0,0.0,2.3869276935807773
1583,22233,0.10520893818205512,0.045917396038407554,0.10516452077813268,0.10874595112737957,4.0,0.0,2.3885597014160624
