,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI
0,15760,0.07842362300813904,0.09210652675659572,0.04540423465616591,0.07842327325499626,0.0439968,0.0703557
1,15789,0.0,0.0,0.0,0.0,0.0,0.0
2,15807,0.06754227572484095,0.35244149433385835,0.03495100838820303,0.0675314790194935,0.0330139,0.0729767
3,15809,0.21146741566232172,-0.03820909805893668,0.16243196257303888,0.21144163883648737,0.2244278,0.2202312
4,15810,0.1240934317476017,-0.242389922340223,0.060235722624545775,0.12409323084102164,0.0599178,0.1247105
5,15836,0.07292629946602355,0.003382106603294549,0.09471146006767889,0.07292628792137494,0.0857137,0.0712616
6,15883,0.22238791998036714,-0.3729793555956227,0.30566107799749437,0.2223779014696334,0.3064037,0.2123627
7,16684,0.04145353359727647,-0.15905785293504507,0.056157709884079955,0.04145100343723189,0.0556696,0.0403445
8,19255,0.02754154229017919,0.7605715946312078,0.016897645580683858,0.027541154648224007,0.0133359,0.0332889
9,19299,0.731321922285625,0.029956854828467556,0.23759014395394248,0.6144264935459007,0.1308766,0.2293789
10,19308,0.11417973826467981,0.13868271832147916,0.4686231143375887,0.1141078184229234,0.4685573,0.1164404
11,19521,0.10362875237702202,-0.45879119888956726,0.1879670360646121,0.10362848428586989,0.1897161,0.1035607
12,20000,0.05275595759721297,0.07486199760775943,0.2667107177113411,0.052750333483698786,0.26704,0.0525251
13,20108,0.49245710591964104,0.2643406792001989,0.1957974191538296,0.4768080888308224,0.3387908,0.1381907
14,24835,0.10300394668757853,0.4572533240812834,0.4504426065022868,0.10294713571051244,0.4506077,0.1006012
15,24952,0.24112716092681147,-0.18850295590281704,0.2787133957566221,0.24105559349483296,0.2747398,0.2458104
16,24978,0.04795960394302075,0.4918446772138435,0.02864145537669077,0.04795883236480981,0.024805,0.0496143
17,28978,0.24057600142358276,-0.09864453762290377,0.31554625176698503,0.2402379187606858,0.3062277,0.2493457
18,32929,0.9798682268185785,-0.6205937788725351,0.01635439764470372,0.09399210251391951,0.097919,0.2573961
19,33001,0.028183344676792517,0.15371454671313997,0.04289144719155521,0.028182513927322215,0.0421068,0.0298546
20,33340,0.2502974472338403,0.28839861034365954,0.036993847752822134,0.25029466034917724,0.0351244,0.2501451
