,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,calc_sma,"['02_ecc', '02_sinI', '02_sma']","['13_ecc', '13_sinI', '13_sma']","['24_ecc', '24_sinI', '24_sma']","['35_ecc', '35_sinI', '35_sma']","['46_ecc', '46_sinI', '46_sma']","['57_ecc', '57_sinI', '57_sma']","['68_ecc', '68_sinI', '68_sma']","['79_ecc', '79_sinI', '79_sma']","['810_ecc', '810_sinI', '810_sma']"
0,0,1.0140947934682951,-0.1632485431006713,0.0013225814935155832,0.0004330913537158597,-35.242172263808314,"[0.003938919079075024, 0.001354091749505406, -32.95205380190026]","[1.3607370395533901e-09, 4.378071153821588e-10, -35.80763361242783]","[3.756091204665554e-10, 1.2128261213591097e-10, -35.80763361242724]","[7.873771903953632e-11, 2.545910006218303e-11, -35.80763361242744]","[1.3265245243616254e-10, 4.2278541927881554e-11, -35.80763361242761]","[2.087805375086111e-10, 6.596496370928154e-11, -35.80763361242776]","[1.7334615024049986e-10, 5.7482970519597586e-11, -35.80763361242785]","[1.5547201146335094e-10, 5.081211317063434e-11, -35.8076336124277]","[1.2082146023570914e-10, 3.897975200171933e-11, -35.80763361242764]"
1,1,1.0078175137527465,0.6288220859082099,0.008232034045832823,0.0008980680674347925,-70.29876236939042,"[0.02573829753899424, 0.0028078930997398914, -66.68116503684385]","[2.426564264674225e-09, 7.262211417100493e-10, -71.19199627858217]","[5.712138268896515e-10, 1.707501519408105e-10, -71.19199627864813]","[2.3676004124845516e-10, 7.102100701219995e-11, -71.1919962786602]","[1.3843116015546e-10, 4.133993833349889e-11, -71.19199627866473]","[9.72588013844345e-11, 3.0393545754182423e-11, -71.19199627866647]","[7.201083683463525e-11, 2.2185044276853766e-11, -71.1919962786666]","[8.774311924399324e-11, 2.646125593211424e-11, -71.19199627866597]","[7.016180262908727e-11, 2.1111105629760143e-11, -71.19199627866506]"
2,2,1.0000220176808388,0.8348002550902529,0.0030914776149694404,0.0015692014956131155,-967.6806329430466,"[0.010879038103006828, 0.005027824526398115, -740.0834353732566]","[1.649437765476726e-08, 3.69551106819102e-08, -1023.8774725054363]","[3.478382755303003e-09, 7.7645048165719e-09, -1023.8774719279991]","[1.3917125847332001e-09, 3.101228170914828e-09, -1023.8774718556718]","[6.996447483544423e-10, 1.5582515138010237e-09, -1023.8774718340192]","[4.0974775841468003e-10, 9.118752134220467e-10, -1023.87747182485]","[2.6088842901704303e-10, 5.806668671870292e-10, -1023.8774718202288]","[1.7750767970130931e-10, 3.950207929831264e-10, -1023.8774718176628]","[1.2456541228620625e-10, 2.7717940408840773e-10, -1023.8774718161287]"
3,3,1.1969747684167809,0.5188967836775519,0.029696765754117487,0.0025115382262529654,1.2777011125203295,"[0.09484158348202341, 0.008020959938108006, 15.40797758806346]","[1.5068751879246817e-11, 6.835412735502972e-11, -2.2112560419348193]","[3.1236483999476666e-11, 1.142743459454754e-10, -2.2112560419348193]","[2.6196944735220085e-11, 1.088179304463192e-10, -2.211256041934825]","[1.0036598877048167e-10, 1.636320433437361e-10, -2.2112560419347944]","[4.956976542537405e-11, 3.944766072123962e-10, -2.2112560419347496]","[3.291106866197822e-11, 9.098413633751018e-11, -2.2112560419347362]","[4.426013916115508e-11, 1.3049593957523298e-10, -2.21125604193474]","[5.616856640927033e-11, 2.7171027257227916e-10, -2.211256041934715]"
4,4,1.0038652009735027,0.9802577486816814,0.003773228714985671,0.0007194679767731448,-122.73757649760778,"[0.010960024491314769, 0.0022691714843048284, -92.12843729899022]","[9.972254484535316e-09, 3.31785300296735e-09, -130.29538864481577]","[1.952455014173048e-09, 6.494130116348985e-10, -130.29538864534726]","[7.359252846038359e-10, 2.4480821196312267e-10, -130.29538864541047]","[3.547260067928727e-10, 1.1790949254189367e-10, -130.2953886454283]","[1.6489337510499368e-10, 5.46792835776461e-11, -130.29538864543602]","[7.554089092883302e-11, 2.504294671632357e-11, -130.29538864543952]","[5.894687370295999e-11, 1.9710130196260194e-11, -130.2953886454414]","[1.0241759725874037e-10, 3.397381776232978e-11, -130.2953886454418]"
5,5,1.0032539799983657,-0.8831970017314931,0.001650021251952482,0.00047546600324920745,-125.92043908438008,"[0.007949223323571956, 0.0014444443915429673, -43.93279394857571]","[8.320824296150021e-11, 2.2944673618883368e-09, -146.1643020723293]","[9.437297481637236e-12, 2.6301506375685277e-10, -146.1643020803769]","[2.70601603622324e-12, 8.279411278956008e-11, -146.16430208087323]","[2.011850701995384e-12, 4.194006823292094e-11, -146.1643020809916]","[1.6461122772056834e-12, 1.5315404004386605e-11, -146.16430208103358]","[1.5452145543589329e-12, 1.2919676245244811e-11, -146.1643020810522]","[1.3760398082530053e-12, 7.91735913814923e-12, -146.16430208106277]","[2.997285842499203e-12, 7.257340740094338e-12, -146.1643020810693]"
6,6,1.0285730930577919,-0.9794256730173831,0.00213909074646826,0.0004481584185771872,-19.726861168431682,"[0.006370671479232081, 0.0014012094068909893, -18.089805162794402]","[2.2812896298158677e-10, 1.1784492361805354e-10, -20.13107252784921]","[7.207664239514402e-11, 3.706259081485214e-11, -20.131072527848122]","[4.962310634771733e-11, 2.5815589321004404e-11, -20.13107252784814]","[7.21573172910292e-11, 3.759501886733982e-11, -20.131072527848385]","[6.502678524961571e-11, 3.4124924246034217e-11, -20.131072527848435]","[1.1266087175283783e-10, 5.794479571693135e-11, -20.131072527848357]","[1.177294042700536e-10, 6.202531585681577e-11, -20.131072527848367]","[1.1101689022019736e-10, 5.747830882435269e-11, -20.131072527848282]"
7,7,1.0438830603294225,0.9041733555608114,0.002555707850488242,0.00015010846857841775,-10.826924469989866,"[0.00761144010764723, 0.0007273468344859509, -9.748169637223501]","[5.136558419742442e-11, 1.0864671254609257e-11, -11.09328368795674]","[2.3476643080174184e-11, 2.680137754241935e-11, -11.093283687956683]","[4.705749474596873e-11, 3.2838067937279866e-11, -11.09328368795671]","[1.0142835355142556e-10, 4.9667234799298856e-11, -11.09328368795684]","[7.721647969458512e-11, 3.8595910178916697e-11, -11.09328368795693]","[7.548651489324706e-11, 3.362386779228943e-11, -11.09328368795693]","[8.231393959913571e-11, 4.5921159087725914e-11, -11.093283687956998]","[9.242496027297956e-11, 6.048446415532217e-11, -11.093283687957012]"
8,8,1.0016085993049095,-0.9929628549998688,0.001585527324087161,0.0007469812904864154,-260.42346814983296,"[0.004957279972218674, 0.002335424081296832, -249.0099740205407]","[3.3110707143787673e-09, 6.222600013963021e-09, -263.2416148587114]","[8.414125325704593e-10, 1.582022951625358e-09, -263.2416148501273]","[3.4232881080463257e-10, 6.439682077697914e-10, -263.2416148486028]","[1.7266980326993572e-10, 3.2483101007198654e-10, -263.241614848108]","[9.59787559865389e-11, 1.8050287883777746e-10, -263.24161484789937]","[6.203633199960218e-11, 1.1639734588807332e-10, -263.24161484779677]","[4.0701644701199304e-11, 7.709554466608483e-11, -263.24161484773737]","[3.1336590406293476e-11, 5.863653871800083e-11, -263.2416148477002]"
9,9,1.047400951326448,0.7495877800244384,0.0031471346562138205,0.00010435608055305358,-11.125156751065914,"[0.008840278044019692, 0.00030693532663862103, -9.816475734869694]","[7.476915834511005e-11, 3.125893158768767e-11, -11.44828786617487]","[9.009692013003064e-11, 3.748836770347485e-11, -11.448287866175374]","[3.758320270100965e-11, 1.7430535506403483e-11, -11.448287866175583]","[6.275289837948704e-11, 2.6266907102171848e-11, -11.448287866175818]","[1.0872263134025025e-10, 4.283133094110735e-11, -11.448287866176129]","[5.807928928326847e-11, 1.9255163123203508e-11, -11.448287866176427]","[7.163365268675334e-11, 3.0481497781879626e-11, -11.448287866176656]","[1.7550804523097796e-10, 7.331905888031752e-11, -11.44828786617671]"
