,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,calc_sma,"['02_ecc', '02_sinI', '02_sma']","['13_ecc', '13_sinI', '13_sma']","['24_ecc', '24_sinI', '24_sma']","['35_ecc', '35_sinI', '35_sma']","['46_ecc', '46_sinI', '46_sma']","['57_ecc', '57_sinI', '57_sma']","['68_ecc', '68_sinI', '68_sma']","['79_ecc', '79_sinI', '79_sma']","['810_ecc', '810_sinI', '810_sma']"
10,10,1.0381054102735023,-0.18613662005214632,0.018480005257685173,0.01874105547857738,-17.681417069248152,"[0.05877178733840038, 0.05898330749825076, -15.262866984220429]","[3.810911852373997e-12, 6.29951716970576e-11, -18.27858992974774]","[3.299294280163435e-12, 1.4912696885299685e-11, -18.278589929749067]","[9.050703389629621e-12, 5.767847717146748e-12, -18.278589929748804]","[5.6333347736970065e-12, 4.793249800593265e-11, -18.2785899297486]","[9.535060995403555e-12, 4.243874027919116e-11, -18.278589929748602]","[1.493920839119254e-11, 1.6820747283665873e-11, -18.278589929748613]","[1.0512161901192121e-11, 1.5445680490440067e-11, -18.278589929748897]","[2.968311219416583e-11, 5.34029194487735e-11, -18.27858992974906]"
11,11,1.0039934448211467,-0.305073806586909,0.0014053937954857764,0.0005942431956885208,-129.25472613633931,"[0.004394114417797907, 0.0018579615582016197, -123.16461989104725]","[1.046108290518416e-10, 2.451259301337617e-10, -130.7584560728768]","[2.3456822141561176e-11, 5.754749068564142e-11, -130.75845607336038]","[9.349254772737948e-12, 2.2940261353713696e-11, -130.7584560734406]","[7.440371683149514e-12, 1.2605906740780875e-11, -130.75845607346463]","[4.126927060491424e-12, 7.850386637201155e-12, -130.7584560734752]","[1.7939429123385942e-12, 2.7408443626940417e-12, -130.75845607348109]","[3.515743261538257e-12, 4.325471004019521e-12, -130.75845607348427]","[2.9001849020199103e-12, 1.6608538048899478e-12, -130.75845607348575]"
12,12,1.0413088071424823,0.9022652243775796,0.0023731114645343413,0.0003163649253140064,-13.52684210391989,"[0.00681664615873509, 0.0015329382451544223, -12.116539273670318]","[1.2243925249482865e-10, 6.266916095521118e-11, -13.875065024969427]","[7.01115726421432e-11, 3.6494271900222203e-11, -13.875065024969455]","[8.21145778304072e-11, 3.192987015653287e-11, -13.875065024969519]","[5.6397876016965735e-11, 2.490629428323595e-11, -13.875065024969496]","[8.053057701969922e-11, 3.7172607463086725e-11, -13.875065024969397]","[6.610732062764632e-11, 2.924443934395162e-11, -13.875065024969066]","[6.737586219398507e-11, 3.007303094588835e-11, -13.875065024968759]","[1.2160289492993785e-10, 5.610717342785078e-11, -13.875065024968697]"
13,13,1.0375365976897128,-0.9762804291250555,0.023892280965574206,0.003634099781793023,-10.08190477280507,"[0.06378860812885294, 0.011471547754003726, -6.6085668421009105]","[1.6095523008921623e-11, 2.5231040215095755e-11, -10.939519076682888]","[2.1779005243705292e-11, 2.6414957191508436e-11, -10.939519076682654]","[2.984594708162921e-11, 1.81570003986899e-11, -10.939519076682801]","[2.8343724343192428e-11, 3.316693499060316e-11, -10.939519076682735]","[3.713240787317241e-11, 4.188338436346499e-11, -10.93951907668258]","[6.16683806852046e-11, 2.2299498189412926e-11, -10.93951907668259]","[3.2332906796778136e-11, 2.0029100183524674e-11, -10.939519076682616]","[5.996223887545789e-11, 5.634194106446426e-11, -10.939519076682586]"
14,14,1.0000706424444694,0.6912183673186535,0.0069212298075703015,0.0007863160710933851,-1694.5887492905795,"[0.021638805391970703, 0.002457976908876675, -1625.1165851618985]","[3.0574041491977875e-08, 1.4811650191150354e-08, -1711.7423686749942]","[9.523904175936862e-09, 4.592626439406887e-09, -1711.7423697806614]","[4.446534795573699e-09, 2.13910003707446e-09, -1711.742370018807]","[2.479294712754124e-09, 1.1910947176411905e-09, -1711.7423701062312]","[1.5400538679832476e-09, 7.393013309889592e-10, -1711.742370147053]","[1.0281205966861115e-09, 4.932207545986761e-10, -1711.7423701688385]","[7.214248143955086e-10, 3.459201924881709e-10, -1711.7423701817722]","[5.289076985387105e-10, 2.5350811877750966e-10, -1711.7423701899982]"
15,15,1.0597904986757478,-0.8476951780462294,0.004011046907531444,0.00017603250755747886,-8.993512598948982,"[0.011945748305878233, 0.0005382014827991532, -7.829706146116496]","[5.608455515903477e-12, 2.7414708981694612e-11, -9.28087221693178]","[6.628399428611698e-12, 2.862416630303744e-11, -9.280872216931877]","[8.180823611730266e-12, 3.0234982079172625e-11, -9.28087221693207]","[1.396560218605602e-11, 5.082743566535661e-11, -9.280872216932355]","[4.2989480257235924e-12, 2.2989235847259912e-11, -9.280872216932595]","[1.0577046879117902e-11, 3.173989766898024e-11, -9.280872216932632]","[1.4544093255885333e-11, 1.0963440432546755e-10, -9.280872216932528]","[1.194092536293462e-11, 5.7061556623692206e-11, -9.280872216932384]"
16,16,1.0168613220069243,0.06364293291250968,0.0029844786361799274,0.0006987652145096875,-31.150125304374193,"[0.008888412818881124, 0.002184761050379213, -29.051418474985667]","[1.573997718599472e-10, 1.3558223288347047e-10, -31.668324521517114]","[1.8038687143695662e-11, 1.1393982006021377e-11, -31.668324521507458]","[2.123664811858493e-11, 1.9285861063537928e-11, -31.668324521506285]","[2.776865882035061e-11, 2.1353306558169682e-11, -31.668324521506197]","[1.2951964378814799e-11, 1.1492626650298428e-11, -31.66832452150644]","[1.6876282669089993e-11, 1.6178752381505443e-11, -31.668324521506996]","[1.542624213603889e-11, 1.337972018585876e-11, -31.66832452150761]","[2.062112121744901e-11, 2.3324839883143554e-11, -31.668324521507902]"
17,17,1.0014374459751065,0.5353344340031526,0.0607805797263837,0.00396632699834824,-290.66368513994775,"[0.18101685346965177, 0.01240287025730723, -278.06736388250937]","[1.207634462337443e-08, 7.105033083724457e-09, -293.7738879389347]","[2.939008723798276e-09, 1.7287669557776563e-09, -293.77388792259]","[1.1771035284443363e-09, 6.925878708846123e-10, -293.77388791985976]","[5.838955839158538e-10, 3.434147024542843e-10, -293.77388791899403]","[3.4492807184213976e-10, 2.0280522850439184e-10, -293.773887918626]","[2.2884499748512046e-10, 1.3461334990799115e-10, -293.7738879184484]","[1.5080297880040913e-10, 8.857123667830503e-11, -293.77388791834846]","[9.563984335616723e-11, 5.6244977214988456e-11, -293.77388791828196]"
18,18,1.0048972131659213,-0.35017405705395943,0.0017995191151838515,0.00025116232458026716,-127.66502979704455,"[0.005359348553148202, 0.0012170008878429116, -121.61145513496274]","[7.488919895094926e-11, 3.053118545783043e-11, -129.15973958912207]","[1.8291617430176714e-11, 6.47605909366196e-12, -129.1597395899963]","[6.8844240929582e-12, 3.510747213983516e-12, -129.15973959013857]","[3.919759368469759e-12, 6.285441456211609e-13, -129.15973959018234]","[1.4059623747758425e-12, 1.8316843527399956e-12, -129.15973959020076]","[7.480917194779507e-13, 1.0631119346012582e-12, -129.15973959020957]","[1.669581874763494e-12, 3.3405233003029245e-12, -129.15973959021352]","[1.3147524328154442e-12, 2.040553413516938e-12, -129.15973959021372]"
19,19,0.9667661073270849,-0.9026436917746798,0.27840120231133497,0.02962684616671125,-8.214886612813922,"[0.4372048194174899, 0.03472986920897711, 3.5061484811425307]","[0.43609377390808135, 0.057454031489488154, -4.974983136328205]","[2.3218575393855482e-10, 1.7009020186662189e-10, -11.108969352056508]","[1.0012505290669191e-11, 9.205258809035096e-12, -11.108969352064351]","[1.89360843119991e-11, 1.4533253335273989e-11, -11.108969352064344]","[1.568190235534552e-11, 9.934023670047345e-12, -11.108969352064367]","[1.1309999916110897e-11, 7.0141025204107196e-12, -11.108969352064403]","[2.187499095092022e-11, 1.271158756666178e-11, -11.108969352064427]","[3.2611977495642424e-11, 2.7372196040267788e-11, -11.108969352064385]"
20,20,1.0510392527489043,0.2590075463481059,0.013050829478349768,0.0024452066945164245,-2.20216709572135,"[0.04216775660192244, 0.007860389644064521, 29.23162130797393]","[3.369599771027073e-10, 1.4405280158119935e-10, -9.963596331201327]","[1.004558497967293e-10, 4.069233125700715e-11, -9.963596331201687]","[1.0708500432517049e-10, 4.607609968544965e-11, -9.963596331201682]","[4.723073009121983e-10, 1.7757374350222882e-10, -9.963596331201549]","[3.9973513135583435e-10, 1.4909878157583074e-10, -9.963596331201513]","[1.9935775874696346e-10, 7.779744739423065e-11, -9.96359633120159]","[3.5722402577427215e-10, 1.3955371769526355e-10, -9.96359633120171]","[4.592661287751854e-10, 1.739996851409851e-10, -9.963596331201831]"
21,21,1.048704643985535,-0.9899117105365285,0.003556451804916734,0.001085565621278159,-9.495318948763915,"[0.010873491632538833, 0.0033190058720330338, -8.456756554168612]","[9.33591219299879e-11, 6.83735177982125e-11, -9.751754107923496]","[7.904284423882995e-11, 5.7187303133475465e-11, -9.751754107923365]","[1.5560831093255333e-10, 1.115245851961474e-10, -9.751754107923372]","[2.6708842150540647e-10, 1.9002646647770813e-10, -9.751754107923285]","[2.2401108887681793e-10, 1.619307198160781e-10, -9.751754107923187]","[1.7127656360468721e-10, 1.258564916857222e-10, -9.751754107923151]","[2.1139451282349216e-10, 1.5399914745555123e-10, -9.75175410792314]","[1.900662873421516e-10, 1.383918663280834e-10, -9.751754107923187]"
22,22,1.0244106732078733,-0.33606538185874923,0.00868528760817087,0.00010275426113082694,-24.28211210575186,"[0.02715548713553479, 0.00032127032536677727, -22.460122422501065]","[2.989654361752477e-11, 9.096656443124521e-11, -24.731986101613636]","[3.2699617453838573e-12, 1.8951670531132317e-11, -24.731986101616215]","[7.356700526893124e-12, 2.76644195655121e-11, -24.731986101616542]","[7.227104635084201e-12, 1.3589913972868152e-11, -24.73198610161645]","[1.376270100967723e-11, 3.341412043748836e-11, -24.731986101616325]","[9.49081709548087e-12, 2.64957021592563e-11, -24.731986101616283]","[4.408396047404699e-12, 3.3978062348015526e-11, -24.731986101616066]","[4.97660723126465e-12, 1.9494732779438303e-11, -24.73198610161607]"
23,23,1.0663478027254607,0.7853249710975189,0.002975649008544671,0.00029177196983431374,-8.025646151052754,"[0.009097747398203179, 0.0008920627943740324, -6.874552404148053]","[4.1202862832851054e-11, 3.057148226019606e-11, -8.309866829301013]","[7.449736866311596e-11, 5.44470398402878e-11, -8.309866829300871]","[1.671670211545521e-10, 1.1783262985635745e-10, -8.309866829300812]","[9.144474326725181e-11, 6.501653246532023e-11, -8.309866829300791]","[6.768367702138132e-11, 5.2269489416097516e-11, -8.309866829300795]","[9.369669789853815e-11, 6.993750423359261e-11, -8.309866829300804]","[2.371074197673985e-10, 1.7690560144555006e-10, -8.309866829300812]","[2.513462960772319e-10, 1.8314963527497454e-10, -8.309866829300852]"
24,24,1.019048276665119,0.9796374073520981,0.005607443026023746,0.0007904927506717519,-25.260771157980727,"[0.01753227273236444, 0.002471559336073561, -23.528333634930412]","[1.0886938289307046e-10, 8.823525384863327e-11, -25.688533509347803]","[3.337524827682009e-11, 2.3464341593654098e-11, -25.68853350935101]","[4.6138643878810584e-11, 2.6540808771048357e-11, -25.688533509351778]","[2.984730203893718e-11, 1.8658751637875757e-11, -25.688533509351778]","[2.365581471954756e-11, 1.4800926540182933e-11, -25.688533509351764]","[3.742624310658053e-11, 2.2189783928716936e-11, -25.68853350935138]","[5.569639150266536e-11, 3.116440562753526e-11, -25.68853350935093]","[5.168114087826668e-11, 3.688435702119609e-11, -25.688533509350624]"
25,25,1.0369938280563045,0.5659146299671393,0.003624877642069402,0.0008191375765353541,-13.957077263319098,"[0.010795697852628409, 0.0025607883962704657, -12.576644885563237]","[3.1982192742942576e-11, 1.3694063016338615e-10, -14.297924763999404]","[1.3406580146057241e-11, 2.111685595227871e-11, -14.297924763999713]","[1.4923233461155535e-11, 2.179141344129485e-11, -14.297924763999783]","[1.3718918507153568e-11, 4.124816309130271e-11, -14.297924763999765]","[1.801842607744452e-11, 5.0463375479074876e-11, -14.297924763999632]","[2.1419153136600976e-11, 3.608402839325313e-11, -14.297924763999367]","[4.5965137598257765e-11, 1.3249231858761562e-10, -14.29792476399938]","[3.559934969950141e-11, 1.393867256660548e-10, -14.297924763999418]"
26,26,1.0108925771451063,0.3012607478871194,0.030329201930012057,0.00421229281138929,-14.219645391144178,"[0.09406064762875052, 0.012756219779585857, 134.4759971704559]","[7.662734851251645e-09, 3.978305445975978e-09, -50.93461885908463]","[2.1340179053310833e-10, 1.1135678971218866e-10, -50.9346188631182]","[5.0259801768492844e-11, 2.577917203758581e-11, -50.93461886314623]","[2.0133954216199305e-11, 1.0616256417924836e-11, -50.934618863151954]","[1.5926444163361133e-11, 9.999899025189996e-12, -50.934618863153375]","[1.157473012557037e-11, 7.732708502774478e-12, -50.934618863153176]","[9.661824587681846e-12, 5.735718182421136e-12, -50.93461886315289]","[1.996479913080305e-11, 1.1614783631789555e-11, -50.93461886315301]"
27,27,1.021033179069818,0.20203268506696143,0.0014253719408878855,0.00023189416714205198,-24.97715380205883,"[0.004456578815110443, 0.0007250371351708389, -23.090194037125723]","[1.4202983750600572e-10, 2.227849300299408e-10, -25.443069793404813]","[5.861767419993657e-11, 9.405905575472957e-11, -25.443069793400344]","[2.0904764376160323e-11, 3.488048775828599e-11, -25.443069793399765]","[2.5825920377244565e-11, 4.1236175842549997e-11, -25.44306979340009]","[3.7014965502188465e-11, 6.268445096536837e-11, -25.443069793400337]","[4.136266009946164e-11, 6.700187179673559e-11, -25.443069793400266]","[2.8553328871398605e-11, 4.2953225150778274e-11, -25.443069793400305]","[3.710417266549228e-11, 6.151675474307207e-11, -25.443069793400596]"
28,28,1.1735315871386955,-0.42329783047093206,0.00691079027503557,0.00021706153398152886,-3.0805033718761767,"[0.020747292968254914, 0.000682287326981242, -2.1996430515862992]","[1.0167343388872716e-10, 8.730660114651995e-11, -3.2979997472564238]","[2.101390281713743e-10, 2.524905150621172e-10, -3.297999747256436]","[1.845236557501067e-10, 1.3408384562929655e-10, -3.2979997472564584]","[1.5931019206221745e-10, 1.1569688220791019e-10, -3.2979997472564357]","[2.9231278811778703e-10, 1.8352503097651008e-10, -3.2979997472563958]","[2.3387571476348147e-10, 3.65064536402076e-10, -3.2979997472563825]","[2.835010971708419e-10, 2.469285448657378e-10, -3.2979997472563567]","[4.0787460090613374e-10, 1.3773467906984482e-10, -3.2979997472563243]"
29,29,1.0197474745726836,0.704658119756965,0.002637528989468536,0.001168390709495105,-32.332130962938585,"[0.012780080636764602, 0.003653067947115473, -30.153285640569997]","[1.0123254090781981e-11, 1.801390937640821e-10, -32.870117462279794]","[2.6953791900953007e-12, 4.5698905407743744e-11, -32.87011746228809]","[3.3180734962168396e-12, 1.1204101927871542e-11, -32.87011746228917]","[9.366148494931576e-12, 7.978657794842705e-12, -32.87011746228876]","[5.278049173401276e-12, 1.196360284702356e-11, -32.870117462288405]","[1.2364295912363074e-11, 1.3060530756882715e-11, -32.87011746228874]","[8.578576110696198e-12, 3.016743704158631e-11, -32.870117462289045]","[1.128807011981222e-11, 2.7396298481783705e-11, -32.87011746228975]"
30,30,1.0100186774012592,0.9889600906537955,0.0010920228802447994,0.00018702191411190555,-52.01257250076729,"[0.0034143271162891294, 0.0005847383179931232, -49.02457321104161]","[8.028480710300392e-11, 3.0075622635221737e-10, -52.75035010312928]","[1.8919379067320186e-11, 8.371547568255024e-11, -52.75035010316376]","[9.194954680640776e-12, 3.532882836419257e-11, -52.750350103168444]","[3.897885640691861e-12, 2.59660867597762e-11, -52.750350103169446]","[2.96526357759412e-12, 1.8420401535910633e-11, -52.75035010317013]","[4.510537420310351e-12, 1.9095395953724184e-11, -52.75035010317056]","[8.064597474261473e-12, 1.6512585355235847e-11, -52.75035010317076]","[4.181720600917021e-12, 1.8543096927855432e-11, -52.750350103170945]"
31,31,1.0788448141857025,0.9742086295787376,0.020605627936942202,0.019302503603839567,-3.4998235366762844,"[0.06486774791893136, 0.06074770374892802, -2.180732516453395]","[1.7969339966763997e-10, 3.8779215033124053e-11, -3.825525023150923]","[3.476774868262268e-10, 7.686549081619778e-11, -3.825525023150933]","[2.891883607025093e-10, 6.01825519772258e-11, -3.825525023150952]","[7.45176459091068e-10, 1.4351606615650632e-10, -3.8255250231510542]","[9.823143656888338e-10, 2.1508784693561429e-10, -3.8255250231511213]","[1.7243273968995575e-09, 3.730325971328889e-10, -3.82552502315112]","[1.081234981150643e-09, 2.3447146217404914e-10, -3.825525023151129]","[1.5981624956581552e-09, 3.910430289408411e-10, -3.8255250231511715]"
32,32,1.0243294890771741,0.9821749092480675,0.002542871806699919,0.00026176262875208286,-22.456518709962854,"[0.007573213909136095, 0.0012683646605571818, -20.688887713960074]","[1.9187684979467378e-10, 1.0750089122032914e-10, -22.8929708077441]","[3.897046414226632e-11, 2.5097209643378874e-11, -22.892970807741968]","[4.4339925947580054e-11, 2.2613407941038798e-11, -22.89297080774137]","[2.2740139519680297e-11, 1.1922866394585353e-11, -22.892970807740884]","[7.112522204371814e-11, 4.9417142538267764e-11, -22.892970807740873]","[6.168850253789872e-11, 3.8442953131658794e-11, -22.892970807741033]","[5.564610515288558e-11, 3.5852871188115063e-11, -22.89297080774123]","[3.6786835458186726e-11, 3.135461661881576e-11, -22.892970807741403]"
33,33,1.00062416487464,0.13250551253509962,0.0022501955102275147,0.00021921566539193774,-639.2973446991153,"[0.006463570628554016, 0.001062206917208203, -612.4706612379566]","[1.4595279616702603e-09, 2.2565565844356175e-09, -645.9212173276129]","[4.1604445685254634e-10, 6.384266186793008e-10, -645.9212171906083]","[1.7718397388231488e-10, 2.7266139331097916e-10, -645.9212171628517]","[9.70126401711945e-11, 1.4703595514207563e-10, -645.9212171532515]","[5.877508800035578e-11, 8.873880710989096e-11, -645.9212171489844]","[3.303941090813386e-11, 5.169565665849904e-11, -645.9212171467782]","[2.6466576793074338e-11, 3.955574731135839e-11, -645.9212171455054]","[1.8628784095958813e-11, 2.808592943478324e-11, -645.9212171447294]"
34,34,1.3407185867431473,0.05389773772980678,0.013067694553805782,0.005195460595350373,-0.8914919585094513,"[0.06331918726667515, 0.016244167380721965, -0.07812574504809397]","[8.443425986741223e-10, 1.7227241243298003e-10, -1.0923231223270928]","[1.1173348558051753e-09, 4.3421584223790985e-10, -1.0923231223270906]","[1.0373324617978592e-09, 3.181865385401792e-10, -1.0923231223270828]","[8.642973770359271e-10, 3.4447678244932544e-10, -1.0923231223270706]","[2.3193259981015953e-09, 8.538066471300527e-10, -1.0923231223270626]","[9.58702765753452e-10, 1.9668332723475877e-10, -1.0923231223270644]","[1.0134684789586535e-09, 3.903766066101713e-10, -1.0923231223270653]","[1.1367589783909568e-09, 4.65900570617585e-10, -1.092323122327059]"
35,35,1.0103290403580047,0.6189216749973058,0.0031784978506961582,0.0002995302054907143,-41.69880705042606,"[0.010060662634245583, 0.0009697728871705235, -35.25458510927921]","[8.036564280295115e-10, 2.62313750271406e-10, -43.28997296178743]","[1.5244039670106435e-10, 4.990516160975905e-11, -43.289972961815685]","[8.081255228967343e-11, 2.6506120828071412e-11, -43.289972961820055]","[5.770922221460704e-11, 1.8334148499015077e-11, -43.289972961821555]","[4.9091586911918345e-11, 1.5677068373375368e-11, -43.2899729618219]","[4.6339140891529125e-11, 1.4919685358232363e-11, -43.28997296182205]","[7.364065017229564e-11, 2.4135768113548207e-11, -43.28997296182245]","[1.2125597340496067e-10, 3.897994822553627e-11, -43.28997296182209]"
36,36,1.0076033819499877,-0.9857670145714429,0.001252874555914578,0.0001873051087313869,-69.02582248758449,"[0.003731326143709165, 0.0009075822229198983, -65.37575969157834]","[2.981436136418283e-12, 1.7031678601038452e-11, -69.92707256052657]","[3.6860583236366894e-13, 4.9219892855857e-12, -69.92707256065077]","[3.769431961470294e-13, 2.0250895047769126e-12, -69.92707256067095]","[3.8070213306591883e-13, 1.1922329046752138e-12, -69.92707256067726]","[6.697800825258246e-13, 4.646395368658746e-12, -69.92707256067997]","[3.342500917325509e-13, 1.8181616111401772e-12, -69.92707256067997]","[1.2197994354509474e-12, 5.601331117513969e-12, -69.92707256068016]","[2.168820975957163e-12, 1.0081506738669359e-11, -69.9270725606813]"
