,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI
825,2011 UW411,0.7954017531586206,-0.041966235829944305,0.05829557794360074,0.3888866498668702,0.0621339,0.1534352
826,2011 UX411,0.1419029367668758,-0.06967321287395058,0.12019964177053742,0.133311433939606,0.1319033,0.1135491
827,2011 UY410,0.7391026874664103,-0.5932164802967,0.22890231344941572,0.4545910824822658,0.1441949,0.1389136
828,2011 UY411,0.07459059513418426,-0.2485810964635782,0.060288863106322726,0.07433194099170949,0.0637671,0.0740534
829,2011 UZ410,0.551448373145638,0.09252752986671942,0.1801445992277148,0.5113562447314883,0.0958076,0.1218558
830,2011 UZ411,0.05410525239082536,0.06385075659173736,0.04628696381779041,0.05389458704361577,0.0461812,0.0506498
831,2011 UZ412,0.841304125252523,0.5423776460639504,0.09953356582310892,0.5569854471426919,0.0870427,0.1259118
832,2011 VJ24,0.4426091217972049,-0.027041840482429563,0.18200855363186622,0.43399963336262837,0.1516964,0.1838519
833,2011 XJ4,0.1935404810317728,-0.3102019844838012,0.20227891960999778,0.19329723482170338,0.203029,0.1942949
834,2012 BV154,0.1940829667078189,-0.26439219501820127,0.2033359385476576,0.1937987300412662,0.2087414,0.200402
835,2012 BY154,0.17368657856366929,0.3889364340513242,0.1253533596244382,0.17326641413674074,0.1254987,0.1742801
836,2012 CS57,0.029177866887365025,-0.20410908806724712,0.27779783159852656,0.029126210566922828,0.2780487,0.0302881
837,2012 DA99,0.03009979390632927,0.45699405096429885,0.027582196877940668,0.028675545144799405,0.0278744,0.0307548
838,2012 DB99,0.18872556365154938,0.3006879389722644,0.1491984484664628,0.1879670261286035,0.1492737,0.1858999
839,2012 DW98,0.03232514536233776,0.3975180652283038,0.3399492854759134,0.032268901191776125,0.3397698,0.0323805
840,2012 DX98,0.2619791800224556,0.40399998883995986,0.23781450272069263,0.26169726189148274,0.2449929,0.2371343
841,2012 DZ98,0.02373201100330856,0.6285167826409181,0.013975044761241482,0.01909106175118266,0.0150972,0.0194155
842,2012 FH84,0.0,0.0,0.0,0.0,0.0,0.0
843,2012 FK84,0.15541182355731079,0.15610330191985242,0.2639399972726835,0.15538020904278244,0.2643632,0.1587156
844,2012 HE85,0.10955146263933313,-0.006286416921911592,0.10685917572083721,0.10917914622483978,0.0805397,0.0958877
845,2012 HG84,0.08406270199146501,0.059717693471432444,0.2181504130838121,0.08384161609781098,0.2174507,0.0875701
846,2012 HL85,0.022620410482429673,0.2634815397216523,0.25445408289422317,0.021972133841694417,0.2570073,0.019233
847,2012 HZ84,0.1847819561055038,0.15530629798997908,0.1206816804464578,0.18415300250687633,0.1322527,0.2004354
848,2012 JH67,0.276247566306305,0.46582456849012327,0.13618882454615275,0.27623527186233476,0.1300484,0.2833285
849,2012 KW51,0.24475267047772717,-0.4437920560066889,0.18471470927060513,0.2443504304007874,0.2261546,0.1687971
850,2012 OL6,0.0,0.0,0.0,0.0,0.0,0.0
851,2012 SB67,0.14219617725937486,-0.09435487686536391,0.3179957506191801,0.14204144982902234,0.3192899,0.1423453
