,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI
0,15760,0.07842362300813904,0.09210652675659572,0.04488194242941587,0.07808939477680574,0.0439968,0.0703557
1,15789,0.0,0.0,0.0,0.0,0.0,0.0
2,15807,0.06754227572484095,0.35244149433385835,0.03368087649345681,0.06671402042899979,0.0330139,0.0729767
3,15809,0.21146741566232172,-0.03820909805893668,0.16092485891763872,0.21070893835776328,0.2244278,0.2202312
4,15810,0.1240934317476017,-0.242389922340223,0.05938207524681788,0.12403377757824255,0.0599178,0.1247105
5,15836,0.07292629946602355,0.003382106603294549,0.08610991634182369,0.07275511051672205,0.0857137,0.0712616
6,15883,0.22238791998036714,-0.3729793555956227,0.30558284548415093,0.2218168190711135,0.3064037,0.2123627
7,16684,0.04145353359727647,-0.15905785293504507,0.05572982758676625,0.041016800399549254,0.0556696,0.0403445
8,19255,0.02754154229017919,0.7605715946312078,0.011060517836282788,0.026439753211992968,0.0133359,0.0332889
9,19299,0.731321922285625,0.029956854828467556,0.22975738808817187,0.6137389372487027,0.1308766,0.2293789
10,19308,0.11417973826467981,0.13868271832147916,0.4686017544460058,0.11408410955719747,0.4685573,0.1164404
11,19521,0.10362875237702202,-0.45879119888956726,0.18788748680552397,0.10358661918369348,0.1897161,0.1035607
12,20000,0.05275595759721297,0.07486199760775943,0.2664824768606239,0.05267203737432817,0.26704,0.0525251
13,20108,0.49245710591964104,0.2643406792001989,0.19018317198167456,0.47648145252659974,0.3387908,0.1381907
14,24835,0.10300394668757853,0.4572533240812834,0.4502053658585307,0.10290128043830792,0.4506077,0.1006012
15,24952,0.24112716092681147,-0.18850295590281704,0.2788050197577136,0.23419360994544897,0.2747398,0.2458104
16,24978,0.04795960394302075,0.4918446772138435,0.025404135096269834,0.046802255659754065,0.024805,0.0496143
17,28978,0.24057600142358276,-0.09864453762290377,0.3154613637408888,0.23320460719824138,0.3062277,0.2493457
18,32929,0.9798682268185785,-0.6205937788725351,0.018492859975846362,0.09639527127508002,0.097919,0.2573961
19,33001,0.028183344676792517,0.15371454671313997,0.04208099279053776,0.027444072324936588,0.0421068,0.0298546
20,33340,0.2502974472338403,0.28839861034365954,0.036842176644889514,0.25028525026149745,0.0351244,0.2501451
21,35671,0.028408796228975085,-0.20062856859886993,0.05886619607254251,0.026602347050274467,0.0588806,0.0276019
22,38083,0.13952167045292835,-0.06459579344495392,0.21412045059531148,0.13195281089831157,0.2801698,0.1565601
23,38628,0.2509739391940774,0.06345817294500877,0.27891326294326146,0.23886017583918923,0.268577,0.2550674
24,42301,0.2847774598080117,0.18901738960827272,0.041432120719107866,0.2846624699166861,0.0416874,0.2763928
25,45802,0.011520931106922662,0.23398901219367002,0.03865205308212746,0.008029766060031484,0.037938,3.2e-06
26,47171,0.21977770670512495,0.10378324757110365,0.11288611415791551,0.20939067231487407,0.0862406,0.2371771
27,47932,0.6798150777151752,-0.06207005640400267,0.15845331562337764,0.5553859405497673,0.1764128,0.2899287
28,48639,0.23692756291661357,0.4400476489312969,0.03026884117004433,0.23668390702072914,0.0302344,0.2360735
29,49673,0.10213576316566199,0.289029523911184,0.36247496467827545,0.10211266351318404,0.3623249,0.1004504
30,50000,0.0,0.0,0.0,0.0,0.0,0.0
31,52747,0.05583325191258529,0.6523017720353459,0.020153552931013237,0.05526214132189077,0.0204046,0.0561354
32,53311,0.0556167891576049,0.5375145924860631,0.025496659462984433,0.0552516610035756,0.0256262,0.0567946
