,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,megno,lyapunov
17,17.0,6.977329875527846e-06,1604702095555.5295,-0.13214582270120792,1604702095555.5295,0.019678635326150763,0.0,0.0,0.0,0.0
18,18.0,1.6904013056005597e-05,2793849152194807.5,0.03602304443909763,2793849152194807.5,0.3488560542075561,0.0,0.0,0.0,0.0
19,19.0,6.7027781373648605e-06,2338141730724.737,0.21387460007215017,2338141730724.7373,0.12424516466598093,0.0,0.0,0.0,0.0
20,20.0,1.4343555007189842e-05,152446172966626.62,0.015494071197987552,152446172966626.62,0.9570559084823282,0.0,0.0,0.0,0.0
21,21.0,6.001058101880412e-06,68931509631942.47,-0.14777804988799237,68931509631942.48,0.21560810633754382,0.0,0.0,0.0,0.0
22,22.0,1.0478979840549849e-05,3245636764051.3564,0.6021690989295475,3245636764051.357,0.04569199612182106,0.0,0.0,0.0,0.0
23,23.0,8.93670631373182e-06,3099037079102.8027,0.16145176837619193,3099037079102.803,0.16487213466832543,0.0,0.0,0.0,0.0
24,24.0,5.045524430274895e-06,635576465867.7045,0.43747045231115095,635576465867.7047,0.06081747941835843,0.0,0.0,0.0,0.0
25,25.0,1.0016705127567967e-05,30973272317440.945,-0.22720170005129292,30973272317440.945,0.0114419382529231,0.0,0.0,0.0,0.0
26,26.0,8.055648184318616e-06,3017521602849.823,0.3345066880083566,3017521602849.823,0.3173240861070123,0.0,0.0,0.0,0.0
27,27.0,1.0960281921560688e-05,6245119092909.372,-0.018761227396074005,6245119092909.371,0.44585453080694226,0.0,0.0,0.0,0.0
28,28.0,8.611785261407707e-06,10692514868778.56,0.3503062262671345,10692514868778.56,0.12242500287987891,0.0,0.0,0.0,0.0
29,29.0,1.6457144973592225e-05,10260388972320.152,0.3452588735637223,10260388972320.152,0.03049324480442899,0.0,0.0,0.0,0.0
30,30.0,6.4667083198068925e-06,3414149802705.635,0.28909047272083943,3414149802705.6343,0.27376294364446574,0.0,0.0,0.0,0.0
31,31.0,7.241012624293806e-06,1291062192332.6047,-0.11103986600843521,1291062192332.6045,0.10939374094511738,0.0,0.0,0.0,0.0
32,32.0,6.2989029643097414e-06,6390469528099.816,0.2745123469353189,6390469528099.815,0.029395105797660463,0.0,0.0,0.0,0.0
33,33.0,5.81562378228174e-06,912351852884650.8,-0.05198830920203784,912351852884650.8,0.11906413357680333,0.0,0.0,0.0,0.0
34,34.0,9.95524092832208e-06,170314323346.28918,0.1593701627663437,170314323346.28918,0.27664341165776385,0.0,0.0,0.0,0.0
35,35.0,7.746898410484968e-06,169409904797.1493,-0.06853716568831979,169409904797.14932,0.9204017552713828,0.0,0.0,0.0,0.0
36,36.0,7.5570589799517715e-06,1512567279538.6096,-0.1790720972356956,1512567279538.6096,0.03888838607580394,0.0,0.0,0.0,0.0
37,37.0,8.854748157311301e-06,1102415122582.903,0.4824241445298725,1102415122582.9033,0.05548739782380038,0.0,0.0,0.0,0.0
38,38.0,5.5797414398878745e-06,663503592484243.9,0.019546478910617525,663503592484243.9,0.35131586313317714,0.0,0.0,0.0,0.0
39,39.0,5.568351060023576e-06,302361217995922.56,-0.26113519925383427,302361217995922.6,0.41120373893068607,0.0,0.0,0.0,0.0
40,40.0,6.546762043993826e-06,1853696370839.627,0.3079697099080013,1853696370839.627,0.22232040665271666,0.0,0.0,0.0,0.0
41,41.0,6.541408907337503e-06,3331114931039.984,-0.027888048151735068,3331114931039.984,0.17407299657606162,0.0,0.0,0.0,0.0
42,42.0,6.22717732329513e-06,5253284814403.599,0.2697868197921666,5253284814403.6,0.18226776184959548,0.0,0.0,0.0,0.0
43,43.0,8.113802976725081e-06,1335780497186.4045,0.3830659917050078,1335780497186.404,0.12968232063403962,0.0,0.0,0.0,0.0
44,44.0,1.1655014365804988e-05,316050056338802.94,0.19634385658056688,316050056338802.9,0.21152699944147288,0.0,0.0,0.0,0.0
45,45.0,9.726932948667462e-06,4388395223944.745,0.20952192028452243,4388395223944.745,0.02136843664584154,0.0,0.0,0.0,0.0
46,46.0,9.957347035603048e-06,2044525521567.0603,0.29250324466267513,2044525521567.0605,0.2779920838188939,0.0,0.0,0.0,0.0
47,47.0,5.653811027079839e-06,1445991190846760.0,0.24356610141896015,1445991190846759.8,0.2901702725974477,0.0,0.0,0.0,0.0
48,48.0,7.119053255471516e-06,1661049868260.6367,0.156788048699093,1661049868260.6367,0.09838517426627415,0.0,0.0,0.0,0.0
49,49.0,7.619916458819788e-06,902410367635.4988,0.43105641978225373,902410367635.4985,0.08612467626171613,0.0,0.0,0.0,0.0
50,50.0,6.1649967071509034e-06,533533698680.18036,0.23159848957140247,533533698680.18036,0.14539909143134191,0.0,0.0,0.0,0.0
51,51.0,6.181717863398054e-06,20575355701065.883,0.3217192749591573,20575355701065.883,0.1005913514195377,0.0,0.0,0.0,0.0
52,52.0,6.541408907337503e-06,3331114931039.984,-0.027888048151735068,3331114931039.984,0.17407299657606162,0.0,0.0,0.0,0.0
53,53.0,4.956807915794643e-06,464213474522.8741,0.34400810521445424,464213474522.87415,0.06104942326189289,0.0,0.0,0.0,0.0
54,54.0,1.7836075371408564e-05,3653879151490.05,0.03334813070634732,3653879151490.0513,0.317536171697285,0.0,0.0,0.0,0.0
55,55.0,7.384315765207561e-06,132385520629.009,-0.049246544271400836,132385520629.009,0.20467849930954068,0.0,0.0,0.0,0.0
56,56.0,8.152541245605866e-06,7456480760063.597,0.32950685191452894,7456480760063.597,0.07702134085443268,0.0,0.0,0.0,0.0
57,57.0,7.862222767267125e-06,1511143618432.4714,0.31739760138759515,1511143618432.4714,0.2552111672006182,0.0,0.0,0.0,0.0
58,58.0,5.45197857512961e-06,58723515382387.266,-0.008759842002376415,58723515382387.266,0.4574064371982031,0.0,0.0,0.0,0.0
59,59.0,4.956515139271479e-06,2109493945139.8083,0.49020122853402015,2109493945139.8083,0.1046150654034511,0.0,0.0,0.0,0.0
60,60.0,6.784180628479755e-06,884510553632.1184,0.23495421754220921,884510553632.1185,0.2607387195466288,0.0,0.0,0.0,0.0
61,61.0,7.050610808639271e-06,2048189906842.2576,0.26661148877876495,2048189906842.257,0.09475827299172158,0.0,0.0,0.0,0.0
62,62.0,7.708651100612117e-06,753107719434.7223,-0.23148475418769765,753107719434.7223,0.22807049875656912,0.0,0.0,0.0,0.0
63,63.0,6.503994167614317e-06,318571268365.6865,0.010662378350997625,318571268365.6865,0.9033346937418943,0.0,0.0,0.0,0.0
64,64.0,6.498658608584992e-06,544940954361.5059,-0.10051164500692619,544940954361.50604,0.8989240639358246,0.0,0.0,0.0,0.0
65,65.0,9.99475623760374e-06,1146355407710945.8,0.10605599107255262,1146355407710945.8,0.12296496382898876,0.0,0.0,0.0,0.0
66,66.0,5.886015717475372e-06,563690077591331.5,-0.021174828862292796,563690077591331.5,0.21270504578760946,0.0,0.0,0.0,0.0
67,67.0,7.21754805918014e-06,1464369458344.1372,0.16416033782921827,1464369458344.1372,0.20083750178513562,0.0,0.0,0.0,0.0
68,68.0,6.3508111521468756e-06,4113056891210.457,0.29772494860915777,4113056891210.4575,0.10007336357053367,0.0,0.0,0.0,0.0
69,69.0,9.83376028625953e-06,1290856465311.941,0.36668727072921176,1290856465311.941,0.0665938154586409,0.0,0.0,0.0,0.0
70,70.0,5.5017386684434305e-06,36177254058129.42,0.002321460432200727,36177254058129.42,0.8022419123859313,0.0,0.0,0.0,0.0
71,71.0,6.117041895717714e-06,5232798792260.546,0.08333935796580648,5232798792260.546,0.7246101513880319,0.0,0.0,0.0,0.0
72,72.0,6.664974199517809e-06,3903987076320.325,0.9122729668754875,3903987076320.3257,0.029496613262181698,0.0,0.0,0.0,0.0
73,73.0,5.458975968242244e-06,60959416037313.07,0.1545902639697405,60959416037313.07,0.545030941911935,0.0,0.0,0.0,0.0
74,74.0,7.101864749953143e-06,1486694231244.9084,0.19990783799197723,1486694231244.9084,0.13656050917074902,0.0,0.0,0.0,0.0
75,75.0,6.670368514730319e-06,2171910256125.393,0.16392597945557982,2171910256125.393,0.11880900254858034,0.0,0.0,0.0,0.0
76,76.0,8.59926715928176e-06,1578515567192.246,-0.06485743366340478,1578515567192.246,0.010397938035538122,0.0,0.0,0.0,0.0
77,77.0,7.550800806414938e-06,3241061103513.8726,-0.2345855864864876,3241061103513.8726,0.00988294419122414,0.0,0.0,0.0,0.0
78,78.0,7.113317716329846e-06,1606876506103.5913,0.10967172752367498,1606876506103.5913,0.11019661347364937,0.0,0.0,0.0,0.0
79,79.0,6.999786935213227e-06,687918771261.1228,0.12153298538831106,687918771261.1227,0.11533966877564096,0.0,0.0,0.0,0.0
80,80.0,7.727760302030012e-06,418586385632.46643,0.034430782784411605,418586385632.4665,0.41057989883172435,0.0,0.0,0.0,0.0
81,81.0,6.510992241029429e-06,86886905900.52899,0.09308953925041695,86886905900.52899,0.1659971933075874,0.0,0.0,0.0,0.0
82,82.0,7.136296943485781e-06,1463747499653.783,0.5276639700412793,1463747499653.783,0.10514782211248516,0.0,0.0,0.0,0.0
83,83.0,5.441552888454257e-06,44626839281979.84,0.02679792400845055,44626839281979.84,0.29037861195760223,0.0,0.0,0.0,0.0
84,84.0,5.7351510699305004e-06,839022660311247.9,0.11903133483851001,839022660311248.1,0.10381528686039417,0.0,0.0,0.0,0.0
85,85.0,6.7244290740195e-06,4196127628836.3467,0.7335928200706399,4196127628836.3467,0.06262311275506509,0.0,0.0,0.0,0.0
86,86.0,5.190740269950178e-06,4460461866523910.0,0.2191749646264379,4460461866523910.0,0.16976944266352817,0.0,0.0,0.0,0.0
87,87.0,8.02334032767571e-06,4978580984322.929,0.49615686276215043,4978580984322.928,0.07709974812848452,0.0,0.0,0.0,0.0
88,88.0,6.7244290740195e-06,4196127628836.3467,0.7335928200706399,4196127628836.3467,0.06262311275506509,0.0,0.0,0.0,0.0
89,89.0,6.0778563452577e-06,13283126486029.133,0.1780648480587984,13283126486029.135,0.39378365125075415,0.0,0.0,0.0,0.0
90,90.0,5.200074462007871e-06,3942459494225546.0,-0.17220336502805536,3942459494225547.0,0.19034059270945652,0.0,0.0,0.0,0.0
91,91.0,7.945576879670999e-06,15452269102447.908,-0.10688095588197405,15452269102447.908,0.3645021607453185,0.0,0.0,0.0,0.0
92,92.0,7.101864749953143e-06,1486694231244.9084,0.19990783799197723,1486694231244.9084,0.13656050917074902,0.0,0.0,0.0,0.0
93,93.0,6.472025093434683e-06,915849125051.8645,0.12655245115897154,915849125051.8645,0.30456953115792373,0.0,0.0,0.0,0.0
94,94.0,8.862828733753181e-06,1216638025057.6191,0.10444636821392458,1216638025057.6191,0.1384450721113859,0.0,0.0,0.0,0.0
95,95.0,5.135694717108291e-06,2333940280859.7227,0.5944369351705915,2333940280859.7227,0.10196120731636216,0.0,0.0,0.0,0.0
96,96.0,7.43921280100825e-06,1674131494033.051,0.09559588853654737,1674131494033.0513,0.07170656169703009,0.0,0.0,0.0,0.0
97,97.0,6.773291433933484e-06,2036272906898.6704,0.33320471397924634,2036272906898.671,0.13789135453088103,0.0,0.0,0.0,0.0
98,98.0,8.116539189245117e-06,12838472886884.922,0.39868856224781324,12838472886884.922,0.13105200082950746,0.0,0.0,0.0,0.0
99,99.0,6.605761910377878e-06,5328984571995.741,0.52411758828851,5328984571995.742,0.062168890135682615,0.0,0.0,0.0,0.0
100,100.0,6.971728383807921e-06,1447925382920.6523,0.3272866153910214,1447925382920.652,0.02940907413482182,0.0,0.0,0.0,0.0
101,101.0,4.968406797208596e-06,2784647348410.345,0.12569328084804915,2784647348410.3447,0.03180160160362587,0.0,0.0,0.0,0.0
102,102.0,7.941688100113339e-06,41113327285843.02,0.1297887560028269,41113327285843.01,0.11382821267562059,0.0,0.0,0.0,0.0
103,103.0,6.893858574188105e-06,271178860560.87897,0.6562505356662516,271178860560.87897,0.051348490187026065,0.0,0.0,0.0,0.0
104,104.0,5.7941269313979595e-06,443569469152337.94,0.5350713040616609,443569469152337.94,0.07105305402900709,0.0,0.0,0.0,0.0
105,105.0,5.5017386684434305e-06,36177254058129.42,0.002321460432200727,36177254058129.42,0.8022419123859313,0.0,0.0,0.0,0.0
106,106.0,7.538300756381676e-06,1966802721013.4697,0.24965996597713688,1966802721013.4697,0.04602154625694668,0.0,0.0,0.0,0.0
107,107.0,6.2989029643097414e-06,6390469528099.816,0.2745123469353189,6390469528099.815,0.029395105797660463,0.0,0.0,0.0,0.0
108,108.0,6.75276067449613e-06,1749802165137.4348,0.48590425569720797,1749802165137.4348,0.02565454836687828,0.0,0.0,0.0,0.0
109,109.0,7.965242281175165e-06,3010358072271.8555,-0.18269580906597532,3010358072271.855,0.19736069946373141,0.0,0.0,0.0,0.0
