,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,megno,lyapunov
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.6706685287340186e-05,13677546126409.377,0.273995923136903,13677546126409.373,0.18068020335716364,0.0,0.0,0.0,0.0
2,2.0,1.6146674078286107e-05,663450527887566.9,0.1482788130530125,663450527887566.9,0.1837595972794034,0.0,0.0,0.0,0.0
3,3.0,1.6123510968630906e-05,618722162587326.9,0.12000226112961149,618722162587327.0,0.11006396140127528,0.0,0.0,0.0,0.0
4,4.0,1.6706685287340186e-05,13677546126409.377,0.273995923136903,13677546126409.373,0.18068020335716364,0.0,0.0,0.0,0.0
5,5.0,1.108728144371593e-05,14726504393911.934,0.20467209164107183,14726504393911.934,0.03912464387323738,0.0,0.0,0.0,0.0
6,6.0,1.743579847041014e-05,2274408166958.326,0.29880995246582537,2274408166958.326,0.07459473826397728,0.0,0.0,0.0,0.0
7,7.0,1.6951079877089983e-05,1063584792875.1154,-0.28178139577984884,1063584792875.1152,0.012626782020559234,0.0,0.0,0.0,0.0
8,8.0,5.764419244636217e-06,593877803168624.4,0.06823853913917657,593877803168624.4,0.06718136645025975,0.0,0.0,0.0,0.0
9,9.0,1.4318291130357568e-05,348535315428580.5,-0.07831380893139124,348535315428580.44,0.7851400535090725,0.0,0.0,0.0,0.0
10,10.0,1.4628590441810268e-05,4.318439468385753e+16,0.31651020728719204,4.318439468385754e+16,0.07912575385412993,0.0,0.0,0.0,0.0
11,11.0,1.3314021838150742e-05,1012627324850.7921,0.4830174938014375,1012627324850.7922,0.06037563566127807,0.0,0.0,0.0,0.0
12,12.0,1.0252133746019762e-05,725714724915.3953,0.10161525634698665,725714724915.3954,0.15447004592273647,0.0,0.0,0.0,0.0
13,13.0,1.0102213883972813e-05,830407154134.019,0.034309543851642275,830407154134.0192,0.014910357551998482,0.0,0.0,0.0,0.0
14,14.0,6.445478934679821e-06,3026732703387.715,0.19793115636572833,3026732703387.715,0.16475155255550397,0.0,0.0,0.0,0.0
15,15.0,1.6888650568316237e-05,2852154881344915.5,-0.10974191962860351,2852154881344915.5,0.2628536440923191,0.0,0.0,0.0,0.0
16,16.0,1.3690689683897979e-05,9271343097668.703,0.45310213674180333,9271343097668.703,0.06912466490102412,0.0,0.0,0.0,0.0
