,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,err_ecc,err_sinI,ast_ecc,ast_sinI
0,1.0,2.756557359480664,0.12358063464193467,-0.14177359396084246,0.12358063464193467,0.168914200436567,0.0,0.0,0.0,0.0
1,2.0,2.7705759321250167,0.2786146688863796,-0.15207981780191165,0.2786146688863796,0.5451764001756175,0.0,0.0,0.0,0.0
2,3.0,2.661471449049752,0.23555974976823363,0.25048891674967,0.23555974976823363,0.23015761720214642,0.0,0.0,0.0,0.0
3,4.0,2.361834827816422,0.10445568635807403,0.10550436669495286,0.10445568635807403,0.11332325354995268,0.0,0.0,0.0,0.0
4,5.0,2.573537279397679,0.2015240921996786,-0.4402860727843658,0.20152409219967865,0.08169296366581104,0.0,0.0,0.0,0.0
5,6.0,2.4236148669548685,0.16163058647275555,0.35097817127489694,0.16163058647275555,0.24880785213258053,0.0,0.0,0.0,0.0
6,7.0,2.3878059877796654,0.21502799202151118,0.14462967343024938,0.21502799202151124,0.1148989701324568,0.0,0.0,0.0,0.0
7,8.0,2.195833349367452,0.15489402679425626,-0.12474151707628056,0.15489402679425632,0.10157448010844665,0.0,0.0,0.0,0.0
8,9.0,2.3839699698242516,0.13153170323961635,-0.3999835945630504,0.13153170323961638,0.08465837237761256,0.0,0.0,0.0,0.0
9,10.0,3.153212039534443,0.15561759658843605,-0.38047401202430364,0.15561759658843605,0.09115987578997921,0.0,0.0,0.0,0.0
10,11.0,2.44968360235805,0.07616674558225578,-0.3598928907787708,0.07616674558225578,0.0712296027062121,0.0,0.0,0.0,0.0
11,12.0,2.330629351747335,0.17728144846131344,-0.0182460888393195,0.17728144846131347,0.16391509978493582,0.0,0.0,0.0,0.0
12,13.0,2.5780752591885903,0.13588293850351593,-0.15481243065215478,0.13588293850351596,0.2771277368982037,0.0,0.0,0.0,0.0
13,14.0,2.588032002849214,0.20308190005217483,0.3355056088857363,0.20308190005217486,0.14698986705742836,0.0,0.0,0.0,0.0
14,15.0,2.6339124625020696,0.1500793547614498,0.23353375051606484,0.15007935476144982,0.22746318753761974,0.0,0.0,0.0,0.0
15,16.0,2.908444635897221,0.11348606016381309,0.2892378959519417,0.11348606016381309,0.0429446934459328,0.0,0.0,0.0,0.0
16,17.0,2.4652367051357196,0.14146141479205868,-0.39194884398658064,0.14146141479205868,0.08770979940832639,0.0,0.0,0.0,0.0
17,18.0,2.2889895775853297,0.18568780549928132,-0.17328002300406842,0.18568780549928132,0.1716956957740263,0.0,0.0,0.0,0.0
18,19.0,2.4374199658836706,0.13645999947711934,0.22395673964059618,0.13645999947711934,0.04520702754876679,0.0,0.0,0.0,0.0
19,20.0,2.410720627434855,0.16561547763024562,0.5451963830275355,0.16561547763024562,0.03572485902304229,0.0,0.0,0.0,0.0
20,21.0,2.4340812531079434,0.1301592323144913,0.25703250358066393,0.1301592323144913,0.044144167667650495,0.0,0.0,0.0,0.0
21,22.0,2.899074395648723,0.09423504076797633,0.04683451099376776,0.09423504076797633,0.21893574937519836,0.0,0.0,0.0,0.0
