,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,ecc_diff
984,2014 BV64,0.1471122012828821,-0.4442716771193251,0.2911794658617282,0.1471068243210657,0.2911787,0.1473796,7.658617282024771e-07
829,2011 UZ410,0.1219375141306149,-0.2712993641462673,0.0958066004062912,0.1219371184207491,0.0958076,0.1218558,9.995937088058682e-07
499,2003 HE57,0.1022663912284289,0.2757594612632326,0.1501186835223145,0.1022652230845556,0.1501175,0.1025233,1.1835223145129081e-06
633,2004 VV130,0.179280492173476,-0.3589347722180289,0.3923888770232117,0.1792796606718438,0.3923902,0.1797482,1.3229767883427002e-06
28,48639,0.2370608488898595,0.4425105392746347,0.0302320247254885,0.2370031079143559,0.0302344,0.2360735,2.375274511502712e-06
994,2014 DK143,0.161054476773247,-0.2630354419730553,0.172430150154395,0.1610514613281177,0.1724276,0.1612972,2.5501543950146033e-06
770,2010 VQ11,0.1441845235858256,0.2579234983651937,0.2262466209425392,0.1441626932748204,0.2262494,0.1436863,2.779057460794432e-06
283,1999 CL119,0.0079424243556133,0.0689038486488595,0.3715794160108186,0.0079421815519525,0.3715829,0.0064794,3.4839891813742696e-06
845,2012 HG84,0.0879355227618162,0.035436786125113,0.2174471060252617,0.0879053544599621,0.2174507,0.0875701,3.5939747382862652e-06
592,2004 KH19,0.1174511470344159,-0.456850889645039,0.5915525263948688,0.1167462395693348,0.591557,0.1186463,4.4736051312277425e-06
577,2004 HH79,0.0580333777641094,-0.25705799372855,0.1728711280299301,0.0580316025013023,0.1728665,0.0578286,4.628029930092703e-06
408,2001 KO77,0.1527791185222831,0.0064943828624649,0.3730067443181471,0.152749359766067,0.3730115,0.1528636,4.755681852874893e-06
181,427614,0.0522929423475585,-0.119374794189837,0.3783277660186648,0.0522868527852009,0.378334,0.0530139,6.233981335201921e-06
894,2013 GG138,0.0864816775589075,0.099776712489645,0.4264525425815804,0.0864804702059278,0.426445,0.0290646,7.54258158036647e-06
802,2011 UJ412,0.0330106560094408,-0.4093661466969731,0.4898930484074072,0.0329577517122459,0.4898836,0.0331812,9.448407407242065e-06
919,2013 GZ137,0.0473442614120779,0.0120972798459944,0.3733494134408304,0.0473425602876444,0.3733595,0.0473699,1.0086559169619758e-05
67,118228,0.1090063061286339,0.3417659531544658,0.2553555676210516,0.1090059147407026,0.2553659,0.1090213,1.0332378948374465e-05
229,471921,0.0766724663480503,-0.3501372858988644,0.2840294294332351,0.0766477851348623,0.2840403,0.0769985,1.087056676490894e-05
777,2011 CX119,0.1363831526318812,-0.1784925609090384,0.4791823630489372,0.1363350111133673,0.4791954,0.1362916,1.303695106280589e-05
836,2012 CS57,0.0309732667000277,-0.2228609729399714,0.278034138280693,0.0309665906491562,0.2780487,0.0302881,1.4561719306971366e-05
811,2011 UN412,0.0529332912495847,0.1068842953078183,0.3693026165373989,0.0529294406444075,0.3692877,0.0541075,1.4916537398879104e-05
835,2012 BY154,0.1745150756926458,0.3917500823815593,0.1254833263823417,0.1745129875374033,0.1254987,0.1742801,1.537361765829859e-05
256,1998 FS144,0.0334925468832876,-0.2623237631223264,0.2002155045090458,0.0334911232669123,0.2002001,0.0334727,1.540450904580215e-05
