,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,ecc_diff
26,47171,0.220544672516732,0.0864323449795107,0.1114682388725932,0.2205368016265289,0.0862406,0.2371771,0.025227638872593203
882,2013 FZ27,0.270487989447115,-0.0391205823864552,0.2399949625558907,0.2700931987406079,0.2658345,0.1960171,0.025839537444109273
1078,2014 QM441,0.2347281868462317,-0.0774161020688152,0.3143025577969657,0.2342209704803453,0.2881852,0.2704375,0.026117357796965723
909,2013 GT136,0.1477383291398799,-0.0253058964934931,0.1404780101848353,0.1477272697190196,0.1667955,0.1300628,0.026317489815164713
847,2012 HZ84,0.2088259886975688,0.0297171480827336,0.1585754974694732,0.2087740653289734,0.1322527,0.2004354,0.02632279746947319
767,2010 TT191,0.8277050685565887,0.181273237926793,0.1176646592265077,0.4095639342573214,0.0909811,0.0681444,0.02668355922650771
819,2011 UT412,0.1770674956723674,-0.2726689394212446,0.29781724855317,0.1748265886433461,0.3247227,0.1736855,0.026905451446829987
878,2013 FD28,0.372005284229793,-0.0019207119124416,0.167145064201523,0.3691687356856829,0.1398512,0.1724122,0.027293864201522994
374,2000 ST331,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0478162,0.0809923,0.027461416458956
1055,2014 MD70,0.2476376445568212,0.2542059675306529,0.1482422193295257,0.2475928285045483,0.1757778,0.2562127,0.02753558067047432
1044,2014 KX101,0.2202095193130581,0.0238008371589167,0.0900626282008384,0.2202029118869728,0.0618144,0.2341546,0.028248228200838395
832,2011 VJ24,0.3132751964599997,0.0394215452670196,0.1799593117230376,0.3081002304935503,0.1516964,0.1838519,0.028262911723037604
72,119069,0.8435039139104399,0.6567999725347977,0.0512289326576219,0.2865834886851013,0.0228824,0.2447353,0.0283465326576219
971,2013 TM159,0.1884914061819261,-0.0245030457385823,0.1609787975823393,0.1883681078526519,0.132175,0.1650286,0.028803797582339308
148,307463,0.9408238842894358,-0.0818646017570387,0.0277831964554427,0.1852322265906006,0.0568142,0.2155614,0.0290310035445573
77,119979,0.2593809904701142,0.4756636140555675,0.1323628947393076,0.2593469922851121,0.1614408,0.2204738,0.0290779052606924
727,2008 LC18,0.6104521353796739,0.0789148539255374,0.4682237774585156,0.5855367943886182,0.4382791,0.0814907,0.029944677458515645
120,168703,0.0717632681064941,0.0903087172268463,0.2117773628235389,0.0717629751664292,0.1808538,0.0865191,0.03092356282353889
658,2005 GC187,0.1165299720117687,0.3793372113569404,0.0333083229203732,0.1165187450014692,0.0643483,0.1261,0.031039977079626795
303,1999 KR18,0.1709586758893226,0.0332571419596036,0.1155233060145176,0.1709566741067913,0.0841946,0.1867628,0.03132870601451761
235,486958,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0438023,0.0392222,0.031475316458956
85,126719,0.2177410559707944,-0.1275008361979104,0.0824290005481904,0.2177345644508568,0.0509376,0.1895627,0.0314914005481904
315,1999 RR215,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.042145,0.1016231,0.033132616458956
205,469420,0.1819043290713766,-0.0613748442104755,0.1244993049168045,0.1817634359825319,0.157874,0.1584099,0.03337469508319549
742,2010 JK124,0.3667528647195126,-0.1586804195775596,0.2596733976085141,0.3635430758209755,0.2954954,0.0433475,0.03582200239148592
288,1999 CP153,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0390663,0.082193,0.036211316458956005
339,2000 FB8,0.8218307906886185,0.0315755449356577,0.0590311532859418,0.3144779384007322,0.0952681,0.2920878,0.036236946714058194
290,1999 CS153,1655288311592509.2,0.247720195445151,0.075277616458956,1543378560755245.5,0.0381005,0.0365664,0.037177116458956
791,2011 UC411,0.7996627776078303,-0.5932550459935501,0.0812030172213007,0.3809587604940079,0.1196853,0.2662185,0.03848228277869929
921,2013 HS156,0.1649900104500285,0.1382290998634145,0.1126121830581451,0.1649850051915189,0.1514642,0.1915022,0.03885201694185489
793,2011 UD411,0.6904225264757469,-0.2051811169256439,0.2964777181917627,0.6639359449727522,0.2571653,0.2727586,0.03931241819176273
