Name,mag.,a,(AU),e,sinI,n(deg/yr),g("/y),s("/yr),LCEx1E6,My
15760,7.10,43.9801085,0.0703557,0.0439968,1.237778,0.417884,-0.420035,0.03,100
15789,6.95,39.4583336,0.1841545,0.1019159,1.456473,-0.916329,-0.390075,0.08,100
15807,7.35,43.7982074,0.0729767,0.0330139,1.245505,0.501449,-0.436492,0.35,100
15809,7.64,42.3286792,0.2202312,0.2244278,1.310848,-0.486295,-0.316855,0.50,100
15810,7.71,39.4609541,0.1247105,0.0599178,1.456372,-2.008044,-0.485656,0.01,100
15836,7.59,36.4850721,0.0712616,0.0857137,1.638183,-6.400105,-0.869331,0.03,100
15883,7.14,47.1023382,0.2123627,0.3064037,1.116726,0.207115,-0.271751,1.93,100
16684,6.86,44.1295347,0.0403445,0.0556696,1.231492,0.393850,-0.397124,0.03,100
19255,6.94,42.8468011,0.0332889,0.0133359,1.287220,0.477728,-0.477039,0.04,100
19299,8.28,39.4576822,0.2293789,0.1308766,1.456514,-0.479404,-0.384722,0.28,100
19308,4.66,43.3470702,0.1164404,0.4685573,1.264898,0.084361,-0.249015,0.81,100
19521,4.85,45.7846448,0.1035607,0.1897161,1.165285,0.268287,-0.308323,1.58,100
20000,3.67,43.0090479,0.0525251,0.2670400,1.279897,0.258822,-0.359674,-0.01,100
20108,7.69,39.4582429,0.1381907,0.3387908,1.456420,-1.493971,-0.313865,0.19,100
24835,4.65,41.8466857,0.1006012,0.4506077,1.333545,0.131441,-0.293936,1.46,100
24952,7.59,39.4566387,0.2458104,0.2747398,1.456526,-0.345267,-0.345313,0.09,100
24978,7.28,43.3707421,0.0496143,0.0248050,1.263961,0.451568,-0.448752,0.03,100
28978,3.72,39.4562475,0.2493457,0.3062277,1.456528,-0.327086,-0.327220,0.37,100
32929,7.34,39.4583436,0.2573961,0.0979190,1.456544,-0.149577,-0.463025,1.18,100
33001,6.33,43.5040880,0.0298546,0.0421068,1.258150,0.431678,-0.431348,0.03,100
33340,6.38,39.4576060,0.2501451,0.0351244,1.456531,-0.297505,-0.394088,0.48,100
35671,5.65,37.9355266,0.0276019,0.0588806,1.545216,1.175579,-1.125613,0.08,100
