,h_j_max,k_j_max,p_j_max,q_j_max,h_s_max,k_s_max,p_s_max,q_s_max,h_u_max,k_u_max,p_u_max,q_u_max,h_n_max,k_n_max,p_n_max,q_n_max,h_j_freq,k_j_freq,p_j_freq,q_j_freq,h_s_freq,k_s_freq,p_s_freq,q_s_freq,h_u_freq,k_u_freq,p_u_freq,q_u_freq,h_n_freq,k_n_freq,p_n_freq,q_n_freq
0,10187.543944424358,10202.600607414219,117.08882942575913,119.64650379663972,380.28526654845007,379.86685765357595,65.18716828151982,65.20330030694453,459.8948673938177,460.02952712510387,162.54137298090257,162.5676254579876,328.55293922339564,328.17691684629284,221.61500923526185,221.66261747797301,5.1947922083108424e-05,5.1947922083108424e-05,8.30266789328295e-05,8.30266789328295e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1739130434779158e-05,2.1739130434779158e-05,2.0319187232507472e-05,2.0319187232507472e-05,3.259869605215274e-06,3.259869605215274e-06,2.299908003679488e-06,2.299908003679488e-06
1,10276.42580406218,10270.02283177587,151.0320364936334,146.93482379973486,364.52187522863034,364.78505784404075,67.79165854480894,67.80602225432885,411.91740458193766,412.43773807737784,169.02258321378346,169.06860599116706,313.75366122926636,313.919761081679,221.51789944888205,221.5858141594155,5.1967921283140426e-05,5.1967921283140426e-05,8.535658573655698e-05,8.535658573655698e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1789128434859147e-05,2.1789128434859147e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
2,8530.151851324059,8492.809009010596,118.64872489928311,120.30816815893178,352.05880096769636,351.72852468740973,56.9639447650482,56.969924283010194,557.9695522807306,557.9070334944496,142.02306511825236,142.0512739157231,316.65705393236624,316.8411444197051,222.07975169425578,222.14403036308835,5.229790808366835e-05,5.229790808366835e-05,8.478660853564512e-05,8.478660853564512e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
3,9343.418339292433,9346.204028339129,148.76322376839582,149.72541026804532,356.1955724143748,356.48286074500993,59.71107748218242,59.71600171571058,495.0086580867076,495.13166600506577,148.87187680788062,148.89877285532492,317.63878387546885,317.8131945733823,222.07467957000944,222.1377816981225,5.367785288587604e-05,5.367785288587604e-05,8.590656373743686e-05,8.590656373743686e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
4,10215.452510931955,10203.008550637835,113.04427296859663,119.97991389657649,363.20854307232327,363.4448809966357,59.65455725409959,59.6594827732085,591.0413939595796,591.012381128114,148.73034574834634,148.75740581112723,316.46940573514536,316.6371922973449,221.67626578233953,221.72867415383945,5.4517819287219854e-05,5.4517819287219854e-05,8.66565337386367e-05,8.66565337386367e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1789128434859147e-05,2.1789128434859147e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
5,7607.747352221135,7616.171744140227,123.46373654184825,123.97762568696466,351.99760166530314,352.323025432316,52.41674558212616,52.42361806559119,551.6712167219762,551.6065536852946,130.6826770851654,130.71596934865858,317.69227650388154,317.8684310057886,221.79678313545847,221.84240780883627,5.372785088595603e-05,5.372785088595603e-05,8.558657653692493e-05,8.558657653692493e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
6,6959.653426299635,6964.611904301946,132.00876697803665,128.68441880890546,355.1308145082761,354.7976380735662,55.302228908139604,55.32226120738261,553.7047770661104,553.6452422423332,137.89128173987004,137.92698334393427,313.2835237713821,313.4719350246757,222.08536162431946,222.14861503807046,5.332786688531612e-05,5.332786688531612e-05,8.48666053357731e-05,8.48666053357731e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.176912923482715e-05,2.176912923482715e-05,2.0319187232507472e-05,2.0319187232507472e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
7,8337.626009523312,8330.756664400318,112.65644480178818,113.02448375049372,369.7527089981689,369.9909802063183,62.2131786831709,62.218239812027655,574.9878243649516,574.9308288659,155.11007142145576,155.13665756798724,317.54665114168125,317.8452270848207,221.21032517145326,221.24494103391575,5.5517779288819636e-05,5.5517779288819636e-05,8.757649694010849e-05,8.757649694010849e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1799128034875144e-05,2.1799128034875144e-05,2.0309187632491475e-05,2.0309187632491475e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.299908003679488e-06,2.299908003679488e-06
8,7522.980643736732,7498.505865392265,136.74095175497322,134.7212520749781,362.54049225293494,362.1698569856532,62.81270084705567,62.817874899883925,455.76040940812317,455.6494474488186,156.60642358915052,156.6330845796775,319.11341273834796,319.31475942220374,221.8759094256727,221.92415161141392,4.9888004479812884e-05,4.9888004479812884e-05,8.333666653332543e-05,8.333666653332543e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
9,10333.591795998087,10336.235126192625,141.3241478429345,144.45880422382237,363.27727178368633,363.52947817599534,54.38833737577252,54.39431479979387,599.0031993359527,598.9584613259478,135.59773033463205,135.62891088078993,317.90559334756244,318.05971911239084,220.68991813027282,220.71215430115515,5.572777088915559e-05,5.572777088915559e-05,8.724651013958056e-05,8.724651013958056e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1789128434859147e-05,2.1789128434859147e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
10,10750.84746562102,10750.165492495196,101.90712177329887,99.18164385948215,356.88230822795015,357.1692067014987,54.43394140243126,54.44002402222133,489.03728248049066,489.1619481050012,135.71241054708264,135.7434598164822,320.39331477693867,320.5537600599993,221.67840385929915,221.72760688004388,5.4107835686563944e-05,5.4107835686563944e-05,8.603655853764483e-05,8.603655853764483e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
11,8954.550835206575,7217.785652646808,149.51468186822348,81.49436539016138,378.7658601671049,378.35068946459427,63.45066013822292,63.48714915069227,454.1190486414073,453.88883119307775,158.2432281123019,158.25590181148502,327.237424027715,326.8732499753523,221.91353281069792,221.96344031716654,5.16179352825805e-05,5.16179352825805e-05,8.293668253268553e-05,8.292668293266952e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1749130034795155e-05,2.1749130034795155e-05,2.0319187232507472e-05,2.0319187232507472e-05,3.259869605215274e-06,3.259869605215274e-06,2.299908003679488e-06,2.299908003679488e-06
12,10750.84746562102,10750.165492495196,101.90712177329887,99.18164385948215,356.88230822795015,357.1692067014987,54.43394140243126,54.44002402222133,489.03728248049066,489.1619481050012,135.71241054708264,135.7434598164822,320.39331477693867,320.5537600599993,221.67840385929915,221.72760688004388,5.4107835686563944e-05,5.4107835686563944e-05,8.603655853764483e-05,8.603655853764483e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
13,10683.280565016428,10681.646075483544,144.29591812041699,143.29237081742394,361.78055255214787,362.02533008804346,60.48163426592233,60.48665148730192,601.5500939607966,601.4937634452693,150.79320424935685,150.81987277038607,317.9317098273139,318.0864331704635,221.94574371627073,222.00747073549874,5.363785448581205e-05,5.363785448581205e-05,8.608655653772483e-05,8.608655653772483e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1789128434859147e-05,2.1789128434859147e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
14,6990.836648973418,6966.346503630254,123.9816918762652,127.52003247388777,351.5022057284601,351.758437117706,54.11447608544448,54.1207631112837,550.5362345547962,550.4743721847334,134.91638325878455,134.94784287272566,317.6653003272426,317.85123905682633,221.99977354051111,222.0538489217111,5.316787328506016e-05,5.316787328506016e-05,8.526658933641301e-05,8.526658933641301e-05,3.259869605215274e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
15,10589.215067705858,10601.485361153866,132.95093365255377,131.94393451886185,355.01643582857844,354.66970913318244,58.95478278711552,58.96034842146407,419.52869361872956,419.39281809442446,146.9876574349845,147.0145605478978,316.24564748467776,316.4366344484774,221.76787604161086,221.83511149846456,5.108795648173262e-05,5.108795648173262e-05,8.39966401343813e-05,8.39966401343813e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
16,8862.207256582165,8860.136941822597,147.96630369140516,144.59140795941346,356.81336082081754,356.50235386951437,59.861736735179115,59.87934980816832,533.4052001772341,533.478049707941,149.26049227163912,149.29096609754038,311.63623617092844,311.839658375315,221.96702085084613,222.0424485354102,5.368785248589204e-05,5.368785248589204e-05,8.48366065357251e-05,8.48366065357251e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1759129634811152e-05,2.1759129634811152e-05,2.0319187232507472e-05,2.0319187232507472e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
17,10866.239574486139,10912.399617941563,104.99297525974215,106.07617859107465,384.67131859823627,384.2407714802004,66.72947589875649,66.74490477648784,591.4163254521422,591.3498842529378,166.38665055171379,166.41292380335346,332.3584359523919,331.9838944975273,221.7874441596101,221.82874356586711,5.143794248229254e-05,5.143794248229254e-05,2.0319187232507472e-05,2.0319187232507472e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1739130434779158e-05,2.1739130434779158e-05,2.0319187232507472e-05,2.0319187232507472e-05,3.259869605215274e-06,3.259869605215274e-06,2.299908003679488e-06,2.299908003679488e-06
18,10812.468237095482,10811.451818919079,105.53465246676103,104.6548257985532,363.28100387810844,362.9202806471002,55.21433856213895,55.234935210916106,472.53037655504653,472.6641792278138,137.67332523435397,137.7084675901442,319.8149263829783,320.020258560787,221.77979205868274,221.83184257134482,5.294788208470821e-05,5.294788208470821e-05,8.451661933521318e-05,8.451661933521318e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1759129634811152e-05,2.1759129634811152e-05,2.0319187232507472e-05,2.0319187232507472e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
19,10430.6743721841,10433.068914935311,96.91011595204232,99.49137208362666,361.35836881825253,360.99399610481805,54.85665598669147,54.86339725037899,555.856108456008,555.7959545390671,136.76904700412086,136.79932742303532,316.03590968593545,316.2506984855356,221.72441569572823,221.79145451242306,5.065797368104471e-05,5.065797368104471e-05,8.339666413342142e-05,8.339666413342142e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.176912923482715e-05,2.176912923482715e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
20,10425.828049636159,10416.78161707561,131.47807382959223,142.86499969378252,352.4586931840877,352.75630423357467,56.28291551780065,56.28894432663073,595.9063199489755,595.8524241613047,140.32432617725811,140.35343561939473,315.9476370354872,316.1389097215685,222.05918594978684,222.12288493435625,5.283788648453223e-05,5.283788648453223e-05,8.515659373623702e-05,8.515659373623702e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
21,10212.61283072753,10215.592179790814,111.67646090397068,111.28575060861787,358.70688170580587,358.3894703801685,54.91264659252103,54.919251232204594,598.9382824997482,598.8800293822438,136.90872322775346,136.9388802392532,317.0792916473826,317.28547903853126,221.9312283993472,222.00596918882275,5.1277948882036574e-05,5.1277948882036574e-05,8.386664533417332e-05,8.386664533417332e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.176912923482715e-05,2.176912923482715e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
22,10843.801308026072,10872.722058286941,152.77389396834357,143.4154659882124,355.62154639766595,355.2903636373949,55.67712067830534,55.68214152284398,462.7085965411578,462.8499108612889,138.81601484330645,138.83896496582543,316.6107749102978,316.7987935333898,222.07466378652865,222.14503527148477,5.180792768288446e-05,5.180792768288446e-05,8.432662693490921e-05,8.432662693490921e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.176912923482715e-05,2.176912923482715e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
23,10844.884200894656,10835.926079969913,151.5524058674711,151.3887804044937,369.8753471010758,370.1044086754286,62.45635270473906,62.46147340788049,579.301076430967,579.247478505865,155.71642866465723,155.7430695814907,317.65809992241174,317.9647955996953,221.2411956095855,221.27716061529333,5.548778048877164e-05,5.548778048877164e-05,8.75664973400925e-05,8.75664973400925e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.1799128034875144e-05,2.1799128034875144e-05,2.0309187632491475e-05,2.0309187632491475e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.299908003679488e-06,2.299908003679488e-06
24,9671.02344697366,9641.141575110314,141.98862569397144,139.62560257901043,352.9511115600626,353.2430380562919,56.36355900651087,56.36960328232428,602.1387742192464,602.075377129208,140.52546719337934,140.55435559882713,316.4774521244705,316.6579732971491,222.05112772559912,222.115717047875,5.29678812847402e-05,5.29678812847402e-05,8.5256589736397e-05,8.5256589736397e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
25,8491.307055472726,8491.53869171281,148.57323969316673,147.06368246987432,360.9208351211125,360.56628327744903,51.90946304978143,51.93139363411515,452.32463515256245,452.47243134595755,129.431572255252,129.4719989766712,311.9662842310457,311.5728934087361,221.71705138417408,221.7906062328324,5.1137954481812606e-05,5.1137954481812606e-05,8.343666253348541e-05,8.343666253348541e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1759129634811152e-05,2.1759129634811152e-05,2.0319187232507472e-05,2.0319187232507472e-05,3.259869605215274e-06,3.259869605215274e-06,2.299908003679488e-06,2.299908003679488e-06
26,6956.846052975647,6941.837673665448,113.81055588721439,114.92918271695402,352.47824381037225,352.7793237230296,56.23801002494587,56.243420477751144,597.0269758374661,596.9672492195465,140.2113808166668,140.24086423612817,316.3234591322253,316.51653234247027,222.05719933166057,222.1207668337141,5.287788488459622e-05,5.2887884484612217e-05,8.518659253628502e-05,8.518659253628502e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
27,10496.095475305385,10498.104636159649,122.42698277945665,120.88576502561821,372.6140837875023,372.2489038661463,63.828042039601435,63.84495915213739,560.2623962537582,560.2758353573405,159.15277339680352,159.17927777105794,322.5632918320069,322.8020774597775,220.91083459729276,220.94092666573943,5.3247870085188137e-05,5.3247870085188137e-05,8.413663453460526e-05,8.413663453460526e-05,3.259869605215274e-06,3.259869605215274e-06,2.0319187232507472e-05,2.0319187232507472e-05,2.1749130034795155e-05,2.1749130034795155e-05,2.0319187232507472e-05,2.0319187232507472e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
28,8258.092190078823,8423.939727907575,93.98539786458949,93.56424190679974,352.7439734786785,352.4007841790259,55.93972295606525,55.94745504511238,523.0477318008419,522.9760787676155,139.47125596426275,139.499539629178,317.83583618044247,318.0271493292366,222.09730112742304,222.1572293914331,5.2577896884116286e-05,5.2577896884116286e-05,8.491660333585308e-05,8.491660333585308e-05,3.259869605215274e-06,3.259869605215274e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
29,9538.328311943915,9557.85270623782,150.00371105049376,152.5812711366241,351.4744073779166,351.8013367605022,54.55408402825622,54.56011546751337,557.5432575010096,557.4840136288822,136.01242005498221,136.0436616150365,317.51762570843977,317.71031046139,222.02752289862602,222.083501925755,5.306787728490018e-05,5.306787728490018e-05,8.521659133633301e-05,8.521659133633301e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
30,7299.686804986399,8879.25138837053,138.98457503923842,168.38205106701045,356.04577028201624,356.43972641964666,52.12811832505548,52.13062691036449,601.6514666171996,601.5805693716036,129.97247035455598,129.98700622056637,310.22194389796397,310.5037259183168,221.98746022581471,222.05670639751736,5.261789528418028e-05,5.260789568416428e-05,8.490660373583708e-05,8.490660373583708e-05,3.2698692052312716e-06,3.2698692052312716e-06,2.0309187632491475e-05,2.0309187632491475e-05,2.177912883484315e-05,2.177912883484315e-05,2.0309187632491475e-05,2.0309187632491475e-05,2.369905203791472e-06,2.369905203791472e-06,2.299908003679488e-06,2.299908003679488e-06
