,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,megno,lyapunov
874,2013 EJ154,0.117730566743334,-0.3501533438840486,0.11773025906131611,0.20068833281632223,0.11754489999999998,0.1998373,0.0,0.0
875,2013 EM149,0.05608158596073389,-0.02303116842312446,0.05608151651117227,0.054241153398048414,0.0561465,0.04861819999999999,0.0,0.0
876,2013 FA28,0.03843677507096481,-0.10091889493355832,0.03843671743966851,0.05711140781895474,0.038091900000000005,0.0531364,0.0,0.0
877,2013 FB28,0.06525321459170297,-0.4377809994219558,0.06525316660050727,0.29090661430818093,0.0649323,0.2903353,0.0,0.0
878,2013 FD28,0.12446584360979195,0.027529039303395994,0.12446413105696698,0.1622514174428761,0.17241220000000002,0.1398512,0.0,0.0
879,2013 FH28,0.13710590161426994,0.4168434710022943,0.1371058105918684,0.2470288511015447,0.1359124,0.2470058,0.0,0.0
880,2013 FQ28,0.2788622643274217,0.42946329445557985,0.27886113771985477,0.44373041366895605,0.2776838,0.44308059999999994,0.0,0.0
881,2013 FR28,0.24127086404461878,0.12582195678831223,0.24127021020330366,0.04852977121028202,0.2438237,0.021209099999999998,0.0,0.0
882,2013 FZ27,0.29341273569614085,0.10124926071905803,0.2934078826292367,0.16879212981203037,0.1960171,0.2658345,0.0,0.0
883,2013 GA138,0.035445667416214424,0.24342267193490721,0.035445663141541565,0.044826748747654105,0.035856400000000004,0.03886130000000001,0.0,0.0
884,2013 GB138,0.05297946942854159,-0.2868464640341109,0.05297906961130084,0.06583906727082976,0.0529891,0.0617627,0.0,0.0
885,2013 GC137,0.04067197555154967,0.41625169996533556,0.04067197493108159,0.03931010961500281,0.041285300000000004,0.0303093,0.0,0.0
886,2013 GC138,0.05699941225411072,0.4567715771537652,0.05699921932474837,0.03887347080011481,0.056826999999999996,0.0273144,0.0,0.0
887,2013 GD137,0.10834338506602197,0.4175908743769473,0.10834329827209951,0.14055950577787205,0.1084511,0.1385125,0.0,0.0
888,2013 GD138,0.10554410258541418,-0.20202522998215972,0.10554388505966533,0.06277842750668948,0.1000814,0.0488533,0.0,0.0
889,2013 GE137,0.2608193489870818,-0.17857063310290788,0.26081831282512774,0.06015374920065659,0.2601417,0.058950199999999994,0.0,0.0
890,2013 GE138,0.06164426791696663,0.019122379537214157,0.0616442605872402,0.052572837204243876,0.0631249,0.0487082,0.0,0.0
891,2013 GF137,0.15410165216779897,0.44146266148902613,0.154101252551923,0.24121966242330126,0.155229,0.23905839999999998,0.0,0.0
892,2013 GF138,0.024033939499742356,0.4064872408655987,0.024033903648106356,0.03915269073123366,0.023894099999999998,0.031262200000000004,0.0,0.0
893,2013 GG137,0.13950762416919588,0.8316679082629108,0.1395075799355191,0.029694788421075265,0.1403053,0.0108819,0.0,0.0
