,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2452740.0,-29.44387627311452,-13.441479060100102,0.8467549348580876,0.5664691317285487,-1.0417155507219031,0.17792456661774667
1,1.0,2452740.0,-29.441441361696505,-13.440436280451916,0.8466811892173789,0.5663927383601236,-1.0416418508441139,0.1779028067945843
2,1.0,2452740.0,-29.444083247770905,-13.441555971501234,0.8467896036380933,0.5664619864255105,-1.0417226421804078,0.1779154236674821
3,1.0,2452740.0,-29.44350049688671,-13.441350760168326,0.8467434698627525,0.5664087987530164,-1.0417258915206387,0.17792784102222942
4,1.0,2452740.0,-29.445827960484596,-13.442345360477779,0.846841303140113,0.5665255607111854,-1.041771363067371,0.17793633900747255
5,1.0,2452740.0,-29.446325761500653,-13.44261677647744,0.8467988683818657,0.566514483533427,-1.0418234166487088,0.17794282279609674
6,1.0,2452740.0,-29.44332629932814,-13.44114703136938,0.846701073292407,0.5665093290806799,-1.0416500988317408,0.17791626080386505
7,1.0,2452740.0,-29.446108190424184,-13.442504072667482,0.8468244169596564,0.5665425862512082,-1.0417941555464567,0.1779382357216898
8,1.0,2452740.0,-29.443285826103985,-13.441240594940808,0.846726347355474,0.5664258156555357,-1.0417148053280547,0.17792276828152942
9,1.0,2452740.0,-29.4449757702681,-13.442000304447685,0.8468033899137499,0.5664857994371654,-1.041765156699715,0.17794283090166876
10,1.0,2452740.0,-29.441846345037447,-13.440579074693357,0.8466675867071698,0.5664302729669861,-1.0416377148553415,0.17792503693416206
11,1.0,2452740.0,-29.443229845456024,-13.441250902374707,0.8467098418102799,0.5664393090947832,-1.041704754888762,0.17791672898065647
12,1.0,2452740.0,-29.446511178003867,-13.442657588263701,0.8468088993265901,0.5665412987242,-1.0418088613745788,0.17793672320776285
13,1.0,2452740.0,-29.439915537307378,-13.439836382313704,0.846683791139522,0.566303906994557,-1.041614024019516,0.17790341818301697
14,1.0,2452740.0,-29.442551958644476,-13.440930637249986,0.8466826075893208,0.5664237949100644,-1.0416723511245891,0.17791352202840435
15,1.0,2452740.0,-29.44283481055833,-13.440947204612728,0.8466493940212816,0.566475028129419,-1.041655483654569,0.17792216865967564
16,1.0,2452740.0,-29.444317263877803,-13.44169655551559,0.8468502068508619,0.5665124767090386,-1.041711352231868,0.1779213407263615
17,1.0,2452740.0,-29.44186671997343,-13.440594493107126,0.8466995642044526,0.5663575021972462,-1.041669189495157,0.1779111629665357
18,1.0,2452740.0,-29.446085859716913,-13.442316802334567,0.8467891291570568,0.5666201704497082,-1.0417292421455524,0.17792456266224446
19,1.0,2452740.0,-29.444862257012545,-13.44188186045595,0.8467783957373198,0.5665286981215242,-1.0417381014682128,0.17793363914892305
20,1.0,2452740.0,-29.444900763993324,-13.441922532784938,0.8467240113534145,0.5664970220906302,-1.0417637426130124,0.17793029073430852
