,0,1,2,3,4
0,2,1,2,2,2
1,2,1,2,2,1
2,0,0,0,0,0
3,2,2,2,2,2
4,2,2,2,2,2
5,2,2,2,2,2
6,1,0,0,0,0
7,2,2,2,2,2
8,1,1,1,1,1
9,2,2,2,2,2
10,1,1,1,1,1
11,0,0,0,0,0
12,2,2,2,2,2
13,2,2,2,2,2
14,2,2,2,2,2
15,2,2,2,2,2
16,2,2,2,2,2
17,2,1,1,2,2
18,1,1,1,1,1
19,2,2,2,2,2
