,0,1,2,3,4,median,Objname
0,0,0,0,0,0,0.0,15760
1,1,1,1,1,1,1.0,15789
2,0,0,0,0,0,0.0,15807
3,1,1,1,1,1,1.0,15809
4,1,1,1,1,1,1.0,15810
5,1,1,1,1,1,1.0,15836
6,0,0,0,0,0,0.0,15883
7,0,0,0,0,0,0.0,16684
8,0,0,0,0,0,0.0,19255
9,1,1,1,1,1,1.0,19299
10,0,0,0,0,0,0.0,19308
11,0,0,0,0,0,0.0,19521
12,0,0,0,0,0,0.0,20000
13,1,1,1,1,1,1.0,20108
14,0,0,0,0,0,0.0,24835
15,1,1,1,1,1,1.0,24952
16,0,0,0,0,0,0.0,24978
17,1,1,1,1,1,1.0,28978
18,1,1,1,1,1,1.0,32929
19,0,0,0,0,0,0.0,33001
20,1,1,1,1,1,1.0,33340
21,0,0,0,0,0,0.0,35671
22,0,0,0,0,0,0.0,38083
23,1,1,1,1,1,1.0,38628
24,1,1,1,1,1,1.0,42301
25,0,0,0,0,0,0.0,45802
26,1,1,1,1,1,1.0,47171
27,1,1,1,1,1,1.0,47932
28,0,0,0,0,0,0.0,48639
29,0,0,0,0,0,0.0,49673
30,0,0,0,0,0,0.0,50000
31,0,0,0,0,0,0.0,52747
32,0,0,0,0,0,0.0,53311
33,0,0,0,0,0,0.0,55565
34,0,0,0,0,0,0.0,55636
35,0,0,0,0,0,0.0,55637
36,1,1,1,1,1,1.0,55638
37,0,0,0,0,0,0.0,58534
38,0,0,0,0,0,0.0,60454
39,1,1,1,1,1,1.0,60620
40,0,0,0,0,0,0.0,66452
41,0,0,1,1,1,1.0,66652
42,1,1,1,1,1,1.0,69986
43,0,0,0,0,0,0.0,69987
44,1,1,1,1,1,1.0,69990
45,0,0,0,0,0,0.0,76803
46,0,0,0,0,0,0.0,79360
47,1,1,1,1,1,1.0,79969
48,1,1,1,1,1,1.0,79978
49,0,0,0,0,0,0.0,79983
50,0,0,0,0,0,0.0,80806
51,1,1,1,1,1,1.0,82075
52,0,0,0,0,0,0.0,82157
53,1,1,1,1,1,1.0,84522
54,1,1,1,1,1,1.0,84719
55,1,1,1,1,1,1.0,84922
56,0,0,0,0,0,0.0,85627
57,0,0,0,0,0,0.0,85633
58,0,0,0,0,0,0.0,86047
59,0,0,0,0,0,0.0,86177
60,0,0,0,0,0,0.0,88267
61,0,0,0,0,0,0.0,88268
62,0,0,0,0,0,0.0,88611
63,1,1,1,1,1,1.0,90482
64,0,0,0,0,0,0.0,90568
65,1,1,1,1,1,1.0,91133
66,1,1,1,1,1,1.0,91205
67,1,1,1,1,1,1.0,118228
68,0,1,1,1,0,1.0,118378
69,1,1,1,1,1,1.0,118698
70,1,1,1,1,1,1.0,119066
71,1,1,1,1,1,1.0,119067
72,1,1,1,1,1,1.0,119069
73,1,1,1,1,1,1.0,119070
74,1,1,1,1,1,1.0,119473
75,0,0,0,0,0,0.0,119951
76,1,1,1,1,1,1.0,119956
77,1,1,1,1,1,1.0,119979
78,0,0,0,0,0,0.0,120132
79,0,0,0,0,0,0.0,120178
80,0,0,0,0,0,0.0,120347
81,0,0,0,0,0,0.0,120348
82,0,0,0,0,0,0.0,123509
83,1,1,1,1,1,1.0,126154
84,1,1,1,1,1,1.0,126155
85,0,0,0,0,0,0.0,126719
86,1,1,1,1,1,1.0,127871
87,1,1,1,1,1,1.0,129746
88,1,1,1,1,1,1.0,129772
89,1,1,1,1,1,1.0,130391
90,1,1,1,1,1,1.0,131318
91,1,1,1,1,1,1.0,131695
92,1,1,1,1,1,1.0,131697
93,1,1,1,1,1,1.0,133067
94,10,10,10,10,10,10.0,134340
95,1,1,1,1,1,1.0,134568
96,0,0,0,0,0,0.0,134860
97,1,1,1,1,1,1.0,135024
98,0,0,0,0,0,0.0,135182
99,1,1,1,1,1,1.0,135742
100,1,1,1,1,1,1.0,136108
101,0,0,0,0,0,0.0,136472
102,0,0,0,0,0,0.0,137294
103,0,0,0,0,0,0.0,138537
104,1,1,1,1,1,1.0,139775
105,1,1,1,1,1,1.0,143685
106,1,1,1,1,1,1.0,143751
107,0,0,0,0,0,0.0,143991
108,0,0,0,0,0,0.0,144897
109,0,0,0,0,0,0.0,145452
110,0,0,0,0,0,0.0,145453
111,0,0,0,0,0,0.0,148112
112,0,0,0,0,0,0.0,148780
113,1,0,1,0,0,0.0,149348
114,1,1,1,1,1,1.0,149349
115,0,0,0,0,0,0.0,150642
116,0,0,0,0,0,0.0,160091
117,1,1,1,0,1,1.0,160147
118,0,0,0,0,0,0.0,160256
119,1,1,1,1,1,1.0,168700
120,0,0,0,0,0,0.0,168703
121,1,1,1,1,1,1.0,169071
122,1,0,1,1,1,1.0,174567
123,0,0,0,0,0,0.0,175113
124,0,0,0,0,0,0.0,181708
125,0,1,0,0,0,0.0,181855
126,1,1,1,1,1,1.0,181867
127,0,0,0,0,0,0.0,181868
128,1,1,1,1,1,1.0,181871
129,0,0,0,0,1,0.0,181874
130,1,0,1,1,1,1.0,182222
131,1,1,1,1,1,1.0,182294
132,1,1,1,1,1,1.0,182397
133,0,0,0,0,0,0.0,182926
134,0,0,0,0,0,0.0,182933
135,0,0,0,0,0,0.0,182934
136,0,1,0,0,0,0.0,183595
137,0,0,0,0,0,0.0,183963
138,0,0,0,0,0,0.0,184314
139,0,0,0,0,0,0.0,202421
140,1,1,1,1,1,1.0,208996
141,0,0,0,0,0,0.0,230965
142,0,0,0,0,0,0.0,275809
143,0,0,0,0,0,0.0,278361
144,0,0,0,0,0,0.0,303712
145,1,1,1,1,1,1.0,306792
146,0,0,0,0,0,0.0,307251
147,0,0,0,1,0,0.0,307261
148,1,1,1,1,1,1.0,307463
149,0,0,0,0,0,0.0,307616
150,0,0,0,0,0,0.0,308193
151,1,1,1,1,1,1.0,308379
152,1,1,1,1,1,1.0,308460
153,0,0,0,0,0,0.0,308634
154,0,0,0,0,0,0.0,315530
155,1,1,1,1,1,1.0,341520
156,0,0,0,0,0,0.0,363330
157,0,0,0,0,0,0.0,363401
158,0,0,0,0,0,0.0,364171
159,1,1,1,1,1,1.0,385185
160,0,0,0,0,0,0.0,385191
161,0,0,0,0,0,0.0,385194
162,0,0,0,0,0,0.0,385199
163,0,0,0,0,0,0.0,385201
164,0,0,0,0,0,0.0,385266
165,0,0,0,0,0,0.0,385362
166,0,0,0,0,0,0.0,385363
167,0,0,0,0,0,0.0,385437
168,1,1,1,1,1,1.0,385445
169,1,1,1,1,1,1.0,385446
170,0,0,0,0,0,0.0,385447
171,1,1,1,0,1,1.0,385458
172,1,1,1,0,1,1.0,385533
173,1,1,1,1,1,1.0,385571
174,1,1,1,1,1,1.0,385695
175,0,0,0,0,0,0.0,386723
176,0,0,0,0,0,0.0,408832
177,0,0,0,0,0,0.0,415720
178,0,0,0,0,0,0.0,416400
179,0,0,0,0,0,0.0,420356
180,1,1,1,1,1,1.0,427581
181,0,0,0,0,0,0.0,427614
182,1,1,1,1,1,1.0,432949
183,0,0,0,0,0,0.0,434194
184,1,1,1,1,1,1.0,434709
185,0,0,0,0,0,0.0,437871
186,1,1,1,1,1,1.0,437915
187,1,1,1,1,1,1.0,438028
188,0,0,0,0,0,0.0,439858
189,0,0,0,0,0,0.0,443843
190,0,0,0,0,0,0.0,444018
191,0,0,0,0,0,0.0,444025
192,0,0,0,0,0,0.0,444030
193,1,1,1,1,1,1.0,444745
194,1,1,1,1,1,1.0,450265
195,0,0,0,0,0,0.0,455171
196,0,0,0,0,0,0.0,455206
197,0,0,0,0,0,0.0,455209
198,1,1,1,1,1,1.0,455502
199,1,1,1,1,1,1.0,456826
200,0,0,0,0,0,0.0,468422
201,1,1,1,1,1,1.0,469306
202,0,0,0,0,0,0.0,469361
203,1,1,1,1,1,1.0,469362
204,1,1,1,1,1,1.0,469372
205,1,1,1,1,1,1.0,469420
206,1,1,1,1,1,1.0,469421
207,0,0,0,0,0,0.0,469438
208,1,1,1,1,1,1.0,469505
209,1,1,1,1,1,1.0,469506
210,0,0,0,0,0,0.0,469509
211,0,0,0,0,0,0.0,469514
212,1,1,1,1,1,1.0,469584
213,0,0,0,0,0,0.0,469610
214,0,0,0,0,0,0.0,469615
215,1,1,1,1,1,1.0,469704
216,0,0,0,0,0,0.0,469705
217,1,1,1,1,1,1.0,469707
218,0,0,0,0,0,0.0,470027
219,1,1,1,1,1,1.0,470308
220,0,0,0,0,0,0.0,470316
221,0,0,0,0,0,0.0,470443
222,1,1,1,1,1,1.0,470523
223,0,0,0,0,0,0.0,470596
224,0,0,0,0,0,0.0,471150
225,0,0,0,0,0,0.0,471196
226,0,0,0,0,0,0.0,471210
227,1,1,1,1,1,1.0,471288
228,0,0,0,0,0,0.0,471318
229,0,0,0,0,0,0.0,471921
230,0,0,0,0,0,0.0,471954
231,0,0,0,0,0,0.0,472231
232,0,0,0,0,0,0.0,472232
233,0,0,0,0,0,0.0,472271
234,0,0,0,0,0,0.0,483002
235,10,10,10,10,10,10.0,486958
236,1,1,1,1,1,1.0,487581
237,0,0,0,0,0,0.0,488644
238,1,1,1,1,1,1.0,491767
239,0,0,0,0,0,0.0,491768
240,0,0,0,0,0,0.0,493480
241,0,0,0,0,0,0.0,1994 ES2
242,0,0,0,0,0,0.0,1994 EV3
243,0,0,0,0,0,0.0,1995 DB2
244,0,0,0,0,0,0.0,1995 DC2
245,1,1,1,1,1,1.0,1995 HM5
246,0,0,0,0,0,0.0,1995 WY2
247,0,0,0,0,0,0.0,1996 KV1
248,0,0,0,0,0,0.0,1996 RQ20
249,1,1,1,1,1,1.0,1996 RR20
250,0,0,0,0,0,0.0,1996 TK66
251,0,0,0,0,0,0.0,1996 TS66
252,0,0,0,0,0,0.0,1997 CT29
253,0,0,0,1,0,0.0,1997 CV29
254,0,0,0,0,0,0.0,1997 QH4
255,0,0,0,0,0,0.0,1997 RX9
256,0,0,0,0,0,0.0,1998 FS144
257,1,1,1,1,1,1.0,1998 HH151
258,0,0,0,0,0,0.0,1998 HL151
259,0,1,1,1,0,1.0,1998 HN151
260,0,0,0,0,0,0.0,1998 HO151
261,1,1,1,1,1,1.0,1998 HQ151
262,0,0,0,0,0,0.0,1998 KS65
263,0,0,0,0,0,0.0,1998 KY61
264,1,1,1,1,1,1.0,1998 UR43
265,1,1,1,1,1,1.0,1998 UU43
266,0,0,0,0,0,0.0,1998 WG24
267,1,1,1,1,1,1.0,1998 WS31
268,0,0,0,0,0,0.0,1998 WV24
269,1,1,1,1,1,1.0,1998 WV31
270,0,0,0,0,0,0.0,1998 WW31
271,0,0,0,0,0,0.0,1998 WX24
272,0,1,0,0,1,0.0,1998 WX31
273,0,0,0,0,0,0.0,1998 WY24
274,0,0,0,0,0,0.0,1998 WY31
275,1,1,1,1,1,1.0,1998 WZ31
276,0,0,0,0,0,0.0,1999 CB119
277,0,0,0,0,0,0.0,1999 CC119
278,0,0,0,0,0,0.0,1999 CG154
279,0,0,0,0,0,0.0,1999 CH119
280,0,0,0,0,0,0.0,1999 CH154
281,0,0,0,0,0,0.0,1999 CJ119
282,0,0,0,0,0,0.0,1999 CK158
283,0,0,0,0,0,0.0,1999 CL119
284,10,10,10,10,10,10.0,1999 CM119
285,0,0,0,0,0,0.0,1999 CM153
286,1,1,1,1,1,1.0,1999 CM158
287,0,0,0,0,0,0.0,1999 CN119
288,0,0,0,0,1,0.0,1999 CP153
289,0,0,0,0,0,0.0,1999 CQ133
290,0,2,0,2,0,0.0,1999 CS153
291,0,0,0,0,0,0.0,1999 CU153
292,10,10,10,10,10,10.0,1999 CW131
293,1,1,1,1,1,1.0,1999 CX131
294,0,0,0,0,0,0.0,1999 DA
295,0,0,0,0,0,0.0,1999 DH8
296,0,0,0,0,0,0.0,1999 GS46
297,1,1,1,1,1,1.0,1999 HG12
298,0,0,0,0,0,0.0,1999 HH12
299,0,0,0,0,0,0.0,1999 HJ12
300,0,0,0,0,0,0.0,1999 HS11
301,0,0,0,0,0,0.0,1999 HV11
302,0,0,0,0,0,0.0,1999 JD132
303,1,1,1,1,1,1.0,1999 KR18
304,0,1,0,0,0,0.0,1999 OA4
305,1,0,1,1,1,1.0,1999 OC4
306,0,0,0,0,0,0.0,1999 OD4
307,0,0,0,0,0,0.0,1999 OG4
308,0,0,0,0,0,0.0,1999 OH4
309,0,0,0,0,0,0.0,1999 OJ4
