,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2456979.5,-1.2296755435023297,-2.065851279625725,-0.6040724992969162,3.7335867812974706,-1.5504324847975912,-0.22980167636215013
1,1.0,2456979.5,-1.2296756238001831,-2.0658511922232603,-0.6040724959363226,3.7335867897591166,-1.55043260902042,-0.22980167393300832
2,1.0,2456979.5,-1.2296755048938621,-2.0658512990942386,-0.6040724987147759,3.7335868342416907,-1.5504323626000605,-0.2298016851083479
3,1.0,2456979.5,-1.2296754902643274,-2.065851381399181,-0.6040724770199273,3.7335867483430794,-1.5504323537291345,-0.2298017162240507
4,1.0,2456979.5,-1.2296755974371694,-2.0658511389738456,-0.6040725395193286,3.733586837493017,-1.5504326817405887,-0.22980165349937012
5,1.0,2456979.5,-1.2296755083656126,-2.0658512765447563,-0.604072498381716,3.733586812937851,-1.550432487134086,-0.2298017232240209
6,1.0,2456979.5,-1.2296755600300464,-2.065851248669381,-0.6040725334618894,3.7335867820777,-1.5504325376278354,-0.2298016347972349
7,1.0,2456979.5,-1.2296755541486646,-2.0658513065643036,-0.6040724902902874,3.7335867320577996,-1.5504324581374138,-0.22980175675136055
8,1.0,2456979.5,-1.2296754873614897,-2.0658512846304466,-0.6040725075950545,3.733586817339587,-1.5504324653042874,-0.22980168972664175
9,1.0,2456979.5,-1.22967547702735,-2.0658513062643324,-0.6040724829305076,3.7335868094909648,-1.5504324691311977,-0.22980166862013632
10,1.0,2456979.5,-1.2296755209853854,-2.0658512951252455,-0.6040724928900364,3.7335867659287723,-1.5504325204786138,-0.22980172021690867
11,1.0,2456979.5,-1.229675452402294,-2.0658513699897663,-0.6040724575001697,3.733586807387273,-1.5504323463051302,-0.22980166680804223
12,1.0,2456979.5,-1.2296754405524097,-2.065851448011196,-0.60407247030436,3.7335867554652395,-1.5504321984772353,-0.2298017534478912
13,1.0,2456979.5,-1.229675450787965,-2.0658513770329203,-0.6040724987932572,3.7335867938409253,-1.5504323215381757,-0.22980167985914532
14,1.0,2456979.5,-1.229675632917142,-2.065851199510008,-0.6040724998801124,3.73358677701346,-1.5504325966435484,-0.22980156036816435
15,1.0,2456979.5,-1.229675474472129,-2.0658512559168822,-0.6040724873460347,3.7335868528472718,-1.5504325774047834,-0.22980168797726544
16,1.0,2456979.5,-1.2296754982026659,-2.0658513325109134,-0.6040725052864442,3.7335867844564667,-1.550432399226717,-0.22980165314163
17,1.0,2456979.5,-1.2296755989844401,-2.065851328488155,-0.6040724926933078,3.7335867021535116,-1.5504323858232418,-0.22980164664532213
18,1.0,2456979.5,-1.229675622488991,-2.0658511973690796,-0.6040725527125542,3.733586774015539,-1.5504325811581623,-0.22980167661565454
19,1.0,2456979.5,-1.229675461616509,-2.065851388121456,-0.6040724934978507,3.733586751147304,-1.550432338181765,-0.2298017326849483
20,1.0,2456979.5,-1.2296756235520332,-2.0658511776629203,-0.6040725118844218,3.7335867918024865,-1.5504326381446039,-0.22980168766177458
