,f#,objname,cut,count,low-a,high-a,low-e,high-e,lowI,highI,f
36,510,569 Misa,50,702,2.598,2.7009,0.1679,0.1902,1.84,2.72,-
37,511,606 Brangane,55,195,2.5726,2.5939,0.1769,0.1827,9.45,9.66,-
38,512,668 Dora,45,1259,2.7405,2.8121,0.1882,0.2043,7.49,8.26,-
39,513,808 Merxia,55,1215,2.6841,2.8136,0.124,0.1475,4.48,5.4,-
40,514,847 Agnia,30,2125,2.7535,2.819,0.0645,0.0892,3.21,4.74,-
41,515,1128 Astrid,60,489,2.7524,2.8205,0.0431,0.0528,0.13,1.26,-
42,516,1272 Gefion,50,2547,2.7046,2.8159,0.0833,0.1557,8.3,9.79,-
43,517,3815 Konig,55,354,2.5627,2.5884,0.1377,0.1446,8.21,9.44,-
44,518,1644 Rafita,70,1295,2.5305,2.6518,0.1539,0.1964,6.5,8.45,-
45,519,1726 Hoffmeister,45,1819,2.7415,2.8198,0.0402,0.0607,3.81,5.17,-
46,520,4652 Iannini,25,150,2.6403,2.647,0.2674,0.27,12.15,12.27,-
47,521,7353 Kazuya,50,44,2.5622,2.5746,0.1403,0.1513,14.56,14.93,-
48,522,173 Ino,50,463,2.7085,2.807,0.167,0.1845,13.06,13.9,-
49,523,14627 Emilkowalsk,i  10,4,2.5993,2.5995,0.1761,0.1765,17.22,17.22,-
50,524,16598 1992 YC2,10,3,2.62,2.6203,0.1749,0.1751,2.83,2.83,-
51,525,2384 Schulhof,10,6,2.6095,2.6109,0.1621,0.1624,13.32,13.32,-
52,526,53546 2000 BY6,40,58,2.7085,2.7376,0.1696,0.1748,14.29,14.55,-
53,527,5438 Lorre,10,2,2.747,2.7471,0.2628,0.2629,28.17,28.18,-
54,528,2782 Leonidas,50,135,2.6579,2.7034,0.1788,0.1984,3.55,4.09,-
55,529,144 Vibilia,100,180,2.6579,2.7034,0.1788,0.1984,3.55,4.09,-
56,530,322 Phaeo,100,146,2.7244,2.8109,0.1649,0.2036,8.82,9.7,-
57,531,2262 Mitidika,100,653,2.5339,2.6982,0.2104,0.2803,11.71,13.89,-
58,532,2085 Henan,50,1872,2.6183,2.8191,0.0423,0.0724,1.64,3.32,-
59,533,1668 Hanna,60,280,2.7512,2.8121,0.1671,0.1829,3.85,4.58,-
60,534,3811 Karma,60,124,2.5334,2.6112,0.0978,0.1129,10.53,11.05,-
61,535,2732 Witt,45,1816,2.6665,2.8061,0.0051,0.051,5.54,6.65,-
62,536,2344 Xizang,65,275,2.6986,2.8032,0.1473,0.1684,2.4,3.29,-
63,537,729 Watsonia,130,99,2.7197,2.8158,0.1053,0.1482,16.66,17.78,-
64,538,3152 Jones,40,22,2.6245,2.6313,0.1074,0.1106,12.28,12.36,-
65,539,369 Aeria,90,272,2.5838,2.7114,0.0429,0.0699,10.86,12.11,-
66,540,89 Julia,70,33,2.5391,2.5631,0.1148,0.1322,16.66,16.88,-
67,541,1484 Postrema,100,108,2.7108,2.804,0.2213,0.2462,15.91,16.86,-
68,601,10 Hygiea,60,4854,3.029,3.242,0.0941,0.1722,3.96,6.7,-
69,602,24 Themis,60,4782,3.019,3.2398,0.1115,0.1862,0.66,2.32,-
70,603,87 Sylvia,130,255,3.3576,3.5667,0.0445,0.1032,9.18,10.65,-
71,604,137 Meliboea,85,444,3.0741,3.2135,0.1589,0.2242,13.26,15.65,-
72,605,158 Koronis,45,5949,2.8273,2.9638,0.0229,0.1001,1.6,2.59,-
73,606,221 Eos,45,9789,2.9533,3.1549,0.0296,0.1069,8.71,11.42,-
74,607,283 Emma,40,76,3.0286,3.0787,0.1066,0.1281,8.88,9.57,-
75,608,293 Brasilia,50,579,2.832,2.8805,0.1185,0.1271,14.8,15.29,-
76,609,490 Veritas,30,1294,3.1561,3.1839,0.0517,0.0785,8.61,9.81,-
77,610,832 Karin,10,541,2.8575,2.8755,0.0418,0.0473,2.02,2.14,-
78,611,845 Naema,35,301,2.9088,2.9534,0.0307,0.0409,11.78,12.09,-
79,612,1400 Tirela,50,1395,3.0766,3.181,0.1746,0.2163,16.03,17.39,-
80,613,3556 Lixiaohua,45,756,3.1175,3.1757,0.1845,0.2124,9.85,10.59,-
81,614,9506 Telramund,45,468,2.9597,3.0134,0.058,0.0874,8.52,9.55,-
82,615,18405 FY12,50,104,2.8315,2.8587,0.1013,0.1097,9.02,9.31,-
83,616,627 Charis,80,808,2.8279,2.9508,0.0331,0.0786,5.47,6.77,-
84,617,778 Theobalda,60,376,3.1523,3.1914,0.2373,0.2678,13.81,14.83,-
85,618,1189 Terentia,60,79,2.9041,2.9498,0.0696,0.0768,11.0,11.25,-
86,619,10811 Lau,120,56,2.9023,2.9424,0.1821,0.2117,6.11,6.51,-
87,620,656 Beagle,25,148,3.1421,3.1707,0.1486,0.1555,1.18,1.46,-
88,621,158 Koronis(2),8,246,2.864,2.8753,0.0436,0.0461,2.14,2.18,-
89,622,81 Terpsichore,120,138,2.8358,2.9459,0.1721,0.2111,7.6,8.83,-
90,623,709 Fringilla,150,134,2.8308,2.972,0.0594,0.1295,16.25,17.68,-
91,624,5567 Durisen,100,27,2.9059,2.9456,0.1837,0.1889,16.07,16.27,-
92,625,5614 Yakovlev,120,67,2.8458,2.9022,0.2713,0.3025,7.67,8.3,-
93,626,7481 San Marcello,100,144,2.833,2.9532,0.0636,0.0903,12.22,13.19,-
94,627,15454 1998 YB3,80,38,2.8464,2.8851,0.2158,0.2258,15.72,16.13,-
95,628,15477 1999 CG1,95,248,2.8305,2.983,0.0654,0.1076,4.29,5.51,-
96,629,36256 1999 XT17,70,58,2.8929,2.951,0.1082,0.1213,10.45,10.81,-
97,630,96 Aegle,50,99,3.036,3.0697,0.1799,0.189,16.23,16.77,-
98,631,375 Ursula,70,1466,3.0401,3.2387,0.0448,0.1244,14.95,17.67,-
99,632,618 Elfriede,40,63,3.1765,3.1999,0.0563,0.0592,15.64,16.15,-
100,633,918 Itha,100,54,2.8344,2.8898,0.1524,0.1673,11.64,12.41,-
101,634,3438 Inarradas,80,38,3.0362,3.0683,0.1736,0.1838,14.4,14.79,-
102,635,7468 Anfimov,60,58,3.0313,3.0781,0.0869,0.0929,3.34,3.59,-
103,636,1332 Marconia,30,34,3.0558,3.0709,0.0951,0.0993,2.53,2.62,-
104,637,106302 2000 UJ87,60,64,3.0875,3.1186,0.1759,0.1852,3.14,3.65,-
105,638,589 Croatia,45,93,3.0689,3.1739,0.0244,0.0372,10.5,10.86,-
106,639,926 Imhilde,70,43,2.9663,3.0125,0.2275,0.2368,14.56,14.98,-
107,640,P/2012 F5 (Gibbs),10,8,3.0039,3.0052,0.0227,0.0232,10.35,10.35,N
108,641,816 Juliana,80,76,2.9638,3.029,0.1369,0.1516,12.79,13.56,-
109,701,25 Phocaea,150,1989,2.2474,2.4603,0.1428,0.2963,21.44,25.41,-
110,801,2 Pallas,350,128,2.6494,2.9183,0.2193,0.3033,31.63,34.56,-
111,802,148 Gallia,200,182,2.6843,2.8122,0.0908,0.1738,24.04,26.24,-
112,803,480 Hansa,200,1094,2.5377,2.7445,0.0083,0.1273,21.02,22.64,-
113,804,686 Gersuind,120,415,2.522,2.6911,0.1533,0.2055,16.28,18.38,-
114,805,945 Barcelona,150,306,2.5884,2.6677,0.1813,0.2921,30.29,31.42,-
115,806,1222 Tina,200,96,2.7651,2.8045,0.0682,0.1346,20.47,21.35,-
116,807,4203 Brucato,200,342,2.5358,2.7158,0.0541,0.1837,26.16,30.5,-
117,901,31 Euphrosyne,120,2035,3.069,3.2303,0.1267,0.2708,24.71,28.03,-
118,902,702 Alauda,120,1294,3.0368,3.2507,0.0049,0.1769,20.55,23.59,-
119,903,909 Ulla,120,26,3.5241,3.5681,0.0425,0.0582,17.8,18.02,-
120,904,1303 Luthera,50,163,3.1955,3.2375,0.1085,0.1391,18.21,19.55,-
121,905,780 Armenia,50,40,3.0896,3.1294,0.0656,0.0751,18.11,18.31,-
